ROW	COLUMN	X	Y	rosette	regenerating	stems	diameter	xcoord	ycoord	type
0	17	82	54	7	NA	NA	NA	1782	54	rosette
0	17	81	52	8	NA	NA	NA	1781	52	rosette
0	18	68	91	NA	0	1	8	1868	91	skeleton
0	18	97	41	NA	0	1	13	1897	41	skeleton
0	18	58	50	NA	0	1	3	1858	50	skeleton
0	18	97	60	NA	0	2	11	1897	60	skeleton
0	18	96	74	NA	0	2	13	1896	74	skeleton
0	18	48	77	NA	0	1	5	1848	77	skeleton
0	18	62	81	NA	0	1	4	1862	81	skeleton
0	18	25	3	7	NA	NA	NA	1825	3	rosette
0	18	30	9	4	NA	NA	NA	1830	9	seedling
0	18	70	92	NA	0	1	5	1870	92	skeleton
0	19	90	33	NA	0	1	16	1990	33	skeleton
0	19	55	68	NA	0	1	9	1955	68	skeleton
0	19	55	70	NA	0	1	12	1955	70	skeleton
0	19	53	70	NA	0	1	15	1953	70	skeleton
0	19	8	83	NA	0	2	9	1908	83	skeleton
0	19	85	94	NA	0	1	7	1985	94	skeleton
0	19	92	99	NA	0	3	13	1992	99	skeleton
0	19	51	68	NA	0	1	8	1951	68	skeleton
0	19	99	53	NA	0	1	5	1999	53	skeleton
0	19	14	92	4	NA	NA	NA	1914	92	seedling
0	19	88	49	3	NA	NA	NA	1988	49	seedling
0	19	96	55	2	NA	NA	NA	1996	55	seedling
0	20	78	17	NA	0	5	16	2078	17	skeleton
0	20	43	64	NA	0	6	10	2043	64	skeleton
0	20	5	64	NA	0	3	14	2005	64	skeleton
0	20	67	83	NA	0	5	9	2067	83	skeleton
0	20	86	93	NA	0	3	12	2086	93	skeleton
0	21	91	69	NA	0	1	7	2191	69	skeleton
0	22	6	1	10	NA	NA	NA	2206	1	rosette
0	22	54	63	13	NA	NA	NA	2254	63	rosette
0	22	4	99	5	NA	NA	NA	2204	99	seedling
0	23	35	35	5	NA	NA	NA	2335	35	seedling
0	23	72	36	3	NA	NA	NA	2372	36	seedling
0	23	75	36	3	NA	NA	NA	2375	36	seedling
0	23	84	47	7	NA	NA	NA	2384	47	rosette
0	23	67	43	5	NA	NA	NA	2367	43	seedling
0	23	33	90	NA	0	1	9	2333	90	skeleton
0	23	71	99	NA	0	1	17	2371	99	skeleton
0	23	38	99	4	NA	NA	NA	2338	99	seedling
0	23	43	98	5	NA	NA	NA	2343	98	seedling
0	24	36	11	2	NA	NA	NA	2436	11	seedling
0	24	44	21	6	NA	NA	NA	2444	21	rosette
0	24	49	71	21	NA	NA	NA	2449	71	rosette
0	25	37	6	11	NA	NA	NA	2537	6	rosette
0	25	69	2	6	NA	NA	NA	2569	2	rosette
0	25	13	16	2	NA	NA	NA	2513	16	seedling
0	25	43	48	NA	0	1	8	2543	48	skeleton
0	25	33	78	NA	0	1	8	2533	78	skeleton
0	25	24	82	NA	0	1	13	2524	82	skeleton
0	25	69	63	NA	1	1	6	2569	63	regrowth
0	25	87	6	NA	0	1	6	2587	6	skeleton
0	26	19	24	NA	0	1	10	2619	24	skeleton
0	26	80	78	2	NA	NA	NA	2680	78	seedling
0	26	81	67	1	NA	NA	NA	2681	67	seedling
0	26	65	66	2	NA	NA	NA	2665	66	seedling
0	26	82	66	1	NA	NA	NA	2682	66	seedling
0	26	76	54	1	NA	NA	NA	2676	54	seedling
0	27	17	52	NA	2	5	21	2717	52	regrowth
0	27	89	12	NA	0	3	14	2789	12	skeleton
0	27	96	32	NA	1	6	12	2796	32	regrowth
0	27	99	36	NA	0	1	9	2799	36	skeleton
0	27	24	69	NA	0	2	7	2724	69	skeleton
0	27	31	72	NA	0	6	10	2731	72	skeleton
0	27	53	92	NA	0	1	6	2753	92	skeleton
0	27	48	99	NA	0	4	11	2748	99	skeleton
0	27	16	89	NA	0	1	10	2716	89	skeleton
0	27	51	86	NA	0	1	7	2751	86	skeleton
0	27	99	99	NA	0	1	12	2799	99	skeleton
0	28	58	62	NA	2	9	17	2858	62	regrowth
0	28	0	38	NA	0	2	10	2800	38	skeleton
0	28	10	67	NA	0	2	13	2810	67	skeleton
0	29	56	13	NA	0	2	15	2956	13	skeleton
0	29	21	98	11	NA	NA	NA	2921	98	rosette
0	29	41	73	2	NA	NA	NA	2941	73	seedling
1	0	73	17	3	NA	NA	NA	73	117	seedling
1	0	61	25	2	NA	NA	NA	61	125	seedling
1	0	88	31	2	NA	NA	NA	88	131	seedling
1	0	89	32	1	NA	NA	NA	89	132	seedling
1	0	88	36	1	NA	NA	NA	88	136	seedling
1	0	36	37	2	NA	NA	NA	36	137	seedling
1	0	66	38	1	NA	NA	NA	66	138	seedling
1	0	71	55	1	NA	NA	NA	71	155	seedling
1	0	63	93	1	NA	NA	NA	63	193	seedling
1	1	16	43	2	NA	NA	NA	116	143	seedling
1	1	31	56	4	NA	NA	NA	131	156	seedling
1	1	14	61	2	NA	NA	NA	114	161	seedling
1	2	30	5	3	NA	NA	NA	230	105	seedling
1	2	29	15	1	NA	NA	NA	229	115	seedling
1	2	67	71	2	NA	NA	NA	267	171	seedling
1	3	89	55	NA	0	7	18	389	155	skeleton
1	3	79	44	NA	1	6	15	379	144	regrowth
1	4	7	36	NA	0	1	14	407	136	skeleton
1	5	2	34	NA	0	1	10	502	134	skeleton
1	5	88	0	NA	0	1	13	588	100	skeleton
1	5	97	99	NA	0	1	8	597	199	skeleton
1	6	1	91	NA	0	2	12	601	191	skeleton
1	6	82	35	NA	0	1	11	682	135	skeleton
1	6	46	99	4	NA	NA	NA	646	199	seedling
1	6	80	95	3	NA	NA	NA	680	195	seedling
1	7	79	24	3	NA	NA	NA	779	124	seedling
1	7	16	61	1	NA	NA	NA	716	161	seedling
1	7	89	76	NA	1	1	4	789	176	regrowth
1	7	36	90	NA	0	1	7	736	190	skeleton
1	9	26	44	3	NA	NA	NA	926	144	seedling
1	10	3	90	NA	0	5	10	1003	190	skeleton
1	10	29	98	NA	0	1	5	1029	198	skeleton
1	11	1	25	NA	0	1	14	1101	125	skeleton
1	11	89	73	NA	0	4	6	1189	173	skeleton
1	11	41	43	2	NA	NA	NA	1141	143	seedling
1	12	31	75	NA	0	2	14	1231	175	skeleton
1	12	87	81	NA	0	1	9	1287	181	skeleton
1	12	77	54	NA	0	1	8	1277	154	skeleton
1	13	24	47	NA	2	15	12	1324	147	regrowth
1	13	33	28	NA	0	1	3	1333	128	skeleton
1	13	79	94	6	NA	NA	NA	1379	194	rosette
1	13	79	98	4	NA	NA	NA	1379	198	seedling
1	14	21	8	NA	0	1	7	1421	108	skeleton
1	14	50	22	NA	0	1	8	1450	122	skeleton
1	14	7	19	NA	0	1	3	1407	119	skeleton
1	14	53	30	NA	0	6	5	1453	130	skeleton
1	14	56	30	NA	0	1	7	1456	130	skeleton
1	14	86	36	NA	0	1	7	1486	136	skeleton
1	14	54	62	NA	0	4	16	1454	162	skeleton
1	14	47	73	NA	0	1	9	1447	173	skeleton
1	14	25	67	2	NA	NA	NA	1425	167	seedling
1	14	10	22	3	NA	NA	NA	1410	122	seedling
1	14	43	47	1	NA	NA	NA	1443	147	seedling
1	14	36	65	2	NA	NA	NA	1436	165	seedling
1	15	85	97	2	NA	NA	NA	1585	197	seedling
1	15	79	99	4	NA	NA	NA	1579	199	seedling
1	15	80	97	1	NA	NA	NA	1580	197	seedling
1	15	10	99	2	NA	NA	NA	1510	199	seedling
1	16	13	47	NA	0	1	7	1613	147	skeleton
1	16	86	60	2	NA	NA	NA	1686	160	seedling
1	16	83	61	1	NA	NA	NA	1683	161	seedling
1	16	90	62	1	NA	NA	NA	1690	162	seedling
1	16	81	68	1	NA	NA	NA	1681	168	seedling
1	16	96	22	1	NA	NA	NA	1696	122	seedling
1	17	63	42	NA	0	1	4	1763	142	skeleton
1	17	20	76	NA	0	4	10	1720	176	skeleton
1	17	88	99	NA	0	5	15	1788	199	skeleton
1	17	63	29	2	NA	NA	NA	1763	129	seedling
1	17	4	9	2	NA	NA	NA	1704	109	seedling
1	18	58	33	NA	0	6	13	1858	133	skeleton
1	18	76	35	NA	0	5	10	1876	135	skeleton
1	18	82	98	NA	0	3	12	1882	198	skeleton
1	18	60	87	NA	0	3	16	1860	187	skeleton
1	18	27	78	NA	0	5	10	1827	178	skeleton
1	18	15	88	NA	0	1	10	1815	188	skeleton
1	18	58	93	NA	0	1	15	1858	193	skeleton
1	18	38	86	NA	0	1	10	1838	186	skeleton
1	18	6	76	2	NA	NA	NA	1806	176	seedling
1	18	9	82	2	NA	NA	NA	1809	182	seedling
1	18	59	99	1	NA	NA	NA	1859	199	seedling
1	19	23	17	NA	1	1	10	1923	117	regrowth
1	19	61	31	3	NA	NA	NA	1961	131	seedling
1	19	73	36	NA	1	5	15	1973	136	regrowth
1	19	91	69	NA	0	1	16	1991	169	skeleton
1	19	49	74	5	NA	NA	NA	1949	174	seedling
1	19	75	85	2	NA	NA	NA	1975	185	seedling
1	19	10	3	1	NA	NA	NA	1910	103	seedling
1	19	48	49	1	NA	NA	NA	1948	149	seedling
1	19	44	50	1	NA	NA	NA	1944	150	seedling
1	19	48	52	1	NA	NA	NA	1948	152	seedling
1	19	40	62	1	NA	NA	NA	1940	162	seedling
1	20	60	37	NA	0	1	11	2060	137	skeleton
1	20	61	45	NA	0	1	12	2061	145	skeleton
1	20	97	96	NA	0	3	8	2097	196	skeleton
1	20	86	3	1	NA	NA	NA	2086	103	seedling
1	21	9	22	NA	0	3	12	2109	122	skeleton
1	21	91	20	NA	0	1	10	2191	120	skeleton
1	21	64	25	NA	0	1	7	2164	125	skeleton
1	22	36	34	NA	0	1	8	2236	134	skeleton
1	22	84	41	12	NA	NA	NA	2284	141	rosette
1	22	46	34	NA	0	1	10	2246	134	skeleton
1	22	37	70	7	NA	NA	NA	2237	170	rosette
1	22	94	76	5	NA	NA	NA	2294	176	seedling
1	22	85	76	3	NA	NA	NA	2285	176	seedling
1	23	44	3	4	NA	NA	NA	2344	103	seedling
1	23	66	39	5	NA	NA	NA	2366	139	seedling
1	23	13	57	9	NA	NA	NA	2313	157	rosette
1	23	79	61	NA	1	5	15	2379	161	regrowth
1	23	41	68	3	NA	NA	NA	2341	168	seedling
1	24	44	7	NA	1	5	10	2444	107	regrowth
1	24	37	65	NA	0	1	12	2437	165	skeleton
1	24	79	79	2	NA	NA	NA	2479	179	seedling
1	24	78	81	2	NA	NA	NA	2478	181	seedling
1	24	86	86	1	NA	NA	NA	2486	186	seedling
1	24	82	88	2	NA	NA	NA	2482	188	seedling
1	24	91	88	2	NA	NA	NA	2491	188	seedling
1	24	73	91	1	NA	NA	NA	2473	191	seedling
1	24	41	50	4	NA	NA	NA	2441	150	seedling
1	24	56	27	NA	1	3	10	2456	127	regrowth
1	24	89	0	3	NA	NA	NA	2489	100	seedling
1	25	64	83	NA	0	3	12	2564	183	skeleton
1	25	9	75	1	NA	NA	NA	2509	175	seedling
1	25	39	22	6	NA	NA	NA	2539	122	rosette
1	26	98	77	NA	1	7	22	2698	177	regrowth
1	26	9	48	NA	0	3	13	2609	148	skeleton
1	26	13	58	NA	0	3	12	2613	158	skeleton
1	26	98	16	3	NA	NA	NA	2698	116	seedling
1	27	55	64	NA	0	10	15	2755	164	skeleton
1	27	92	84	NA	0	1	15	2792	184	skeleton
1	28	36	35	NA	1	1	12	2836	135	regrowth
1	28	19	56	NA	0	11	17	2819	156	skeleton
1	28	13	99	NA	0	3	16	2813	199	skeleton
1	29	17	0	12	NA	NA	NA	2917	100	rosette
1	29	23	95	7	NA	NA	NA	2923	195	rosette
1	29	53	76	NA	0	2	16	2953	176	skeleton
1	29	60	43	NA	0	1	12	2960	143	skeleton
1	29	40	97	NA	0	10	15	2940	197	skeleton
1	29	62	48	NA	0	1	6	2962	148	skeleton
2	0	28	96	4	NA	NA	NA	28	296	seedling
2	0	30	95	2	NA	NA	NA	30	295	seedling
2	1	12	92	NA	0	1	11	112	292	skeleton
2	1	35	95	NA	0	2	11	135	295	skeleton
2	2	75	13	NA	0	1	12	275	213	skeleton
2	3	80	41	NA	0	1	8	380	241	skeleton
2	4	71	26	NA	0	7	12	471	226	skeleton
2	4	46	26	NA	0	1	10	446	226	skeleton
2	4	41	34	NA	0	5	10	441	234	skeleton
2	4	99	8	NA	1	8	12	499	208	regrowth
2	4	75	99	NA	0	3	13	475	299	skeleton
2	4	78	9	NA	0	1	9	478	209	skeleton
2	5	40	4	NA	1	6	15	540	204	regrowth
2	5	89	20	NA	1	1	13	589	220	regrowth
2	5	0	17	NA	0	1	5	500	217	skeleton
2	5	28	44	NA	2	4	17	528	244	regrowth
2	5	27	34	NA	0	1	4	527	234	skeleton
2	5	8	58	NA	2	3	13	508	258	regrowth
2	5	61	83	NA	0	2	13	561	283	skeleton
2	5	41	96	NA	0	1	14	541	296	skeleton
2	6	7	16	NA	0	1	4	607	216	skeleton
2	6	32	20	NA	0	4	11	632	220	skeleton
2	6	93	29	NA	2	8	17	693	229	regrowth
2	6	57	40	NA	0	5	16	657	240	skeleton
2	6	45	74	NA	0	6	10	645	274	skeleton
2	6	47	91	NA	0	5	11	647	291	skeleton
2	6	28	88	NA	0	1	13	628	288	skeleton
2	6	55	95	NA	0	2	15	655	295	skeleton
2	6	64	89	3	NA	NA	NA	664	289	seedling
2	6	65	29	NA	0	1	4	665	229	skeleton
2	6	82	42	NA	0	1	4	682	242	skeleton
2	7	40	1	NA	0	1	11	740	201	skeleton
2	7	32	41	NA	0	1	15	732	241	skeleton
2	7	31	70	NA	0	2	12	731	270	skeleton
2	7	82	85	NA	0	2	10	782	285	skeleton
2	7	61	85	NA	2	1	14	761	285	regrowth
2	7	0	82	NA	1	6	16	700	282	regrowth
2	7	71	99	NA	0	1	8	771	299	skeleton
2	7	39	10	1	NA	NA	NA	739	210	seedling
2	7	93	67	NA	0	2	11	793	267	skeleton
2	8	72	0	17	NA	NA	NA	872	200	rosette
2	9	98	75	8	NA	NA	NA	998	275	rosette
2	9	7	34	8	NA	NA	NA	907	234	rosette
2	10	2	96	9	NA	NA	NA	1002	296	rosette
2	10	62	9	NA	0	3	10	1062	209	skeleton
2	10	42	36	NA	0	1	9	1042	236	skeleton
2	10	53	42	NA	0	2	8	1053	242	skeleton
2	10	40	73	NA	0	1	7	1040	273	skeleton
2	10	71	96	4	NA	NA	NA	1071	296	seedling
2	10	25	42	5	NA	NA	NA	1025	242	seedling
2	11	79	16	NA	0	1	11	1179	216	skeleton
2	11	92	29	7	NA	NA	NA	1192	229	rosette
2	11	18	31	3	NA	NA	NA	1118	231	seedling
2	11	83	49	NA	0	2	9	1183	249	skeleton
2	11	61	60	NA	0	1	11	1161	260	skeleton
2	11	71	60	NA	0	1	3	1171	260	skeleton
2	11	30	85	NA	0	1	10	1130	285	skeleton
2	12	78	0	NA	1	1	13	1278	200	regrowth
2	12	49	90	NA	0	2	9	1249	290	skeleton
2	13	75	3	6	NA	NA	NA	1375	203	rosette
2	13	23	43	NA	2	2	10	1323	243	regrowth
2	13	13	47	4	NA	NA	NA	1313	247	seedling
2	13	27	52	5	NA	NA	NA	1327	252	seedling
2	13	80	60	5	NA	NA	NA	1380	260	seedling
2	15	52	66	3	NA	NA	NA	1552	266	seedling
2	15	48	69	1	NA	NA	NA	1548	269	seedling
2	15	49	71	2	NA	NA	NA	1549	271	seedling
2	15	44	72	1	NA	NA	NA	1544	272	seedling
2	15	38	76	4	NA	NA	NA	1538	276	seedling
2	15	16	76	3	NA	NA	NA	1516	276	seedling
2	15	10	71	1	NA	NA	NA	1510	271	seedling
2	15	65	64	1	NA	NA	NA	1565	264	seedling
2	15	76	77	1	NA	NA	NA	1576	277	seedling
2	15	78	78	1	NA	NA	NA	1578	278	seedling
2	15	79	79	1	NA	NA	NA	1579	279	seedling
2	15	58	87	2	NA	NA	NA	1558	287	seedling
2	15	63	89	1	NA	NA	NA	1563	289	seedling
2	15	66	90	1	NA	NA	NA	1566	290	seedling
2	15	68	90	1	NA	NA	NA	1568	290	seedling
2	15	73	90	1	NA	NA	NA	1573	290	seedling
2	15	71	92	2	NA	NA	NA	1571	292	seedling
2	15	76	95	2	NA	NA	NA	1576	295	seedling
2	15	73	53	1	NA	NA	NA	1573	253	seedling
2	16	54	15	1	NA	NA	NA	1654	215	seedling
2	16	97	50	NA	0	6	14	1697	250	skeleton
2	16	44	85	NA	0	1	11	1644	285	skeleton
2	16	10	24	3	NA	NA	NA	1610	224	seedling
2	17	2	89	NA	0	5	18	1702	289	skeleton
2	17	21	75	NA	0	4	18	1721	275	skeleton
2	17	80	25	NA	0	4	14	1780	225	skeleton
2	17	29	55	NA	0	1	10	1729	255	skeleton
2	17	99	10	2	NA	NA	NA	1799	210	seedling
2	18	48	2	NA	0	4	16	1848	202	skeleton
2	18	43	20	NA	0	4	13	1843	220	skeleton
2	18	45	21	1	NA	NA	NA	1845	221	seedling
2	18	58	32	NA	0	1	6	1858	232	skeleton
2	18	72	14	2	NA	NA	NA	1872	214	seedling
2	18	82	11	1	NA	NA	NA	1882	211	seedling
2	18	83	10	1	NA	NA	NA	1883	210	seedling
2	18	99	5	1	NA	NA	NA	1899	205	seedling
2	18	96	4	1	NA	NA	NA	1896	204	seedling
2	18	50	12	2	NA	NA	NA	1850	212	seedling
2	18	77	33	NA	0	1	5	1877	233	skeleton
2	18	53	36	1	NA	NA	NA	1853	236	seedling
2	18	54	37	1	NA	NA	NA	1854	237	seedling
2	18	86	52	1	NA	NA	NA	1886	252	seedling
2	18	80	53	1	NA	NA	NA	1880	253	seedling
2	18	44	92	NA	0	5	12	1844	292	skeleton
2	18	4	95	NA	0	1	10	1804	295	skeleton
2	18	56	99	NA	0	2	12	1856	299	skeleton
2	19	41	6	NA	0	5	8	1941	206	skeleton
2	19	34	44	NA	0	1	14	1934	244	skeleton
2	19	99	93	NA	0	6	15	1999	293	skeleton
2	19	7	39	5	NA	NA	NA	1907	239	seedling
2	19	54	36	1	NA	NA	NA	1954	236	seedling
2	20	39	20	NA	0	2	9	2039	220	skeleton
2	20	62	31	NA	0	1	13	2062	231	skeleton
2	20	19	78	NA	0	2	10	2019	278	skeleton
2	20	67	99	NA	2	5	15	2067	299	regrowth
2	20	68	11	4	NA	NA	NA	2068	211	seedling
2	20	64	44	1	NA	NA	NA	2064	244	seedling
2	21	19	22	NA	0	1	19	2119	222	skeleton
2	21	31	32	NA	0	3	15	2131	232	skeleton
2	21	50	82	NA	0	2	16	2150	282	skeleton
2	21	71	91	NA	1	6	15	2171	291	regrowth
2	21	99	61	NA	0	1	9	2199	261	skeleton
2	21	30	27	3	NA	NA	NA	2130	227	seedling
2	22	85	76	NA	0	7	15	2285	276	skeleton
2	22	19	66	NA	0	10	10	2219	266	skeleton
2	22	50	79	NA	0	5	10	2250	279	skeleton
2	22	46	24	3	NA	NA	NA	2246	224	seedling
2	22	82	63	3	NA	NA	NA	2282	263	seedling
2	23	78	33	NA	0	3	10	2378	233	skeleton
2	23	77	51	2	NA	NA	NA	2377	251	seedling
2	23	72	69	3	NA	NA	NA	2372	269	seedling
2	23	74	76	5	NA	NA	NA	2374	276	seedling
2	23	38	75	1	NA	NA	NA	2338	275	seedling
2	23	34	76	1	NA	NA	NA	2334	276	seedling
2	23	31	77	2	NA	NA	NA	2331	277	seedling
2	23	30	78	1	NA	NA	NA	2330	278	seedling
2	23	27	77	2	NA	NA	NA	2327	277	seedling
2	23	27	78	1	NA	NA	NA	2327	278	seedling
2	23	27	79	1	NA	NA	NA	2327	279	seedling
2	23	30	80	3	NA	NA	NA	2330	280	seedling
2	23	27	82	1	NA	NA	NA	2327	282	seedling
2	23	24	84	2	NA	NA	NA	2324	284	seedling
2	23	71	87	3	NA	NA	NA	2371	287	seedling
2	23	77	87	1	NA	NA	NA	2377	287	seedling
2	23	73	90	1	NA	NA	NA	2373	290	seedling
2	23	10	85	2	NA	NA	NA	2310	285	seedling
2	23	56	98	2	NA	NA	NA	2356	298	seedling
2	23	64	98	1	NA	NA	NA	2364	298	seedling
2	23	68	98	1	NA	NA	NA	2368	298	seedling
2	23	71	98	1	NA	NA	NA	2371	298	seedling
2	23	60	99	1	NA	NA	NA	2360	299	seedling
2	23	65	99	1	NA	NA	NA	2365	299	seedling
2	23	57	99	2	NA	NA	NA	2357	299	seedling
2	24	7	74	NA	2	2	18	2407	274	regrowth
2	24	39	99	13	NA	NA	NA	2439	299	rosette
2	24	19	99	5	NA	NA	NA	2419	299	seedling
2	24	67	55	6	NA	NA	NA	2467	255	rosette
2	24	81	19	4	NA	NA	NA	2481	219	seedling
2	25	30	71	NA	0	1	6	2530	271	skeleton
2	25	27	70	8	NA	NA	NA	2527	270	rosette
2	25	67	97	NA	0	3	8	2567	297	skeleton
2	25	70	99	NA	0	1	13	2570	299	skeleton
2	26	25	56	NA	0	1	8	2625	256	skeleton
2	26	29	90	NA	0	1	7	2629	290	skeleton
2	27	62	36	NA	0	4	12	2762	236	skeleton
2	27	89	25	NA	0	4	12	2789	225	skeleton
2	27	36	35	NA	1	1	10	2736	235	regrowth
2	27	77	13	NA	0	1	7	2777	213	skeleton
2	27	13	37	NA	0	5	15	2713	237	skeleton
2	27	70	42	NA	0	1	12	2770	242	skeleton
2	27	86	47	NA	0	4	16	2786	247	skeleton
2	27	64	55	NA	0	1	7	2764	255	skeleton
2	27	69	63	NA	0	1	12	2769	263	skeleton
2	27	68	68	NA	0	2	12	2768	268	skeleton
2	27	62	64	NA	1	1	10	2762	264	regrowth
2	27	30	78	NA	0	1	9	2730	278	skeleton
2	27	34	92	NA	0	5	10	2734	292	skeleton
2	27	14	99	NA	0	8	13	2714	299	skeleton
2	28	58	13	NA	1	3	11	2858	213	regrowth
2	28	55	24	NA	2	4	16	2855	224	regrowth
2	28	67	22	NA	0	1	11	2867	222	skeleton
2	28	67	33	NA	2	1	12	2867	233	regrowth
2	28	12	35	NA	0	1	11	2812	235	skeleton
2	28	18	30	NA	0	3	12	2818	230	skeleton
2	28	56	43	NA	0	3	14	2856	243	skeleton
2	28	76	56	NA	1	9	14	2876	256	regrowth
2	28	63	61	NA	0	3	12	2863	261	skeleton
2	28	67	99	NA	0	11	12	2867	299	skeleton
2	29	98	69	NA	0	1	11	2998	269	skeleton
2	29	93	88	5	NA	NA	NA	2993	288	seedling
2	29	68	86	NA	1	1	10	2968	286	regrowth
2	29	42	14	NA	1	1	11	2942	214	regrowth
3	0	0	88	NA	0	7	13	0	388	skeleton
3	3	94	46	NA	0	1	6	394	346	skeleton
3	3	21	55	NA	0	2	11	321	355	skeleton
3	3	59	72	NA	0	1	6	359	372	skeleton
3	3	29	82	NA	0	5	12	329	382	skeleton
3	3	39	81	NA	0	3	9	339	381	skeleton
3	3	44	87	NA	0	1	8	344	387	skeleton
3	3	10	88	NA	0	1	8	310	388	skeleton
3	4	32	14	NA	0	1	8	432	314	skeleton
3	4	28	18	NA	0	5	11	428	318	skeleton
3	4	77	20	NA	0	4	8	477	320	skeleton
3	4	23	31	NA	0	1	5	423	331	skeleton
3	4	74	34	NA	0	2	10	474	334	skeleton
3	4	67	48	NA	0	3	13	467	348	skeleton
3	4	13	49	NA	2	6	15	413	349	regrowth
3	4	44	55	NA	0	1	12	444	355	skeleton
3	4	55	60	NA	0	1	8	455	360	skeleton
3	4	45	87	NA	0	4	11	445	387	skeleton
3	4	30	95	NA	0	3	13	430	395	skeleton
3	4	75	40	NA	1	1	10	475	340	regrowth
3	5	48	7	NA	0	1	6	548	307	skeleton
3	5	78	7	NA	0	1	6	578	307	skeleton
3	5	43	9	NA	0	1	10	543	309	skeleton
3	5	40	38	NA	0	1	9	540	338	skeleton
3	5	76	41	NA	0	1	9	576	341	skeleton
3	5	36	31	2	NA	NA	NA	536	331	seedling
3	5	77	58	NA	0	2	11	577	358	skeleton
3	5	38	81	NA	0	13	10	538	381	skeleton
3	5	66	99	NA	0	1	10	566	399	skeleton
3	5	86	67	NA	0	1	9	586	367	skeleton
3	5	73	44	NA	0	1	9	573	344	skeleton
3	6	30	0	NA	0	1	6	630	300	skeleton
3	6	29	49	NA	0	1	5	629	349	skeleton
3	6	58	83	NA	0	4	14	658	383	skeleton
3	6	48	84	NA	0	9	11	648	384	skeleton
3	6	66	89	NA	0	1	10	666	389	skeleton
3	7	87	15	NA	1	1	12	787	315	regrowth
3	7	86	25	NA	0	4	12	786	325	skeleton
3	7	27	27	NA	0	7	8	727	327	skeleton
