subject	town	district	street	family	gender	replicate
0.01	A	d3	s3	f2	male	1
0.01	A	d3	s3	f2	male	2
0.06234369	A	d3	s3	f2	female	1
0.01	A	d3	s3	f2	female	2
1.184433	A	d3	s3	f3	male	1
2.664248	A	d3	s3	f3	male	2
3.160999	A	d3	s3	f3	female	1
1.787963	A	d3	s3	f3	female	2
2.516222	A	d3	s4	f1	male	1
4.775719	A	d3	s4	f1	male	2
2.299831	A	d3	s4	f1	female	1
2.805318	A	d3	s4	f1	female	2
1.616762	A	d3	s4	f2	male	1
0.01	A	d3	s4	f2	male	2
0.4152598	A	d3	s4	f2	female	1
2.47291	A	d3	s4	f2	female	2
2.595501	A	d3	s4	f3	male	1
2.486362	A	d3	s4	f3	male	2
1.643814	A	d3	s4	f3	female	1
2.295346	A	d3	s4	f3	female	2
5.450125	B	d1	s1	f1	male	1
4.430828	B	d1	s1	f1	male	2
12.05774	B	d1	s1	f1	female	1
11.46125	B	d1	s1	f1	female	2
13.70694	B	d1	s1	f2	male	1
14.62585	B	d1	s1	f2	male	2
16.53306	B	d1	s1	f2	female	1
17.44066	B	d1	s1	f2	female	2
11.03856	B	d1	s1	f3	male	1
9.878997	B	d1	s1	f3	male	2
7.592973	B	d1	s1	f3	female	1
8.396865	B	d1	s1	f3	female	2
8.536844	B	d1	s2	f1	male	1
7.8782	B	d1	s2	f1	male	2
8.576695	B	d1	s2	f1	female	1
8.506075	B	d1	s2	f1	female	2
8.35098	B	d1	s2	f2	male	1
9.59066	B	d1	s2	f2	male	2
19.10342	B	d1	s2	f2	female	1
18.84336	B	d1	s2	f2	female	2
12.68889	B	d1	s2	f3	male	1
11.63962	B	d1	s2	f3	male	2
12.17998	B	d1	s2	f3	female	1
12.9682	B	d1	s2	f3	female	2
3.466918	B	d1	s3	f1	male	1
4.066161	B	d1	s3	f1	male	2
6.948143	B	d1	s3	f1	female	1
6.740771	B	d1	s3	f1	female	2
7.891265	B	d1	s3	f2	male	1
5.941907	B	d1	s3	f2	male	2
4.784466	B	d1	s3	f2	female	1
4.223725	B	d1	s3	f2	female	2
5.56884	B	d1	s3	f3	male	1
5.749856	B	d1	s3	f3	male	2
3.837309	B	d1	s3	f3	female	1
3.600257	B	d1	s3	f3	female	2
0.01	B	d1	s4	f1	male	1
0.01	B	d1	s4	f1	male	2
3.612348	B	d1	s4	f1	female	1
3.617047	B	d1	s4	f1	female	2
7.396746	B	d1	s4	f2	male	1
9.039759	B	d1	s4	f2	male	2
8.72175	B	d1	s4	f2	female	1
9.682177	B	d1	s4	f2	female	2
13.00343	B	d1	s4	f3	male	1
11.53357	B	d1	s4	f3	male	2
8.470871	B	d1	s4	f3	female	1
7.985914	B	d1	s4	f3	female	2
0.01	B	d2	s1	f1	male	1
0.01	B	d2	s1	f1	male	2
5.594134	B	d2	s1	f1	female	1
3.254951	B	d2	s1	f1	female	2
5.60201	B	d2	s1	f2	male	1
7.209337	B	d2	s1	f2	male	2
17.25317	B	d2	s1	f2	female	1
16.08112	B	d2	s1	f2	female	2
7.792349	B	d2	s1	f3	male	1
7.719212	B	d2	s1	f3	male	2
14.09426	B	d2	s1	f3	female	1
12.62208	B	d2	s1	f3	female	2
0.884671	B	d2	s2	f1	male	1
0.1300542	B	d2	s2	f1	male	2
11.1226	B	d2	s2	f1	female	1
12.38044	B	d2	s2	f1	female	2
10.37415	B	d2	s2	f2	male	1
13.15673	B	d2	s2	f2	male	2
10.02157	B	d2	s2	f2	female	1
10.94556	B	d2	s2	f2	female	2
11.35761	B	d2	s2	f3	male	1
11.67251	B	d2	s2	f3	male	2
9.48169	B	d2	s2	f3	female	1
11.8659	B	d2	s2	f3	female	2
6.837697	B	d2	s3	f1	male	1
8.03725	B	d2	s3	f1	male	2
12.84888	B	d2	s3	f1	female	1
14.94081	B	d2	s3	f1	female	2
15.3061	B	d2	s3	f2	male	1
16.65924	B	d2	s3	f2	male	2
17.58816	B	d2	s3	f2	female	1
18.58959	B	d2	s3	f2	female	2
8.528677	B	d2	s3	f3	male	1
8.108388	B	d2	s3	f3	male	2
8.714986	B	d2	s3	f3	female	1
9.65702	B	d2	s3	f3	female	2
4.904463	B	d2	s4	f1	male	1
6.02325	B	d2	s4	f1	male	2
15.65258	B	d2	s4	f1	female	1
16.1335	B	d2	s4	f1	female	2
3.4715	B	d2	s4	f2	male	1
3.330174	B	d2	s4	f2	male	2
8.787015	B	d2	s4	f2	female	1
8.504517	B	d2	s4	f2	female	2
0.01	B	d2	s4	f3	male	1
0.01	B	d2	s4	f3	male	2
12.30021	B	d2	s4	f3	female	1
11.09287	B	d2	s4	f3	female	2
14.40885	B	d3	s1	f1	male	1
12.57446	B	d3	s1	f1	male	2
12.57156	B	d3	s1	f1	female	1
14.27707	B	d3	s1	f1	female	2
12.22437	B	d3	s1	f2	male	1
12.53303	B	d3	s1	f2	male	2
11.47228	B	d3	s1	f2	female	1
11.02355	B	d3	s1	f2	female	2
11.16488	B	d3	s1	f3	male	1
11.22271	B	d3	s1	f3	male	2
9.3983	B	d3	s1	f3	female	1
7.957044	B	d3	s1	f3	female	2
4.555275	B	d3	s2	f1	male	1
5.463636	B	d3	s2	f1	male	2
14.0891	B	d3	s2	f1	female	1
15.79956	B	d3	s2	f1	female	2
2.213715	B	d3	s2	f2	male	1
5.463089	B	d3	s2	f2	male	2
7.789886	B	d3	s2	f2	female	1
6.956591	B	d3	s2	f2	female	2
8.610046	B	d3	s2	f3	male	1
9.237095	B	d3	s2	f3	male	2
7.95126	B	d3	s2	f3	female	1
10.41431	B	d3	s2	f3	female	2
4.557939	B	d3	s3	f1	male	1
1.624763	B	d3	s3	f1	male	2
0.01	B	d3	s3	f1	female	1
0.01	B	d3	s3	f1	female	2
2.472132	B	d3	s3	f2	male	1
2.943583	B	d3	s3	f2	male	2
4.938566	B	d3	s3	f2	female	1
4.181677	B	d3	s3	f2	female	2
1.426364	B	d3	s3	f3	male	1
1.422036	B	d3	s3	f3	male	2
6.608224	B	d3	s3	f3	female	1
5.678985	B	d3	s3	f3	female	2
13.80247	B	d3	s4	f1	male	1
13.40087	B	d3	s4	f1	male	2
13.46202	B	d3	s4	f1	female	1
14.12292	B	d3	s4	f1	female	2
5.877793	B	d3	s4	f2	male	1
7.660143	B	d3	s4	f2	male	2
14.79272	B	d3	s4	f2	female	1
11.42436	B	d3	s4	f2	female	2
11.6698	B	d3	s4	f3	male	1
9.58924	B	d3	s4	f3	male	2
6.036607	B	d3	s4	f3	female	1
4.922643	B	d3	s4	f3	female	2
1.885402	C	d1	s1	f1	male	1
1.034944	C	d1	s1	f1	male	2
14.74634	C	d1	s1	f1	female	1
14.3938	C	d1	s1	f1	female	2
10.4389	C	d1	s1	f2	male	1
9.277991	C	d1	s1	f2	male	2
11.09842	C	d1	s1	f2	female	1
11.04541	C	d1	s1	f2	female	2
6.154113	C	d1	s1	f3	male	1
6.307898	C	d1	s1	f3	male	2
13.19841	C	d1	s1	f3	female	1
15.14503	C	d1	s1	f3	female	2
3.998803	C	d1	s2	f1	male	1
2.81693	C	d1	s2	f1	male	2
18.54557	C	d1	s2	f1	female	1
17.76446	C	d1	s2	f1	female	2
10.25846	C	d1	s2	f2	male	1
9.715989	C	d1	s2	f2	male	2
13.0421	C	d1	s2	f2	female	1
12.19995	C	d1	s2	f2	female	2
7.082737	C	d1	s2	f3	male	1
4.551132	C	d1	s2	f3	male	2
19.68268	C	d1	s2	f3	female	1
22.07065	C	d1	s2	f3	female	2
9.774571	C	d1	s3	f1	male	1
9.225303	C	d1	s3	f1	male	2
19.39191	C	d1	s3	f1	female	1
19.33926	C	d1	s3	f1	female	2
8.176455	C	d1	s3	f2	male	1
9.53794	C	d1	s3	f2	male	2
10.659	C	d1	s3	f2	female	1
9.328724	C	d1	s3	f2	female	2
8.822324	C	d1	s3	f3	male	1
6.966319	C	d1	s3	f3	male	2
15.85231	C	d1	s3	f3	female	1
16.18552	C	d1	s3	f3	female	2
12.4566	C	d1	s4	f1	male	1
11.22281	C	d1	s4	f1	male	2
21.16149	C	d1	s4	f1	female	1
19.40225	C	d1	s4	f1	female	2
10.85102	C	d1	s4	f2	male	1
9.9386	C	d1	s4	f2	male	2
14.7097	C	d1	s4	f2	female	1
13.47168	C	d1	s4	f2	female	2
1.33697	C	d1	s4	f3	male	1
0.2235307	C	d1	s4	f3	male	2
15.76021	C	d1	s4	f3	female	1
13.53779	C	d1	s4	f3	female	2
8.10042	C	d2	s1	f1	male	1
8.293835	C	d2	s1	f1	male	2
12.16399	C	d2	s1	f1	female	1
9.806787	C	d2	s1	f1	female	2
4.049525	C	d2	s1	f2	male	1
4.737578	C	d2	s1	f2	male	2
10.05051	C	d2	s1	f2	female	1
11.64127	C	d2	s1	f2	female	2
6.148356	C	d2	s1	f3	male	1
7.33902	C	d2	s1	f3	male	2
11.27215	C	d2	s1	f3	female	1
11.90881	C	d2	s1	f3	female	2
16.07954	C	d2	s2	f1	male	1
18.25987	C	d2	s2	f1	male	2
14.20606	C	d2	s2	f1	female	1
12.17593	C	d2	s2	f1	female	2
8.958228	C	d2	s2	f2	male	1
10.27495	C	d2	s2	f2	male	2
12.5383	C	d2	s2	f2	female	1
12.60004	C	d2	s2	f2	female	2
7.23502	C	d2	s2	f3	male	1
6.74088	C	d2	s2	f3	male	2
8.241745	C	d2	s2	f3	female	1
9.12383	C	d2	s2	f3	female	2
15.03539	C	d2	s3	f1	male	1
14.83213	C	d2	s3	f1	male	2
17.79717	C	d2	s3	f1	female	1
16.22347	C	d2	s3	f1	female	2
7.861702	C	d2	s3	f2	male	1
9.758425	C	d2	s3	f2	male	2
7.558064	C	d2	s3	f2	female	1
7.930453	C	d2	s3	f2	female	2
8.726204	C	d2	s3	f3	male	1
9.725048	C	d2	s3	f3	male	2
5.849053	C	d2	s3	f3	female	1
6.916429	C	d2	s3	f3	female	2
10.02493	C	d2	s4	f1	male	1
9.817456	C	d2	s4	f1	male	2
1.096187	C	d2	s4	f1	female	1
2.273687	C	d2	s4	f1	female	2
9.081557	C	d2	s4	f2	male	1
7.067748	C	d2	s4	f2	male	2
14.96665	C	d2	s4	f2	female	1
16.82817	C	d2	s4	f2	female	2
11.0973	C	d2	s4	f3	male	1
10.64911	C	d2	s4	f3	male	2
7.279564	C	d2	s4	f3	female	1
7.206636	C	d2	s4	f3	female	2
8.91633	C	d3	s1	f1	male	1
9.284317	C	d3	s1	f1	male	2
3.506187	C	d3	s1	f1	female	1
3.157707	C	d3	s1	f1	female	2
15.25157	C	d3	s1	f2	male	1
14.84529	C	d3	s1	f2	male	2
7.935466	C	d3	s1	f2	female	1
6.541008	C	d3	s1	f2	female	2
7.063421	C	d3	s1	f3	male	1
7.699542	C	d3	s1	f3	male	2
8.144469	C	d3	s1	f3	female	1
8.05075	C	d3	s1	f3	female	2
8.22477	C	d3	s2	f1	male	1
9.769214	C	d3	s2	f1	male	2
9.06191	C	d3	s2	f1	female	1
8.905154	C	d3	s2	f1	female	2
7.557508	C	d3	s2	f2	male	1
7.239518	C	d3	s2	f2	male	2
15.73627	C	d3	s2	f2	female	1
17.40058	C	d3	s2	f2	female	2
8.477368	C	d3	s2	f3	male	1
11.60347	C	d3	s2	f3	male	2
19.6911	C	d3	s2	f3	female	1
21.77046	C	d3	s2	f3	female	2
1.960519	C	d3	s3	f1	male	1
3.306673	C	d3	s3	f1	male	2
10.39403	C	d3	s3	f1	female	1
10.06477	C	d3	s3	f1	female	2
1.414505	C	d3	s3	f2	male	1
0.01	C	d3	s3	f2	male	2
9.04067	C	d3	s3	f2	female	1
8.830161	C	d3	s3	f2	female	2
9.537422	C	d3	s3	f3	male	1
10.03417	C	d3	s3	f3	male	2
10.08726	C	d3	s3	f3	female	1
11.09697	C	d3	s3	f3	female	2
7.406992	C	d3	s4	f1	male	1
8.361528	C	d3	s4	f1	male	2
10.53789	C	d3	s4	f1	female	1
11.03949	C	d3	s4	f1	female	2
18.74177	C	d3	s4	f2	male	1
19.90109	C	d3	s4	f2	male	2
11.74209	C	d3	s4	f2	female	1
12.76921	C	d3	s4	f2	female	2
0.01	C	d3	s4	f3	male	1
2.257746	C	d3	s4	f3	male	2
5.318055	C	d3	s4	f3	female	1
3.131999	C	d3	s4	f3	female	2
12.39145	D	d1	s1	f1	male	1
14.17137	D	d1	s1	f1	male	2
10.02435	D	d1	s1	f1	female	1
9.867582	D	d1	s1	f1	female	2
2.657197	D	d1	s1	f2	male	1
2.573988	D	d1	s1	f2	male	2
8.787813	D	d1	s1	f2	female	1
10.33476	D	d1	s1	f2	female	2
1.049546	D	d1	s1	f3	male	1
1.72083	D	d1	s1	f3	male	2
5.059904	D	d1	s1	f3	female	1
6.766529	D	d1	s1	f3	female	2
1.693759	D	d1	s2	f1	male	1
1.144271	D	d1	s2	f1	male	2
11.09346	D	d1	s2	f1	female	1
12.24639	D	d1	s2	f1	female	2
0.01	D	d1	s2	f2	male	1
0.01	D	d1	s2	f2	male	2
0.01	D	d1	s2	f2	female	1
0.01	D	d1	s2	f2	female	2
13.17168	D	d1	s2	f3	male	1
9.260984	D	d1	s2	f3	male	2
0.07676186	D	d1	s2	f3	female	1
0.01	D	d1	s2	f3	female	2
8.990554	D	d1	s3	f1	male	1
11.24647	D	d1	s3	f1	male	2
1.953152	D	d1	s3	f1	female	1
1.142987	D	d1	s3	f1	female	2
1.432938	D	d1	s3	f2	male	1
1.569129	D	d1	s3	f2	male	2
0.9408966	D	d1	s3	f2	female	1
1.113803	D	d1	s3	f2	female	2
10.9064	D	d1	s3	f3	male	1
10.38372	D	d1	s3	f3	male	2
13.26162	D	d1	s3	f3	female	1
13.69302	D	d1	s3	f3	female	2
4.437756	D	d1	s4	f1	male	1
7.49737	D	d1	s4	f1	male	2
6.887115	D	d1	s4	f1	female	1
9.534832	D	d1	s4	f1	female	2
0.01	D	d1	s4	f2	male	1
0.2411825	D	d1	s4	f2	male	2
2.823623	D	d1	s4	f2	female	1
2.582805	D	d1	s4	f2	female	2
5.19163	D	d1	s4	f3	male	1
6.659744	D	d1	s4	f3	male	2
14.79892	D	d1	s4	f3	female	1
12.71529	D	d1	s4	f3	female	2
2.08075	D	d2	s1	f1	male	1
2.294576	D	d2	s1	f1	male	2
10.40446	D	d2	s1	f1	female	1
11.58346	D	d2	s1	f1	female	2
3.180232	D	d2	s1	f2	male	1
2.262899	D	d2	s1	f2	male	2
14.75647	D	d2	s1	f2	female	1
14.26573	D	d2	s1	f2	female	2
14.69336	D	d2	s1	f3	male	1
13.63441	D	d2	s1	f3	male	2
6.075647	D	d2	s1	f3	female	1
5.847812	D	d2	s1	f3	female	2
11.08761	D	d2	s2	f1	male	1
12.95284	D	d2	s2	f1	male	2
7.032334	D	d2	s2	f1	female	1
7.772536	D	d2	s2	f1	female	2
5.236243	D	d2	s2	f2	male	1
3.899115	D	d2	s2	f2	male	2
0.01	D	d2	s2	f2	female	1
0.01	D	d2	s2	f2	female	2
12.44915	D	d2	s2	f3	male	1
12.73177	D	d2	s2	f3	male	2
14.16572	D	d2	s2	f3	female	1
13.33854	D	d2	s2	f3	female	2
6.157025	D	d2	s3	f1	male	1
2.610601	D	d2	s3	f1	male	2
10.35514	D	d2	s3	f1	female	1
10.38092	D	d2	s3	f1	female	2
7.15533	D	d2	s3	f2	male	1
5.502302	D	d2	s3	f2	male	2
7.809264	D	d2	s3	f2	female	1
7.353358	D	d2	s3	f2	female	2
8.688587	D	d2	s3	f3	male	1
7.705076	D	d2	s3	f3	male	2
14.48787	D	d2	s3	f3	female	1
15.16155	D	d2	s3	f3	female	2
7.808467	D	d2	s4	f1	male	1
7.923382	D	d2	s4	f1	male	2
7.670113	D	d2	s4	f1	female	1
6.681047	D	d2	s4	f1	female	2
5.420357	D	d2	s4	f2	male	1
5.675991	D	d2	s4	f2	male	2
12.29358	D	d2	s4	f2	female	1
10.64426	D	d2	s4	f2	female	2
16.16551	D	d2	s4	f3	male	1
14.84634	D	d2	s4	f3	male	2
19.32559	D	d2	s4	f3	female	1
17.74627	D	d2	s4	f3	female	2
0.01	D	d3	s1	f1	male	1
0.01	D	d3	s1	f1	male	2
4.12522	D	d3	s1	f1	female	1
4.602921	D	d3	s1	f1	female	2
1.30292	D	d3	s1	f2	male	1
2.002595	D	d3	s1	f2	male	2
0.05551401	D	d3	s1	f2	female	1
2.224394	D	d3	s1	f2	female	2
1.297487	D	d3	s1	f3	male	1
0.1810798	D	d3	s1	f3	male	2
0.01	D	d3	s1	f3	female	1
0.01	D	d3	s1	f3	female	2
1.387674	D	d3	s2	f1	male	1
6.012629	D	d3	s2	f1	male	2
12.23293	D	d3	s2	f1	female	1
11.44231	D	d3	s2	f1	female	2
15.52509	D	d3	s2	f2	male	1
15.86424	D	d3	s2	f2	male	2
9.85205	D	d3	s2	f2	female	1
8.263508	D	d3	s2	f2	female	2
12.89217	D	d3	s2	f3	male	1
11.92775	D	d3	s2	f3	male	2
13.88742	D	d3	s2	f3	female	1
14.52758	D	d3	s2	f3	female	2
11.54807	D	d3	s3	f1	male	1
12.29991	D	d3	s3	f1	male	2
9.798445	D	d3	s3	f1	female	1
12.95836	D	d3	s3	f1	female	2
6.96293	D	d3	s3	f2	male	1
9.378585	D	d3	s3	f2	male	2
8.084288	D	d3	s3	f2	female	1
7.573332	D	d3	s3	f2	female	2
0.1066272	D	d3	s3	f3	male	1
0.01	D	d3	s3	f3	male	2
4.082265	D	d3	s3	f3	female	1
2.647242	D	d3	s3	f3	female	2
14.6421	D	d3	s4	f1	male	1
15.19671	D	d3	s4	f1	male	2
5.623938	D	d3	s4	f1	female	1
8.99556	D	d3	s4	f1	female	2
13.98454	D	d3	s4	f2	male	1
13.75557	D	d3	s4	f2	male	2
15.58396	D	d3	s4	f2	female	1
15.48492	D	d3	s4	f2	female	2
9.08232	D	d3	s4	f3	male	1
8.187499	D	d3	s4	f3	male	2
11.40924	D	d3	s4	f3	female	1
11.76413	D	d3	s4	f3	female	2
0.9998863	E	d1	s1	f1	male	1
1.665293	E	d1	s1	f1	male	2
0.01	E	d1	s1	f1	female	1
1.028114	E	d1	s1	f1	female	2
6.350789	E	d1	s1	f2	male	1
4.281674	E	d1	s1	f2	male	2
8.408525	E	d1	s1	f2	female	1
9.029106	E	d1	s1	f2	female	2
2.689855	E	d1	s1	f3	male	1
1.312266	E	d1	s1	f3	male	2
2.08993	E	d1	s1	f3	female	1
0.7054377	E	d1	s1	f3	female	2
5.998393	E	d1	s2	f1	male	1
3.769742	E	d1	s2	f1	male	2
2.222714	E	d1	s2	f1	female	1
1.642447	E	d1	s2	f1	female	2
11.11657	E	d1	s2	f2	male	1
10.18672	E	d1	s2	f2	male	2
10.82244	E	d1	s2	f2	female	1
11.22989	E	d1	s2	f2	female	2
4.555011	E	d1	s2	f3	male	1
5.757238	E	d1	s2	f3	male	2
4.147273	E	d1	s2	f3	female	1
6.102974	E	d1	s2	f3	female	2
7.692329	E	d1	s3	f1	male	1
9.903537	E	d1	s3	f1	male	2
12.35161	E	d1	s3	f1	female	1
14.06132	E	d1	s3	f1	female	2
9.044701	E	d1	s3	f2	male	1
9.207673	E	d1	s3	f2	male	2
10.70074	E	d1	s3	f2	female	1
10.10456	E	d1	s3	f2	female	2
6.704836	E	d1	s3	f3	male	1
5.400482	E	d1	s3	f3	male	2
10.00354	E	d1	s3	f3	female	1
8.669347	E	d1	s3	f3	female	2
7.857525	E	d1	s4	f1	male	1
7.367498	E	d1	s4	f1	male	2
12.20561	E	d1	s4	f1	female	1
14.03586	E	d1	s4	f1	female	2
0.01	E	d1	s4	f2	male	1
0.01	E	d1	s4	f2	male	2
5.875587	E	d1	s4	f2	female	1
6.413714	E	d1	s4	f2	female	2
5.064759	E	d1	s4	f3	male	1
4.103818	E	d1	s4	f3	male	2
5.739083	E	d1	s4	f3	female	1
4.662114	E	d1	s4	f3	female	2
4.590762	E	d2	s1	f1	male	1
4.286686	E	d2	s1	f1	male	2
1.637703	E	d2	s1	f1	female	1
0.6983802	E	d2	s1	f1	female	2
9.012536	E	d2	s1	f2	male	1
7.396672	E	d2	s1	f2	male	2
7.232719	E	d2	s1	f2	female	1
9.108594	E	d2	s1	f2	female	2
11.64634	E	d2	s1	f3	male	1
12.34766	E	d2	s1	f3	male	2
3.188852	E	d2	s1	f3	female	1
5.543425	E	d2	s1	f3	female	2
7.138005	E	d2	s2	f1	male	1
7.344279	E	d2	s2	f1	male	2
10.76652	E	d2	s2	f1	female	1
11.69748	E	d2	s2	f1	female	2
6.244127	E	d2	s2	f2	male	1
5.858389	E	d2	s2	f2	male	2
2.651324	E	d2	s2	f2	female	1
1.732347	E	d2	s2	f2	female	2
10.46089	E	d2	s2	f3	male	1
10.83815	E	d2	s2	f3	male	2
0.01	E	d2	s2	f3	female	1
0.01	E	d2	s2	f3	female	2
4.99224	E	d2	s3	f1	male	1
5.904003	E	d2	s3	f1	male	2
9.2689	E	d2	s3	f1	female	1
8.229932	E	d2	s3	f1	female	2
0.6843314	E	d2	s3	f2	male	1
0.01	E	d2	s3	f2	male	2
3.552699	E	d2	s3	f2	female	1
3.044754	E	d2	s3	f2	female	2
5.583675	E	d2	s3	f3	male	1
4.674341	E	d2	s3	f3	male	2
4.622381	E	d2	s3	f3	female	1
3.93581	E	d2	s3	f3	female	2
9.24792	E	d2	s4	f1	male	1
10.69381	E	d2	s4	f1	male	2
2.153464	E	d2	s4	f1	female	1
0.1258462	E	d2	s4	f1	female	2
2.89169	E	d2	s4	f2	male	1
4.033199	E	d2	s4	f2	male	2
6.888638	E	d2	s4	f2	female	1
4.932302	E	d2	s4	f2	female	2
2.871125	E	d2	s4	f3	male	1
2.812198	E	d2	s4	f3	male	2
0.01	E	d2	s4	f3	female	1
0.01	E	d2	s4	f3	female	2
9.324426	E	d3	s1	f1	male	1
8.373882	E	d3	s1	f1	male	2
12.85067	E	d3	s1	f1	female	1
11.78978	E	d3	s1	f1	female	2
8.659206	E	d3	s1	f2	male	1
6.8158	E	d3	s1	f2	male	2
7.065309	E	d3	s1	f2	female	1
7.729882	E	d3	s1	f2	female	2
3.059142	E	d3	s1	f3	male	1
2.988241	E	d3	s1	f3	male	2
7.281658	E	d3	s1	f3	female	1
9.085462	E	d3	s1	f3	female	2
3.858439	E	d3	s2	f1	male	1
6.572179	E	d3	s2	f1	male	2
8.153455	E	d3	s2	f1	female	1
7.558237	E	d3	s2	f1	female	2
18.15264	E	d3	s2	f2	male	1
16.8411	E	d3	s2	f2	male	2
13.59172	E	d3	s2	f2	female	1
13.64405	E	d3	s2	f2	female	2
11.88995	E	d3	s2	f3	male	1
10.57373	E	d3	s2	f3	male	2
9.716705	E	d3	s2	f3	female	1
7.158374	E	d3	s2	f3	female	2
4.646296	E	d3	s3	f1	male	1
4.99078	E	d3	s3	f1	male	2
9.85943	E	d3	s3	f1	female	1
