AC	AE	AM	AO	AP	AR	AS	AU	BH	BM	CC	CF	CM	CN	CX	CY	DC	DG	ER	FM	FP	FR	GV	HI	HL	HP	HS	HR	KA	LA	LC	LH	LM	LO	LP	OR	PL	PP	PS	PT	QR	RA	RB	RC	SG	SM	SO	TF	TG	TO	TP	TR	VC	VK	plot	lime	species	hay	pH
8.5	0	0.65	0.53	0	0.01	0	0	0	0.28	0	0	0.17	1.8	0.04	0.31	0	0.15	0	0	0	9.11	0	0.15	0.07	0.27	0.01	0.04	0.27	0	0.12	3.88	0	0.26	0.01	0	0.8	0.03	0.09	0	0	0.17	0.19	0.01	0	0.3	0	0	0	0.03	0.04	0	0	0	3	3	37	4.275	5.4
12.4	0.14	0.27	0.78	0	0.04	0	0	0	0.21	0.03	0	0.2	2.29	0.07	0.08	0	0.67	0	0	0	8.31	0.13	0.14	0.43	0.24	0	0.21	0.09	0	0.1	0.97	0	0.07	0.02	0	0.65	0.04	0.09	0	0	0.06	0.15	0	0	0.16	0	0	0	0.03	0.01	0	0	0	3	4	36	5.235	5.2
2.45	0.97	0.97	0.56	0.2	0	0	0	0	0.15	0	0.06	0.06	1.19	0.03	0	0	0.51	0	0	0.07	7.32	0	0	0.93	1.14	0	0	0.47	0	0.17	5.72	0.05	1.11	0.01	0	3.02	0.86	0.22	0.14	0	2.08	0.04	0.42	0	0.03	0	0.44	0.03	0.1	2.78	0.02	0.06	0	4.1	1	34	5.725	6.8
1.4	1.83	2.22	1.1	0.1	0	0	0	0	0.08	0	0.15	0.11	1.68	0	0	0	0.98	0	0	0	6.85	0	0	1.85	1.51	0	0	0.39	0	0.48	4.18	0.02	0.68	0.06	0	5.39	0.4	0.13	0.09	0	3.39	0.06	0.47	0	0.6	0	0.77	0.01	0.11	1.09	0.03	0.04	0	4.1	2	34	6.06	6.2
9.32	0.03	1.81	1.23	0.3	0	0	0.5	0.02	0.03	0.01	0	0.39	0.57	0	0	0	0.36	0	0	0	8.59	0	0.03	1.34	0.3	0	0	0	0.04	0.54	3.08	0	0.15	0.05	0.64	1.54	0.05	0.03	0	0	1.76	0	0.17	0	0.1	0	0.07	0	0.16	0.36	0.01	0	0	4.1	3	29	5.6	5.3
7.94	0.13	0.87	1.37	0.06	0	0	0	0	0.01	0.01	0.01	0.32	1.04	0	0	0	0.63	0	0	0.01	7.02	0	0	1.6	0.15	0	0.01	0	0	0.35	4.65	0.3	0.17	0.02	0	1.25	0.03	0.02	0.01	0	1.81	0.12	0.18	0	0.04	0	0.14	0	0.19	0.42	0.05	0	0	4.1	4	32	5.7	5.3
4.62	1.06	0.19	0.83	0.69	0	0	0	0.01	0	0	0	0.02	0.2	0	0	0	0.25	0	0	0	22.73	0.62	0	3.23	1.15	0	0	0	0	0	0	0.02	0	0	0	1.67	0.67	0.1	0	0	0.97	0	0.85	0	0	0	0	0	0.47	0	0	0	0	4.2	1	22	6.53	6.7
6.29	0.78	0	1.72	5.49	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	24.39	0	0	3.8	0.11	0	0	0	0	0	0	0.06	0	0	0	0	0.38	0	0	0	0	0	1.77	0	0	0	0	0	0	0	0	0	0	4.2	2	14	5.915	6
10.35	0.02	0.02	0.82	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0	21.49	0	0	0.63	0.01	0	0	0	0	0.01	0	0	0	0	0	0.04	0.95	0	0	0	0	0	2.9	0	0	0	0	0	0.01	0	0	0	0	4.2	3	18	7.16	5.4
7.93	0	0	20.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0.12	0	0	0.02	0	0	0	0	0	0	0	0	0	0	4.2	4	10	4.53	3.7
0.27	12.02	0.46	0.23	4.71	0	0.04	0	0.02	0	0	0.04	0.36	0.18	0	0	0	3.1	0	0	0	1.78	0	0	5.52	1.02	1.65	0	0	0	0	0	0.02	0	5.35	0	4.45	0.55	0	1.52	0	0.38	0	0.99	0	0	0	0.13	0.94	4.88	7.73	0	0	0	6	1	30	8.715	6.9
0.6	15.31	0.48	0.61	7.9	0	0.37	0	0.04	0	0	0.01	0.41	0.25	0	0	0	2.71	0	0	0	2.12	0	0	6.14	0.18	2.1	0	0	0	0	0	0.03	0	4	0	4.31	0.76	0	0.49	0	0.55	0	1.23	0	0	0	0.39	0.63	2.64	3.87	0	0	0	6	2	26	8.63	5.7
0.76	10.83	0.33	0.24	3.86	0	2.36	0	0.07	0	0	0.05	0.08	0.01	0	0	0	3.32	0	0	0.3	0.91	0	0	3.26	0.11	3.08	0	0	0	0	0	0.06	0	8.83	0	7.43	0.92	0	2.36	0	3.53	0	0.78	0	0	0	0.16	1.12	3.42	11.26	0.17	0.04	0	7	1	27	8.61	6.9
1.12	12.04	0.03	0.71	8.15	0	1.79	0	0.34	0	0	0.13	0.51	0.96	0	0	0	2.44	0	0	0.24	0.43	0	0	4.49	0.31	3.15	0	0	0	0	0	0.03	0	4.24	0	6.02	0.4	0	0.61	0	3.39	0	0.91	0	0	0	0.16	0.19	2.64	7.32	0.05	0.02	0	7	2	29	8.665	6
14.05	1.67	0.89	1.18	3.15	0	0	0	0.02	0	0.03	0	0.48	7.28	0	0	0	2.24	0	0	0	2.45	0	0	2.45	0.09	0.21	0	0	0	0.05	0.16	0	0.1	7.68	0	1.85	0.17	0	0.1	0	0.94	0	0.91	0	0	0	0.09	0.22	0.58	6.67	0.05	0	0	7	3	28	7.38	5
17.23	0.23	1.27	1.67	0.49	0	0	0	0	0	0.04	0.05	0.65	4.25	0	0	0.04	1.14	0	0	0	4.06	0	0	1.56	0.07	0	0	0	0.03	0.2	0.05	0	0.03	2.5	0	1.52	0.16	0	0	0	0.01	0	0.26	0	0	0	0	0.35	0.2	5.57	0	0	0	7	4	28	6.72	4.8
3	0.85	0.86	1.15	0.17	0	0	0	0	0.67	0	0.18	0.05	3.14	0.03	0	0	0.51	0	0	0.65	6.01	0.02	0	1.79	1.8	0	0	0.58	0.01	0.23	1.9	0.3	1.04	0	0	1.52	0.27	0.05	0.23	0	2.31	0	0.35	0	0.03	0	0.34	0	0.08	2.7	0.02	0.03	0	8	1	36	5.12	6.9
1.82	2.39	1.89	1.01	0.09	0	0	0	0	0.21	0.01	0.15	0.08	2.8	0	0	0	0.93	0	0	0.33	7.74	0	0	1.32	1.48	0.01	0	0.43	0	0.32	6	0.2	0.61	0.04	0	2.6	0.64	0.04	0.27	0	3.31	0	0.85	0	0.02	0	1.27	0	0.06	2.42	0.03	0.03	0	8	2	37	5.54	6.1
10.41	0.13	0.94	1.04	0.21	0	0	0	0	0	0.06	0.03	0.15	1.67	0	0	0	1	0	0.04	0	7.45	0	0	1.31	0.13	0.01	0	0.03	0	0.42	4.67	0	0.5	0.01	0	2.09	0.06	0.05	0.01	0	1.11	0	0.13	0	0.01	0	0.14	0	0.07	0.71	0.01	0	0	8	3	32	6.74	5.3
10.93	0.34	1.51	1.49	0.08	0	0	0	0	0	0.08	0.05	0.3	1.11	0	0	0	0.55	0	0	0	7.66	0.01	0	2.32	0.11	0	0	0	0	0.48	3.01	0.01	0.47	0.02	0	2.52	0.02	0.01	0.03	0	1.24	0	0.05	0	0	0	0.03	0	0.12	0.42	0	0	0	8	4	29	6.69	5.2
0.89	6.67	0.01	0.84	5.4	0	1.08	0	0	0	0	0.11	0.8	0.01	0	0	0	3.72	0	0	0	0.68	0	0	5.06	0.05	2.28	0	0	0.01	0	0	0	0	2.03	0	1.3	2.85	0	0.07	0	0.33	0	0.72	0	0	0	0.03	2.47	6.3	4.5	0	0	0	9.1	1	28	5.365	6.5
2.1	4.88	0	4.36	7	0	0.02	0	0	0	0.01	0	1.04	0.79	0	0	0	1.61	0	0	0	1.45	0	0	5.44	0.06	1.14	0	0	0	0	0.01	0	0	2.08	0	0.02	2.5	0	0.01	0	0	0	0.2	0	0	0	0	0.81	4.29	0.41	0	0	0	9.1	2	19	4.53	6
10.26	0.23	0.01	5.34	0.17	0	0	0	0	0	0	0.12	0.05	0	0	0	0	0.02	0	0	0	4.46	0	0	0.75	0	0.62	0	0	0	0.03	0	0	0	1.15	0	0	0.47	0	0.01	0	0	0	0.2	0	0	0	0	0	0.29	1.21	0	0	0	9.1	3	19	3.405	4.7
3.62	0	0	24.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	4.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	9.1	4	5	4.745	4
0.68	13.6	0	0.25	8.73	0	1.59	0	0.01	0	0	0	0.08	0	0	0	0	4.95	0	0	0	0.71	0	0	9.95	0	4.45	0	0	0	0	0	0.15	0	1.39	0	0.35	1.75	0	3.55	0	0	0	1.95	0	0	0	0	0.77	2.82	0.17	0	0	0	9.2	1	22	7.81	6.8
0.32	18.8	0	1.12	13.14	0	0.86	0	0	0	0	0	0.57	0	0	0	0	4.03	0	0	0	1.35	0	0	7.64	0.01	3.01	0	0	0	0	0	0	0	1.14	0	0	1.77	0	0.08	0	0	0	1.13	0	0	0	0	0.14	1.3	0	0	0	0	9.2	2	17	7.73	6.2
14.34	2.72	0	4.34	4.18	0	0	0	0	0	0	0	0.01	0	0	0	0	0.42	0	0	0	7.13	0	0	3.16	0	0.58	0	0	0	0	0	0	0	2.75	0	0	1.84	0	0	0	0	0	0.76	0	0	0	0.01	0	0.05	2.63	0	0	0	9.2	3	18	6.35	5
5.12	0	0	26.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	9.2	4	4	6.775	3.8
3.96	2.36	0.03	1.85	2.19	0	0	0	0	0	0.01	0.06	0	0	0	0	0	0.36	0	0	0	20.97	0.07	0	2.8	0.08	0	0	0	0	0	0	0.11	0	0	0	5.08	1.31	0.03	0.03	0.06	2.27	0	2.72	0	0	0	0.06	0.02	0.65	0	0	0	0	10	1	23	5.935	6.8
8.87	2.16	0	4.06	7.37	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	19.25	0	0	1.78	0	0	0	0	0	0	0	0	0	0	0	0.01	0.53	0	0	0	0.02	0	5.46	0	0	0	0.03	0	0.07	0	0	0	0	10	2	15	6.33	5.7
11.3	0.34	0	3.59	0.64	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	23.69	0	0	1.43	0.04	0	0	0	0	0	0	0	0	0	0	0	0.84	0	0	0	0	0	4.17	0	0	0	0	0	0	0.33	0	0	0	10	3	16	5.93	4.8
1.83	0	0	35.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	4	5.125	3.7
0.2	31.55	0	0	17.13	0	3.04	0	0	0	0	0	0	0	0	0	0	8.49	0	0	0	0.01	0	0	6.27	0.03	3.85	0	0	0	0	0	0.01	0	0	0	0	0.52	0	3.79	0	0.01	0	1.98	0	0	0	0	0.13	0.26	0	0	0	0	11.1	1	14	8.94	6.3
0.04	23.18	0	0.03	14.79	0	1.59	0	0	0	0	0	0	0	0	0	0	13.56	0	0	0	0.01	0	0	7.39	0.02	2.77	0	0	0	0	0	0.04	0	0	0	0	1.94	0	0.08	0	0	0	1.06	0	0	0	0	0	0.95	0	0	0	0	11.1	2	15	8.225	6.2
3.78	11.88	0	1.42	16.88	0	0.34	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	17.08	0	0.67	0	0	0	0	0	0	0	0	0	0	0.87	0	0	0	0	0	0.78	0	0	0	0	0	0.22	0	0	0	0	11.1	3	13	7.585	4.9
0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.1	4	3	9	3.6
0.22	31	0	0	15.94	0	2.94	0	0	0	0	0	0	0	0	0	0	6.93	0	0	0	0.02	0	0	2.5	0	5.33	0	0	0	0	0	0.04	0	0.01	0	0.01	0.33	0	3.84	0	0	0	1.56	0	0	0	0	0	0.19	0	0	0	0	11.2	1	14	8.765	6.6
2.06	27.09	0	0	24.51	0	0.02	0	0	0	0	0	0.01	0	0	0	0	7.97	0	0	0	0	0	0	7.12	0	0.88	0	0	0	0	0	0	0	0	0	0	0.35	0	0.18	0	0	0	0.19	0	0	0	0	0	0.17	0	0	0	0	11.2	2	10	8.06	5.8
5.57	19.58	0	0.71	21.56	0	0.03	0	0	0	0	0	0.02	0	0	0	0	0.7	0	0	0	0.09	0	0	6.29	0.01	0.78	0	0	0	0	0	0	0	0	0	0	1.17	0	0	0	0	0	0.25	0	0	0	0.01	0	0.03	0	0	0	0	11.2	3	13	7.525	4.8
2.02	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.2	4	4	8.465	3.8
4.76	0.16	0.4	0.78	0.06	0.16	0	0	0	2.08	0.01	0.17	0.1	0.42	0.13	0.06	0	1.29	0	0	0.27	3.65	0	0.03	0.71	0.89	0.25	0.02	0.29	0.01	0.54	5.85	0.44	1.2	0.47	0	2.21	0.28	0.15	0.02	0	0.54	0.03	0.42	0.02	0.04	0.03	0.01	0.03	0.36	2.52	0.12	0.02	0	12	1	44	3.69	7
6.22	0.19	0.59	0.88	0.1	0.03	0	0	0	1.5	0.05	0.1	0.18	0.88	0.41	0.24	0	1.35	0	0	0.46	5.94	0	0	0.42	0.47	0	0	0.09	0.01	0.44	5.73	0.19	1.62	0.43	0	1.78	0.15	0.35	0.01	0	0.57	0.13	0.09	0.04	0.07	0.16	0.06	0.07	0.16	1.09	0.03	0	0	12	2	42	4.125	6.4
7.06	0.15	0.81	0.65	0.05	0	0	0	0	0.16	0.01	0	0.13	0.7	0.02	0.14	0	0.28	0	0	0	11.28	0	0.11	0.15	0.03	0	0.03	0.29	0.02	0.28	2.9	0	0.36	0.01	0	0.56	0	0.07	0	0	0.07	0.02	0.01	0	0.04	0.41	0	0	0.03	0.16	0.03	0	0	12	3	37	3.62	5.2
7.62	0.07	0.5	0.59	0	0	0	0	0	0.18	0.02	0	0.12	2.04	0.08	0.11	0	0.57	0	0	0	8.89	0.02	0.05	0.09	0.15	0	0.11	0.52	0.03	0.28	4.17	0	0.03	0.01	0	0.81	0.01	0.12	0	0	0.08	0.06	0.01	0.01	0.03	0.07	0.02	0	0.06	0.03	0.01	0	0	12	4	42	4.17	5.2
1.31	12.6	0.07	0.09	3.69	0.48	5.97	0	0	0	0	0.45	0.17	0	0	0	0	4.49	0.08	0	0	1.92	0	0	2.55	0.04	6.54	0	0	0	0	0	0.14	0	0.16	0	0.37	0.77	0	1.89	0	2.24	0	1.23	0	0	0	0.01	0.15	2.31	0.03	0	0	0	13.2	1	28	7.93	6.8
1.24	12.09	0.11	0.25	7.23	0.05	2.23	0	0	0	0	0.36	0.32	0.93	0	0	0	6.09	0	0	0.02	2.04	0	0	4.18	0	5.61	0	0	0	0	0	0.11	0	1.94	0	3.2	0.66	0	1.98	0	3.62	0	1.79	0	0	0	0.34	0	1.27	0	0	0.01	0	13.2	2	30	8.38	6.2
10.52	3.89	1.89	1.76	3.16	0.02	0.28	0	0	0	0	0.1	0.43	1.17	0	0	0	2.25	0	0	0	3.22	0	0	6.33	0.11	2.47	0.03	0	0	0.03	0.07	0	0	0.39	0	5.17	0.91	0	1.5	0	2.98	0	1.28	0.11	0	0	0.06	0.73	0.87	0.77	0	0.03	0	13.2	3	32	8.2	5.5
18.5	2.16	3.52	2.11	4.44	0	0	0	0	0	0.02	0.07	0.51	1.14	0	0	0	1.69	0	0	0	4.66	0	0	5.54	0.2	1.18	0.01	0	0	0	0.04	0.01	0	0.02	0	2.28	0.56	0	0.54	0	1.73	0	1.09	0.08	0	0	0.01	0.05	0.14	0.83	0	0	0	13.2	4	34	7.38	5.1
0.65	9.55	0.23	0.22	2.81	0	1.89	0	0.29	0	0	0	0.18	0.02	0	0	0	1.58	0	0	0	4.86	0	0	0.08	0.6	1.63	0	0	0	0	0	0.05	0.01	2.85	0	7.06	1.79	0	0.75	0	3	0	0.53	0	0	0	0.42	0.66	1.89	10.91	0.21	0	0	14.1	1	28	7.19	6.8
0.56	7.56	0	0.46	4.45	0	1.75	0	0.36	0	0	0.05	0.07	0.12	0	0	0	1.48	0	0	0.01	5.47	0	0	3.53	0.03	2.93	0	0	0	0	0	0.02	0	0.85	0	3.11	2.76	0	0.44	0	3.33	0	0.54	0	0	0	0	0.81	1.88	6.5	0	0	0	14.1	2	27	6.975	6.2
1.07	6	0	0.72	2.84	0	0.56	0	0.31	0	0	0.02	0.09	0.19	0	0	0	2.27	0	0.01	0	1.01	0	0	4.86	0	4.72	0	0	0	0	0	0.21	0	2.99	0	3.26	1.9	0	0.39	0	4.42	0	0.55	0	0	0	0	0.19	1.84	4.43	0	0	0	14.1	3	22	5.305	5.7
1.28	5.56	0	1.7	3	0	0.13	0	0.27	0	0	0.03	0.03	0	0	0	0	2.63	0	0	0.11	0.76	0	0	4.86	0	6.7	0	0	0	0	0	0.11	0	3.63	0	6.41	2.2	0	0.42	0	4.38	0	0.27	0	0	0	0	0	1.52	5.18	0.06	0	0	14.1	4	23	5.815	5.7
0.13	33.55	0.04	0	13.19	0	5.92	0	0.05	0	0	0.01	0.06	0	0	0	0	3.39	0	0	0.29	1.67	0	0	0	0.13	1.49	0	0	0	0	0	0.02	0	0.21	0	0.08	1.79	0	2.73	0	0.71	0	1.67	0	0	0	0.05	0.01	1.62	0	0	0	0	14.2	1	24	7.68	6.8
0.24	31.21	0.08	0.11	15.89	0	7.71	0	0.09	0	0	0	0.03	0	0	0	0	3.75	0	0	0.28	3.56	0	0	0.18	0	4.35	0	0	0	0	0	0.04	0	0	0	0	1.75	0	1.75	0	0.62	0	2.11	0	0	0	0.04	0.1	1.11	0.02	0	0	0	14.2	2	24	9.33	6.4
0.3	26.38	0.01	0.02	14.54	0	4.06	0	0.47	0	0	0	0.03	0	0	0	0	3.7	0	0	0.13	1.73	0	0	0.15	0	4.49	0	0	0	0	0	0.06	0	0.2	0	0.2	1.95	0	3.05	0	1.33	0	2.88	0	0	0	0	0.2	1.74	0	0	0	0	14.2	3	21	7.605	6.1
0.35	22.32	0.01	0	18.55	0	5.39	0	3.06	0	0	0	0.11	0	0	0	0	7.3	0	0	0.16	1.06	0	0	1.27	0.25	6.86	0	0	0	0	0	0.2	0	0.24	0	0.16	2	0	4.3	0	1.83	0	2.95	0	0	0	0	0	1.16	0	0	0	0	14.2	4	22	7.22	5.9
2.21	5.14	1.24	0.24	2.06	0	0.97	0	0.05	0	0	0.01	0.57	0.33	0	0	0	1.43	0	0	0.01	6.98	0	0	0.56	0.42	2.84	0	0	0	0	0	0.02	0	11.67	0	4.11	0.85	0	0.36	0	2.44	0	0.23	0	0	0	0.42	1.64	2.65	6.67	0	0	0	15	1	28	8.315	6.6
1.98	6.61	1.38	1.03	2.58	0	0.61	0	0.01	0	0	0.01	0.61	0.46	0	0	0	1.35	0	0	0.08	4.1	0	0	2	0.65	2.64	0	0	0	0.01	0.2	0.02	0	3.65	0	5.41	0.5	0.01	0.38	0	2.28	0	0.38	0	0	0	0.18	1.17	0.89	9.15	0	0	0	15	2	27	8	6
8.79	2.56	1.59	2.02	2.41	0	0	0	0.01	0	0.02	0	0.87	6.74	0	0	0	3.66	0	0	0	4.32	0	0	1.86	0.33	0.18	0	0	0.02	0.05	0	0.09	0.21	0.23	0	1.86	0.29	0.01	0.07	0	0.3	0	1.57	0	0	0	0.01	0	0.06	9.5	0	0	0	15	3	26	7.795	5
17.2	0.6	1.29	1.55	2.37	0	0	0	0	0	0.01	0	0.68	2.78	0	0	0	2.62	0	0	0	5.26	0	0	0.31	0.14	0	0	0	0.14	0.16	0.63	0.04	0	0.49	0	2	0.03	0	0.03	0	0.16	0	0.47	0	0	0	0	0.14	0.11	3.62	0	0	0	15	4	27	6.595	4.9
1.86	14.76	0.98	0.2	5.93	0	2.81	0	0.13	0	0	0	0.31	0	0	0	0	2.57	0	0	0	9.49	0	0	0.7	0.89	2.07	0	0	0	0	0	0.01	0	4.99	0	2.07	0.62	0	0.87	0	1.63	0	1.62	0	0	0	0.37	0.62	1.78	6.39	0	0	0	16	1	25	8.185	6.7
2.99	15.37	0.26	1.18	6.54	0	2.73	0	0.15	0	0	0	0.35	0	0	0	0	4.05	0	0	0	7.62	0	0	0.46	0.08	2.92	0	0	0	0	0	0.06	0	0.25	0	3.33	0.38	0	0.63	0	2.74	0	0.72	0	0	0	0.27	0.83	1.19	3.49	0	0	0	16	2	25	7.695	6.2
13.2	8.94	0.79	2	3.9	0	0.05	0	0.02	0	0	0	0.71	0	0	0	0	1.91	0	0	0	4.55	0	0	1.19	0.75	1.67	0	0	0	0.01	0	0	0	1.83	0	4.04	0.19	0.01	0.11	0	1.58	0	0.09	0	0	0	0.05	1.39	0.25	2.49	0.02	0	0	16	3	23	7.375	5.4
17.06	7.89	0.58	1.9	3.49	0	0	0	0	0	0.01	0	1	0.36	0	0	0	1.91	0	0	0	2.09	0	0	1.97	0.31	1.22	0	0	0	0	0	0.89	0	2.2	0	3.72	0.06	0	0.09	0.01	1.07	0	0.4	0	0	0	0.01	0.09	0.36	3.52	0	0	0	16	4	27	6.65	5.3
3.28	0.32	0.76	0.44	0.34	0.01	0	0	0	0.57	0.01	0.1	0.26	1.08	0.01	0.06	0	2.08	0	0	0	4.39	0	0	0.36	1.88	0.51	0	0	0	0.03	8.54	0.47	0.65	0	0	3.61	0.21	0.02	0	0	0.31	0.01	0.01	0	0.01	0	0.33	0.27	0.27	0	0	0	0	17	1	32	6.135	7.1
5.25	0.09	0.77	1.2	0.7	0.01	0	0	0	0.45	0.03	0.03	0.38	2.28	0.01	0.14	0	1.19	0	0	0	1.7	0.13	0	0.53	1.4	0.56	0	0	0.04	0.05	9.36	0.49	0.02	0.02	0	4.67	0.13	0.06	0.09	0	0.23	0	0.04	0	0.01	0	0.07	0.1	0.06	0	0	0	0	17	2	34	5.97	6.6
8.96	0	0.73	1.25	0.62	0.02	0	0	0	0.11	0.02	0.02	0.36	2.37	0	0.43	0	1.08	0	0.01	0.01	3.22	0	0	0.28	0.61	0.38	0	0	0.01	0.12	7.58	0.46	0	0	0	3.18	0.03	0.01	0.01	0	0.43	0	0.19	0	0	0	0.04	0	0.25	0	0.01	0	0	17	3	34	6.02	5.8
8.87	0.28	0.37	1.39	1.09	0.06	0	0	0	0.11	0.02	0.1	0.08	3.59	0.06	0.19	0	2.4	0	0.03	0.02	4.05	0	0	1.17	0.64	0.23	0	0	0.05	0.09	3.31	0.93	0	0	0	1.9	0.16	0.03	0.02	0	1.11	0	0.31	0	0	0	0.09	0	0.23	0	0	0	0	17	4	34	5.81	5.8
5.4	1.89	0.73	0.34	0.31	0	0	0.02	0	0.17	0.18	0.01	0.01	3.88	0	0.04	0	4.29	0	0	0	5.36	0	0	0.06	0.07	1.16	0	0	0.9	0	3.98	1.73	0.01	0	0	2.64	0.14	0.07	0.01	0	0	0	0.02	0	0	0.01	0.01	1.85	0.99	0.01	0	0	0	18.1	1	30	7.76	7
10.3	0.26	0.07	0.47	1.13	0	0	0.03	0.01	0	0.1	0	0	8.1	0.01	0	0.06	2.13	0	0	0	5.58	0	0	0.12	0.03	0.51	0	0	0.38	0	1.41	0.64	0	0	0	1.41	0.03	0.04	0.01	0	0	0	0.07	0	0	0	0	0.98	0.34	0	0	0	0	18.1	2	29	6.725	6.4
