Mare	Time	follicles
5	-0.04545455	12
5	0	17
5	0.04545455	9
5	0.0909091	10
5	0.1363636	3
5	0.1818182	12
5	0.2272727	13
5	0.2727273	9
5	0.3181818	4
5	0.3636364	7
5	0.4090909	4
5	0.4545455	12
5	0.5	14
5	0.5454545	12
5	0.5909091	15
5	0.6363636	17
5	0.6818182	15
5	0.7272727	13
5	0.7727273	18
5	0.8181818	19
5	0.8636364	13
5	0.9090909	9
5	0.9545455	12
5	1	8
5	1.045455	10
5	1.090909	5
5	1.136364	14
6	-0.1363636	16
6	-0.0909091	17
6	-0.04545455	13
6	0	17
6	0.04545455	15
6	0.0909091	9
6	0.1363636	8
6	0.1818182	5
6	0.2272727	9
6	0.2727273	8
6	0.3181818	8
6	0.3636364	13
6	0.4090909	14
6	0.4545455	13
6	0.5	14
6	0.5454545	14
6	0.5909091	11
6	0.6363636	17
6	0.6818182	21
6	0.7272727	21
6	0.7727273	21
6	0.8181818	20
6	0.8636364	17
6	0.9090909	18
6	0.9545455	22
6	1	10
6	1.045455	11
6	1.090909	11
6	1.136364	12
7	-0.15	18
7	-0.1	13
7	-0.05	14
7	0	12
7	0.05	11
7	0.1	8
7	0.15	5
7	0.2	8
7	0.25	10
7	0.3	11
7	0.35	10
7	0.4	12
7	0.45	10
7	0.5	9
7	0.55	12
7	0.6	14
7	0.65	16
7	0.7	13
7	0.75	11
7	0.8	13
7	0.85	13
7	0.9	11
7	0.95	11
7	1	8
7	1.05	14
7	1.1	4
7	1.15	7
8	-0.125	13
8	-0.08333333	9
8	-0.04166667	15
8	0	15
8	0.04166667	12
8	0.08333333	8
8	0.125	10
8	0.1666667	6
8	0.2083333	9
8	0.25	8
8	0.2916667	10
8	0.3333333	6
8	0.375	8
8	0.4166667	13
8	0.4583333	12
8	0.5	12
8	0.5416667	15
8	0.5833333	21
8	0.625	25
8	0.6666667	21
8	0.7083333	21
8	0.75	24
8	0.7916667	20
8	0.8333333	20
8	0.875	18
8	0.9166667	20
8	0.9583333	20
8	1	19
8	1.041667	12
8	1.083333	7
8	1.125	8
9	-0.1666667	10
9	-0.1111111	14
9	-0.05555556	12
9	0	10
9	0.05555556	7
9	0.1111111	12
9	0.1666667	10
9	0.2222222	8
9	0.2777778	10
9	0.3333333	15
9	0.3888889	15
9	0.4444444	12
9	0.5	19
9	0.5555556	15
9	0.6111111	16
9	0.6666667	15
9	0.7222222	17
9	0.7777778	14
9	0.8333333	16
9	0.8888889	15
9	0.9444444	11
9	1	10
9	1.055556	7
9	1.111111	4
9	1.166667	8
10	-0.1363636	11
10	-0.0909091	16
10	-0.04545455	15
10	0	12
10	0.04545455	11
10	0.0909091	6
10	0.1363636	11
10	0.1818182	12
10	0.2272727	11
10	0.2727273	16
10	0.3181818	15
10	0.3636364	11
10	0.4090909	7
10	0.4545455	14
10	0.5	20
10	0.5454545	22
10	0.5909091	23
10	0.6363636	21
10	0.6818182	21
10	0.7272727	23
10	0.7727273	22
10	0.8181818	22
10	0.8636364	17
10	0.9090909	17
10	0.9545455	17
10	1	17
10	1.045455	14
10	1.090909	12
10	1.136364	11
11	-0.15	9
11	-0.1	8
11	-0.05	8
11	0	8
11	0.05	8
11	0.1	6
11	0.15	7
11	0.2	8
11	0.25	10
11	0.3	10
11	0.35	14
11	0.4	13
11	0.45	8
11	0.5	8
11	0.55	8
11	0.6	9
11	0.65	16
11	0.7	12
11	0.75	10
11	0.8	12
11	0.85	12
11	0.9	9
11	0.95	6
11	1	9
11	1.05	7
11	1.1	5
11	1.15	5
