upper	lower	rain	month	yr
9.8	7.8	5.4	4	1987
8.5	2.5	10.2	4	1987
14	6	0	4	1987
12.5	6.8	13.4	4	1987
12.3	7	1.4	4	1987
12	7.8	1.4	4	1987
13.5	2.5	0.3	4	1987
11.5	3.5	2.5	4	1987
11	2	0	4	1987
11	2	0	4	1987
10.8	5.5	0	4	1987
14.3	3.3	0	4	1987
13.3	1.8	0	4	1987
18.5	7.5	0	4	1987
21.5	5.5	0	4	1987
16	11.3	0	4	1987
15.3	8	0.4	4	1987
12.5	4.5	0	4	1987
15.3	7.5	0	4	1987
16	3	0	4	1987
20.8	4.3	0	4	1987
22.3	7.5	0	4	1987
19.3	6.5	0	4	1987
22.3	7.5	0	4	1987
20.8	4	0	4	1987
22.8	8.5	0	4	1987
20.8	11	3.8	4	1987
14.5	11.5	0	5	1987
16	3.8	1.9	5	1987
13.8	3.3	2.1	5	1987
10.5	1.5	0.7	5	1987
13	5.8	0	5	1987
14.3	4.3	0	5	1987
16.3	5.3	0	5	1987
18	-0.3	0	5	1987
20.5	0.8	0	5	1987
22.5	6	0	5	1987
17.5	2.3	0	5	1987
14.8	10	3.7	5	1987
13.3	3.3	2.7	5	1987
13	5.5	9.4	5	1987
13	6	2.4	5	1987
11.3	2.8	1.7	5	1987
13.8	7	0	5	1987
13	7.5	4.9	5	1987
12.5	5.5	3.8	5	1987
16.5	3.3	0	5	1987
13.8	4.3	0	5	1987
14.3	5.3	0.1	5	1987
13	7	7.4	5	1987
12.3	6.8	2.1	5	1987
18.3	7.8	0	5	1987
18	7.3	0	5	1987
22.3	9.3	0.2	5	1987
18.3	8.8	0	5	1987
17.8	9.3	0.3	5	1987
18.3	12.5	0	5	1987
19.3	10.8	11.7	5	1987
19.8	10.3	0	6	1987
19	11	0	6	1987
14.5	10	4.7	6	1987
17.8	11.3	0.9	6	1987
18.5	8	4.3	6	1987
15.3	10.5	9.1	6	1987
16.3	10.5	0.1	6	1987
15.8	10	0.2	6	1987
15.3	9	20.8	6	1987
12.5	3.3	8	6	1987
16.5	9.8	2.9	6	1987
16.3	4.5	0.1	6	1987
16.8	5.3	0	6	1987
15.8	9	0.6	6	1987
16.8	5	0	6	1987
17.8	4.5	0.8	6	1987
15	8.5	4.7	6	1987
16	8.5	3	6	1987
17.8	11	8.6	6	1987
15.5	6.8	2.4	6	1987
19.5	9.8	0	6	1987
18	8.8	0	6	1987
15.8	13.3	8.7	6	1987
19.8	11.5	0	6	1987
18.5	7.5	1.6	6	1987
17.3	12.5	4.2	6	1987
21	13.5	0.3	6	1987
21.8	15.8	0	6	1987
23.8	17.3	0	6	1987
27.5	16.5	0	6	1987
22.8	10.8	0	7	1987
19.3	7.5	0	7	1987
22.5	9.5	0	7	1987
23.3	7.3	0	7	1987
26	8.3	0	7	1987
27.5	8.3	0	7	1987
28	14.5	0	7	1987
23.8	11.5	0	7	1987
22.3	10	0	7	1987
21	15	0	7	1987
25.3	12.8	0	7	1987
24	11.5	0	7	1987
22.8	10.8	0	7	1987
24.8	12	0	7	1987
22.8	16	2.3	7	1987
21.3	12.8	8.1	7	1987
18	12	3.4	7	1987
15	12	1.7	7	1987
17	12	7.7	7	1987
16.5	13.8	7.1	7	1987
19.3	13	1	7	1987
14.3	13.3	2.9	7	1987
17	12.8	0.4	7	1987
15.5	9.8	0	7	1987
19.3	9.3	0.2	7	1987
17.5	7.3	0.5	7	1987
18.5	13.3	0.5	7	1987
20.3	11.3	0.2	7	1987
22.5	15.5	9.9	7	1987
21	13.5	0.4	7	1987
19	14.5	1	7	1987
24.3	13.5	0	8	1987
20.8	14	2	8	1987
19.5	13	0.7	8	1987
20.3	9	0	8	1987
17.5	5.8	0.6	8	1987
18.5	5.8	0	8	1987
19	6.5	0	8	1987
18.3	11	0	8	1987
16.5	12	0	8	1987
19	6.5	0	8	1987
20	5.5	0	8	1987
18.5	12	2.6	8	1987
20.8	15.8	0	8	1987
22.5	12.3	0.6	8	1987
22	12.3	0	8	1987
26	10	0	8	1987
27	14.3	0	8	1987
23.8	15.8	0.6	8	1987
22.3	11	0	8	1987
24.3	12.5	0	8	1987
27.3	15	0	8	1987
28.8	15.3	5.8	8	1987
23.3	10.3	22	8	1987
20.5	10.5	0	8	1987
18.3	10.3	4	8	1987
15.3	10.5	12.2	8	1987
17	10.5	2.2	8	1987
16.5	6.3	0	8	1987
24	14	0	8	1987
20.3	9	0	8	1987
22.3	12.3	0	8	1987
19.8	9.8	0	9	1987
24.5	16.3	12.9	9	1987
19.8	14.8	0.4	9	1987
20.8	10	0.4	9	1987
20.5	11	6.7	9	1987
18.5	10.8	4.5	9	1987
18.3	12.8	2	9	1987
18.5	6.5	0.2	9	1987
19.8	9	0	9	1987
19.3	13.8	0.5	9	1987
18	10.3	0	9	1987
18.5	16	1.3	9	1987
20.5	12.8	8	9	1987
16.5	9.8	0	9	1987
20	8.8	0	9	1987
18.5	11.8	0	9	1987
19.8	13	0.2	9	1987
23.5	14.8	2.4	9	1987
19.3	11.8	0.8	9	1987
16.8	13	6.2	9	1987
22.8	15.8	0	9	1987
21.3	12.5	0.1	9	1987
18.3	9	0	9	1987
19	9.8	10.4	9	1987
15.3	5	0	9	1987
15.3	2	0	9	1987
14.5	3.5	0	9	1987
13.5	6.8	0	9	1987
13.5	0.8	0	9	1987
15.3	5.8	0	9	1987
15.5	3.3	0	10	1987
16.8	6.3	0	10	1987
18.5	12.5	0.1	10	1987
17.8	11.8	7	10	1987
19.5	11.8	0	10	1987
19.5	11	0.2	10	1987
15.3	6.3	8.9	10	1987
15.3	8.8	18.8	10	1987
13.3	6	0.6	10	1987
13.8	7.5	54.3	10	1987
9.5	3.5	12.3	10	1987
12.8	2.5	0.1	10	1987
13.8	4.5	0.9	10	1987
13.3	4.3	1	10	1987
11.8	8	10.8	10	1987
17.3	7.8	19.5	10	1987
14.3	7	8.1	10	1987
15	9.3	0.5	10	1987
16.3	11.5	1.9	10	1987
17.3	9.5	0.4	10	1987
13.8	10.3	37.2	10	1987
14.8	2.3	0.3	10	1987
13.8	-0.8	0	10	1987
10.3	1.3	0	10	1987
11.3	-2.3	0	10	1987
13.3	2.3	0	10	1987
11.8	9	2.8	10	1987
14.8	6	0.8	10	1987
10.8	-1.8	0	10	1987
11.8	4.5	0	10	1987
12.3	8.5	0.3	10	1987
12.8	10	2.1	11	1987
11.3	1.5	0.1	11	1987
8.5	4.5	0	11	1987
11	7.3	0	11	1987
11.8	7.8	0	11	1987
12.3	1.3	0	11	1987
7.5	5.5	0	11	1987
7	5	0	11	1987
7.8	5.8	11.7	11	1987
8.3	7	0	11	1987
9.8	3.3	1.8	11	1987
12.3	4.5	19	11	1987
8.3	4.3	0.9	11	1987
8.3	3	0.1	11	1987
9.3	3.3	3.2	11	1987
12.8	8	0.2	11	1987
12.5	6.8	0	11	1987
12.5	6.8	0	11	1987
12.5	8	1.5	11	1987
12.5	4.3	8.4	11	1987
10.3	3.3	0	11	1987
8.8	4.8	0.5	11	1987
8.8	2.3	2.1	11	1987
6.5	1.8	0.2	11	1987
8.5	5.5	0	11	1987
6.8	4	0	11	1987
6.3	-0.5	0	11	1987
6.3	-3.3	0	11	1987
4.5	-4.8	0	11	1987
1.8	-3.3	0	11	1987
5.5	1.5	0	12	1987
6.8	4	0.9	12	1987
5	2.5	0	12	1987
4	1	0	12	1987
6	4	0	12	1987
7	5.3	0	12	1987
6	3.3	0	12	1987
5.3	-3	0	12	1987
4.5	-2	0	12	1987
4	-5	0	12	1987
3	-5.3	0	12	1987
4	-4.5	0	12	1987
5	-1.5	0	12	1987
5.5	-0.3	0	12	1987
2.8	0.5	0	12	1987
11	1	7.8	12	1987
12	10	1.8	12	1987
14	11	1.1	12	1987
12.3	7.3	0	12	1987
10.5	7.8	0	12	1987
11	8.5	0	12	1987
10.8	1.5	0	12	1987
9.5	0.3	0	12	1987
5	3	0.2	12	1987
9.5	5	0.5	12	1987
10	4.8	0	12	1987
11.3	9.8	0	12	1987
12.8	10.8	0	12	1987
12.5	11.3	0	12	1987
12.8	7.3	2.2	12	1987
11.8	8.3	5.1	12	1987
10.8	6	0	1	1988
12	8.5	2.9	1	1988
12.5	5.7	4.7	1	1988
9	5.8	1.5	1	1988
10.3	5.8	8.8	1	1988
10	5.8	2.5	1	1988
9	2.8	0.3	1	1988
5.5	-2.8	0	1	1988
11.5	5.8	1.1	1	1988
12	5.8	1.4	1	1988
8.5	2	0	1	1988
7	2.3	0	1	1988
7.8	4.5	5.2	1	1988
8	4.3	5.4	1	1988
9.3	1	1.2	1	1988
5.3	0	0	1	1988
1.8	-2.3	0	1	1988
5.5	-1.8	0	1	1988
8	5.3	0	1	1988
3.3	3.5	1.2	1	1988
6.8	-0.8	3.1	1	1988
5.8	1.3	12.3	1	1988
4	-1	0.2	1	1988
10.5	1.5	6.6	1	1988
10.8	4.5	12.3	1	1988
8	5.3	1.9	1	1988
7.5	2.3	0	1	1988
6	2.8	11.5	1	1988
9	4.8	9.1	1	1988
6.5	2.8	9.9	1	1988
7.5	2	0	1	1988
8.8	2	14.9	2	1988
9.3	5.3	3.5	2	1988
7	2.5	1.4	2	1988
9.3	1.8	5.8	2	1988
7.5	1	1.2	2	1988
9.5	1	0	2	1988
7	1	0	2	1988
7	1.5	7.1	2	1988
9.8	2.5	3.3	2	1988
6.8	1.3	1	2	1988
7	1.3	2.8	2	1988
6.5	-0.8	0	2	1988
7	-2.5	0	2	1988
9	6.3	2.9	2	1988
11.5	-0.3	0	2	1988
13.5	2	0	2	1988
7.5	-0.3	0	2	1988
8.3	1.8	0	2	1988
9.8	4	0	2	1988
11	5.5	0	2	1988
9.3	5	0	2	1988
9.3	-0.8	0	2	1988
9.8	2.3	0	2	1988
6.5	0.8	0	2	1988
4.8	0.3	0.2	2	1988
5.3	-3	0.2	2	1988
5	-1.8	0	2	1988
7.3	3	0.4	2	1988
8.8	-0.5	0.7	2	1988
4.3	-1.5	0	3	1988
5.8	-2.8	0	3	1988
6.3	0.8	0.1	3	1988
8.5	-0.8	3.1	3	1988
14.5	4.3	0	3	1988
5.5	-4	0	3	1988
6.8	1	0	3	1988
9.3	5	0.1	3	1988
7.8	3	0.2	3	1988
8.3	3.8	0	3	1988
11.3	3.8	3.5	3	1988
9.5	2.8	0.1	3	1988
10.5	7	0	3	1988
10.5	6	0	3	1988
10.3	6.8	1.8	3	1988
9.8	6.3	4.8	3	1988
10.5	5.3	7	3	1988
11	3.5	0.1	3	1988
9	3.3	1.2	3	1988
10.8	5.3	6.4	3	1988
11.5	8.3	3.1	3	1988
11.5	7.5	11.2	3	1988
13.3	4.8	0.5	3	1988
13.8	5.8	1	3	1988
12	7	0.3	3	1988
12.8	6	6.7	3	1988
12.3	5.5	0.2	3	1988
11	5.5	0	3	1988
12.3	3.8	0.5	3	1988
9.8	5	1.5	3	1988
8.3	4	7.5	3	1988
9.8	3.3	0	3	1988
10.8	-1.8	0.6	4	1988
11.5	6.3	0	4	1988
13	-0.5	0	4	1988
11.5	4.5	0	4	1988
8.5	4.8	0	4	1988
12.8	2.8	0	4	1988
13	3.8	0	4	1988
12.5	0.5	5.9	4	1988
6	-3.8	0.9	4	1988
12	-1	0	4	1988
15.5	1.5	0	4	1988
14.8	-0.3	0	4	1988
15	-2.5	0	4	1988
10.8	6	0	4	1988
12.5	10.8	2.3	4	1988
13.8	10.3	3.3	4	1988
16.8	7	0	4	1988
17.3	11	7.5	4	1988
15.3	8.8	3.5	4	1988
16.3	8	0	4	1988
15.5	5	0	4	1988
10.5	4.5	0	4	1988
10	-1	0	4	1988
11.3	-1.5	0	4	1988
12.5	-1	0	4	1988
14.8	6	0	4	1988
11.5	3.3	0	4	1988
11.3	4.5	0.3	4	1988
12.5	7.5	1.6	4	1988
15.3	9	5.9	5	1988
14.3	8.3	2.3	5	1988
15	8	1.5	5	1988
14.3	9.5	1.3	5	1988
14.8	4.8	1.4	5	1988
17	3.5	0	5	1988
20	6.5	0	5	1988
19	12.5	8.5	5	1988
22.3	11.5	0	5	1988
13.8	10	0	5	1988
17.3	5.5	0	5	1988
15.5	9.3	3.1	5	1988
18.8	7.5	1.7	5	1988
19.5	8.3	0	5	1988
23.5	10	0	5	1988
23	8.5	0	5	1988
21.8	4.5	0	5	1988
20.5	7	1.7	5	1988
11	5.5	0	5	1988
13.3	0	0	5	1988
15.1	2	0	5	1988
15.9	3	0	5	1988
18	8	0.2	5	1988
16.8	8.3	2.1	5	1988
17	11	0	5	1988
19	10.3	0	5	1988
18.8	5	0.6	5	1988
18	6.8	0	5	1988
17.5	9.8	3.2	5	1988
15.3	9.3	1.8	5	1988
15.5	9.5	10	5	1988
17.3	7	0	6	1988
17.3	11.3	1.3	6	1988
16.5	7.8	0	6	1988
15.5	8	7.4	6	1988
14.8	6.3	3.2	6	1988
14.8	7.8	0	6	1988
16.5	4.5	0	6	1988
18.5	9	1.9	6	1988
15.5	11.3	9.8	6	1988
12.5	11	0.4	6	1988
13.4	9.3	0.1	6	1988
15.5	9.8	0	6	1988
19.3	9.8	0	6	1988
23	7.3	0	6	1988
23	10.8	0	6	1988
21	11.8	0	6	1988
21	10.8	0	6	1988
15.8	10	0.2	6	1988
19.6	9	0	6	1988
24.5	11	0	6	1988
21.8	13.5	0	6	1988
21.5	12.3	0	6	1988
20.5	8	0	6	1988
24.3	9.8	0	6	1988
21.3	12.5	0	6	1988
23	12.3	0.1	6	1988
19.8	11.3	0	6	1988
16	11.8	6.5	6	1988
17.5	13	2.8	6	1988
20.5	13.5	0	6	1988
23.8	13	5.1	7	1988
18.8	9.3	1.4	7	1988
17.8	5.8	3.2	7	1988
16.5	12	23.7	7	1988
16.8	11.3	6.9	7	1988
19.5	11.3	7.4	7	1988
18.5	11.8	2.4	7	1988
18.3	10.5	0.2	7	1988
18.5	10.3	0	7	1988
18.3	14.3	0	7	1988
18	10.5	4.2	7	1988
19.5	10.3	0.1	7	1988
18.8	12.5	3.7	7	1988
18.5	10.3	2.7	7	1988
17.3	12	0.1	7	1988
18.3	9	0	7	1988
17	14.3	14.4	7	1988
18.5	12.5	0.3	7	1988
21.5	10	0	7	1988
21.5	14.3	0	7	1988
21.5	14	0.5	7	1988
17.8	17.2	4.8	7	1988
20.4	15.5	8.3	7	1988
20.4	10.5	0.7	7	1988
19.3	12.8	1	7	1988
20	10.8	0.1	7	1988
19.3	9	1.1	7	1988
19	12.8	1.2	7	1988
16.3	9.8	0	7	1988
18.3	9.8	3.4	7	1988
18.3	10.8	2	7	1988
19.3	10.5	1.5	8	1988
19.5	9.3	0	8	1988
18.5	8	1.2	8	1988
18.8	9.5	0	8	1988
20.3	14.5	0	8	1988
20	8	0	8	1988
27.5	10.3	0	8	1988
27.8	9.5	0	8	1988
25.5	15.5	0.6	8	1988
21.5	8.8	0	8	1988
19.5	11.3	0	8	1988
21.5	13.5	1	8	1988
19.5	10.8	0	8	1988
19.5	13.5	0	8	1988
21	13	0	8	1988
21.8	12.3	0	8	1988
23.5	7.3	0	8	1988
25.5	8.5	0	8	1988
23.5	14.5	6.4	8	1988
20.5	12	6	8	1988
19	12.5	1.9	8	1988
16.8	9.8	0	8	1988
18.5	10.3	0	8	1988
18.3	13.5	0.7	8	1988
18.3	9.8	0.7	8	1988
17	10.8	0	8	1988
18.8	15	0	8	1988
15	12.8	0	8	1988
18	7	1.8	8	1988
18.8	9.8	0	8	1988
18.5	12	20.2	8	1988
19	11.8	20.8	9	1988
17.5	11.3	3.8	9	1988
16.8	10.3	0	9	1988
17.5	8.5	0	9	1988
18.8	11.1	0.5	9	1988
21	7	0	9	1988
23.5	8.5	0	9	1988
25.3	12	0	9	1988
24.3	12.8	0	9	1988
21.8	7.8	0	9	1988
21.8	9.8	0	9	1988
18.3	8.8	0	9	1988
17.5	8.8	2.6	9	1988
14.8	8.8	7.4	9	1988
14	7.5	0	9	1988
15	9	0.6	9	1988
18	11.5	0	9	1988
15.5	11	0	9	1988
16.8	3.8	0	9	1988
16.5	4.5	0	9	1988
12.3	5.5	0	9	1988
16.5	11.5	0	9	1988
17	9.5	5	9	1988
15.8	10	0	9	1988
15.3	14	2.6	9	1988
19	15.5	0	9	1988
17.3	15.3	3	9	1988
16	11	10.5	9	1988
15	7	1.5	9	1988
14.1	0.5	0	9	1988
13.5	-1	0	10	1988
15.3	-0.8	0	10	1988
15.5	4.5	0	10	1988
17	7.5	0	10	1988
15	9.5	4.1	10	1988
14.8	10.8	11.7	10	1988
13.8	8.8	3.7	10	1988
12.5	5.8	0	10	1988
13.8	9	21.9	10	1988
12.5	5	8.9	10	1988
12.3	0.8	0	10	1988
13.3	7.3	5.9	10	1988
12.5	5	3.9	10	1988
13	4.8	0	10	1988
16.3	11	0	10	1988
13.5	12.8	0	10	1988
14.3	12.5	0	10	1988
14.3	12.3	0.5	10	1988
17.3	12.8	0.8	10	1988
17.8	11.5	0.5	10	1988
15.4	-2.3	0	10	1988
15.8	5.9	0	10	1988
16.7	7.9	0	10	1988
14.8	10.5	0.3	10	1988
16	10.3	5.4	10	1988
15.3	12.8	0	10	1988
16.5	13	0	10	1988
15.5	9.5	0	10	1988
13.8	0	0	10	1988
10.3	-2.3	0	10	1988
9.3	-2	0	10	1988
9.3	-3.5	0	11	1988
10.5	-0.8	0	11	1988
10	-3.3	0	11	1988
7.5	-3.5	0	11	1988
6.8	-3	0	11	1988
7.8	-1.5	0	11	1988
9.3	-1.5	0	11	1988
10	2	0	11	1988
13.8	6	1.5	11	1988
15.3	13	0	11	1988
15	6	0.3	11	1988
12.8	9.5	0.3	11	1988
10.8	3.5	0	11	1988
9.8	1.5	0	11	1988
10.3	-1.3	0	11	1988
5.5	-1.5	0	11	1988
12	1	0	11	1988
13	8.8	0.3	11	1988
10	0	0	11	1988
6	0.5	2.6	11	1988
4.5	-1.3	0.5	11	1988
2.3	-4.8	0	11	1988
3.5	-2.5	0.1	11	1988
5.5	-5.3	0	11	1988
6.5	-2.5	0	11	1988
4	-1	0	11	1988
5.5	-4	0	11	1988
6.5	-3.3	0.5	11	1988
11.5	6.3	0.4	11	1988
12	6.8	9.8	11	1988
12	0	0	12	1988
7	2	0	12	1988
3.3	-1	1	12	1988
9.5	2.8	7.5	12	1988
9	5.8	0.6	12	1988
7	3.5	0.3	12	1988
6.8	0.5	0	12	1988
6.8	1.5	0	12	1988
10.3	6.5	0	12	1988
13	7.5	0	12	1988
12	8.5	0	12	1988
10.8	7.3	0.4	12	1988
9.5	2.3	0	12	1988
10	5.8	0	12	1988
8.8	6	0	12	1988
8.8	5.5	0	12	1988
8.8	1.3	0.1	12	1988
6.8	2.5	0	12	1988
11.8	5.5	0	12	1988
12	2.3	0	12	1988
10	4.5	0	12	1988
11.5	9.3	0	12	1988
11.5	9.8	0	12	1988
12.8	8.8	0	12	1988
13	8	0	12	1988
11.5	9.8	0	12	1988
13.3	6.3	1.8	12	1988
11.8	7	0.8	12	1988
12	5.5	0	12	1988
8	3.8	0	12	1988
8	4.3	0	12	1988
9.3	5.3	0	1	1989
7.5	5	0	1	1989
7.5	1.3	0	1	1989
9	4.3	1.2	1	1989
10	1.5	0.3	1	1989
10.8	3.3	4	1	1989
9.5	5	0	1	1989
11	7.5	0	1	1989
9.8	8.5	0.1	1	1989
10.5	3.8	0.5	1	1989
6.8	-3.3	0	1	1989
9.5	0.5	0.4	1	1989
9	-1.3	4.7	1	1989
12	5	5.2	1	1989
9	5	0	1	1989
10.5	7.8	0	1	1989
9.8	7.3	2	1	1989
9.5	3.8	0.6	1	1989
6	-4.5	0	1	1989
2.3	-3	0	1	1989
7.9	1.8	4.4	1	1989
8.8	0.5	3.1	1	1989
8.3	0.8	0	1	1989
11	6.3	0	1	1989
7.5	2.3	0	1	1989
4.9	2	0	1	1989
9.8	4.8	0	1	1989
11	7	0	1	1989
9.5	-3.5	3.5	1	1989
7.3	-2.5	0.1	1	1989
8.8	2.3	0	1	1989
7.3	0.5	0	2	1989
3.8	-3.8	0	2	1989
5.5	-1.5	0	2	1989
10	2	0.1	2	1989
11.3	8.3	0.8	2	1989
11.8	9	0	2	1989
14.3	8.3	0	2	1989
11.3	2.8	0	2	1989
11.8	0.3	0	2	1989
11	4	0	2	1989
8.5	-4	0.1	2	1989
10.8	2	0.4	2	1989
10.5	0.3	0	2	1989
10.3	3.8	1.6	2	1989
9.3	5.5	0	2	1989
11	1	2.1	2	1989
6.5	-2.2	7.1	2	1989
12	4	6.5	2	1989
12.8	10.3	0.9	2	1989
12.3	5	1.3	2	1989
9.3	-1.3	0	2	1989
10	2.5	0.9	2	1989
8.5	-0.3	4.2	2	1989
8	3	4.8	2	1989
4.8	0.5	6.7	2	1989
5.5	0.5	10.8	2	1989
8.3	1	5.5	2	1989
9	0.5	0.7	2	1989
8.8	3.8	0	3	1989
9	2.3	2.4	3	1989
11.8	5.5	14.1	3	1989
10	3.5	0.5	3	1989
12.3	8.8	1	3	1989
14.5	7.5	0	3	1989
16.8	6.8	1.1	3	1989
8.8	-0.5	0	3	1989
9.6	5.6	0.6	3	1989
10.8	8.8	1.1	3	1989
11.5	7	2.5	3	1989
10.8	-0.5	0	3	1989
9.8	5.5	0.6	3	1989
10.8	4.3	0	3	1989
10.5	5.8	8.4	3	1989
12	3.8	7.2	3	1989
6	2.3	11.2	3	1989
8.3	-5	0	3	1989
10.5	2.8	1.6	3	1989
12	4.3	3.7	3	1989
10.5	0.8	12.6	3	1989
11.5	4.8	1.8	3	1989
12.8	0.8	1.1	3	1989
11.3	5.8	0.8	3	1989
13.5	2.5	0.2	3	1989
11	6.5	0	3	1989
16.5	5.8	0	3	1989
18.5	9	0	3	1989
17.5	7.3	0	3	1989
14.5	5	0	3	1989
17.3	2.3	0	3	1989
18.8	5.8	0	4	1989
14.3	7.3	3	4	1989
12.3	3.3	1.9	4	1989
8.3	1.3	0	4	1989
6.5	0.5	10.6	4	1989
2.8	0.3	13	4	1989
8.5	2.3	2	4	1989
11	0.5	0.6	4	1989
12	-2	0	4	1989
14	8.3	0.8	4	1989
13	6.3	2.7	4	1989
12.5	3.8	12.8	4	1989
13.4	4.5	1.4	4	1989
13	3.5	0	4	1989
12.8	-0.5	0	4	1989
13.8	8.5	0	4	1989
11.3	6.3	3.6	4	1989
8	-1.5	0.4	4	1989
12.3	0.8	0	4	1989
11	6.5	0	4	1989
10.3	2	0.8	4	1989
11	2.3	0.3	4	1989
11.5	5.8	0	4	1989
13	3.5	0	4	1989
6	0.5	10.3	4	1989
7.5	-1.3	1.4	4	1989
10.3	4	6	4	1989
10.5	0.5	1.6	4	1989
13.1	5.8	1	4	1989
10	5	0.2	4	1989
14	9	0.5	5	1989
16	9.5	0	5	1989
19.8	5	0	5	1989
23	8	0	5	1989
24	6	0	5	1989
25	9	0	5	1989
17.5	1.8	0	5	1989
19.3	3.3	0	5	1989
22	4	0	5	1989
19	4.3	0	5	1989
17	9	0	5	1989
16	6	0.6	5	1989
13.3	6	2	5	1989
15	8	0.1	5	1989
16.8	6	0	5	1989
19.8	8	0	5	1989
19.5	7.5	0	5	1989
21.5	8	0	5	1989
24	8.5	0	5	1989
24.3	9.5	0	5	1989
24.7	11.5	0	5	1989
26	12.8	0.9	5	1989
25.3	12	0	5	1989
28	14.8	0	5	1989
26.5	12.3	16.5	5	1989
18.8	9.8	0	5	1989
19.3	5.8	0	5	1989
19	5	0	5	1989
21	9.3	0	5	1989
20.8	9	0	5	1989
16.3	-0.3	0	5	1989
14.8	6.8	0.1	6	1989
14	3	3.8	6	1989
15	2.5	0	6	1989
14.8	2.5	0	6	1989
15.8	1.8	0	6	1989
16.5	8.8	1.9	6	1989
11.5	9	2.9	6	1989
15.5	4.5	3.5	6	1989
15	7.5	1.6	6	1989
18.3	9	0.3	6	1989
20	7.8	0	6	1989
24.5	15.5	0	6	1989
27.3	13.5	0	6	1989
26.8	12.8	0	6	1989
26	14.5	0	6	1989
27	10.3	0	6	1989
26.8	9.5	0	6	1989
27.5	8.3	0	6	1989
27.3	11.3	0	6	1989
29.3	11	0	6	1989
29.5	13	0	6	1989
22.5	12.8	0	6	1989
20.5	9	0	6	1989
24.5	9.5	0	6	1989
24.5	9	0	6	1989
25.5	10.3	0	6	1989
22.5	12.8	6.3	6	1989
17.8	8	1.4	6	1989
16.8	11.5	3.4	6	1989
19.3	6.5	0.6	6	1989
20.3	14.3	3.4	7	1989
18	9	0	7	1989
20	8	0	7	1989
24	8.5	0	7	1989
25.5	12.5	0	7	1989
28.3	15	0	7	1989
30.3	17.8	14	7	1989
20.8	15.8	6.1	7	1989
23.5	14.3	22.5	7	1989
18.3	13.8	1.3	7	1989
23	15.8	0	7	1989
25.8	12.8	0	7	1989
22.5	11	0	7	1989
23.5	9.5	0	7	1989
22.5	9	0	7	1989
26.5	12.8	0	7	1989
25.5	11	0	7	1989
27.3	11.8	0	7	1989
25	9.8	0	7	1989
