Block	Insect	Mollusc	Rabbit	Lime	Competition	Nutrient	Biomass
C	Unsprayed	Slugs	Grazed	Unlimed	Herb	P	1.823529444
C	Unsprayed	Slugs	Grazed	Unlimed	Herb	O	1.093992615
C	Unsprayed	Slugs	Grazed	Unlimed	Herb	NP	5.312799752
C	Unsprayed	Slugs	Grazed	Limed	Control	N	4.0176894
C	Unsprayed	Slugs	Grazed	Limed	Control	P	2.938928935
C	Unsprayed	Slugs	Grazed	Limed	Control	O	1.432400418
C	Unsprayed	Slugs	Grazed	Limed	Control	NP	6.815831957
C	Unsprayed	Slugs	Grazed	Limed	Grass	N	2.996972518
C	Unsprayed	Slugs	Grazed	Limed	Grass	P	1.478430359
C	Unsprayed	Slugs	Grazed	Limed	Grass	O	-0.124115687
C	Unsprayed	Slugs	Grazed	Limed	Grass	NP	5.271167218
C	Unsprayed	Slugs	Grazed	Limed	Herb	N	5.04457222
C	Unsprayed	Slugs	Grazed	Limed	Herb	P	2.955095131
C	Unsprayed	Slugs	Grazed	Limed	Herb	O	1.200612335
C	Unsprayed	Slugs	Grazed	Limed	Herb	NP	6.425070268
D	Unsprayed	Pellets	Fenced	Unlimed	Control	N	6.226425244
D	Unsprayed	Pellets	Fenced	Unlimed	Control	P	3.933651272
D	Unsprayed	Pellets	Fenced	Unlimed	Control	O	2.600472129
D	Unsprayed	Pellets	Fenced	Unlimed	Control	NP	8.448101133
D	Unsprayed	Pellets	Fenced	Unlimed	Grass	N	4.512553348
D	Unsprayed	Pellets	Fenced	Unlimed	Grass	P	2.997762522
D	Unsprayed	Pellets	Fenced	Unlimed	Grass	O	1.237054994
D	Unsprayed	Pellets	Fenced	Unlimed	Grass	NP	6.32842117
D	Unsprayed	Pellets	Fenced	Unlimed	Herb	N	6.335637582
D	Unsprayed	Pellets	Fenced	Unlimed	Herb	P	4.508016941
D	Unsprayed	Pellets	Fenced	Unlimed	Herb	O	3.445700703
D	Unsprayed	Pellets	Fenced	Unlimed	Herb	NP	8.43793545
D	Unsprayed	Pellets	Fenced	Limed	Control	N	6.975385053
D	Unsprayed	Pellets	Fenced	Limed	Control	P	5.467932826
D	Unsprayed	Pellets	Fenced	Limed	Control	O	3.779608666
D	Unsprayed	Pellets	Fenced	Limed	Control	NP	8.748039361
D	Unsprayed	Pellets	Fenced	Limed	Grass	N	5.205892373
D	Unsprayed	Pellets	Fenced	Limed	Grass	P	3.280323408
D	Unsprayed	Pellets	Fenced	Limed	Grass	O	2.267518823
D	Unsprayed	Pellets	Fenced	Limed	Grass	NP	7.513691641
D	Unsprayed	Pellets	Fenced	Limed	Herb	N	6.87693537
D	Unsprayed	Pellets	Fenced	Limed	Herb	P	5.593590874
D	Unsprayed	Pellets	Fenced	Limed	Herb	O	3.867296642
D	Unsprayed	Pellets	Fenced	Limed	Herb	NP	8.93164757
D	Unsprayed	Pellets	Grazed	Unlimed	Control	N	3.722110799
D	Unsprayed	Pellets	Grazed	Unlimed	Control	P	2.061482801
D	Unsprayed	Pellets	Grazed	Unlimed	Control	O	1.033912943
D	Unsprayed	Pellets	Grazed	Unlimed	Control	NP	6.270341686
D	Unsprayed	Pellets	Grazed	Unlimed	Grass	N	2.737025118
D	Unsprayed	Pellets	Grazed	Unlimed	Grass	P	0.535010021
D	Unsprayed	Pellets	Grazed	Unlimed	Grass	O	-0.455258069
D	Unsprayed	Pellets	Grazed	Unlimed	Grass	NP	4.121828629
D	Unsprayed	Pellets	Grazed	Unlimed	Herb	N	4.390287701
D	Unsprayed	Pellets	Grazed	Unlimed	Herb	P	2.226837641
D	Unsprayed	Pellets	Grazed	Unlimed	Herb	O	0.983801882
D	Unsprayed	Pellets	Grazed	Unlimed	Herb	NP	6.129609069
D	Unsprayed	Pellets	Grazed	Limed	Control	N	4.901996403
D	Unsprayed	Pellets	Grazed	Limed	Control	P	2.717998801
D	Unsprayed	Pellets	Grazed	Limed	Control	O	1.677547076
D	Unsprayed	Pellets	Grazed	Limed	Control	NP	7.401157543
D	Unsprayed	Pellets	Grazed	Limed	Grass	N	3.479554745
D	Unsprayed	Pellets	Grazed	Limed	Grass	P	1.918482368
D	Unsprayed	Pellets	Grazed	Limed	Grass	O	0.62665889
D	Unsprayed	Pellets	Grazed	Limed	Grass	NP	5.628286299
D	Unsprayed	Pellets	Grazed	Limed	Herb	N	5.311067869
D	Unsprayed	Pellets	Grazed	Limed	Herb	P	3.208871888
D	Unsprayed	Pellets	Grazed	Limed	Herb	O	2.542141404
D	Unsprayed	Pellets	Grazed	Limed	Herb	NP	7.582060006
E	Sprayed	Slugs	Fenced	Unlimed	Control	N	9.022650122
E	Sprayed	Slugs	Fenced	Unlimed	Control	P	6.658175149
E	Sprayed	Slugs	Fenced	Unlimed	Control	O	6.149466021
E	Sprayed	Slugs	Fenced	Unlimed	Control	NP	11.11711995
E	Sprayed	Slugs	Fenced	Unlimed	Grass	N	6.946381897
E	Sprayed	Slugs	Fenced	Unlimed	Grass	P	5.627934513
E	Sprayed	Slugs	Fenced	Unlimed	Grass	O	4.156177757
E	Sprayed	Slugs	Fenced	Unlimed	Grass	NP	9.033079505
E	Sprayed	Slugs	Fenced	Unlimed	Herb	N	8.785150026
E	Sprayed	Slugs	Fenced	Unlimed	Herb	P	7.16973569
E	Sprayed	Slugs	Fenced	Unlimed	Herb	O	6.185535827
E	Sprayed	Slugs	Fenced	Unlimed	Herb	NP	11.35867998
E	Sprayed	Slugs	Fenced	Limed	Control	N	9.60741434
E	Sprayed	Slugs	Fenced	Limed	Control	P	7.627555996
E	Sprayed	Slugs	Fenced	Limed	Control	O	6.43876223
E	Sprayed	Slugs	Fenced	Limed	Control	NP	11.29518912
E	Sprayed	Slugs	Fenced	Limed	Grass	N	7.763681934
E	Sprayed	Slugs	Fenced	Limed	Grass	P	6.33160214
E	Sprayed	Slugs	Fenced	Limed	Grass	O	4.875947016
E	Sprayed	Slugs	Fenced	Limed	Grass	NP	9.886969068
E	Sprayed	Slugs	Fenced	Limed	Herb	N	9.834546454
E	Sprayed	Slugs	Fenced	Limed	Herb	P	8.292053054
E	Sprayed	Slugs	Fenced	Limed	Herb	O	6.464367751
E	Sprayed	Slugs	Fenced	Limed	Herb	NP	11.76701431
E	Sprayed	Slugs	Grazed	Unlimed	Control	N	6.85882113
E	Sprayed	Slugs	Grazed	Unlimed	Control	P	4.693645497
E	Sprayed	Slugs	Grazed	Unlimed	Control	O	3.503749353
E	Sprayed	Slugs	Grazed	Unlimed	Control	NP	8.533722523
E	Sprayed	Slugs	Grazed	Unlimed	Grass	N	5.400223146
E	Sprayed	Slugs	Grazed	Unlimed	Grass	P	2.802847562
E	Sprayed	Slugs	Grazed	Unlimed	Grass	O	1.977235651
E	Sprayed	Slugs	Grazed	Unlimed	Grass	NP	7.642655853
E	Sprayed	Slugs	Grazed	Unlimed	Herb	N	6.43445753
E	Sprayed	Slugs	Grazed	Unlimed	Herb	P	5.018733741
E	Sprayed	Slugs	Grazed	Unlimed	Herb	O	4.195395085
E	Sprayed	Slugs	Grazed	Unlimed	Herb	NP	9.186454334
E	Sprayed	Slugs	Grazed	Limed	Control	N	8.179339736
E	Sprayed	Slugs	Grazed	Limed	Control	P	5.506876492
E	Sprayed	Slugs	Grazed	Limed	Control	O	4.245353417
E	Sprayed	Slugs	Grazed	Limed	Control	NP	9.827238142
E	Sprayed	Slugs	Grazed	Limed	Grass	N	6.017118157
E	Sprayed	Slugs	Grazed	Limed	Grass	P	4.328747489
E	Sprayed	Slugs	Grazed	Limed	Grass	O	2.840412252
E	Sprayed	Slugs	Grazed	Limed	Grass	NP	7.900053949
E	Sprayed	Slugs	Grazed	Limed	Herb	N	8.341155619
E	Sprayed	Slugs	Grazed	Limed	Herb	P	5.700662655
E	Sprayed	Slugs	Grazed	Limed	Herb	O	4.419261712
E	Sprayed	Slugs	Grazed	Limed	Herb	NP	9.780601632
F	Sprayed	Pellets	Fenced	Unlimed	Control	N	7.8999579
F	Sprayed	Pellets	Fenced	Unlimed	Control	P	6.697863032
F	Sprayed	Pellets	Fenced	Unlimed	Control	O	4.924168291
F	Sprayed	Pellets	Fenced	Unlimed	Control	NP	10.46811709
F	Sprayed	Pellets	Fenced	Unlimed	Grass	N	7.089268567
F	Sprayed	Pellets	Fenced	Unlimed	Grass	P	4.917923723
F	Sprayed	Pellets	Fenced	Unlimed	Grass	O	4.140212979
F	Sprayed	Pellets	Fenced	Unlimed	Grass	NP	9.242995401
F	Sprayed	Pellets	Fenced	Unlimed	Herb	N	8.369162114
F	Sprayed	Pellets	Fenced	Unlimed	Herb	P	6.752453278
F	Sprayed	Pellets	Fenced	Unlimed	Herb	O	5.054966155
F	Sprayed	Pellets	Fenced	Unlimed	Herb	NP	10.03393438
F	Sprayed	Pellets	Fenced	Limed	Control	N	9.280901558
F	Sprayed	Pellets	Fenced	Limed	Control	P	6.945525249
F	Sprayed	Pellets	Fenced	Limed	Control	O	6.214796232
F	Sprayed	Pellets	Fenced	Limed	Control	NP	11.72511667
F	Sprayed	Pellets	Fenced	Limed	Grass	N	8.082115835
F	Sprayed	Pellets	Fenced	Limed	Grass	P	5.670945544
F	Sprayed	Pellets	Fenced	Limed	Grass	O	4.56751787
F	Sprayed	Pellets	Fenced	Limed	Grass	NP	9.804323928
F	Sprayed	Pellets	Fenced	Limed	Herb	N	9.176622344
F	Sprayed	Pellets	Fenced	Limed	Herb	P	7.819371079
F	Sprayed	Pellets	Fenced	Limed	Herb	O	6.254692813
F	Sprayed	Pellets	Fenced	Limed	Herb	NP	11.54944613
F	Sprayed	Pellets	Grazed	Unlimed	Control	N	6.12180692
F	Sprayed	Pellets	Grazed	Unlimed	Control	P	4.47709105
F	Sprayed	Pellets	Grazed	Unlimed	Control	O	3.722531479
F	Sprayed	Pellets	Grazed	Unlimed	Control	NP	8.192984329
F	Sprayed	Pellets	Grazed	Unlimed	Grass	N	5.010418404
F	Sprayed	Pellets	Grazed	Unlimed	Grass	P	2.530469499
F	Sprayed	Pellets	Grazed	Unlimed	Grass	O	1.952275794
F	Sprayed	Pellets	Grazed	Unlimed	Grass	NP	6.511897306
F	Sprayed	Pellets	Grazed	Unlimed	Herb	N	6.254765758
F	Sprayed	Pellets	Grazed	Unlimed	Herb	P	4.265837582
F	Sprayed	Pellets	Grazed	Unlimed	Herb	O	3.002220522
F	Sprayed	Pellets	Grazed	Unlimed	Herb	NP	8.019068989
F	Sprayed	Pellets	Grazed	Limed	Control	N	7.287871225
F	Sprayed	Pellets	Grazed	Limed	Control	P	5.394623638
F	Sprayed	Pellets	Grazed	Limed	Control	O	3.810074489
F	Sprayed	Pellets	Grazed	Limed	Control	NP	8.952882896
F	Sprayed	Pellets	Grazed	Limed	Grass	N	5.974248862
F	Sprayed	Pellets	Grazed	Limed	Grass	P	3.309402643
F	Sprayed	Pellets	Grazed	Limed	Grass	O	2.854687177
F	Sprayed	Pellets	Grazed	Limed	Grass	NP	8.094093976
F	Sprayed	Pellets	Grazed	Limed	Herb	N	7.008265805
F	Sprayed	Pellets	Grazed	Limed	Herb	P	5.389798871
F	Sprayed	Pellets	Grazed	Limed	Herb	O	4.426042899
F	Sprayed	Pellets	Grazed	Limed	Herb	NP	9.378637918
G	Unsprayed	Slugs	Fenced	Unlimed	Control	N	6.814320677
G	Unsprayed	Slugs	Fenced	Unlimed	Control	P	4.654694399
G	Unsprayed	Slugs	Fenced	Unlimed	Control	O	3.965024309
G	Unsprayed	Slugs	Fenced	Unlimed	Control	NP	8.715068108
G	Unsprayed	Slugs	Fenced	Unlimed	Grass	N	5.395214058
G	Unsprayed	Slugs	Fenced	Unlimed	Grass	P	2.608586622
G	Unsprayed	Slugs	Fenced	Unlimed	Grass	O	2.140544778
G	Unsprayed	Slugs	Fenced	Unlimed	Grass	NP	6.501588058
G	Unsprayed	Slugs	Fenced	Unlimed	Herb	N	7.00764272
G	Unsprayed	Slugs	Fenced	Unlimed	Herb	P	4.270483203
G	Unsprayed	Slugs	Fenced	Unlimed	Herb	O	3.626866425
G	Unsprayed	Slugs	Fenced	Unlimed	Herb	NP	8.666490678
G	Unsprayed	Slugs	Fenced	Limed	Control	N	7.616274139
G	Unsprayed	Slugs	Fenced	Limed	Control	P	5.639645988
G	Unsprayed	Slugs	Fenced	Limed	Control	O	4.174578515
G	Unsprayed	Slugs	Fenced	Limed	Control	NP	9.74691891
G	Unsprayed	Slugs	Fenced	Limed	Grass	N	6.201940328
G	Unsprayed	Slugs	Fenced	Limed	Grass	P	4.467290745
G	Unsprayed	Slugs	Fenced	Limed	Grass	O	3.473736255
G	Unsprayed	Slugs	Fenced	Limed	Grass	NP	7.775085453
G	Unsprayed	Slugs	Fenced	Limed	Herb	N	8.025557887
G	Unsprayed	Slugs	Fenced	Limed	Herb	P	5.215334021
G	Unsprayed	Slugs	Fenced	Limed	Herb	O	5.006748277
G	Unsprayed	Slugs	Fenced	Limed	Herb	NP	9.486154471
G	Unsprayed	Slugs	Grazed	Unlimed	Control	N	4.534389795
G	Unsprayed	Slugs	Grazed	Unlimed	Control	P	2.453508545
G	Unsprayed	Slugs	Grazed	Unlimed	Control	O	1.118752089
G	Unsprayed	Slugs	Grazed	Unlimed	Control	NP	6.475589574
G	Unsprayed	Slugs	Grazed	Unlimed	Grass	N	3.476537802
G	Unsprayed	Slugs	Grazed	Unlimed	Grass	P	1.289080255
G	Unsprayed	Slugs	Grazed	Unlimed	Grass	O	0.268512749
G	Unsprayed	Slugs	Grazed	Unlimed	Grass	NP	5.275031926
G	Unsprayed	Slugs	Grazed	Unlimed	Herb	N	4.999871072
G	Unsprayed	Slugs	Grazed	Unlimed	Herb	P	2.945126684
G	Unsprayed	Slugs	Grazed	Unlimed	Herb	O	1.300489523
G	Unsprayed	Slugs	Grazed	Unlimed	Herb	NP	6.318933675
G	Unsprayed	Slugs	Grazed	Limed	Control	N	5.258946408
G	Unsprayed	Slugs	Grazed	Limed	Control	P	3.324004415
G	Unsprayed	Slugs	Grazed	Limed	Control	O	2.258690424
G	Unsprayed	Slugs	Grazed	Limed	Control	NP	7.809981671
G	Unsprayed	Slugs	Grazed	Limed	Grass	N	3.541322627
G	Unsprayed	Slugs	Grazed	Limed	Grass	P	1.540847167
G	Unsprayed	Slugs	Grazed	Limed	Grass	O	0.871353607
G	Unsprayed	Slugs	Grazed	Limed	Grass	NP	5.775104484
G	Unsprayed	Slugs	Grazed	Limed	Herb	N	5.212469033
G	Unsprayed	Slugs	Grazed	Limed	Herb	P	3.869701611
G	Unsprayed	Slugs	Grazed	Limed	Herb	O	2.550844666
G	Unsprayed	Slugs	Grazed	Limed	Herb	NP	8.056788522
H	Unsprayed	Pellets	Fenced	Unlimed	Control	N	6.331399783
H	Unsprayed	Pellets	Fenced	Unlimed	Control	P	3.888593189
H	Unsprayed	Pellets	Fenced	Unlimed	Control	O	3.08503143
H	Unsprayed	Pellets	Fenced	Unlimed	Control	NP	8.305002063
H	Unsprayed	Pellets	Fenced	Unlimed	Grass	N	4.136584662
H	Unsprayed	Pellets	Fenced	Unlimed	Grass	P	2.609296758
H	Unsprayed	Pellets	Fenced	Unlimed	Grass	O	1.114788809
H	Unsprayed	Pellets	Fenced	Unlimed	Grass	NP	6.552219888
H	Unsprayed	Pellets	Fenced	Unlimed	Herb	N	6.26284447
H	Unsprayed	Pellets	Fenced	Unlimed	Herb	P	4.606867951
H	Unsprayed	Pellets	Fenced	Unlimed	Herb	O	3.261475804
H	Unsprayed	Pellets	Fenced	Unlimed	Herb	NP	8.165195534
H	Unsprayed	Pellets	Fenced	Limed	Control	N	7.39666931
H	Unsprayed	Pellets	Fenced	Limed	Control	P	4.900617829
H	Unsprayed	Pellets	Fenced	Limed	Control	O	4.179021295
H	Unsprayed	Pellets	Fenced	Limed	Control	NP	9.379460576
H	Unsprayed	Pellets	Fenced	Limed	Grass	N	5.393641457
H	Unsprayed	Pellets	Fenced	Limed	Grass	P	3.164073713
H	Unsprayed	Pellets	Fenced	Limed	Grass	O	2.579257795
H	Unsprayed	Pellets	Fenced	Limed	Grass	NP	7.102127727
H	Unsprayed	Pellets	Fenced	Limed	Herb	N	6.907736594
H	Unsprayed	Pellets	Fenced	Limed	Herb	P	5.092419844
H	Unsprayed	Pellets	Fenced	Limed	Herb	O	3.866612583
H	Unsprayed	Pellets	Fenced	Limed	Herb	NP	9.213508303
H	Unsprayed	Pellets	Grazed	Unlimed	Control	N	3.87637264
H	Unsprayed	Pellets	Grazed	Unlimed	Control	P	2.067026921
H	Unsprayed	Pellets	Grazed	Unlimed	Control	O	1.482715158
H	Unsprayed	Pellets	Grazed	Unlimed	Control	NP	5.956894773
H	Unsprayed	Pellets	Grazed	Unlimed	Grass	N	2.374895201
H	Unsprayed	Pellets	Grazed	Unlimed	Grass	P	1.057095566
H	Unsprayed	Pellets	Grazed	Unlimed	Grass	O	-0.053118971
H	Unsprayed	Pellets	Grazed	Unlimed	Grass	NP	4.529908164
H	Unsprayed	Pellets	Grazed	Unlimed	Herb	N	4.139402896
H	Unsprayed	Pellets	Grazed	Unlimed	Herb	P	2.287171779
H	Unsprayed	Pellets	Grazed	Unlimed	Herb	O	1.525371753
H	Unsprayed	Pellets	Grazed	Unlimed	Herb	NP	5.887315271
H	Unsprayed	Pellets	Grazed	Limed	Control	N	5.334606209
H	Unsprayed	Pellets	Grazed	Limed	Control	P	3.378903477
H	Unsprayed	Pellets	Grazed	Limed	Control	O	2.422375059
H	Unsprayed	Pellets	Grazed	Limed	Control	NP	7.356777693
H	Unsprayed	Pellets	Grazed	Limed	Grass	N	3.625050881
H	Unsprayed	Pellets	Grazed	Limed	Grass	P	1.83602778
H	Unsprayed	Pellets	Grazed	Limed	Grass	O	0.84015112
H	Unsprayed	Pellets	Grazed	Limed	Grass	NP	5.335480447
H	Unsprayed	Pellets	Grazed	Limed	Herb	N	5.664797991
H	Unsprayed	Pellets	Grazed	Limed	Herb	P	3.192395745
H	Unsprayed	Pellets	Grazed	Limed	Herb	O	2.729937352
H	Unsprayed	Pellets	Grazed	Limed	Herb	NP	6.92606075
