Block	variety	yield	latitude	longitude
2	NE86482	32.8	25.8	16.8
2	BRULE	28.15	25.8	18
2	NE87612	32.7	25.8	19.2
2	NE87613	36.9	25.8	20.4
3	NE86T666	18.4	25.8	21.6
3	NE86607	31.15	25.8	24
3	LANCOTA	26.95	25.8	25.2
3	NE87513	30.8	25.8	26.4
3	NE87408	21.9	30.1	1.2
3	NE83407	29.6	30.1	2.4
3	NORKAN	24.25	30.1	3.6
3	REDLAND	27.1	30.1	4.8
3	KS831374	21.05	30.1	6
3	COLT	23.95	30.1	7.2
3	NE86527	27.3	30.1	8.4
3	VONA	30	30.1	9.6
3	TAM107	34.5	30.1	10.8
3	CENTURK78	33.1	30.1	12
3	NE87627	28.2	30.1	13.2
3	NE86T666	25.8	30.1	14.4
3	NE87615	33.95	30.1	15.6
3	NE86501	30.35	30.1	16.8
3	NE87522	18.9	30.1	18
3	CHEYENNE	33.9	30.1	19.2
3	SIOUXLAND	33.75	30.1	20.4
3	NE87451	33.95	30.1	21.6
3	GAGE	25	30.1	22.8
3	LANCER	28.1	30.1	24
3	NE87446	25	30.1	25.2
3	NE86482	30.3	30.1	26.4
3	CODY	16.85	34.4	1.2
3	NE87612	17.1	34.4	2.4
3	NE87457	9.55	34.4	3.6
3	NE84557	1.5	34.4	4.8
3	NE83T12	12.75	34.4	6
3	NE86507	22.15	34.4	7.2
3	TAM200	19.2	34.4	8.4
3	NE87613	23.55	34.4	9.6
3	ARAPAHOE	25.05	34.4	10.8
3	SCOUT66	33.25	34.4	12
3	NE87403	24	34.4	13.2
3	NE85623	31.75	34.4	14.4
3	NE86509	24.05	34.4	15.6
3	NE85556	38.45	34.4	16.8
3	HOMESTEAD	25.85	34.4	18
3	NE83404	32.8	34.4	19.2
3	NE86503	35.1	34.4	20.4
3	NE86582	31.05	34.4	21.6
3	NE87619	33.15	34.4	22.8
3	NE87463	29	34.4	24
3	NE86606	32.15	34.4	25.2
3	BRULE	40.9	34.4	26.4
3	BUCKSKIN	18	38.7	1.2
3	NE83406	2.15	38.7	2.4
3	NE87409	3.75	38.7	3.6
3	NE87499	2.95	38.7	4.8
3	CENTURA	8.7	38.7	6
3	NE83432	11.05	38.7	7.2
3	NE87512	12.35	38.7	8.4
3	ROUGHRIDER	22.45	38.7	9.6
4	NE83498	26.9	38.7	10.8
4	NE86T666	23.55	38.7	13.2
4	NE87403	29	38.7	14.4
4	NE87512	27.65	38.7	15.6
4	NE87446	24	38.7	16.8
4	CENTURA	25.75	38.7	18
4	NE86503	23.55	38.7	19.2
4	NE87408	30.65	38.7	20.4
4	COLT	28.2	38.7	21.6
4	LANCER	28.4	38.7	22.8
4	NE83406	28.7	38.7	24
4	NE86607	25.75	38.7	25.2
4	SIOUXLAND	22.5	38.7	26.4
4	NE87612	9.25	43	1.2
4	BUCKSKIN	24.3	43	2.4
4	NE85556	4.95	43	3.6
4	BRULE	3.7	43	4.8
4	NE86507	14.7	43	6
4	ROUGHRIDER	13.6	43	7.2
4	VONA	12.3	43	8.4
4	NE83404	17.5	43	9.6
4	CODY	15.15	43	10.8
4	NE87463	23.55	43	12
4	NE86582	19.5	43	13.2
4	NE87499	26.5	43	14.4
4	NORKAN	20.8	43	15.6
4	SCOUT66	25.3	43	16.8
4	NE87513	17.4	43	18
4	NE83T12	22.65	43	19.2
4	CENTURK78	31.6	43	20.4
4	NE87627	16.95	43	21.6
4	NE86606	31.25	43	22.8
4	NE87457	23.65	43	24
4	NE86509	25.45	43	25.2
4	LANCOTA	27.45	43	26.4
4	KS831374	14.55	47.3	1.2
4	NE86482	6.05	47.3	2.4
4	NE85623	1.05	47.3	3.6
4	NE86527	6.4	47.3	4.8
4	NE87451	5.1	47.3	6
4	NE87409	17.8	47.3	7.2
4	GAGE	22.15	47.3	8.4
4	NE83407	15.35	47.3	9.6
4	NE87615	12	47.3	10.8
4	ARAPAHOE	25	47.3	12
4	CHEYENNE	22.1	47.3	13.2
4	REDLAND	29.3	47.3	14.4
4	NE83432	23.45	47.3	15.6
4	NE87619	27.9	47.3	16.8
4	NE83498	31.6	47.3	18
4	NE87613	30.2	47.3	19.2
4	NE86501	30.3	47.3	20.4
4	TAM200	20.3	47.3	21.6
4	NE87522	29.65	47.3	22.8
4	NE84557	26.55	47.3	24
4	TAM107	25.6	47.3	25.2
4	HOMESTEAD	26.9	47.3	26.4
