RefNo	Date	Transect	Position	Location	Height
115	15/03/1994	A	5	15	1
116	15/03/1994	A	5	16	0.5
117	15/03/1994	A	5	17	0.5
118	15/03/1994	A	5	18	1
119	15/03/1994	A	5	19	0.5
120	15/03/1994	A	5	20	0.5
121	15/03/1994	A	5	21	1
122	15/03/1994	A	5	22	1
123	15/03/1994	A	5	23	0.5
124	15/03/1994	A	5	24	1
125	15/03/1994	A	5	25	2
126	15/03/1994	A	6	1	3
127	15/03/1994	A	6	2	2
128	15/03/1994	A	6	3	2
129	15/03/1994	A	6	4	3.5
130	15/03/1994	A	6	5	4
131	15/03/1994	A	6	6	2
132	15/03/1994	A	6	7	1
133	15/03/1994	A	6	8	2
134	15/03/1994	A	6	9	2
135	15/03/1994	A	6	10	2
136	15/03/1994	A	6	11	1.5
137	15/03/1994	A	6	12	2
138	15/03/1994	A	6	13	2.5
139	15/03/1994	A	6	14	0.5
140	15/03/1994	A	6	15	1
141	15/03/1994	A	6	16	1
142	15/03/1994	A	6	17	4.5
143	15/03/1994	A	6	18	1.5
144	15/03/1994	A	6	19	1.5
145	15/03/1994	A	6	20	0.5
146	15/03/1994	A	6	21	1
147	15/03/1994	A	6	22	2
148	15/03/1994	A	6	23	3
149	15/03/1994	A	6	24	1
150	15/03/1994	A	6	25	1
151	15/03/1994	B	1	1	1
152	15/03/1994	B	1	2	2
153	15/03/1994	B	1	3	2
154	15/03/1994	B	1	4	2
155	15/03/1994	B	1	5	1.5
156	15/03/1994	B	1	6	2
157	15/03/1994	B	1	7	4
158	15/03/1994	B	1	8	2
159	15/03/1994	B	1	9	2
160	15/03/1994	B	1	10	2.5
161	15/03/1994	B	1	11	2
162	15/03/1994	B	1	12	1
163	15/03/1994	B	1	13	1.5
164	15/03/1994	B	1	14	1
165	15/03/1994	B	1	15	2.5
166	15/03/1994	B	1	16	1.5
167	15/03/1994	B	1	17	2
168	15/03/1994	B	1	18	2.5
169	15/03/1994	B	1	19	2
170	15/03/1994	B	1	20	2
171	15/03/1994	B	1	21	1
172	15/03/1994	B	1	22	0.5
173	15/03/1994	B	1	23	0.5
174	15/03/1994	B	1	24	1.5
175	15/03/1994	B	1	25	6.5
176	15/03/1994	B	2	1	2
177	15/03/1994	B	2	2	0.5
178	15/03/1994	B	2	3	1
179	15/03/1994	B	2	4	1
180	15/03/1994	B	2	5	1
181	15/03/1994	B	2	6	1.5
182	15/03/1994	B	2	7	1.5
183	15/03/1994	B	2	8	2
184	15/03/1994	B	2	9	1
185	15/03/1994	B	2	10	1
186	15/03/1994	B	2	11	2.5
187	15/03/1994	B	2	12	2
188	15/03/1994	B	2	13	1.5
189	15/03/1994	B	2	14	1
190	15/03/1994	B	2	15	1
191	15/03/1994	B	2	16	1
192	15/03/1994	B	2	17	0.5
193	15/03/1994	B	2	18	1
194	15/03/1994	B	2	19	1
195	15/03/1994	B	2	20	0.5
196	15/03/1994	B	2	21	1
197	15/03/1994	B	2	22	1
198	15/03/1994	B	2	23	1.5
199	15/03/1994	B	2	24	1
200	15/03/1994	B	2	25	1
201	15/03/1994	B	3	1	1.5
202	15/03/1994	B	3	2	1.5
203	15/03/1994	B	3	3	1.5
204	15/03/1994	B	3	4	1.5
205	15/03/1994	B	3	5	2.5
206	15/03/1994	B	3	6	2
207	15/03/1994	B	3	7	2
208	15/03/1994	B	3	8	2.5
209	15/03/1994	B	3	9	2
210	15/03/1994	B	3	10	2
211	15/03/1994	B	3	11	1.5
212	15/03/1994	B	3	12	1
213	15/03/1994	B	3	13	1.5
214	15/03/1994	B	3	14	3
215	15/03/1994	B	3	15	4
216	15/03/1994	B	3	16	5
217	15/03/1994	B	3	17	4
218	15/03/1994	B	3	18	2
219	15/03/1994	B	3	19	2
220	15/03/1994	B	3	20	4
221	15/03/1994	B	3	21	2
222	15/03/1994	B	3	22	1.5
223	15/03/1994	B	3	23	1.5
224	15/03/1994	B	3	24	3
225	15/03/1994	B	3	25	2
226	15/03/1994	B	4	1	1
227	15/03/1994	B	4	2	2.5
228	15/03/1994	B	4	3	2
229	15/03/1994	B	4	4	1
230	15/03/1994	B	4	5	1
231	15/03/1994	B	4	6	1
232	15/03/1994	B	4	7	1
233	15/03/1994	B	4	8	1
234	15/03/1994	B	4	9	0.5
235	15/03/1994	B	4	10	0.5
236	15/03/1994	B	4	11	0.5
237	15/03/1994	B	4	12	0.5
238	15/03/1994	B	4	13	0.5
239	15/03/1994	B	4	14	0.5
240	15/03/1994	B	4	15	0.5
241	15/03/1994	B	4	16	0.5
242	15/03/1994	B	4	17	0.5
243	15/03/1994	B	4	18	0.5
244	15/03/1994	B	4	19	1
245	15/03/1994	B	4	20	1
246	15/03/1994	B	4	21	0.5
247	15/03/1994	B	4	22	1
248	15/03/1994	B	4	23	1
249	15/03/1994	B	4	24	1.5
250	15/03/1994	B	4	25	2
251	15/03/1994	B	5	1	3
252	15/03/1994	B	5	2	3
253	15/03/1994	B	5	3	3
254	15/03/1994	B	5	4	3
255	15/03/1994	B	5	5	3
256	15/03/1994	B	5	6	2
257	15/03/1994	B	5	7	2.5
258	15/03/1994	B	5	8	3.5
259	15/03/1994	B	5	9	4.5
260	15/03/1994	B	5	10	3
261	15/03/1994	B	5	11	3.5
262	15/03/1994	B	5	12	2.5
263	15/03/1994	B	5	13	2
264	15/03/1994	B	5	14	2
265	15/03/1994	B	5	15	1
266	15/03/1994	B	5	16	1
267	15/03/1994	B	5	17	1.5
268	15/03/1994	B	5	18	2.5
269	15/03/1994	B	5	19	2
270	15/03/1994	B	5	20	2
271	15/03/1994	B	5	21	1.5
272	15/03/1994	B	5	22	2
273	15/03/1994	B	5	23	6
274	15/03/1994	B	5	24	3.5
275	15/03/1994	B	5	25	1.5
276	15/03/1994	B	6	1	2.5
277	15/03/1994	B	6	2	2.5
278	15/03/1994	B	6	3	2.5
279	15/03/1994	B	6	4	2
280	15/03/1994	B	6	5	2.5
281	15/03/1994	B	6	6	3
282	15/03/1994	B	6	7	4
283	15/03/1994	B	6	8	4
284	15/03/1994	B	6	9	4
285	15/03/1994	B	6	10	2.5
286	15/03/1994	B	6	11	2.5
287	15/03/1994	B	6	12	1.5
288	15/03/1994	B	6	13	2.5
289	15/03/1994	B	6	14	4
290	15/03/1994	B	6	15	3.5
291	15/03/1994	B	6	16	4.5
292	15/03/1994	B	6	17	3
293	15/03/1994	B	6	18	3.5
294	15/03/1994	B	6	19	2
295	15/03/1994	B	6	20	1.5
296	15/03/1994	B	6	21	4.5
297	15/03/1994	B	6	22	2.5
298	15/03/1994	B	6	23	5.5
299	15/03/1994	B	6	24	2
300	15/03/1994	B	6	25	2.5
301	15/03/1994	C	1	1	2
302	15/03/1994	C	1	2	2
303	15/03/1994	C	1	3	2
304	15/03/1994	C	1	4	2
305	15/03/1994	C	1	5	1
306	15/03/1994	C	1	6	1.5
307	15/03/1994	C	1	7	2
308	15/03/1994	C	1	8	1
309	15/03/1994	C	1	9	1
310	15/03/1994	C	1	10	1
311	15/03/1994	C	1	11	2
312	15/03/1994	C	1	12	11
313	15/03/1994	C	1	13	12
314	15/03/1994	C	1	14	10
315	15/03/1994	C	1	15	3.5
316	15/03/1994	C	1	16	0.5
317	15/03/1994	C	1	17	0.5
318	15/03/1994	C	1	18	1.5
319	15/03/1994	C	1	19	1
320	15/03/1994	C	1	20	2
321	15/03/1994	C	1	21	2
322	15/03/1994	C	1	22	3.5
323	15/03/1994	C	1	23	1
324	15/03/1994	C	1	24	0.5
325	15/03/1994	C	1	25	2
326	15/03/1994	C	2	1	1.5
327	15/03/1994	C	2	2	1
328	15/03/1994	C	2	3	1
329	15/03/1994	C	2	4	1.5
330	15/03/1994	C	2	5	1
331	15/03/1994	C	2	6	4
332	15/03/1994	C	2	7	2.5
333	15/03/1994	C	2	8	1
334	15/03/1994	C	2	9	2
335	15/03/1994	C	2	10	4.5
336	15/03/1994	C	2	11	11
337	15/03/1994	C	2	12	18.5
338	15/03/1994	C	2	13	17
339	15/03/1994	C	2	14	15
340	15/03/1994	C	2	15	11.5
341	15/03/1994	C	2	16	13
342	15/03/1994	C	2	17	18
343	15/03/1994	C	2	18	15
344	15/03/1994	C	2	19	8
345	15/03/1994	C	2	20	5
346	15/03/1994	C	2	21	3.5
347	15/03/1994	C	2	22	2
348	15/03/1994	C	2	23	3.5
349	15/03/1994	C	2	24	2
350	15/03/1994	C	2	25	1.5
351	15/03/1994	C	3	1	3.5
352	15/03/1994	C	3	2	3.5
353	15/03/1994	C	3	3	3.5
354	15/03/1994	C	3	4	2.5
355	15/03/1994	C	3	5	4
356	15/03/1994	C	3	6	6.5
357	15/03/1994	C	3	7	8.5
358	15/03/1994	C	3	8	5
359	15/03/1994	C	3	9	5
360	15/03/1994	C	3	10	2
361	15/03/1994	C	3	11	1
362	15/03/1994	C	3	12	1
363	15/03/1994	C	3	13	1.5
364	15/03/1994	C	3	14	1.5
365	15/03/1994	C	3	15	3
366	15/03/1994	C	3	16	1.5
367	15/03/1994	C	3	17	1.5
368	15/03/1994	C	3	18	2
369	15/03/1994	C	3	19	1
370	15/03/1994	C	3	20	1.5
371	15/03/1994	C	3	21	1
372	15/03/1994	C	3	22	1
373	15/03/1994	C	3	23	4.5
374	15/03/1994	C	3	24	2
375	15/03/1994	C	3	25	1.5
376	15/03/1994	C	4	1	1
377	15/03/1994	C	4	2	1
378	15/03/1994	C	4	3	1.5
379	15/03/1994	C	4	4	2
380	15/03/1994	C	4	5	1.5
381	15/03/1994	C	4	6	2
382	15/03/1994	C	4	7	1.5
383	15/03/1994	C	4	8	2
384	15/03/1994	C	4	9	2
385	15/03/1994	C	4	10	2
386	15/03/1994	C	4	11	1.5
387	15/03/1994	C	4	12	2
388	15/03/1994	C	4	13	2
389	15/03/1994	C	4	14	3
390	15/03/1994	C	4	15	1.5
391	15/03/1994	C	4	16	0.5
392	15/03/1994	C	4	17	1
393	15/03/1994	C	4	18	1
394	15/03/1994	C	4	19	2
395	15/03/1994	C	4	20	2
396	15/03/1994	C	4	21	2
397	15/03/1994	C	4	22	2
398	15/03/1994	C	4	23	2
399	15/03/1994	C	4	24	1.5
400	15/03/1994	C	4	25	1
401	15/03/1994	C	5	1	3
402	15/03/1994	C	5	2	5.5
403	15/03/1994	C	5	3	4
404	15/03/1994	C	5	4	4.5
405	15/03/1994	C	5	5	2
406	15/03/1994	C	5	6	1
407	15/03/1994	C	5	7	1
408	15/03/1994	C	5	8	0.5
409	15/03/1994	C	5	9	1
410	15/03/1994	C	5	10	1
411	15/03/1994	C	5	11	0.5
412	15/03/1994	C	5	12	0.5
413	15/03/1994	C	5	13	0.5
414	15/03/1994	C	5	14	0.5
415	15/03/1994	C	5	15	1
416	15/03/1994	C	5	16	1.5
417	15/03/1994	C	5	17	2
418	15/03/1994	C	5	18	2
419	15/03/1994	C	5	19	1
420	15/03/1994	C	5	20	2.5
421	15/03/1994	C	5	21	2.5
422	15/03/1994	C	5	22	3.5
423	15/03/1994	C	5	23	1.5
424	15/03/1994	C	5	24	2
425	15/03/1994	C	5	25	2.5
426	15/03/1994	C	6	1	2
427	15/03/1994	C	6	2	3
428	15/03/1994	C	6	3	3
429	15/03/1994	C	6	4	3
430	15/03/1994	C	6	5	3
431	15/03/1994	C	6	6	1.5
432	15/03/1994	C	6	7	1
433	15/03/1994	C	6	8	2
434	15/03/1994	C	6	9	3
435	15/03/1994	C	6	10	3.5
436	15/03/1994	C	6	11	3.5
437	15/03/1994	C	6	12	3
438	15/03/1994	C	6	13	3
439	15/03/1994	C	6	14	2.5
440	15/03/1994	C	6	15	2.5
441	15/03/1994	C	6	16	1
442	15/03/1994	C	6	17	1
443	15/03/1994	C	6	18	2
444	15/03/1994	C	6	19	2
445	15/03/1994	C	6	20	2
446	15/03/1994	C	6	21	3
447	15/03/1994	C	6	22	2
448	15/03/1994	C	6	23	2
449	15/03/1994	C	6	24	2
450	15/03/1994	C	6	25	3
451	15/03/1994	D	1	1	0.5
452	15/03/1994	D	1	2	0.5
453	15/03/1994	D	1	3	1
454	15/03/1994	D	1	4	1
455	15/03/1994	D	1	5	0.5
456	15/03/1994	D	1	6	1
457	15/03/1994	D	1	7	1
458	15/03/1994	D	1	8	1
459	15/03/1994	D	1	9	1
460	15/03/1994	D	1	10	0.5
461	15/03/1994	D	1	11	0.5
462	15/03/1994	D	1	12	0.5
463	15/03/1994	D	1	13	0.5
464	15/03/1994	D	1	14	1
465	15/03/1994	D	1	15	0.5
466	15/03/1994	D	1	16	1
467	15/03/1994	D	1	17	1
468	15/03/1994	D	1	18	0.5
469	15/03/1994	D	1	19	0.5
470	15/03/1994	D	1	20	0.5
471	15/03/1994	D	1	21	0.5
472	15/03/1994	D	1	22	0.5
473	15/03/1994	D	1	23	1
474	15/03/1994	D	1	24	0.5
475	15/03/1994	D	1	25	0.5
476	15/03/1994	D	2	1	1
477	15/03/1994	D	2	2	1
478	15/03/1994	D	2	3	0.5
479	15/03/1994	D	2	4	0.5
480	15/03/1994	D	2	5	1.5
481	15/03/1994	D	2	6	1.5
482	15/03/1994	D	2	7	1.5
483	15/03/1994	D	2	8	0.5
484	15/03/1994	D	2	9	1.5
485	15/03/1994	D	2	10	1
486	15/03/1994	D	2	11	0.5
487	15/03/1994	D	2	12	0.5
488	15/03/1994	D	2	13	0.5
489	15/03/1994	D	2	14	1
490	15/03/1994	D	2	15	1
491	15/03/1994	D	2	16	1
492	15/03/1994	D	2	17	1.5
493	15/03/1994	D	2	18	1
494	15/03/1994	D	2	19	1.5
495	15/03/1994	D	2	20	1.5
496	15/03/1994	D	2	21	1.5
497	15/03/1994	D	2	22	1.5
498	15/03/1994	D	2	23	0.5
499	15/03/1994	D	2	24	1
500	15/03/1994	D	2	25	1
501	15/03/1994	D	3	1	1
502	15/03/1994	D	3	2	1.5
503	15/03/1994	D	3	3	1
504	15/03/1994	D	3	4	1.5
505	15/03/1994	D	3	5	1
506	15/03/1994	D	3	6	1
507	15/03/1994	D	3	7	1.5
508	15/03/1994	D	3	8	2
509	15/03/1994	D	3	9	1.5
510	15/03/1994	D	3	10	2
511	15/03/1994	D	3	11	1
512	15/03/1994	D	3	12	1.5
513	15/03/1994	D	3	13	1
514	15/03/1994	D	3	14	0.5
515	15/03/1994	D	3	15	1
516	15/03/1994	D	3	16	0.5
517	15/03/1994	D	3	17	1
518	15/03/1994	D	3	18	0.5
519	15/03/1994	D	3	19	1
520	15/03/1994	D	3	20	0.5
521	15/03/1994	D	3	21	1
522	15/03/1994	D	3	22	1
523	15/03/1994	D	3	23	1
524	15/03/1994	D	3	24	0.5
525	15/03/1994	D	3	25	1
526	15/03/1994	D	4	1	0
527	15/03/1994	D	4	2	0
528	15/03/1994	D	4	3	0
529	15/03/1994	D	4	4	0.5
530	15/03/1994	D	4	5	0
531	15/03/1994	D	4	6	0
532	15/03/1994	D	4	7	0.5
533	15/03/1994	D	4	8	0.5
534	15/03/1994	D	4	9	0.5
535	15/03/1994	D	4	10	0.5
536	15/03/1994	D	4	11	0.5
537	15/03/1994	D	4	12	1
538	15/03/1994	D	4	13	0.5
539	15/03/1994	D	4	14	1
540	15/03/1994	D	4	15	0.5
541	15/03/1994	D	4	16	0.5
542	15/03/1994	D	4	17	0
543	15/03/1994	D	4	18	0
544	15/03/1994	D	4	19	0.5
545	15/03/1994	D	4	20	0.5
546	15/03/1994	D	4	21	0
547	15/03/1994	D	4	22	0.5
548	15/03/1994	D	4	23	0.5
549	15/03/1994	D	4	24	0.5
550	15/03/1994	D	4	25	0.5
551	15/03/1994	D	5	1	1
552	15/03/1994	D	5	2	0.5
553	15/03/1994	D	5	3	1
554	15/03/1994	D	5	4	0.5
555	15/03/1994	D	5	5	0
556	15/03/1994	D	5	6	0
557	15/03/1994	D	5	7	1
558	15/03/1994	D	5	8	1
559	15/03/1994	D	5	9	0
560	15/03/1994	D	5	10	1
561	15/03/1994	D	5	11	1
562	15/03/1994	D	5	12	3
563	15/03/1994	D	5	13	5
564	15/03/1994	D	5	14	4
565	15/03/1994	D	5	15	4
566	15/03/1994	D	5	16	3
567	15/03/1994	D	5	17	1
568	15/03/1994	D	5	18	4
569	15/03/1994	D	5	19	2
570	15/03/1994	D	5	20	3
571	15/03/1994	D	5	21	2
572	15/03/1994	D	5	22	3.5
573	15/03/1994	D	5	23	3
574	15/03/1994	D	5	24	2.5
575	15/03/1994	D	5	25	1
576	15/03/1994	D	6	1	2
577	15/03/1994	D	6	2	3
578	15/03/1994	D	6	3	2
579	15/03/1994	D	6	4	1
580	15/03/1994	D	6	5	1
581	15/03/1994	D	6	6	0
582	15/03/1994	D	6	7	0
583	15/03/1994	D	6	8	2
584	15/03/1994	D	6	9	1.5
585	15/03/1994	D	6	10	1
586	15/03/1994	D	6	11	3.5
587	15/03/1994	D	6	12	1.5
588	15/03/1994	D	6	13	1.5
589	15/03/1994	D	6	14	2
590	15/03/1994	D	6	15	3
591	15/03/1994	D	6	16	0.5
592	15/03/1994	D	6	17	2
593	15/03/1994	D	6	18	5
594	15/03/1994	D	6	19	3.5
595	15/03/1994	D	6	20	3
596	15/03/1994	D	6	21	2
597	15/03/1994	D	6	22	2.5
598	15/03/1994	D	6	23	3
599	15/03/1994	D	6	24	1.5
600	15/03/1994	D	6	25	2
601	15/03/1994	E	1	1	0.5
602	15/03/1994	E	1	2	0.5
603	15/03/1994	E	1	3	1
604	15/03/1994	E	1	4	1
605	15/03/1994	E	1	5	1
606	15/03/1994	E	1	6	1
607	15/03/1994	E	1	7	1.5
608	15/03/1994	E	1	8	1
609	15/03/1994	E	1	9	1
610	15/03/1994	E	1	10	0.5
611	15/03/1994	E	1	11	0.5
612	15/03/1994	E	1	12	1.5
613	15/03/1994	E	1	13	0.5
614	15/03/1994	E	1	14	1
615	15/03/1994	E	1	15	2
616	15/03/1994	E	1	16	0.5
617	15/03/1994	E	1	17	0.5
618	15/03/1994	E	1	18	0.5
619	15/03/1994	E	1	19	0.5
620	15/03/1994	E	1	20	1
621	15/03/1994	E	1	21	0.5
622	15/03/1994	E	1	22	0.5
623	15/03/1994	E	1	23	0.5
624	15/03/1994	E	1	24	1
625	15/03/1994	E	1	25	1.5
626	15/03/1994	E	2	1	2
627	15/03/1994	E	2	2	2
628	15/03/1994	E	2	3	3
629	15/03/1994	E	2	4	5
630	15/03/1994	E	2	5	3
631	15/03/1994	E	2	6	3
632	15/03/1994	E	2	7	3
633	15/03/1994	E	2	8	7
634	15/03/1994	E	2	9	3.5
635	15/03/1994	E	2	10	2
636	15/03/1994	E	2	11	4
637	15/03/1994	E	2	12	3
638	15/03/1994	E	2	13	3
639	15/03/1994	E	2	14	2.5
640	15/03/1994	E	2	15	1
641	15/03/1994	E	2	16	1.5
642	15/03/1994	E	2	17	4
643	15/03/1994	E	2	18	7.5
644	15/03/1994	E	2	19	4.5
645	15/03/1994	E	2	20	4
646	15/03/1994	E	2	21	1
647	15/03/1994	E	2	22	2
648	15/03/1994	E	2	23	4.5
649	15/03/1994	E	2	24	6.5
650	15/03/1994	E	2	25	2
651	15/03/1994	E	3	1	1
652	15/03/1994	E	3	2	2
653	15/03/1994	E	3	3	2.5
654	15/03/1994	E	3	4	2
655	15/03/1994	E	3	5	1
656	15/03/1994	E	3	6	3
657	15/03/1994	E	3	7	1
658	15/03/1994	E	3	8	2
659	15/03/1994	E	3	9	5
660	15/03/1994	E	3	10	2
661	15/03/1994	E	3	11	0.5
662	15/03/1994	E	3	12	1
663	15/03/1994	E	3	13	3
664	15/03/1994	E	3	14	3
665	15/03/1994	E	3	15	2
666	15/03/1994	E	3	16	1
667	15/03/1994	E	3	17	2
668	15/03/1994	E	3	18	1
669	15/03/1994	E	3	19	1
670	15/03/1994	E	3	20	0.5
671	15/03/1994	E	3	21	1
672	15/03/1994	E	3	22	0.5
673	15/03/1994	E	3	23	3
674	15/03/1994	E	3	24	1.5
675	15/03/1994	E	3	25	1.5
676	15/03/1994	E	4	1	0.5
677	15/03/1994	E	4	2	0
678	15/03/1994	E	4	3	0
679	15/03/1994	E	4	4	0.5
680	15/03/1994	E	4	5	0.5
681	15/03/1994	E	4	6	0.5
682	15/03/1994	E	4	7	0.5
683	15/03/1994	E	4	8	0.5
684	15/03/1994	E	4	9	1
685	15/03/1994	E	4	10	0.5
686	15/03/1994	E	4	11	1
687	15/03/1994	E	4	12	0.5
688	15/03/1994	E	4	13	0.5
689	15/03/1994	E	4	14	0.5
690	15/03/1994	E	4	15	0.5
691	15/03/1994	E	4	16	1
692	15/03/1994	E	4	17	1
693	15/03/1994	E	4	18	0.5
694	15/03/1994	E	4	19	1
695	15/03/1994	E	4	20	0.5
696	15/03/1994	E	4	21	0.5
697	15/03/1994	E	4	22	0.5
698	15/03/1994	E	4	23	1
699	15/03/1994	E	4	24	1
700	15/03/1994	E	4	25	0.5
701	15/03/1994	E	5	1	0.5
702	15/03/1994	E	5	2	1
703	15/03/1994	E	5	3	1.5
704	15/03/1994	E	5	4	1
705	15/03/1994	E	5	5	1
706	15/03/1994	E	5	6	0.5
707	15/03/1994	E	5	7	1
708	15/03/1994	E	5	8	0.5
709	15/03/1994	E	5	9	0.5
710	15/03/1994	E	5	10	1.5
711	15/03/1994	E	5	11	1.5
712	15/03/1994	E	5	12	1
713	15/03/1994	E	5	13	1
714	15/03/1994	E	5	14	0.5
715	15/03/1994	E	5	15	1.5
716	15/03/1994	E	5	16	0.5
717	15/03/1994	E	5	17	1
718	15/03/1994	E	5	18	1
719	15/03/1994	E	5	19	1
720	15/03/1994	E	5	20	1
721	15/03/1994	E	5	21	1.5
722	15/03/1994	E	5	22	1
723	15/03/1994	E	5	23	1.5
724	15/03/1994	E	5	24	1
725	15/03/1994	E	5	25	0.5
726	15/03/1994	E	6	1	1.5
727	15/03/1994	E	6	2	0.5
728	15/03/1994	E	6	3	0.5
729	15/03/1994	E	6	4	1
730	15/03/1994	E	6	5	1
731	15/03/1994	E	6	6	1
732	15/03/1994	E	6	7	0.5
733	15/03/1994	E	6	8	1
734	15/03/1994	E	6	9	1
735	15/03/1994	E	6	10	0.5
736	15/03/1994	E	6	11	0.5
737	15/03/1994	E	6	12	1.5
738	15/03/1994	E	6	13	10
739	15/03/1994	E	6	14	0.5
740	15/03/1994	E	6	15	1.5
741	15/03/1994	E	6	16	1
742	15/03/1994	E	6	17	2
743	15/03/1994	E	6	18	1.5
744	15/03/1994	E	6	19	2
745	15/03/1994	E	6	20	1
746	15/03/1994	E	6	21	1
747	15/03/1994	E	6	22	1
748	15/03/1994	E	6	23	1
749	15/03/1994	E	6	24	1
750	15/03/1994	E	6	25	1
751	15/08/1994	A	1	1	8.5
752	15/08/1994	A	1	2	8
753	15/08/1994	A	1	3	13
754	15/08/1994	A	1	4	16.5
755	15/08/1994	A	1	5	13
756	15/08/1994	A	1	6	12.5
757	15/08/1994	A	1	7	5.5
758	15/08/1994	A	1	8	6.5
759	15/08/1994	A	1	9	3
760	15/08/1994	A	1	10	8.5
761	15/08/1994	A	1	11	5.5
762	15/08/1994	A	1	12	7
763	15/08/1994	A	1	13	9.5
764	15/08/1994	A	1	14	11
765	15/08/1994	A	1	15	2.5
766	15/08/1994	A	1	16	5.5
767	15/08/1994	A	1	17	11.5
768	15/08/1994	A	1	18	12
769	15/08/1994	A	1	19	5
770	15/08/1994	A	1	20	5
771	15/08/1994	A	1	21	6.5
772	15/08/1994	A	1	22	10.5
773	15/08/1994	A	1	23	10.5
774	15/08/1994	A	1	24	14
775	15/08/1994	A	1	25	18.5
776	15/08/1994	A	2	1	5
777	15/08/1994	A	2	2	10
778	15/08/1994	A	2	3	11
779	15/08/1994	A	2	4	10.5
780	15/08/1994	A	2	5	9.5
781	15/08/1994	A	2	6	8.5
