xv	ys
0.8989036	27.99491
61.58435	45.41199
78.8452	45.00621
16.89366	26.6323
86.44203	49.97879
87.61163	54.34447
27.78788	32.48734
14.79867	30.85979
40.64632	37.48866
10.55396	28.0586
56.07587	39.60046
1.837277	22.35276
97.92376	57.08056
25.17436	35.11523
31.18821	31.16771
95.34359	51.18233
18.58393	31.39549
8.995822	32.40359
80.30037	48.19514
1.344207	25.43346
23.59467	37.07387
24.37552	29.36098
89.3108	52.90387
71.24936	46.78125
11.88237	31.25198
9.308568	29.264
67.29784	38.00771
89.71087	53.8112
57.00708	40.15752
43.00879	39.15032
27.53353	29.09598
16.22855	32.61566
63.99266	43.82396
54.08141	43.56687
6.650856	25.69629
70.75279	50.88403
11.31224	28.08509
86.65678	50.2273
73.65212	43.97076
92.90815	57.68936
40.86416	36.90251
13.92306	27.98409
39.35589	35.4664
13.89073	28.72537
36.85926	37.61345
31.30243	29.7751
34.87496	40.9174
96.10575	56.2895
19.7992	32.88149
44.11189	34.86219
97.9835	54.85661
88.8094	52.28763
46.26407	41.96273
42.33984	41.23118
87.53023	56.50519
56.97105	41.74866
12.43035	30.47843
9.266069	28.57564
78.4322	52.40694
60.40885	44.53384
43.87391	40.11232
2.854395	23.06183
78.53406	44.724
24.76878	29.01044
34.61602	37.45893
88.73945	53.8148
22.42586	28.59535
47.79169	39.01925
89.0853	52.37508
97.34271	53.07329
82.1229	46.80925
49.92698	41.21505
61.23964	37.86029
34.15393	32.97915
15.6022	31.52961
22.34373	29.01716
1.890515	25.49578
14.60691	29.22282
13.58039	25.793
87.56382	53.31502
73.37773	46.44546
71.79125	46.11987
26.10556	31.5268
70.68051	39.96539
13.34266	29.2923
0.9261676	22.61689
45.65199	33.9692
8.137736	23.06081
75.7138	53.14419
70.7806	48.00325
91.13954	50.38214
93.24737	51.99487
0.7771826	26.06677
75.65167	53.96645
33.39828	34.52368
72.52372	41.28048
90.76202	52.52617
1.699549	27.15913
85.02711	55.28317
97.91982	54.33674
93.48916	51.49224
95.01643	56.34453
16.32274	28.16505
60.20912	41.10697
23.08916	33.97057
25.69826	32.99694
74.01917	47.67012
57.63205	41.63615
51.35994	36.22485
2.114699	27.46961
15.12774	27.67982
16.20079	27.35109
97.11136	55.32647
73.34182	46.7239
93.89009	56.45329
38.01328	39.11351
95.56407	51.32227
16.82327	28.97058
32.75221	34.68291
66.54072	43.29531
96.65733	54.62822
80.21971	51.9257
91.74516	50.91295
53.25778	37.30605
31.64297	36.76969
65.05069	43.6158
20.22726	30.62487
80.48935	50.07877
43.41891	45.73423
26.61038	35.86029
42.18105	39.56503
26.36088	34.76763
64.4795	41.0129
78.81082	48.98962
20.60323	32.1692
82.31433	48.65836
39.55929	38.52411
91.3368	53.82143
66.72853	40.52572
71.28053	52.90719
94.18416	55.34037
6.286474	25.97714
87.53741	48.97599
73.96578	42.48507
70.69087	42.94999
51.05186	40.18557
15.47014	26.87742
83.86783	49.95634
9.259611	28.20408
76.84855	43.91419
99.89826	49.27854
26.18575	38.38718
41.0751	34.06798
59.29376	40.46077
4.335442	28.43367
49.35765	33.60919
41.10377	35.14491
66.3095	47.3948
7.88789	22.6546
17.51123	30.88662
2.835152	20.96974
2.911044	25.02346
71.26063	52.25063
91.92241	52.01646
10.4233	26.46965
1.349113	23.33877
82.76421	55.58379
3.72879	25.89376
35.56566	41.57779
73.48497	51.09105
64.29518	49.00526
61.13306	46.44445
27.39517	33.77261
78.49614	52.74842
14.69703	30.63895
31.73633	30.79344
11.45471	25.85199
46.79117	41.76903
37.94043	35.16919
42.12083	37.13142
97.20173	56.36994
6.570619	26.53493
8.620458	27.23687
87.13968	47.9797
88.65955	52.29594
81.30596	51.4906
84.91473	49.33595
42.20649	42.91274
80.12883	48.45463
7.754426	29.78859
53.98257	42.52926
23.90624	31.68147
4.645114	25.22426
63.34214	49.31927
93.06377	50.50308
58.14051	39.9823
30.84983	34.5491
25.67858	34.19576
63.44156	53.30744
64.16191	44.27344
71.23372	43.21775
21.06939	32.82445
32.07639	32.57555
36.68727	36.17983
39.21529	40.63284
4.671562	26.578
7.850245	27.04923
60.73237	38.98389
79.39345	48.32382
99.6814	55.14057
37.71271	29.38843
95.42748	52.57073
76.19033	52.48878
60.0061	44.03234
11.18062	22.90386
31.52844	32.96682
18.97914	30.05994
34.90211	27.10088
86.57224	48.70755
50.57691	39.84574
27.00044	28.21925
34.2098	35.49818
67.17063	47.49969
43.0213	42.04719
80.5799	43.57349
78.9595	47.51408
33.19826	41.14228
37.87242	35.51325
54.70228	38.45313
2.667264	24.24665
14.86086	28.27393
48.88788	38.29622
52.53389	38.60086
87.69028	52.83279
54.09026	36.16238
8.212239	26.28994
69.01404	44.2938
24.5675	35.89091
27.49187	37.43875
43.65752	33.38652
32.3584	35.48983
87.58051	50.39052
6.799072	24.20064
79.83243	55.05038
74.55283	44.38538
71.56428	46.48617
59.23298	38.28955
87.65105	44.63961
69.02457	50.63075
95.56004	48.97718
66.23144	45.10927
93.09247	54.57179
57.53432	37.9013
74.63236	48.17344
68.08108	44.8025
45.5336	40.02646
43.43521	42.1137
15.9096	27.96672
44.00556	33.69309
82.72185	54.25152
16.23472	30.71778
77.61221	50.02309
31.17399	37.70899
49.38559	40.34357
37.54849	35.02628
38.15607	35.88543
74.66984	42.18436
88.85273	51.14261
45.75127	37.87971
56.94627	39.51584
95.02081	54.57993
41.01516	36.76928
85.57459	53.22808
4.510209	26.69107
0.9882676	27.28409
10.36932	26.43463
33.02348	36.8761
37.03589	35.90256
35.93451	43.38814
82.43256	50.92002
94.50156	59.24787
97.69174	57.24855
84.27163	46.53682
84.98162	52.0171
56.12163	39.23139
97.1835	51.65891
5.856757	18.33571
51.47551	36.87402
1.491593	23.43718
92.435	48.86094
72.69425	44.65868
88.17084	56.77527
8.894904	29.54809
17.03832	34.82991
71.08787	40.14955
74.93172	43.85344
51.60063	42.08338
94.27667	48.7148
95.54067	52.51044
28.21988	36.12464
32.92717	33.23751
16.10626	27.75818
19.61657	32.82028
15.60005	32.99842
22.24649	31.53428
6.793003	22.72443
68.57777	45.30982
14.38377	29.92993
8.484699	22.7938
45.36509	38.55239
4.643268	31.54398
4.385427	26.13009
34.26843	33.49884
45.83848	37.9191
12.98954	23.90914
94.60033	53.20712
20.84002	32.3659
20.71774	33.0515
52.96783	42.52129
8.546467	22.5995
20.84086	34.92859
12.54977	26.74051
14.38552	32.50171
30.79469	38.96745
95.90244	51.92849
6.711224	26.99466
24.10584	31.64917
57.74286	35.94864
89.70571	51.00342
11.3826	31.07175
32.73271	39.11014
37.44124	36.06663
72.56671	47.17196
61.81485	48.418
41.61544	33.68307
62.53242	44.00264
54.75073	45.79641
66.57013	45.45333
2.709834	28.34795
16.47844	28.00884
68.93413	45.15157
45.17052	38.02259
85.0254	47.19547
56.18038	44.77985
79.9267	46.19126
92.77471	49.25178
36.48889	36.89663
10.11382	21.03046
58.95372	44.42092
43.73833	36.77671
32.97629	35.78524
38.64225	33.94346
31.60636	35.26613
32.38436	41.9655
69.43854	39.82399
25.96654	35.18964
85.23532	51.83511
77.6915	48.50123
94.60708	55.22237
54.6052	40.09979
56.57429	40.23911
3.813052	26.7772
77.69107	51.02434
68.40356	41.30074
89.37823	50.4232
76.20735	47.94919
40.34605	34.75967
31.66253	30.05529
34.45378	37.1634
10.2642	28.12283
10.3097	27.53952
39.50617	31.94934
77.07866	43.2874
70.35368	47.33898
19.45708	34.35154
73.86083	41.50976
73.86253	45.68838
40.38092	38.05884
99.18593	54.37063
24.06727	32.94604
67.70205	42.80159
40.76143	35.45723
73.39175	49.6081
56.46457	45.56123
52.98669	38.87894
6.413975	24.99466
15.15387	28.67321
29.11779	35.33657
24.39246	32.17281
93.59766	55.71487
80.66602	51.49259
28.91456	34.355
10.79257	21.19629
58.96818	38.57948
8.955069	26.03102
43.47097	39.69841
36.51199	35.64977
95.9559	53.45686
57.17443	44.73923
36.43292	39.4236
7.418255	28.87469
18.22392	32.65964
93.04611	55.90966
6.517177	25.14508
59.82047	44.37224
30.4922	30.94894
13.07134	30.13254
43.68195	38.5818
1.055925	19.34229
97.55954	54.08715
44.9606	38.80832
24.70053	30.3269
26.00594	35.4792
97.27406	54.65109
70.63152	51.0345
44.83269	41.09803
51.256	40.33107
35.39951	33.73695
22.7029	28.84681
70.31088	48.2711
1.457364	26.20899
1.733925	20.26596
18.41932	30.48632
98.17916	53.16171
19.1692	34.27364
4.890899	26.20723
39.13588	35.33098
42.73727	33.62216
73.52357	49.1296
62.54685	46.32721
6.034961	24.79779
73.91122	44.76785
68.41778	39.02221
9.921338	22.46689
26.30125	37.9495
57.49216	42.05292
16.28695	35.21983
50.54054	42.58982
22.94341	38.4842
14.52602	29.66289
86.65589	55.57564
99.15893	52.47324
94.72915	52.69107
97.6698	50.96673
65.80977	38.88157
1.767044	21.91433
67.56076	43.3687
95.77036	50.62623
25.58616	30.3796
97.4685	54.50356
20.46945	29.10674
86.30553	53.91276
40.57666	35.3694
45.51753	35.91893
65.62365	45.12097
18.86044	32.28138
97.34157	59.3746
32.88448	33.66435
62.68195	44.89716
95.0692	55.82071
94.30306	58.51887
99.28038	57.60564
51.63751	43.34904
8.647568	23.46186
43.93526	41.89934
27.61149	35.11642
63.26899	41.01595
46.69908	41.63325
46.90546	35.15215
14.94338	33.25207
2.496441	22.84907
3.052405	28.69652
36.5883	33.98227
67.09173	45.56625
93.10806	52.7833
94.5724	54.96383
44.05596	35.66524
33.79942	34.35487
50.41871	35.36572
64.02275	43.42436
41.18016	40.56832
26.68168	32.43929
26.18069	31.99302
99.58774	55.56258
82.12785	54.31836
25.86646	28.75774
57.41279	48.83719
94.70347	51.27781
70.78979	44.02689
50.09192	40.14344
93.55673	49.08416
75.51095	42.96972
35.50759	27.12692
57.2623	43.7836
18.10044	28.20525
98.69179	50.28043
61.14152	48.55715
69.05044	48.23979
10.42906	31.62716
40.39286	36.40632
11.37304	24.08037
89.52535	54.68989
21.71603	31.76397
82.80281	49.08333
85.37306	45.71107
25.58093	32.87095
99.04882	56.67112
11.11378	26.46518
57.13999	46.53211
88.4155	52.19085
32.15179	35.27223
26.19269	39.55702
30.31639	29.66052
67.32976	54.4998
68.0358	47.66241
15.10325	29.23669
65.8444	49.38678
31.6624	30.13973
9.912738	31.422
78.85075	46.42045
78.46763	48.74484
42.1632	38.38622
54.15202	43.78855
82.07133	53.46442
38.58339	37.93877
21.4465	32.09203
10.48938	25.86977
89.93662	51.41224
6.386297	22.90431
78.84592	52.84099
45.72015	40.19591
88.7708	54.70544
83.66699	45.90206
86.31956	52.75018
1.014452	34.00821
14.18405	30.41264
61.13289	44.20813
39.77245	38.00518
0.6624283	31.21427
13.04964	31.33115
6.292318	25.82387
23.55428	35.23522
15.07643	33.03162
66.54083	43.45352
76.7656	48.8097
94.58202	54.15661
31.64931	38.21978
55.44027	40.93155
60.50469	43.7472
21.10237	33.11301
46.64883	35.21523
93.88356	56.42966
74.42415	51.87445
48.55208	34.76057
77.36076	46.49345
39.90639	43.62103
84.98659	46.2731
10.55678	28.44613
16.67575	33.515
40.19498	39.66281
14.34955	30.77322
85.44281	51.99629
44.23029	43.14975
17.4215	33.62691
95.9317	53.02362
62.54109	47.90638
57.49703	43.0436
53.27226	43.53044
74.27837	48.35795
48.62632	39.1292
14.14867	30.11899
60.5695	38.12707
60.90674	44.53683
1.565107	28.4203
12.43835	30.87364
94.00805	50.49293
79.26487	44.29292
44.55592	42.81228
18.08511	31.56707
60.13987	41.48865
71.4708	47.97046
70.03911	46.89081
80.13326	53.35201
44.1722	39.62952
19.54998	31.38216
2.180399	25.51476
53.83483	44.63975
41.29421	42.54719
38.38986	34.7362
35.62938	40.39492
0.994043	26.20379
95.51823	49.76706
20.19704	33.88571
74.1467	47.39682
67.48544	43.95703
39.75164	40.19656
32.42724	34.77527
98.17242	53.2193
77.81228	47.5135
95.81614	56.34474
86.71028	52.81788
26.60403	30.86784
93.8136	58.0987
82.24152	51.39663
96.25013	49.24504
75.19208	43.84913
25.21608	28.14905
33.58588	34.47374
57.50902	45.04336
24.36556	28.55993
45.05861	31.59933
45.1305	38.87977
73.36479	44.16534
88.89343	51.50155
95.04024	52.70792
0.9145885	22.3536
67.7524	45.82714
21.01636	35.19791
12.16914	32.83165
72.2271	52.05918
92.56008	53.98711
31.77127	30.23628
22.07571	27.98939
74.30505	45.72452
31.28624	34.21379
55.66831	36.81787
22.28145	29.78863
78.38851	48.94241
38.45435	35.75499
8.55208	29.95236
84.23623	46.75743
9.906732	30.66407
42.9854	42.45099
10.31411	26.14576
44.10017	41.64826
10.56029	26.42142
95.1468	53.29574
46.69252	40.00283
27.44375	33.81879
65.12411	40.92754
47.95051	39.52562
68.33825	42.79119
21.22928	30.90104
4.88931	19.14332
33.88467	35.48465
36.08459	40.73582
8.107422	25.7744
39.9137	43.58882
5.953922	26.95503
89.68949	50.6109
75.71223	45.72005
56.55635	39.87011
32.76921	31.66739
24.85179	31.65873
60.64757	43.62864
38.43443	35.8663
14.92055	32.83992
94.85253	58.77937
86.28915	51.79913
94.58116	48.60579
76.0839	44.79779
64.03719	43.47901
83.46305	49.5467
78.11237	53.92849
58.78732	44.5173
43.13647	35.85574
26.64372	35.48125
92.84362	50.53765
23.35974	36.11708
40.71138	35.24513
24.88161	33.49725
36.24686	36.9391
7.103488	22.40598
36.20333	39.52214
38.3338	34.67302
9.832187	29.5129
14.41172	30.70928
43.46762	36.41998
71.6219	48.89882
35.13523	37.18799
93.94939	51.19673
68.88502	39.98947
74.6668	44.60689
76.25624	46.31941
79.99568	49.57217
84.1591	49.05211
63.87272	46.775
74.80128	49.25819
61.72179	40.11323
60.15628	44.03204
58.72246	46.19154
24.05614	33.67111
69.97463	46.13348
3.645875	25.24046
3.240414	18.94231
54.65959	39.08195
32.74901	35.55042
90.30668	49.86207
63.24092	43.60153
52.06441	43.64275
68.69176	47.04808
68.99836	42.1316
27.35761	29.84919
37.54268	35.89224
96.4244	53.42393
33.19852	35.13069
47.21742	42.3763
68.93761	39.18056
51.24654	43.68798
77.41105	54.64949
74.87103	47.7919
41.03488	35.92601
39.80624	39.3152
37.72901	41.28834
12.80962	31.56902
80.83347	50.73608
85.89987	52.37882
23.87139	28.30719
68.61594	48.76714
60.76045	41.41439
43.0121	33.8306
49.85679	40.10495
46.07172	40.77993
86.80922	48.45452
79.57094	41.9131
0.3598613	22.78993
17.03264	25.22801
48.85067	40.30456
26.62219	29.51432
43.23415	34.12413
87.21662	52.2472
22.20751	30.4855
16.52617	34.91869
61.13637	39.83418
57.77314	40.60028
61.67186	36.70989
20.35667	31.04451
55.92328	43.87673
10.15595	25.96104
14.8412	34.28687
10.95329	29.75559
52.53672	43.2859
25.62623	31.65115
15.75652	29.6765
56.42386	41.32517
63.80745	44.5317
4.304829	25.5517
79.71686	49.79076
66.24948	46.64721
4.541798	29.99513
4.334923	23.0825
96.02013	54.22865
1.011927	23.81358
65.42836	37.71128
49.25428	39.80575
53.37036	38.44701
27.27379	34.58741
29.31773	34.71804
14.53316	26.85064
69.10269	45.72669
93.14847	45.80622
27.18646	35.06246
60.81971	41.51545
62.25009	44.76184
12.74571	32.87847
8.648203	30.11402
27.75039	35.84916
98.00576	55.00549
82.51097	44.0887
35.26301	33.20937
94.77466	54.28228
54.11002	38.62511
76.96267	48.27716
29.66533	35.52673
48.30672	36.62922
38.13944	30.76129
6.014479	25.67509
3.542365	26.9714
42.79527	36.27031
86.57062	50.27412
39.56741	33.89972
72.69434	48.31584
58.03984	49.3585
1.853804	29.31002
39.2179	31.46602
98.48727	52.42942
48.77371	38.25323
94.10563	54.04864
83.92847	47.52091
17.95158	28.20647
95.01048	56.11727
85.99232	56.799
78.49157	49.26422
56.95004	47.07594
30.26514	40.04051
2.2786	27.37395
13.82421	25.73971
7.102759	32.72377
91.6582	51.15574
92.77932	48.825
36.63238	33.29158
39.29345	39.26251
9.933824	31.0824
65.13605	43.15685
53.6407	41.0724
6.007176	26.99028
43.77612	34.51828
7.929952	25.76094
84.93139	49.95213
10.6553	28.12178
50.56388	41.96685
53.51782	44.28866
47.09897	37.74436
75.5023	52.83143
77.91595	51.85281
49.98511	38.98042
94.74432	51.05827
92.95188	53.48661
1.339721	26.39889
42.30414	37.55673
78.07794	49.92038
97.5904	54.14107
15.3421	28.34967
98.76406	49.13309
84.26995	46.11663
95.15149	48.84324
85.6029	50.39897
82.6388	48.38061
81.20543	48.51104
52.12943	42.5144
40.88581	37.22235
88.90546	51.78046
56.23732	48.52531
78.77465	45.56763
84.84227	51.4582
34.36649	38.98149
83.91218	48.75046
58.07242	43.71855
83.82288	55.54179
87.88743	54.41362
14.28755	25.4062
1.782012	27.96936
16.05546	27.62314
73.18263	46.77164
60.92303	38.09319
21.70118	32.4414
88.13552	49.91069
32.5819	39.13367
92.99683	51.38844
52.77596	45.58374
89.61299	57.29454
56.79535	44.80744
22.14588	28.86264
5.707919	27.34571
88.0762	48.06525
85.75426	55.32975
62.96912	42.48697
51.57445	40.29388
28.01765	35.10744
34.8102	35.88959
59.93217	43.16594
91.23175	54.05089
58.87559	48.60615
32.27531	36.4666
62.24922	41.83992
88.9535	58.26649
28.569	41.6209
82.12865	54.42593
52.80956	40.90731
2.111467	24.43811
19.12803	26.60918
19.89675	31.78079
14.09274	24.08006
13.10906	23.5254
27.85388	30.73693
62.4575	44.85667
8.41542	31.58077
84.34779	47.26526
72.26583	42.30737
29.64892	32.31441
45.30962	30.82323
84.13946	50.82744
80.27504	46.67568
63.73686	43.44632
5.919486	23.41308
89.26754	48.33176
73.25422	50.44884
55.27571	46.07232
20.92501	34.25483
43.42269	37.35513
95.62373	53.13751
70.11113	42.13514
39.30627	34.95224
54.61295	40.0625
10.81947	29.1643
34.94499	35.90139
42.01807	29.95346
90.5457	51.33489
78.63503	51.47761
0.6762163	24.6956
58.25274	43.57948
11.07543	29.15833
86.6315	47.70813
12.07438	23.56254
68.8685	46.8469
96.12264	59.05788
80.24846	46.45018
38.16112	30.3476
65.83267	43.40657
59.29691	45.24537
73.79422	43.70743
51.50709	41.61537
58.77429	45.99624
84.81764	49.49368
61.02322	40.71286
77.85686	50.10254
10.61887	31.39849
83.84448	50.00049
64.55123	36.59151
87.8531	51.81682
98.10714	51.8557
