DOM	BRYO	total	spp
10.11559365	0	50.94	8
14.4	0	69.43	6
5.768521463	5.287811341	90.71	11
20.02763466	2.22529274	95.02	8
22.28531746	1.502380952	63.1	5
1.33791063	0.243256478	59.61	7
17.73419093	0.290724441	64.41	7
7.162357414	0.010380228	46.41	6
6.966698202	0.012901293	40.91	6
1.005098684	0.861513158	34.92	8
5.776614311	7.971727749	66.2	6
0.116884907	0	33.92	7
26.32850941	20.03762663	80.5	5
29.81409692	0.217621145	123.5	5
15.1997558	16.56092796	83.61	5
11.04551724	0	57.2	7
34.65318818	2.932192846	85.7	7
9.113271028	15.81420561	71.7	5
20.26143791	0	62	4
41.2	0	92.11	3
2.350474002	0.01175237	40.91	6
7.055305466	1.464308682	41.4	7
0	0	120.91	3
0	2.70045045	54.5	10
6.2982009	15.46926537	73.7	7
1.340846995	0	75.5	4
6.974962568	0	167.41	3
4.7	0	149	2
0	0	113.8	3
0	6.115217391	106.7	6
0	7.421254802	82.8	6
0	0	123.9	3
2.289851485	39.65606436	84.1	7
0	0	81.6	3
0	6.672003456	91.61	7
0	3.8	72.91	4
1.687208312	0	123.82	4
0	11.95493848	102.71	7
0	0	116.91	6
11.7	22.9	76.91	8
0	67.64374696	109.11	6
0.525123524	39.69933841	125.41	6
0	0	129.8	3
0	0	142.5	2
0.324313725	42.48509804	82.7	6
0	0	102.3	3
0	0	65.21	5
0	2.346345425	61.91	6
0	0	136.2	3
0.625733634	96.15440181	138.6	7
0	11.04422111	44.4	4
0	0	52.4	1
0	3.499328859	63.2	5
2	0	130.6	3
0.6	36.6	84.52	9
0	16.1	70.41	8
1.98509772	0	128.3	4
3.788593678	0	94.52	6
0	57.2	115.91	9
11.0349116	0	105.21	5
0	12.18785714	90.6	9
0	0	61.01	6
7.1	26.3	75.91	9
0	0	140.5	4
2.547602131	0.012131439	95.62	9
8	0	91.41	2
17.6	0	81.2	4
17.32823059	0	73.91	4
9.578665632	0	156.51	8
18.92109974	0	159.1	9
17.4	1.5	131.02	10
1.97852349	0.123657718	73.7	8
14.3	0.01	67.62	5
0	0	80.2	2
3.10527144	6.091109363	151.8	7
22.35038168	0.539864292	127.3	8
19.80440986	1.342671855	103.52	9
3.323677582	0.383501259	101.5	5
15.1	0	102.81	10
2.015028073	0	93.71	8
4.986052009	0.237431048	120.52	12
0	0	157.6	2
10.4721075	0	103.91	9
0	0	99.23	6
0	24.36168957	128.23	10
0	1.083735681	209.31	7
10.40696203	0	60.9	5
3.070276618	19.48037578	81.14	7
0	0	117.7	2
12.8	0	120.2	3
1.553775744	15.09382151	97	6
1.116079673	26.78591215	84.61	7
2.108568443	5.581504702	118.7	9
0	35.34304057	98.01	12
7.646327684	0	141.4	3
8.3	2	48.4	6
0.622892431	34.10336062	108.43	14
20.08116308	33.15726928	110.82	11
7.138211478	0.250463561	106.71	6
11.22421663	0.555654289	118.81	9
3.730096095	2.186608056	62.91	8
4.850455101	41.92179052	85.01	10
0	0	165.51	6
0.745055137	27.120007	85.13	14
7.926163579	11.94839584	104.72	17
3.334161491	33.94782609	122	8
20.28820755	0	48.6	3
42.3	0	95.81	5
48.5	0	126.8	5
24.1	0	93.2	3
6.694651571	0	58.13	15
17.2	0	67.2	2
17.2	0	197.4	2
22.29549218	0	67.32	8
2.011575101	0	81.13	11
3.214712685	0	62.31	6
4.5	0	82	3
2	0	49.5	6
9.7	0	52.2	5
2.1	0	60.6	6
1.8	0	123.2	4
3.513295568	0.010333222	62.02	7
2.4	0	50.9	5
6.93654851	0	73.31	7
4.478220859	0	112.3	6
11.3	0	100	4
0	0	46.93	10
2	0	21.31	8
0	0	65	3
0.550406049	0	39.31	6
17.9	0	74.11	9
6.9	0	66.5	9
41.59516631	0	107.51	6
6.622406639	0.441493776	58.52	7
0.393877551	0	57.9	7
2.8	0	102.3	8
8.6	0	72.3	6
4.39304841	0.011873104	90.01	7
3.307154501	0	65.21	8
0.417569546	0	28.52	9
6.450130548	0	77.2	3
7.9	1	49.51	5
18.3	0	84	4
0.992236025	0	35.5	5
3.514438944	0	121.7	5
2.8	0	68	4
15.81029653	0	71.21	12
4.384313725	0	55.9	7
0.841210375	0.012017291	54.21	7
2.1	0	29.3	3
3.327693603	0	60.82	10
4.837613591	0	61.22	8
10	0	48.8	10
6.370900322	0.012491961	46.62	8
1.748837209	0	42.3	7
3.615212528	0	50.5	3
8.58920742	0	130.6	6
0	36.97781425	109.01	6
8.351162791	0.014651163	63.63	7
39.9	0	110.7	6
5.278899083	0	68.5	5
2.318250951	0.662357414	87.1	7
6.511784418	1.713627478	40.91	8
0	0	144.3	4
7.8	0	36.7	5
1.530935495	2.226815265	41.21	9
0	0	81.9	5
1.55052825	0	67.51	7
2.662244754	0	72.71	8
5.095716609	0	67.13	11
17.50175213	0.154882762	60.11	7
10.28424658	16.89554795	71.5	5
0	0	101.2	4
11.49397024	0	143.9	3
0	0	77.71	6
13.36067416	2.842696629	50.6	8
8.703812317	0	84.8	8
11.3827957	0	134	5
0	0	98.1	6
5.262850467	0	132.5	4
29.8	2.2	76.51	7
31.07442569	0.01322316	112.82	9
0.992783505	0	35.31	8
2.5	0.01	56.61	8
15.07488152	0.42464455	67.2	9
0	0	126.6	4
6.762776025	0	63.52	10
9.068440083	0	54.02	10
28.8	0.01	74.53	8
6.877288136	0	95.1	3
25.5	0	130.41	6
15.95710081	3.665820456	117.22	6
1.8	0	76.41	7
5.576865672	0	79.5	5
0	11.7	57.12	5
7.2	0	184.7	3
6.9	0	83	2
17.2	0	131.8	3
9.085756133	4.432076163	60.52	10
0.394956522	26.59373913	75.7	6
3.762376238	0.214992928	76	5
5.4	14.6	67.82	6
0.313898788	0.418531718	58.72	5
24	0	236	3
12.42307179	0.010100058	121.13	8
1.991627104	0	76.91	5
7.478255814	0	88.1	5
7.5	13.1	57.11	5
4	5.2	52.5	3
4.3	0	39	5
3.5	0	82.2	2
15.6	0	202.8	5
4.928343902	12.74157204	81.51	9
9.7	5.4	67.1	5
6.811395819	0.010320297	61.22	7
1	0	58.62	6
0.010800773	46.22730913	78.23	5
12.1	0	77.1	1
0	9.7	62.61	4
15.43706667	0	79.3	3
2.415789474	0.011503759	73.44	5
8.544835414	24.45959137	103.51	4
3.7	0	110.6	3
2.519256158	0.479858316	74.51	8
13	3.9	69.7	4
0	0	81	2
5.7	0	189.72	5
4.6	0.3	50.01	5
9.1	0	75.22	8
1.5	0.3	63.31	4
9.4	0	97	3
6.8	0	86.1	2
8.635509069	0.010794386	81.53	7
3.005110733	0	63	7
0.975213675	0	114.1	9
0	0	99.21	2
10.7	0.01	85.01	8
13.15938865	0	98	5
6.58108747	0	89.8	4
22.6	0	83.3	3
9.684196721	0	158.8	9
2.672286374	3.435796767	55.1	11
2.744903825	20.12929472	51.73	10
12.75366161	0	122.61	4
1.24557777	1.423517452	52.51	8
2.3	0	51.3	2
0.834321373	35.39906396	76.4	7
2.9	0	90.2	4
15.4	0	104.1	3
0.455250353	31.98133731	72.51	8
0	19.08571429	66.8	6
2.247659064	0	62.41	5
2.394673123	36.51876513	98.9	10
5.100395322	12.01426454	68.81	7
21.26885486	0.011373719	101.01	3
30.85811594	0	142.9	6
5.825977611	0.011203803	146.12	7
12.31049011	9.369045572	126.7	7
24.10194884	0	185.8	6
16.55831162	0	250.2	11
35.59248029	0	201	5
14.16112957	0.114202658	137.5	5
5.45451505	21.93411371	69.4	8
8.797004608	0	209.2	4
33.7	0	180.4	5
0	0	117.1	4
15.57610063	0.107421384	170.8	5
6.193236715	1.032206119	64.1	6
1.222914678	0	117.41	4
0	52.35872192	136.21	7
0.933333333	2.566666667	57.4	7
0.231801008	0	73.62	9
7	0	145	5
21.4	0	111.4	4
0	0	89.1	3
7.832467532	3.598701299	48.9	5
0	26.2	94.6	2
3.980995266	0	101.41	7
0	9.8	84.5	7
0	0	82.21	4
0	66.14257121	168.8	7
2.915109344	0	133.3	8
11.1	0.2	136	6
13.1	0	30.7	2
7.765364121	20.79538188	74.1	8
0	52.82538813	110.6	4
10.21191136	8.695290859	73	7
6.772037915	0	86.6	3
0	0	95.42	10
19.83478552	0	163.5	7
1.16654321	0	85.9	5
5.477470356	0.133596838	47.32	11
2.847315583	0	48.32	11
0	0	63.3	6
0	0	107.8	4
0	0	141.8	4
16.98163265	8.330612245	109.9	7
2.926100307	17.34759468	102.1	8
14.9	0	92.02	7
0	0	130.11	8
21.6	0	163.2	5
7.7630668	0.817164926	71.41	6
1.066588785	0	91.3	10
2.362697274	0	71.6	6
0.554828974	0	110.3	8
0	0	75.91	4
0	0	207.5	8
0	0	306.5	4
0	0	112.41	9
26.71318681	0	270.1	7
5.024554998	0	91.74	11
32.94062078	0	77	7
0	0	50.7	4
0.804797939	0	83.31	7
1.060240964	0	149.6	6
28.90498084	0	112.6	10
0	0	119.1	1
7.5	0	75.01	8
0	0	125.4	1
4.553181818	32.37818182	111.3	9
19.75035798	0	138.71	5
10.6	0	123.1	3
8.343293071	0.417164654	65.62	7
0	9.711627907	92.8	4
16.12755065	0	285.31	3
0	0	202.1	2
0	0	145.8	4
8.389409033	0	160.01	6
0	0	66.41	4
4.462309368	0	53.9	5
0	0	103.1	2
4.3	0	77.7	1
16.81232999	0.112834429	176.71	5
9.43	0	94.3	5
13.70091293	0	119.61	7
0	0	278.7	3
10.2	31.5	278.6	5
0	0	67.1	7
19	0	115.82	7
13.55962403	0	75.41	6
0	3.604007634	125.9	6
1.6	1.5	34.93	8
23.41855249	0	206.51	8
8.3	0	52.4	5
8.781123245	0	146.2	3
6.5	0	113.7	1
0	9.62682362	27.41	8
1.528930818	7.056603774	37.4	8
6.69904963	0	97.6	7
0	0	109.82	9
21.9	0	148.8	4
15.31177829	0	132.6	6
13.19632299	0	254.81	3
12.55529801	1.141390728	114.9	5
20.7	0	123.6	7
14.89441133	0	145.9	6
4.109241379	0	78.4	4
4.399111111	21.05288889	70.7	8
5.082186732	0	80.72	10
10.13818583	0	114.91	7
10.1	0	113	4
3.3	0	111.25	12
28.3	0	251.4	5
3.9	4.3	109.81	5
19.6	0	122.8	3
15.6	0	147.8	4
28.84930265	0.201743375	115.72	8
2.1	0.4	98.9	5
5.6	0	52.71	6
7.9	0.1	89.8	9
5.4	0	77.61	9
22.04691546	0	146.2	5
0	0	115.5	9
2.460926076	0	137.7	8
11.6	0	126.1	6
23.8	0	217	4
31.7	0	76.1	4
10.34850886	0	79.81	9
13.41421569	0	84.2	8
11.2	0.4	70.02	7
10.7	0.1	91.62	9
9.952453194	0	201.61	7
2.437781109	0	81.3	9
11.8	0.01	91.72	10
0	0	33	7
9.8	0	86.31	5
14.6	0	74.72	6
5.370651014	0	102.7	11
5.569559571	0	97.11	15
27.93016867	0	229.51	6
0	0	90.12	8
3.67266055	0	55.6	10
1.710263376	0	133.31	14
11.1	0	102.91	10
6.8	0	128.3	3
3.927737226	0	107.62	8
2.96567029	0	90.32	15
8.5	0	83.82	9
3.7	0	55.5	8
6.130912863	0	81.52	13
1.7	0	48.42	10
3.376198796	0	62.11	4
14.18848279	0	173.11	9
0	0	71.1	3
14.7952595	1.232938292	90.51	14
0	0	142.71	3
0	0	134.91	8
0	0	136.51	4
4.566798671	0	157.51	15
11.35323741	0	157.81	10
14.39960337	0	212	3
0	0	186.91	2
19.6051835	0	133.72	14
9.21606381	0	136.12	12
0	0	98.6	1
5.41943958	0.602159953	82.52	12
15.7	0	96.01	9
3.552218182	0.394690909	180.9	14
11.84810127	0	90	9
9.083557519	0.117968279	117.52	14
0	0	123.4	8
12.72089109	0	113.7	15
0	0	276.8	1
0	0	184.61	8
0.576259436	2.650793406	74.81	16
2.873502047	1.124413844	100.71	15
0	0	63.02	12
0	0	150.3	5
8.019774645	0	188.81	10
1.031156389	0.011457293	84.91	15
2.818147685	27.81389237	97.9	11
0	0	146.3	2
10.727883	0	102.93	11
9.417114094	2.973825503	88.62	9
1.7	0	73.6	3
0	0	56.1	2
1.2	2.6	33.54	11
2.642231947	0.919037199	52.5	5
7.442456609	0	83.2	11
11.28300901	0.010544868	94.83	10
0	0	66.23	11
0	0	86.41	3
30.73048035	0	162.9	3
4.895498392	0	72.5	5
34.5	0	95.7	8
23.90953058	0	82.8	9
0.576681614	0	64.3	5
8.644447955	0	68.41	8
11.8	0	121.91	9
1.232774093	0	105.32	5
42.3	0	74.2	9
0	0	89.8	7
15.4	0	46.93	9
5.985185185	0	41.41	7
1.754825067	0	35.11	6
9.260455164	0	59.51	9
8.126753151	0	99.11	8
13.5	0.01	93.82	9
0.651973051	0	112.9	5
8.4265802	0	70.31	7
3.130680359	0.011181001	43.55	11
0	0	27.9	6
0	0	83.61	4
0	0.011539409	56.22	6
0	0	50.7	5
16.46455321	0	72.71	9
58	0	107.74	12
53.26027145	0	92.24	9
10.67683787	0	76.51	6
4.236292574	5.692518146	47.42	7
8.868386725	0	63.33	8
3.913495783	0	40.41	6
0.987994018	0	57.81	6
0	1.435855174	48.31	5
7.487589237	0.012690829	46.22	5
9.6586379	0	76.91	5
0.117209011	0.011720901	74.92	6
4.092796743	0	62.23	8
11.03096234	0.282845188	33.8	6
1.2	3	29.8	4
1.978122283	0.013187482	45.51	7
0	0.01	79.61	5
4.8	0.6	30.12	10
10.56543909	1.257790368	44.4	7
4.501273606	0	73.21	5
7.698619329	0	41.82	11
11.3	0.3	60.71	9
8.732849713	0	41.43	9
22.07794366	0	101.23	7
15.68129973	0	88.9	6
7.937039431	0	63.51	11
3.219047619	0	55.12	6
9.909950463	0.013575275	63.03	9
10.6347262	0	64.81	8
0	0.01188253	47.34	8
8.157061675	0	70.73	9
2.027912696	0	41.23	10
1.1	0	53	5
64.8	0.6	110.91	7
3.043263757	0	59.4	6
6.990621144	0.902015631	54.82	7
8.206996587	0	69.7	3
32.85834499	0.204089099	94.83	10
8.925870647	0	65.24	10
7.21700102	0.015355321	90.32	8
6.308488459	0	109.32	8
0	0.014877112	38.74	8
11.37181323	0	44.11	7
0	0	58.62	6
5.528980892	0	64.3	4
19.83630793	0.53611643	93.32	12
7.636257635	2.200277624	69.93	9
15.68256946	12.30997388	71.01	8
7.591572842	0	45.41	8
10.17307692	3.778571429	52.9	7
3.546979866	3.546979866	75.5	6
16.6	0	79.72	7
9.090314136	0	92.6	4
5.030216995	0.012575542	62.01	7
8.661273473	0	83.91	6
2.747897623	0	150.31	7
34.3	0.1	106.23	9
13.12977099	0	68.8	7
1.489863843	0	36.93	9
44.9732438	0	103.9	8
11.2	0	40.05	10
0	0.01	70.02	5
5.046573604	0	172.9	2
9.324434719	0	155.9	6
3.703453122	0.012770528	127.22	6
4.03125	0	64.5	1
0.808431195	0.01010539	67.12	7
8.9	0	114.5	3
0	0	100.7	2
3.165921367	0.01091697	86.91	6
0	0.01	82.72	7
0	0.013101769	102.22	5
5.301915709	0.415836526	81.4	5
0	7.457178	62.41	7
3.2	0	98.7	4
0	0.01	50.12	5
1	0	62.21	5
0	0	74.81	3
0	0	62.1	2
1.8	2.5	77.8	6
0.35181003	0.011727001	70.62	8
0.761126761	0	38.6	4
0.4	0.1	74	4
0	0	68.81	4
0	0.1	70.22	5
5.738959391	0	110.3	4
0.631527094	4.420689655	64.1	3
11.42488098	0	104.82	4
1.6	0	75.92	6
5.207775378	0	54.8	2
1.8	0.4	70.81	7
4.530563798	0	104.1	4
0	0	104.4	4
0.241543027	0	48.84	10
1	0.01	102.12	6
13.3	0	66.81	6
0.3	0	52.11	6
0	0	52.42	4
9.374418605	0	97.3	4
0	0	64.8	4
0	0	151	4
0	0.01	56.53	8
0	0	78.41	6
3.656937799	6.501222754	76.43	11
2.458155423	0.01293766	75.75	10
23.8	0	94.8	2
0	0	67.1	11
11.16352201	0	177.5	8
5.30093658	0	123.81	5
0.7	0.5	44.42	13
7.420143885	36.76344016	103.14	10
2.145257188	0	57.73	8
0.513011711	65.15248724	102.51	8
5.446867271	12.49575433	51.82	11
13.1	0	83.2	3
5.310276387	5.98818401	60.91	11
6	59.9	102.13	10
26.6	0	63.3	4
0.966749073	61.22744129	86.9	6
2.460530655	11.85528407	74.61	12
28.8	0	120.2	3
1.183200156	2.129760281	60.71	8
2.189634146	2.420121951	52.92	7
5.6	0	141.9	5
2.799275147	0	181.21	6
0.864615102	10.869447	67.23	10
2.776583035	13.04994026	69.72	11
4.964908722	0	59.7	7
5.168797954	17.15601023	86	9
2.106857034	33.93148696	116.11	8
3.780748663	7.561497326	72.72	10
8.5	0	84.61	4
7.9	0	97.8	1
1.638835795	0	43.53	13
0	2.283519354	50.61	11
6.399887971	0.011428371	81.61	4
4.981339402	6.389109233	66.62	11
3.679115448	0	100.11	7
2.892676249	0.013148528	57.63	13
0	0	99.7	3
3.363715397	0.012013269	52.51	11
0.237683824	0	51.72	10
0	0	31.6	9
2.04500902	0.012029465	80.02	10
2.230298857	0	73.61	8
5.4	0	59.7	4
8.807511737	1.431220657	46.9	7
58.20875114	0	135	3
40.5	0.01	96.81	5
35.7	0.01	89.32	6
13.08086253	0	84.4	4
34.7	20.5	97.81	5
9.894586895	0	75.5	5
13.54434783	0	59	3
6.4	0	82.31	2
9.69867374	0	91.41	4
8.762180974	0	91	2
8.6	0.9	72.31	5
11.8	0.3	50.21	7
10.4	0.3	50.41	6
11.00928144	0	72.1	4
46.8	0	125.61	7
1.279802956	0	43.3	4
4.7	0	49.7	5
17.9	0	75.71	7
4.5	0	31	2
3.980968858	0	88.5	3
17.4	0.1	83.21	7
19.7	0.3	121.71	5
49.6	1.4	117.1	6
3.088015717	0	54.2	5
3.631292517	0	62.8	3
13.2	3.9	55.31	6
27.4	0	83.1	5
2.264169381	0	66.2	3
16.82124884	0	115.7	5
8.988814318	0	98	6
6.018742443	0.109431681	90.5	4
4.326851514	0.110944911	30.41	4
4.7	0	81	5
6.156923077	0	66.7	6
3.3	0	41.6	3
11.83457811	0.426471283	45.11	6
6.1	0	67.9	4
6	3.1	66.7	7
13.3	0	77.6	4
2.228486647	0	75.1	3
9.241585108	0.010383803	54.11	4
5.325915493	0	51.1	6
13.23494318	0	87.9	4
37.1	22.4	118.3	5
0	0	160.31	3
20.5	0	110.2	4
0	53.44575703	117.63	10
0	21.8	38.6	3
27.5031816	0	97.72	7
7.736842105	2.052631579	66	7
2.953737542	40.94954319	129.32	7
1.1	0	54.8	1
15.08364389	0	49.9	7
19.69420601	0.525178827	73.42	7
10.68800348	0	71.62	6
10.878125	26.08735532	69.62	6
0	0	140.01	5
17.42526193	11.54930151	69.62	9
7.203171108	0	99.12	7
0	0	54.7	5
0	0	82.7	1
0	4.486368523	67.31	3
31.8	0	60.31	6
16.60321156	1.79494179	74.52	8
20.18020172	0	84.41	7
0	0	69.92	7
0	3.99795532	68.12	8
0	0	70.1	7
0	0	72.4	4
4.7	0.01	71.71	4
0	2.277756817	83.01	8
8.8	44.6	97.5	7
0	0	7.02	6
0	0	31.3	6
0	0	41.4	5
7.414170944	0	56.31	8
0	0	72.61	3
6.438691465	0.016509465	49.71	8
2.623976608	0	64.1	5
5.117043121	0.511704312	62.3	6
7.2	0	75.21	9
15.29356444	0	78.11	6
15.96063465	0	124.9	4
5.9	0	155.62	5
0	4.23015873	58.5	3
0	2.600988875	100.2	5
3.7	0	60.4	1
0	0	48.31	3
2.860907424	5.035197067	49.94	9
5.71969697	0	75.5	3
1.013461538	0.202692308	52.7	4
6.3	0	66	3
0	2.185156612	70.81	6
0	0	153.41	2
4.6	0.01	59.21	7
0	0	87.7	2
6.3	0	95.9	2
10.5	0	100.01	4
0.126441702	6.195643415	50.21	5
1.8680067	5.020268007	41.82	7
0	0	101.2	4
0	0	39.93	5
0	0	106	6
14.07502075	0	155.6	3
10.236953	0	145.2	3
0	0	97.22	7
2.999385561	0.230721966	75.1	7
41.19402352	0	234.51	7
0.827586207	0	76	5
4.713040314	0	75.31	4
13.96312324	0	117.8	5
0	57.38923077	94.9	5
1.070732839	60.3893321	92.34	10
0	57.8015376	120.91	7
0	0	89.61	4
24.4655	0	87.9	4
7.015384615	0	55.1	5
1.988182352	10.68648014	63.51	6
0	12.21448141	66.4	6
0	0	92.61	4
0	0	71.91	5
5.7	0	79.51	4
13	0	75.12	7
8.437927233	0.011102536	60.42	6
7.5	4	51.2	4
28.6	0	115.1	4
3.3	8.9	62.71	9
0	3.658108425	48.71	5
10.1	0	72.4	3
6.798102467	0	170.6	3
0	25.87710472	83.32	5
9.652735662	0	166.4	4
6.527856025	0.331924883	70.7	6
6.5	0	32.1	4
9.95866512	0.010824636	84.01	6
22.8	0	80.11	4
11.6	0	82.81	7
13.55783274	1.416489988	85.9	6
17.83308977	0	102.3	7
11.178464	0.010545721	79.23	9
10.5989019	0	159.1	6
8.7	0	58	8
3.843085106	0	127.5	6
5.922807018	0	42.2	7
4.1	0	86.6	1
5.2	0	64.6	1
4.037075718	32.65281831	77.31	6
2.372827804	27.28751975	75.1	5
27.69967721	0	160.1	1
0.620408163	0	60.8	6
1.4	0	94.6	1
0.323536036	11.75514264	71.825	6
0.994349271	0.110483252	43.21	7
18.7	0	109.8	1
23.5	0	124.6	1
40.43888206	0	186.5	6
1.161877782	0.011618778	57.42	9
2.586206897	0.492610837	75	10
1.501338515	3.685103627	63.22	10
24.1	0	65.41	6
11.24482391	1.803415155	99.4	6
7.729853862	0	108.9	6
5.680103137	0	82.61	6
1.903926097	0	45.8	7
4.1	0	35.61	6
9.7	0	100.7	3
2.091042584	0	71.2	2
0	0.01	67.52	4
10.02039627	0	181	4
0	0	105.2	3
0	0	68.2	5
0	0	55.2	3
0	0	63.81	3
0	0.011822993	80.42	4
3.086202532	0	90.3	3
32.3	0	116.7	4
0	0	42.5	2
7.5	0	56.4	4
0	0	59.9	2
2	0	41.3	4
2.6	0	91.31	4
0	0	115.7	3
2.050817499	0	92.82	5
57.1	0.2	112.1	1
0	0	95	3
2.835695876	0	81.5	3
3.9	0	117.3	5
0	0.6	51.5	4
9.064864485	0	81.71	4
0.01	0.01	82.25	5
0	0	67	3
0	0	73.9	4
3.2	0	67.92	4
0	0	151	4
0	0	161.9	2
0	0.3	124.6	8
1.3	0	94.21	5
0	0.010197399	87.82	7
0	14.09539029	59.31	7
8.64648424	33.86539661	104.01	5
0	0	130.1	3
0	0	145.3	6
0	0	66.91	7
48.4	0.4	96.93	8
8.132629108	3.753521127	53.3	6
19.95227814	0	137.31	5
41.4	0	136.7	4
5.705268935	0	115.5	7
6.3	0.01	69.11	2
3.436274139	0.010738357	56.72	4
30.2	0	121.6	5
1.23164557	0	38.92	6
15	0	119.2	2
70.13381503	6.797109827	106.9	4
22.2	0	121.51	5
75.5	1.6	147.3	5
22.9	0	133.8	3
23.06705202	1.922254335	73.9	5
52.8699905	0	235.4	3
22.7	0	140.91	3
0	5.030756415	70.22	5
0.01	0.01	44.05	6
19.25510204	0	91.8	5
0	0.014029153	102.02	6
48.5029048	0	115.51	6
31.31102568	0	71.23	7
16.6	0	104.5	1
24.19872854	0.913159568	71.82	7
22.9	0.1	67.22	7
9.630286766	0.010582733	69.01	8
35.85	1.034134615	71.7	9
16.6	0	66.5	3
5.2	0	86	4
17.8	0	94.22	4
28.91330978	1.45606596	88.3	7
30.7	0.01	52.92	9
11.7	24.7	86.6	5
8.6	0	100.11	6
13.41533546	0	64.6	4
10.2	0	72	6
0	0	27.31	7
0	0	28.32	9
14.5	17.6	77.6	11
0	0.446913938	51.41	5
12.50673854	0	116	4
2.937846154	0	68.2	5
35.9	0	71.1	6
52.2	0	153.42	6
12.4	0	108.8	4
31.8	0.01	83.21	4
0	0	182.81	2
0	0	140.2	1
3.637133468	23.48549039	82.22	10
1.05034841	12.47288737	103.63	9
0	0	86.11	3
4.639736781	36.74169938	108.62	7
0	0	105.9	3
