stems	diameter	xcoord	ycoord
1	11	2613	349
7	11	2623	357
6	10	2608	371
2	2	2641	399
1	3	2617	360
8	8	2722	339
1	8	2700	346
1	6	2740	341
1	7	2751	342
1	3	2716	368
11	7	2729	376
1	9	2786	338
2	11	2788	361
2	9	2757	300
5	14	2800	330
1	10	2835	344
1	5	2870	357
1	8	2827	334
6	14	2927	327
2	8	2990	329
1	9	2918	351
1	8	331	409
2	4	451	403
1	9	440	411
1	8	403	412
1	9	465	440
1	8	435	444
2	10	475	451
1	5	448	458
5	6	400	465
4	8	423	477
2	11	407	477
2	10	404	493
1	8	430	478
2	14	461	489
2	7	494	494
6	13	564	406
3	10	575	400
2	8	519	433
1	7	503	452
1	8	501	474
1	10	590	449
1	10	517	480
3	13	530	479
7	9	581	484
1	8	533	485
1	10	669	401
1	8	625	418
4	9	675	428
1	7	680	427
1	7	627	428
1	9	626	432
1	7	662	441
1	10	648	443
1	12	638	444
1	7	668	447
1	8	663	450
4	10	608	450
1	11	665	449
1	10	683	459
2	9	685	459
1	8	697	463
1	9	659	485
1	9	607	485
1	7	601	499
1	9	657	491
1	7	681	460
3	6	653	418
2	8	787	414
1	9	785	412
2	7	731	414
9	10	724	423
3	9	720	421
1	11	749	440
1	7	737	441
1	8	792	459
1	3	741	457
1	10	752	472
1	9	743	478
1	9	799	495
1	3	767	495
1	5	758	488
1	7	738	419
1	12	824	418
1	11	819	448
1	7	813	483
1	8	844	490
1	3	841	495
1	10	826	497
1	6	818	499
1	9	1054	481
1	9	1059	483
1	6	1286	410
1	7	1280	414
1	8	1268	417
1	4	1243	418
1	5	1279	429
1	7	1289	436
1	9	1374	467
1	4	1375	466
1	5	1368	478
1	11	1380	480
1	6	1311	482
1	9	1316	493
1	15	1561	435
1	9	1530	476
1	8	1505	497
1	8	1560	492
1	10	1591	489
1	7	1581	495
6	12	1590	499
1	6	1537	467
7	10	1682	412
1	4	1635	419
1	5	1671	440
1	5	1638	445
3	11	1625	474
1	4	1667	477
1	10	1645	484
1	7	1652	488
1	9	1655	496
1	5	1640	499
1	10	1771	403
2	11	1725	405
1	11	1765	412
3	8	1783	416
1	7	1756	419
1	6	1712	435
5	10	1719	440
1	8	1878	419
3	7	1837	422
1	11	1857	441
1	11	1896	468
1	3	1841	486
1	6	1886	486
1	8	1980	411
1	10	1941	436
1	9	1972	439
1	10	1941	439
1	10	1993	444
1	5	1999	447
1	7	1936	462
1	15	1977	468
1	8	1982	472
1	4	1982	474
1	5	1971	481
1	3	1990	482
1	5	2019	407
1	10	2007	411
8	11	2051	417
1	7	2015	419
1	5	2081	446
2	4	2050	452
1	3	2061	453
1	10	2054	471
2	5	2005	476
1	8	2059	486
1	5	2079	491
1	4	2002	492
1	10	2024	493
4	9	2082	497
1	5	2098	494
1	6	2015	448
2	6	2108	403
2	11	2169	428
1	10	2197	440
3	7	2184	468
1	7	2197	471
7	14	2116	477
3	8	2131	487
1	4	2125	491
1	5	2127	493
1	9	2119	494
2	7	2251	418
1	4	2244	424
1	3	2252	424
1	9	2276	435
1	8	2256	438
2	8	2284	447
1	2	2283	445
1	8	2279	462
1	9	2271	466
1	10	2276	473
1	7	2328	413
6	9	2569	413
2	10	2595	413
1	7	2591	422
1	6	2592	428
3	9	2575	446
4	7	2564	444
1	9	2523	454
1	10	2579	462
1	6	2593	470
1	7	2594	471
1	6	2573	498
1	10	2600	436
3	13	2680	443
1	10	2686	439
1	4	2666	493
6	11	2790	406
3	10	2793	406
1	11	2732	416
5	11	2712	422
1	10	2730	419
1	7	2745	412
2	10	2756	418
3	10	2770	407
2	8	2750	412
2	9	2780	417
8	10	2790	446
1	11	2737	460
1	14	2723	453
1	7	2729	462
1	5	2721	467
2	9	2720	482
1	17	2744	473
2	7	2758	452
5	9	2814	405
1	6	2865	409
1	8	2863	416
1	9	2877	424
1	7	2878	430
3	12	2800	459
1	8	2812	463
1	6	2979	436
4	13	58	593
8	11	190	599
8	7	290	556
1	11	276	550
1	12	291	556
1	7	229	581
10	14	237	591
4	10	300	548
2	11	342	518
5	10	376	561
8	16	400	516
1	12	420	510
1	7	420	515
1	10	485	563
1	7	487	568
10	11	429	570
10	10	469	588
1	7	573	507
1	13	548	514
1	9	560	517
1	11	528	526
1	11	537	561
1	7	523	565
1	10	535	568
2	6	528	570
1	10	589	537
1	9	650	509
1	8	716	510
1	9	770	520
2	6	777	519
1	6	770	519
1	9	732	520
1	6	757	526
1	8	769	528
1	8	708	545
1	9	705	549
1	5	828	526
1	7	819	531
2	4	802	528
5	10	825	536
1	9	817	552
1	9	938	526
1	5	924	530
2	9	937	544
2	4	968	547
1	13	919	561
1	7	917	503
1	8	1008	594
1	4	1290	508
2	4	1293	515
1	7	1240	589
1	11	1273	591
3	12	1332	564
1	6	1476	563
3	4	1423	577
2	10	1485	578
1	3	1440	596
1	6	1522	526
1	5	1520	527
1	10	1511	539
2	9	1553	541
4	8	1576	542
1	4	1575	541
1	6	1573	591
1	5	1558	595
2	13	1581	595
1	5	1644	504
1	6	1639	540
1	12	1629	540
1	10	1623	542
8	8	1622	556
1	3	1661	571
1	10	1634	584
1	11	1648	592
3	9	1759	513
1	10	1744	512
1	4	1737	516
1	4	1736	520
1	7	1720	522
1	10	1781	527
1	3	1778	529
1	5	1776	530
1	5	1713	539
1	7	1703	544
1	9	1761	545
1	11	1775	552
1	12	1778	552
3	10	1780	544
1	4	1722	559
1	10	1707	564
1	7	1798	556
1	5	1716	573
1	14	1745	588
1	5	1730	565
2	13	1814	546
1	10	1806	541
6	11	1846	580
2	9	1816	567
2	6	1874	578
4	8	1802	587
1	3	1805	582
1	8	1878	593
1	12	1850	599
1	8	1834	599
1	3	1996	518
1	6	1960	537
1	6	1963	538
1	5	1954	568
1	7	1956	568
1	12	1993	574
2	8	1922	594
1	5	1955	599
4	5	2040	511
5	10	2052	534
1	7	2033	537
1	6	2027	539
1	11	2041	547
1	8	2066	567
1	10	2001	578
1	4	2031	572
1	15	2045	595
1	6	2099	547
1	5	2133	507
1	4	2148	514
1	9	2140	516
1	3	2150	520
1	3	2149	522
1	9	2168	528
1	11	2115	549
1	6	2116	556
1	6	2114	563
1	12	2106	589
2	3	2166	559
1	10	2290	508
1	11	2251	509
1	3	2267	530
1	10	2232	550
1	9	2416	510
1	10	2422	517
3	9	2563	543
1	10	2548	583
4	7	2531	593
9	11	2678	516
1	6	2650	532
14	12	2702	508
3	7	2738	510
2	9	2744	540
4	12	2735	543
2	12	2712	552
1	7	2700	538
6	11	2720	559
3	10	2772	584
1	7	2770	587
1	8	2792	569
1	11	2738	568
1	12	2879	517
1	10	2800	576
1	6	2983	537
1	9	2980	574
6	14	26	613
3	15	58	682
12	15	142	635
6	16	147	627
2	12	170	623
1	4	189	600
2	14	151	631
1	11	181	676
4	9	177	682
1	5	178	683
1	11	190	688
2	9	176	626
1	14	243	630
1	10	389	604
1	7	337	614
7	11	313	631
1	5	400	614
1	5	418	620
1	10	474	631
3	12	468	643
1	11	464	696
1	9	514	636
1	7	889	668
1	5	883	691
1	3	874	698
1	6	1038	662
1	4	1198	676
1	9	1131	699
1	5	1104	602
1	3	1261	607
1	10	1390	633
3	6	1367	635
1	5	1481	653
1	5	1423	652
1	4	1429	655
2	6	1492	675
1	10	1520	605
6	10	1500	620
1	5	1507	627
1	6	1509	630
1	8	1574	600
1	15	1573	639
3	4	1547	649
2	7	1586	651
1	10	1503	664
3	7	1538	669
1	7	1569	686
1	10	1564	690
1	9	1618	611
1	12	1616	623
1	8	1660	642
1	6	1626	644
1	4	1624	652
1	5	1626	652
1	7	1618	646
2	10	1667	645
1	5	1635	636
1	4	1679	656
1	4	1616	642
1	5	1688	666
6	8	1627	660
1	10	1646	665
3	10	1621	666
1	9	1673	658
1	10	1651	686
1	5	1676	663
1	8	1739	602
1	12	1728	613
1	11	1736	617
1	11	1717	617
1	7	1706	659
3	7	1742	684
1	8	1822	607
2	10	1800	642
1	3	1848	638
1	9	1834	662
2	12	1823	680
1	7	1847	682
1	7	1998	629
1	8	2032	624
1	3	2003	634
1	6	2062	652
1	5	2079	642
1	5	2098	655
1	4	2090	601
1	4	2078	607
5	9	2106	621
1	10	2143	612
1	6	2156	624
1	4	2180	645
1	4	2145	677
3	9	2159	681
8	17	2279	628
5	15	2285	625
1	7	2230	622
1	5	2231	607
1	6	2246	615
1	9	2217	643
13	11	2298	690
1	6	2299	681
1	9	2364	610
1	5	2325	670
1	4	2317	673
1	4	2305	680
1	11	2304	699
1	10	2414	651
1	11	2443	668
5	9	2460	678
3	3	2463	679
2	7	2525	602
2	10	2542	620
3	9	2531	699
1	8	2589	699
11	11	2699	637
9	12	2699	699
5	13	2652	627
1	11	2662	630
8	10	2636	699
1	6	2715	610
1	9	2702	622
1	6	2741	699
3	8	2860	646
1	8	2862	653
1	6	2861	653
8	10	2999	675
5	15	2998	694
2	6	2971	671
1	7	2911	696
2	4	2951	679
4	9	39	769
1	9	108	722
1	10	106	744
1	8	144	794
1	7	303	770
7	15	395	744
1	10	401	725
3	12	420	785
1	11	464	749
1	8	769	764
1	7	734	771
1	9	789	777
1	6	791	778
1	4	774	783
1	12	768	790
1	7	728	795
1	8	753	799
1	13	882	707
1	8	863	716
1	7	854	725
1	8	871	777
1	14	893	793
2	15	900	776
1	8	942	764
5	10	1116	711
3	5	1442	717
1	9	1458	744
4	8	1458	752
3	11	1444	756
1	7	1468	731
1	7	1478	734
4	8	1403	756
1	9	1471	762
1	4	1462	775
1	6	1491	767
1	10	1429	781
1	7	1409	784
1	7	1434	799
1	8	1457	700
1	4	1502	710
3	11	1575	708
3	7	1570	710
1	11	1549	727
1	4	1598	738
4	13	1602	799
1	14	1695	763
1	4	1692	763
2	5	1710	707
1	7	1753	759
1	8	1778	792
1	7	1817	706
1	6	1858	731
1	3	1822	739
1	7	1828	752
1	6	2007	727
3	9	2125	717
1	3	2119	719
1	7	2148	728
1	5	2135	726
1	4	2118	727
1	4	2199	761
1	4	2103	778
2	10	2127	786
1	5	2156	784
1	3	2138	791
2	9	2100	793
1	8	2165	792
3	9	2173	797
1	3	2144	796
2	6	2117	799
1	9	2122	700
2	7	2228	718
1	3	2259	726
1	10	2278	749
2	7	2276	760
1	6	2228	761
1	6	2249	763
1	2	2262	770
1	9	2266	772
1	3	2229	775
3	11	2269	798
8	10	2353	721
2	12	2392	749
1	3	2302	776
1	4	2304	776
1	5	2346	782
1	9	2309	790
8	11	2372	798
1	8	2383	796
1	8	2464	704
1	3	2457	706
1	7	2424	711
1	4	2481	719
4	10	2493	723
1	3	2416	723
1	3	2418	729
1	5	2473	730
1	10	2484	734
1	4	2452	742
7	11	2486	764
1	8	2448	762
1	7	2411	771
3	10	2563	703
1	14	2595	718
5	11	2551	721
1	3	2533	721
1	11	2589	758
1	11	2512	764
1	12	2573	776
1	7	2565	774
1	7	2572	773
2	9	2570	786
1	4	2656	711
1	4	2634	713
2	6	2627	722
1	5	2626	757
3	11	2631	761
3	9	2635	767
3	9	2672	799
7	9	2706	709
16	11	2727	754
3	7	2703	779
1	12	2880	710
2	8	2883	728
2	12	2896	771
1	10	2893	785
1	7	2952	766
1	11	2958	774
1	8	2901	798
1	9	2906	799
6	13	0	869
14	13	101	824
9	12	129	816
11	7	111	887
2	7	224	822
1	12	269	844
1	7	288	866
1	8	269	875
3	10	279	878
1	14	367	848
8	11	331	866
1	10	321	876
1	9	449	899
1	12	500	822
1	6	547	827
2	12	515	836
1	4	555	855
1	4	556	861
1	9	544	872
1	10	599	877
1	8	587	898
1	3	504	822
1	7	606	828
3	9	623	878
2	9	642	881
1	11	652	882
7	10	617	891
3	8	646	899
1	4	679	897
1	8	800	804
2	6	1379	806
1	10	1365	801
1	8	1381	821
1	5	1382	822
1	5	1378	821
1	4	1379	822
1	9	1339	879
1	5	1372	853
1	7	1398	854
2	7	1388	861
4	5	1386	892
1	3	1391	833
1	4	1384	821
1	7	1410	801
1	6	1426	800
1	5	1437	813
1	6	1443	814
1	3	1463	839
2	6	1425	868
1	14	1419	875
1	5	1448	877
2	6	1469	881
1	3	1421	876
1	4	1425	887
1	5	1478	897
1	10	1426	898
1	5	1426	889
6	11	1407	864
1	6	1437	898
2	8	1443	899
4	11	1552	862
4	8	1517	872
1	4	1543	888
1	5	1548	889
6	7	1546	895
1	4	1502	884
1	9	1617	831
1	6	1619	833
2	3	1841	862
1	9	2055	818
1	8	2072	829
1	4	2071	846
1	5	2081	851
1	2	2069	851
1	6	2079	872
1	9	2178	804
2	8	2158	811
2	9	2176	817
1	8	2172	826
1	4	2184	824
1	9	2183	828
1	11	2163	839
1	3	2184	850
1	5	2179	855
1	5	2129	852
2	4	2163	856
1	5	2142	859
1	8	2166	879
1	5	2176	898
2	4	2171	899
1	5	2185	847
1	4	2187	848
1	4	2264	800
1	4	2249	800
2	3	2201	825
1	3	2202	829
6	11	2249	825
1	9	2292	821
1	12	2279	848
2	10	2269	879
1	4	2269	888
4	9	2282	894
1	8	2342	809
1	6	2351	817
1	9	2329	851
3	11	2399	823
1	10	2431	800
1	8	2421	824
6	12	2463	836
1	4	2456	849
1	4	2454	892
5	8	2500	819
1	4	2527	817
5	7	2549	828
1	9	2591	826
7	9	2592	839
6	8	2582	839
1	10	2561	860
1	7	2546	898
1	9	2603	859
5	10	2633	861
1	8	2693	835
6	15	2659	872
7	12	2699	892
8	16	2688	892
1	11	2663	899
1	7	2665	885
3	5	2661	849
7	13	2719	854
2	11	2745	876
2	10	2721	899
1	8	2798	889
1	5	2799	899
1	11	2809	841
1	7	2893	804
1	12	2878	806
3	5	2864	831
3	10	2843	872
1	3	2823	886
1	2	2802	889
1	4	2809	840
1	4	2809	820
1	5	2803	833
3	7	2828	875
1	10	2830	883
1	7	2946	817
1	7	2919	834
1	4	2909	844
1	11	71	909
1	7	69	914
1	6	74	918
13	15	11	998
3	14	15	992
8	15	154	963
1	9	148	922
1	8	143	967
1	6	129	979
2	14	229	938
5	6	291	969
2	11	338	908
5	11	311	922
1	12	328	926
1	8	396	972
1	6	391	982
1	10	392	987
1	10	488	944
1	10	442	954
4	9	431	961
1	7	457	986
1	5	472	963
4	10	587	921
5	13	571	929
3	6	542	917
1	10	518	943
5	11	552	931
1	3	531	949
1	4	568	953
4	11	567	982
1	4	505	986
1	4	561	952
7	11	656	934
1	8	662	932
2	5	695	917
1	11	604	964
1	9	603	998
1	7	633	986
3	5	636	986
1	7	642	983
1	8	689	952
1	9	688	941
3	8	695	965
1	7	688	936
1	4	633	976
10	12	736	943
1	12	742	929
2	8	766	927
1	9	760	923
1	5	796	931
1	7	716	936
1	6	731	937
1	3	757	971
6	11	796	998
1	6	709	956
1	7	802	953
1	4	813	962
3	6	811	971
1	4	1384	906
1	8	1397	910
1	5	1397	911
4	11	1383	954
1	11	1372	994
1	8	1492	919
1	12	1471	932
2	7	1409	909
1	4	1400	914
1	8	1461	936
2	7	1465	962
2	8	1421	964
3	3	1444	959
1	4	1441	990
1	4	1446	965
3	4	1472	961
1	2	1479	926
1	8	1504	911
1	9	1507	912
2	12	1504	938
1	7	1543	945
1	10	1596	956
1	7	1561	999
1	3	1517	946
1	4	1578	937
4	7	1606	913
6	14	1602	964
1	3	1611	926
1	10	1767	941
1	4	1768	937
1	2	1768	949
1	10	2008	954
1	4	2011	904
1	8	2069	929
1	3	2178	907
1	4	2182	943
1	5	2197	960
1	4	2199	965
1	8	2179	964
1	2	2171	961
1	3	2175	908
1	7	2176	974
1	3	2164	918
1	10	2247	909
1	3	2269	973
1	4	2205	937
1	2	2206	938
3	4	2218	984
3	11	2329	906
7	11	2366	924
3	9	2391	924
1	4	2383	926
1	3	2328	915
1	3	2352	941
1	3	2354	941
1	4	2371	925
1	4	2356	958
1	4	2351	990
1	3	2370	923
1	8	2482	902
2	11	2461	921
1	9	2412	941
1	10	2449	985
3	11	2511	905
5	12	2561	907
2	11	2599	917
1	5	2561	908
4	8	2555	907
1	10	2577	969
1	10	2548	932
6	8	2523	949
1	11	2567	988
11	13	2676	917
1	10	2688	900
2	10	2618	908
2	12	2605	916
1	9	2652	912
5	12	2600	999
1	4	2616	913
1	4	2665	909
1	11	2716	909
1	9	2734	900
1	10	2797	903
1	10	2762	925
1	16	2712	928
1	11	2733	969
1	9	2718	914
1	8	2784	977
1	6	2874	929
1	3	2882	956
8	10	2879	978
7	15	14	1053
2	12	24	1051
9	14	359	1046
1	11	387	1068
1	10	399	1085
10	12	412	1021
1	4	408	1028
1	9	401	1048
2	13	441	1039
1	3	459	1031
1	8	599	1003
4	11	568	1011
5	14	568	1022
1	4	572	1007
1	12	558	1024
1	8	527	1034
1	4	577	1014
4	11	688	1029
11	14	619	1034
1	9	615	1014
4	11	622	1085
5	10	649	1031
1	7	692	1062
1	4	699	1064
1	9	677	1076
1	8	760	1004
2	9	754	1007
3	11	721	1016
1	9	764	1021
1	11	748	1061
1	9	730	1079
1	10	736	1081
1	9	714	1082
1	12	1319	1003
1	9	1311	1006
3	7	1349	1011
1	4	1312	1047
1	4	1302	1032
1	3	1381	1079
1	4	1375	1080
1	8	1405	1087
1	8	1411	1079
1	7	1410	1077
1	10	1433	1087
1	5	1441	1088
1	6	1443	1086
1	8	1561	1049
1	10	1505	1099
1	10	1528	1072
1	5	1535	1096
1	3	1697	1087
3	7	1603	1099
1	6	1690	1078
1	5	1631	1031
1	5	1648	1088
1	3	1766	1051
1	4	1763	1061
1	10	1748	1085
1	2	1889	1064
1	8	1884	1099
1	5	1915	1041
1	9	1951	1048
1	8	1951	1051
1	2	1946	1061
1	2	1946	1063
3	10	1971	1054
1	5	1921	1091
1	7	1925	1094
1	8	1916	1099
2	6	1932	1060
1	10	2071	1047
4	7	2036	1084
1	11	2191	1063
1	4	2131	1059
6	13	2284	1047
1	7	2268	1005
2	8	2246	1074
2	6	2246	1076
1	5	2269	1079
1	8	2245	1098
1	7	2281	1099
6	7	2275	1099
1	9	2295	1062
1	5	2368	1015
1	4	2372	1014
1	10	2366	1054
1	4	2398	1090
1	3	2399	1087
3	4	2408	1081
1	2	2433	1072
1	3	2435	1072
1	10	2436	1087
4	7	2466	1058
1	8	2449	1099
1	4	2488	1049
3	9	2576	1024
1	10	2622	1014
3	11	2649	1034
1	9	2676	1048
1	10	2699	1081
1	8	2693	1078
1	9	2679	1076
1	9	2651	1098
3	10	2636	1071
1	9	2699	1090
2	9	2648	1062
1	12	2632	1077
2	9	2646	1073
6	13	2622	1043
1	13	2621	1045
6	12	2747	1006
1	8	2766	1091
1	8	2771	1092
1	7	2734	1099
1	3	2732	1098
1	10	2762	1092
1	8	2758	1073
3	10	2816	1038
1	7	2828	1066
1	9	2842	1082
1	4	164	1142
1	8	191	1158
1	10	207	1136
3	11	214	1141
1	8	234	1181
1	11	386	1134
2	11	392	1132
1	9	353	1186
4	12	374	1182
1	9	373	1185
3	10	371	1191
1	11	436	1141
1	9	448	1151
1	12	419	1169
1	11	416	1178
1	9	554	1141
2	10	555	1146
15	10	546	1147
6	9	542	1160
5	11	676	1103
7	12	670	1107
3	9	678	1116
4	8	633	1127
1	3	648	1177
1	11	795	1142
1	10	759	1177
1	7	757	1171
1	6	702	1152
2	3	1182	1168
5	3	1147	1184
1	11	1162	1143
1	8	1184	1199
1	7	1187	1117
1	4	1187	1130
1	9	1473	1173
1	3	1473	1181
1	2	1496	1189
1	9	1466	1181
1	2	1490	1182
1	5	1452	1187
1	8	1436	1192
1	4	1481	1191
1	3	1424	1196
1	3	1436	1199
1	3	1499	1199
2	3	1422	1109
1	3	1422	1196
1	6	1599	1141
3	8	1512	1103
1	9	1552	1113
3	3	1532	1147
9	6	1525	1182
1	5	1516	1184
1	4	1510	1194
2	7	1597	1188
1	5	1543	1108
1	12	1696	1126
1	4	1680	1129
1	9	1624	1111
3	5	1619	1128
1	8	1608	1153
2	7	1602	1189
1	8	1612	1198
1	3	1675	1141
2	5	1658	1158
1	7	1653	1166
2	7	1672	1179
2	6	1666	1177
1	4	1680	1186
1	4	1687	1183
1	5	1651	1182
1	7	1799	1111
3	9	1757	1112
1	8	1779	1135
1	9	1711	1132
4	8	1762	1137
1	8	1714	1136
1	6	1772	1157
1	10	1770	1151
1	3	1786	1184
1	4	1789	1184
1	8	1731	1190
1	10	1739	1195
1	7	1879	1148
1	10	1868	1156
1	7	1833	1177
2	7	1845	1175
1	3	1883	1160
1	4	1866	1186
1	5	1868	1198
1	9	1848	1199
1	11	1891	1197
1	3	1873	1171
1	9	1992	1159
3	10	1906	1143
1	4	1918	1191
2	9	1943	1166
1	3	1948	1176
8	10	1986	1183
4	9	1976	1185
1	6	1997	1189
1	3	1999	1157
1	3	1994	1157
1	4	1950	1169
1	10	2077	1134
5	10	2032	1199
1	3	2009	1116
1	8	2002	1147
2	14	2100	1136
3	12	2102	1141
1	5	2159	1131
1	3	2176	1131
10	7	2263	1108
1	8	2268	1113
1	9	2271	1133
1	6	2278	1136
1	10	2234	1157
1	10	2235	1158
1	12	2294	1185
1	8	2295	1188
1	3	2299	1189
1	8	2264	1179
1	2	2373	1115
1	8	2385	1119
3	10	2304	1166
1	7	2309	1165
1	7	2307	1175
1	10	2308	1179
1	6	2371	1137
1	4	2373	1140
1	5	2372	1144
1	4	2355	1140
1	10	2374	1157
3	6	2372	1160
2	4	2370	1162
1	4	2368	1168
3	11	2351	1195
1	8	2349	1195
1	4	2369	1159
1	2	2352	1174
5	9	2431	1127
1	3	2432	1128
2	10	2439	1178
2	6	2463	1177
1	5	2436	1176
4	5	2419	1166
1	11	2596	1169
1	11	2522	1178
1	6	2566	1164
1	10	2539	1178
5	11	2589	1199
2	10	2693	1150
1	9	2663	1127
2	11	2644	1111
1	9	2641	1119
1	12	2689	1164
12	10	2600	1199
4	12	2746	1109
1	5	2718	1125
1	11	2701	1187
1	11	2776	1158
2	5	2731	1144
1	6	2764	1162
1	11	2733	1182
1	8	2755	1199
1	6	2738	1181
1	4	2732	1198
1	4	2735	1183
1	3	2723	1109
1	7	2834	1107
5	12	2848	1109
1	5	2892	1178
1	8	2855	1122
1	8	2825	1169
1	4	2916	1194
2	12	11	1282
4	13	21	1267
5	12	16	1264
1	8	31	1272
1	6	166	1211
2	9	263	1237
12	15	333	1231
1	4	347	1222
1	4	344	1228
1	5	692	1218
1	11	686	1220
1	9	629	1221
1	3	629	1219
1	10	746	1257
4	12	1082	1231
1	6	1074	1278
1	7	1083	1271
6	9	1172	1213
2	11	1144	1264
1	8	1178	1237
