deathtime	status	id	plotc	SOWNDIV	FUNCGR	GRASS	LEG	SHERB	THERB	GLST
6.5	0	7	B1A03	8	3	1	1	1	0	GLS
6.5	0	8	B1A03	8	3	1	1	1	0	GLS
6.5	0	9	B1A03	8	3	1	1	1	0	GLS
11.5	0	10	B1A03	8	3	1	1	1	0	GLS
11.5	0	11	B1A03	8	3	1	1	1	0	GLS
18	0	12	B1A03	8	3	1	1	1	0	GLS
18	0	13	B1A03	8	3	1	1	1	0	GLS
18	0	14	B1A03	8	3	1	1	1	0	GLS
25	0	15	B1A03	8	3	1	1	1	0	GLS
33	0	16	B1A03	8	3	1	1	1	0	GLS
37	0	17	B1A03	8	3	1	1	1	0	GLS
50	1	18	B1A03	8	3	1	1	1	0	GLS
50	1	19	B1A03	8	3	1	1	1	0	GLS
50	1	20	B1A03	8	3	1	1	1	0	GLS
1.5	0	1	B1A04	4	4	1	1	1	1	GLST
4	0	2	B1A04	4	4	1	1	1	1	GLST
4	0	3	B1A04	4	4	1	1	1	1	GLST
4	0	4	B1A04	4	4	1	1	1	1	GLST
4	0	5	B1A04	4	4	1	1	1	1	GLST
4	0	6	B1A04	4	4	1	1	1	1	GLST
11.5	0	7	B1A04	4	4	1	1	1	1	GLST
11.5	0	8	B1A04	4	4	1	1	1	1	GLST
18	0	9	B1A04	4	4	1	1	1	1	GLST
18	0	10	B1A04	4	4	1	1	1	1	GLST
18	0	11	B1A04	4	4	1	1	1	1	GLST
22.5	0	12	B1A04	4	4	1	1	1	1	GLST
25	0	13	B1A04	4	4	1	1	1	1	GLST
27	0	14	B1A04	4	4	1	1	1	1	GLST
33	0	15	B1A04	4	4	1	1	1	1	GLST
37	0	16	B1A04	4	4	1	1	1	1	GLST
41.5	0	17	B1A04	4	4	1	1	1	1	GLST
50	1	18	B1A04	4	4	1	1	1	1	GLST
50	1	19	B1A04	4	4	1	1	1	1	GLST
1.5	0	1	B1A05	2	1	0	1	0	0	L
1.5	0	2	B1A05	2	1	0	1	0	0	L
1.5	0	3	B1A05	2	1	0	1	0	0	L
1.5	0	4	B1A05	2	1	0	1	0	0	L
1.5	0	5	B1A05	2	1	0	1	0	0	L
1.5	0	6	B1A05	2	1	0	1	0	0	L
6.5	0	7	B1A05	2	1	0	1	0	0	L
11.5	0	8	B1A05	2	1	0	1	0	0	L
11.5	0	9	B1A05	2	1	0	1	0	0	L
11.5	0	10	B1A05	2	1	0	1	0	0	L
18	0	11	B1A05	2	1	0	1	0	0	L
18	0	12	B1A05	2	1	0	1	0	0	L
18	0	13	B1A05	2	1	0	1	0	0	L
18	0	14	B1A05	2	1	0	1	0	0	L
18	0	15	B1A05	2	1	0	1	0	0	L
18	0	16	B1A05	2	1	0	1	0	0	L
18	0	17	B1A05	2	1	0	1	0	0	L
29.5	0	18	B1A05	2	1	0	1	0	0	L
29.5	0	19	B1A05	2	1	0	1	0	0	L
1.5	0	1	B1A06	16	2	1	0	0	1	GT
1.5	0	2	B1A06	16	2	1	0	0	1	GT
1.5	0	3	B1A06	16	2	1	0	0	1	GT
1.5	0	4	B1A06	16	2	1	0	0	1	GT
6.5	0	5	B1A06	16	2	1	0	0	1	GT
6.5	0	6	B1A06	16	2	1	0	0	1	GT
6.5	0	7	B1A06	16	2	1	0	0	1	GT
6.5	0	8	B1A06	16	2	1	0	0	1	GT
11.5	0	9	B1A06	16	2	1	0	0	1	GT
11.5	0	10	B1A06	16	2	1	0	0	1	GT
11.5	0	11	B1A06	16	2	1	0	0	1	GT
11.5	0	12	B1A06	16	2	1	0	0	1	GT
11.5	0	13	B1A06	16	2	1	0	0	1	GT
11.5	0	14	B1A06	16	2	1	0	0	1	GT
11.5	0	15	B1A06	16	2	1	0	0	1	GT
18	0	16	B1A06	16	2	1	0	0	1	GT
18	0	17	B1A06	16	2	1	0	0	1	GT
18	0	18	B1A06	16	2	1	0	0	1	GT
18	0	19	B1A06	16	2	1	0	0	1	GT
25	0	20	B1A06	16	2	1	0	0	1	GT
1.5	0	1	B1A07	2	1	0	0	0	1	T
1.5	0	2	B1A07	2	1	0	0	0	1	T
1.5	0	3	B1A07	2	1	0	0	0	1	T
1.5	0	4	B1A07	2	1	0	0	0	1	T
1.5	0	5	B1A07	2	1	0	0	0	1	T
4	0	6	B1A07	2	1	0	0	0	1	T
4	0	7	B1A07	2	1	0	0	0	1	T
4	0	8	B1A07	2	1	0	0	0	1	T
4	0	9	B1A07	2	1	0	0	0	1	T
4	0	10	B1A07	2	1	0	0	0	1	T
6.5	0	11	B1A07	2	1	0	0	0	1	T
6.5	0	12	B1A07	2	1	0	0	0	1	T
6.5	0	13	B1A07	2	1	0	0	0	1	T
11.5	0	14	B1A07	2	1	0	0	0	1	T
11.5	0	15	B1A07	2	1	0	0	0	1	T
11.5	0	16	B1A07	2	1	0	0	0	1	T
11.5	0	17	B1A07	2	1	0	0	0	1	T
18	0	18	B1A07	2	1	0	0	0	1	T
18	0	19	B1A07	2	1	0	0	0	1	T
22.5	0	20	B1A07	2	1	0	0	0	1	T
47	0	21	B1A07	2	1	0	0	0	1	T
1.5	0	1	B1A08	1	1	0	1	0	0	L
1.5	0	2	B1A08	1	1	0	1	0	0	L
1.5	0	3	B1A08	1	1	0	1	0	0	L
1.5	0	4	B1A08	1	1	0	1	0	0	L
1.5	0	5	B1A08	1	1	0	1	0	0	L
1.5	0	6	B1A08	1	1	0	1	0	0	L
1.5	0	7	B1A08	1	1	0	1	0	0	L
1.5	0	8	B1A08	1	1	0	1	0	0	L
1.5	0	9	B1A08	1	1	0	1	0	0	L
1.5	0	10	B1A08	1	1	0	1	0	0	L
4	0	11	B1A08	1	1	0	1	0	0	L
4	0	12	B1A08	1	1	0	1	0	0	L
4	0	13	B1A08	1	1	0	1	0	0	L
4	0	14	B1A08	1	1	0	1	0	0	L
6.5	0	15	B1A08	1	1	0	1	0	0	L
6.5	0	16	B1A08	1	1	0	1	0	0	L
11.5	0	17	B1A08	1	1	0	1	0	0	L
11.5	0	18	B1A08	1	1	0	1	0	0	L
11.5	0	19	B1A08	1	1	0	1	0	0	L
11.5	0	20	B1A08	1	1	0	1	0	0	L
1.5	0	1	B1A09	1	1	1	0	0	0	G
1.5	0	2	B1A09	1	1	1	0	0	0	G
1.5	0	3	B1A09	1	1	1	0	0	0	G
1.5	0	4	B1A09	1	1	1	0	0	0	G
1.5	0	5	B1A09	1	1	1	0	0	0	G
1.5	0	6	B1A09	1	1	1	0	0	0	G
4	0	7	B1A09	1	1	1	0	0	0	G
4	0	8	B1A09	1	1	1	0	0	0	G
4	0	9	B1A09	1	1	1	0	0	0	G
6.5	0	10	B1A09	1	1	1	0	0	0	G
6.5	0	11	B1A09	1	1	1	0	0	0	G
6.5	0	12	B1A09	1	1	1	0	0	0	G
18	0	13	B1A09	1	1	1	0	0	0	G
18	0	14	B1A09	1	1	1	0	0	0	G
33	0	15	B1A09	1	1	1	0	0	0	G
37	0	16	B1A09	1	1	1	0	0	0	G
41.5	0	17	B1A09	1	1	1	0	0	0	G
50	1	18	B1A09	1	1	1	0	0	0	G
1.5	0	1	B1A11	16	1	0	0	0	1	T
1.5	0	2	B1A11	16	1	0	0	0	1	T
1.5	0	3	B1A11	16	1	0	0	0	1	T
1.5	0	4	B1A11	16	1	0	0	0	1	T
1.5	0	5	B1A11	16	1	0	0	0	1	T
1.5	0	6	B1A11	16	1	0	0	0	1	T
1.5	0	7	B1A11	16	1	0	0	0	1	T
4	0	8	B1A11	16	1	0	0	0	1	T
4	0	9	B1A11	16	1	0	0	0	1	T
4	0	10	B1A11	16	1	0	0	0	1	T
4	0	11	B1A11	16	1	0	0	0	1	T
6.5	0	12	B1A11	16	1	0	0	0	1	T
6.5	0	13	B1A11	16	1	0	0	0	1	T
6.5	0	14	B1A11	16	1	0	0	0	1	T
6.5	0	15	B1A11	16	1	0	0	0	1	T
11.5	0	16	B1A11	16	1	0	0	0	1	T
18	0	17	B1A11	16	1	0	0	0	1	T
18	0	18	B1A11	16	1	0	0	0	1	T
27	0	19	B1A11	16	1	0	0	0	1	T
1.5	0	1	B1A12	8	1	0	1	0	0	L
1.5	0	2	B1A12	8	1	0	1	0	0	L
1.5	0	3	B1A12	8	1	0	1	0	0	L
1.5	0	4	B1A12	8	1	0	1	0	0	L
4	0	5	B1A12	8	1	0	1	0	0	L
4	0	6	B1A12	8	1	0	1	0	0	L
4	0	7	B1A12	8	1	0	1	0	0	L
4	0	8	B1A12	8	1	0	1	0	0	L
4	0	9	B1A12	8	1	0	1	0	0	L
4	0	10	B1A12	8	1	0	1	0	0	L
4	0	11	B1A12	8	1	0	1	0	0	L
4	0	12	B1A12	8	1	0	1	0	0	L
4	0	13	B1A12	8	1	0	1	0	0	L
11.5	0	14	B1A12	8	1	0	1	0	0	L
11.5	0	15	B1A12	8	1	0	1	0	0	L
11.5	0	16	B1A12	8	1	0	1	0	0	L
11.5	0	17	B1A12	8	1	0	1	0	0	L
11.5	0	18	B1A12	8	1	0	1	0	0	L
18	0	19	B1A12	8	1	0	1	0	0	L
25	0	20	B1A12	8	1	0	1	0	0	L
27	0	21	B1A12	8	1	0	1	0	0	L
33	0	22	B1A12	8	1	0	1	0	0	L
1.5	0	1	B1A13	4	1	0	1	0	0	L
1.5	0	2	B1A13	4	1	0	1	0	0	L
1.5	0	3	B1A13	4	1	0	1	0	0	L
1.5	0	4	B1A13	4	1	0	1	0	0	L
1.5	0	5	B1A13	4	1	0	1	0	0	L
1.5	0	6	B1A13	4	1	0	1	0	0	L
4	0	7	B1A13	4	1	0	1	0	0	L
4	0	8	B1A13	4	1	0	1	0	0	L
4	0	9	B1A13	4	1	0	1	0	0	L
4	0	10	B1A13	4	1	0	1	0	0	L
11.5	0	11	B1A13	4	1	0	1	0	0	L
11.5	0	12	B1A13	4	1	0	1	0	0	L
18	0	13	B1A13	4	1	0	1	0	0	L
18	0	14	B1A13	4	1	0	1	0	0	L
18	0	15	B1A13	4	1	0	1	0	0	L
25	0	16	B1A13	4	1	0	1	0	0	L
27	0	17	B1A13	4	1	0	1	0	0	L
33	0	18	B1A13	4	1	0	1	0	0	L
33	0	19	B1A13	4	1	0	1	0	0	L
1.5	0	1	B1A14	8	4	1	1	1	1	GLST
1.5	0	2	B1A14	8	4	1	1	1	1	GLST
1.5	0	3	B1A14	8	4	1	1	1	1	GLST
1.5	0	4	B1A14	8	4	1	1	1	1	GLST
1.5	0	5	B1A14	8	4	1	1	1	1	GLST
1.5	0	6	B1A14	8	4	1	1	1	1	GLST
11.5	0	7	B1A14	8	4	1	1	1	1	GLST
11.5	0	8	B1A14	8	4	1	1	1	1	GLST
11.5	0	9	B1A14	8	4	1	1	1	1	GLST
11.5	0	10	B1A14	8	4	1	1	1	1	GLST
18	0	11	B1A14	8	4	1	1	1	1	GLST
18	0	12	B1A14	8	4	1	1	1	1	GLST
22.5	0	13	B1A14	8	4	1	1	1	1	GLST
25	0	14	B1A14	8	4	1	1	1	1	GLST
37	0	15	B1A14	8	4	1	1	1	1	GLST
37	0	16	B1A14	8	4	1	1	1	1	GLST
50	1	17	B1A14	8	4	1	1	1	1	GLST
50	1	18	B1A14	8	4	1	1	1	1	GLST
50	1	19	B1A14	8	4	1	1	1	1	GLST
50	1	20	B1A14	8	4	1	1	1	1	GLST
50	1	21	B1A14	8	4	1	1	1	1	GLST
1.5	0	1	B1A15	1	1	0	0	0	1	T
1.5	0	2	B1A15	1	1	0	0	0	1	T
1.5	0	3	B1A15	1	1	0	0	0	1	T
1.5	0	4	B1A15	1	1	0	0	0	1	T
4	0	5	B1A15	1	1	0	0	0	1	T
4	0	6	B1A15	1	1	0	0	0	1	T
4	0	7	B1A15	1	1	0	0	0	1	T
4	0	8	B1A15	1	1	0	0	0	1	T
4	0	9	B1A15	1	1	0	0	0	1	T
4	0	10	B1A15	1	1	0	0	0	1	T
4	0	11	B1A15	1	1	0	0	0	1	T
4	0	12	B1A15	1	1	0	0	0	1	T
4	0	13	B1A15	1	1	0	0	0	1	T
4	0	14	B1A15	1	1	0	0	0	1	T
4	0	15	B1A15	1	1	0	0	0	1	T
4	0	16	B1A15	1	1	0	0	0	1	T
4	0	17	B1A15	1	1	0	0	0	1	T
6.5	0	18	B1A15	1	1	0	0	0	1	T
18	0	19	B1A15	1	1	0	0	0	1	T
27	0	20	B1A15	1	1	0	0	0	1	T
1.5	0	1	B1A16	2	2	1	0	1	0	GS
1.5	0	2	B1A16	2	2	1	0	1	0	GS
1.5	0	3	B1A16	2	2	1	0	1	0	GS
1.5	0	4	B1A16	2	2	1	0	1	0	GS
11.5	0	5	B1A16	2	2	1	0	1	0	GS
11.5	0	6	B1A16	2	2	1	0	1	0	GS
11.5	0	7	B1A16	2	2	1	0	1	0	GS
11.5	0	8	B1A16	2	2	1	0	1	0	GS
18	0	9	B1A16	2	2	1	0	1	0	GS
18	0	10	B1A16	2	2	1	0	1	0	GS
18	0	11	B1A16	2	2	1	0	1	0	GS
27	0	12	B1A16	2	2	1	0	1	0	GS
37	0	13	B1A16	2	2	1	0	1	0	GS
37	0	14	B1A16	2	2	1	0	1	0	GS
37	0	15	B1A16	2	2	1	0	1	0	GS
50	1	16	B1A16	2	2	1	0	1	0	GS
50	1	17	B1A16	2	2	1	0	1	0	GS
50	1	18	B1A16	2	2	1	0	1	0	GS
50	1	19	B1A16	2	2	1	0	1	0	GS
50	1	20	B1A16	2	2	1	0	1	0	GS
50	1	21	B1A16	2	2	1	0	1	0	GS
1.5	0	1	B1A17	2	2	1	0	0	1	GT
1.5	0	2	B1A17	2	2	1	0	0	1	GT
1.5	0	3	B1A17	2	2	1	0	0	1	GT
1.5	0	4	B1A17	2	2	1	0	0	1	GT
11.5	0	5	B1A17	2	2	1	0	0	1	GT
18	0	6	B1A17	2	2	1	0	0	1	GT
18	0	7	B1A17	2	2	1	0	0	1	GT
18	0	8	B1A17	2	2	1	0	0	1	GT
18	0	9	B1A17	2	2	1	0	0	1	GT
29.5	0	10	B1A17	2	2	1	0	0	1	GT
29.5	0	11	B1A17	2	2	1	0	0	1	GT
29.5	0	12	B1A17	2	2	1	0	0	1	GT
29.5	0	13	B1A17	2	2	1	0	0	1	GT
29.5	0	14	B1A17	2	2	1	0	0	1	GT
33	0	15	B1A17	2	2	1	0	0	1	GT
37	0	16	B1A17	2	2	1	0	0	1	GT
50	1	17	B1A17	2	2	1	0	0	1	GT
50	1	18	B1A17	2	2	1	0	0	1	GT
50	1	19	B1A17	2	2	1	0	0	1	GT
50	1	20	B1A17	2	2	1	0	0	1	GT
50	1	21	B1A17	2	2	1	0	0	1	GT
1.5	0	1	B1A18	1	1	0	0	1	0	S
1.5	0	2	B1A18	1	1	0	0	1	0	S
1.5	0	3	B1A18	1	1	0	0	1	0	S
4	0	4	B1A18	1	1	0	0	1	0	S
4	0	5	B1A18	1	1	0	0	1	0	S
4	0	6	B1A18	1	1	0	0	1	0	S
4	0	7	B1A18	1	1	0	0	1	0	S
4	0	8	B1A18	1	1	0	0	1	0	S
4	0	9	B1A18	1	1	0	0	1	0	S
4	0	10	B1A18	1	1	0	0	1	0	S
4	0	11	B1A18	1	1	0	0	1	0	S
4	0	12	B1A18	1	1	0	0	1	0	S
4	0	13	B1A18	1	1	0	0	1	0	S
4	0	14	B1A18	1	1	0	0	1	0	S
4	0	15	B1A18	1	1	0	0	1	0	S
4	0	16	B1A18	1	1	0	0	1	0	S
27	0	17	B1A18	1	1	0	0	1	0	S
27	0	18	B1A18	1	1	0	0	1	0	S
27	0	19	B1A18	1	1	0	0	1	0	S
41.5	0	20	B1A18	1	1	0	0	1	0	S
1.5	0	1	B1A19	4	3	1	0	1	1	GST
1.5	0	2	B1A19	4	3	1	0	1	1	GST
1.5	0	3	B1A19	4	3	1	0	1	1	GST
1.5	0	4	B1A19	4	3	1	0	1	1	GST
11.5	0	5	B1A19	4	3	1	0	1	1	GST
11.5	0	6	B1A19	4	3	1	0	1	1	GST
11.5	0	7	B1A19	4	3	1	0	1	1	GST
11.5	0	8	B1A19	4	3	1	0	1	1	GST
11.5	0	9	B1A19	4	3	1	0	1	1	GST
18	0	10	B1A19	4	3	1	0	1	1	GST
18	0	11	B1A19	4	3	1	0	1	1	GST
18	0	12	B1A19	4	3	1	0	1	1	GST
25	0	13	B1A19	4	3	1	0	1	1	GST
33	0	14	B1A19	4	3	1	0	1	1	GST
47	0	15	B1A19	4	3	1	0	1	1	GST
50	1	16	B1A19	4	3	1	0	1	1	GST
50	1	17	B1A19	4	3	1	0	1	1	GST
50	1	18	B1A19	4	3	1	0	1	1	GST
1.5	0	1	B1A20	16	3	0	1	1	1	LST
1.5	0	2	B1A20	16	3	0	1	1	1	LST
1.5	0	3	B1A20	16	3	0	1	1	1	LST
1.5	0	4	B1A20	16	3	0	1	1	1	LST
4	0	5	B1A20	16	3	0	1	1	1	LST
4	0	6	B1A20	16	3	0	1	1	1	LST
4	0	7	B1A20	16	3	0	1	1	1	LST
11.5	0	8	B1A20	16	3	0	1	1	1	LST
18	0	9	B1A20	16	3	0	1	1	1	LST
18	0	10	B1A20	16	3	0	1	1	1	LST
25	0	11	B1A20	16	3	0	1	1	1	LST
33	0	12	B1A20	16	3	0	1	1	1	LST
33	0	13	B1A20	16	3	0	1	1	1	LST
37	0	14	B1A20	16	3	0	1	1	1	LST
50	1	15	B1A20	16	3	0	1	1	1	LST
50	1	16	B1A20	16	3	0	1	1	1	LST
50	1	17	B1A20	16	3	0	1	1	1	LST
50	1	18	B1A20	16	3	0	1	1	1	LST
50	1	19	B1A20	16	3	0	1	1	1	LST
50	1	20	B1A20	16	3	0	1	1	1	LST
1.5	0	1	B1A21	4	2	1	0	0	1	GT
1.5	0	2	B1A21	4	2	1	0	0	1	GT
1.5	0	3	B1A21	4	2	1	0	0	1	GT
1.5	0	4	B1A21	4	2	1	0	0	1	GT
1.5	0	5	B1A21	4	2	1	0	0	1	GT
1.5	0	6	B1A21	4	2	1	0	0	1	GT
11.5	0	7	B1A21	4	2	1	0	0	1	GT
11.5	0	8	B1A21	4	2	1	0	0	1	GT
11.5	0	9	B1A21	4	2	1	0	0	1	GT
11.5	0	10	B1A21	4	2	1	0	0	1	GT
11.5	0	11	B1A21	4	2	1	0	0	1	GT
11.5	0	12	B1A21	4	2	1	0	0	1	GT
11.5	0	13	B1A21	4	2	1	0	0	1	GT
11.5	0	14	B1A21	4	2	1	0	0	1	GT
18	0	15	B1A21	4	2	1	0	0	1	GT
29.5	0	16	B1A21	4	2	1	0	0	1	GT
41.5	0	17	B1A21	4	2	1	0	0	1	GT
1.5	0	1	B1A22	60	4	1	1	1	1	GLST
1.5	0	2	B1A22	60	4	1	1	1	1	GLST
1.5	0	3	B1A22	60	4	1	1	1	1	GLST
1.5	0	4	B1A22	60	4	1	1	1	1	GLST
1.5	0	5	B1A22	60	4	1	1	1	1	GLST
1.5	0	6	B1A22	60	4	1	1	1	1	GLST
1.5	0	7	B1A22	60	4	1	1	1	1	GLST
6.5	0	8	B1A22	60	4	1	1	1	1	GLST
6.5	0	9	B1A22	60	4	1	1	1	1	GLST
18	0	10	B1A22	60	4	1	1	1	1	GLST
18	0	11	B1A22	60	4	1	1	1	1	GLST
18	0	12	B1A22	60	4	1	1	1	1	GLST
25	0	13	B1A22	60	4	1	1	1	1	GLST
25	0	14	B1A22	60	4	1	1	1	1	GLST
25	0	15	B1A22	60	4	1	1	1	1	GLST
33	0	16	B1A22	60	4	1	1	1	1	GLST
50	1	17	B1A22	60	4	1	1	1	1	GLST
50	1	18	B1A22	60	4	1	1	1	1	GLST
50	1	19	B1A22	60	4	1	1	1	1	GLST
50	1	20	B1A22	60	4	1	1	1	1	GLST
1	0	1	B2A01	4	4	1	1	1	1	GLST
1	0	2	B2A01	4	4	1	1	1	1	GLST
7.5	0	3	B2A01	4	4	1	1	1	1	GLST
7.5	0	4	B2A01	4	4	1	1	1	1	GLST
7.5	0	5	B2A01	4	4	1	1	1	1	GLST
7.5	0	6	B2A01	4	4	1	1	1	1	GLST
12.5	0	7	B2A01	4	4	1	1	1	1	GLST
12.5	0	8	B2A01	4	4	1	1	1	1	GLST
20.5	0	9	B2A01	4	4	1	1	1	1	GLST
20.5	0	10	B2A01	4	4	1	1	1	1	GLST
20.5	0	11	B2A01	4	4	1	1	1	1	GLST
25	0	12	B2A01	4	4	1	1	1	1	GLST
31	0	13	B2A01	4	4	1	1	1	1	GLST
31	0	14	B2A01	4	4	1	1	1	1	GLST
31	0	15	B2A01	4	4	1	1	1	1	GLST
31	0	16	B2A01	4	4	1	1	1	1	GLST
39.5	0	17	B2A01	4	4	1	1	1	1	GLST
49	1	18	B2A01	4	4	1	1	1	1	GLST
49	1	19	B2A01	4	4	1	1	1	1	GLST
49	1	20	B2A01	4	4	1	1	1	1	GLST
49	1	21	B2A01	4	4	1	1	1	1	GLST
1	0	1	B2A02	2	1	1	0	0	0	G
1	0	2	B2A02	2	1	1	0	0	0	G
7.5	0	3	B2A02	2	1	1	0	0	0	G
7.5	0	4	B2A02	2	1	1	0	0	0	G
7.5	0	5	B2A02	2	1	1	0	0	0	G
7.5	0	6	B2A02	2	1	1	0	0	0	G
7.5	0	7	B2A02	2	1	1	0	0	0	G
16.5	0	8	B2A02	2	1	1	0	0	0	G
20.5	0	9	B2A02	2	1	1	0	0	0	G
20.5	0	10	B2A02	2	1	1	0	0	0	G
20.5	0	11	B2A02	2	1	1	0	0	0	G
23	0	12	B2A02	2	1	1	0	0	0	G
23	0	13	B2A02	2	1	1	0	0	0	G
23	0	14	B2A02	2	1	1	0	0	0	G
31	0	15	B2A02	2	1	1	0	0	0	G
31	0	16	B2A02	2	1	1	0	0	0	G
39.5	0	17	B2A02	2	1	1	0	0	0	G
39.5	0	18	B2A02	2	1	1	0	0	0	G
49	1	19	B2A02	2	1	1	0	0	0	G
49	1	20	B2A02	2	1	1	0	0	0	G
49	1	21	B2A02	2	1	1	0	0	0	G
1	0	1	B2A03	60	4	1	1	1	1	GLST
1	0	2	B2A03	60	4	1	1	1	1	GLST
1	0	3	B2A03	60	4	1	1	1	1	GLST
1	0	4	B2A03	60	4	1	1	1	1	GLST
1	0	5	B2A03	60	4	1	1	1	1	GLST
7.5	0	6	B2A03	60	4	1	1	1	1	GLST
7.5	0	7	B2A03	60	4	1	1	1	1	GLST
7.5	0	8	B2A03	60	4	1	1	1	1	GLST
7.5	0	9	B2A03	60	4	1	1	1	1	GLST
7.5	0	10	B2A03	60	4	1	1	1	1	GLST
12.5	0	11	B2A03	60	4	1	1	1	1	GLST
12.5	0	12	B2A03	60	4	1	1	1	1	GLST
16.5	0	13	B2A03	60	4	1	1	1	1	GLST
20.5	0	14	B2A03	60	4	1	1	1	1	GLST
20.5	0	15	B2A03	60	4	1	1	1	1	GLST
20.5	0	16	B2A03	60	4	1	1	1	1	GLST
27.5	0	17	B2A03	60	4	1	1	1	1	GLST
31	0	18	B2A03	60	4	1	1	1	1	GLST
31	0	19	B2A03	60	4	1	1	1	1	GLST
49	1	20	B2A03	60	4	1	1	1	1	GLST
1	0	1	B2A04	1	1	0	0	0	1	T
1	0	2	B2A04	1	1	0	0	0	1	T
1	0	3	B2A04	1	1	0	0	0	1	T
1	0	4	B2A04	1	1	0	0	0	1	T
1	0	5	B2A04	1	1	0	0	0	1	T
1	0	6	B2A04	1	1	0	0	0	1	T
1	0	7	B2A04	1	1	0	0	0	1	T
1	0	8	B2A04	1	1	0	0	0	1	T
3	0	9	B2A04	1	1	0	0	0	1	T
3	0	10	B2A04	1	1	0	0	0	1	T
3	0	11	B2A04	1	1	0	0	0	1	T
3	0	12	B2A04	1	1	0	0	0	1	T
3	0	13	B2A04	1	1	0	0	0	1	T
7.5	0	14	B2A04	1	1	0	0	0	1	T
7.5	0	15	B2A04	1	1	0	0	0	1	T
12.5	0	16	B2A04	1	1	0	0	0	1	T
20.5	0	17	B2A04	1	1	0	0	0	1	T
20.5	0	18	B2A04	1	1	0	0	0	1	T
20.5	0	19	B2A04	1	1	0	0	0	1	T
1	0	1	B2A05	1	1	1	0	0	0	G
1	0	2	B2A05	1	1	1	0	0	0	G
1	0	3	B2A05	1	1	1	0	0	0	G
1	0	4	B2A05	1	1	1	0	0	0	G
20.5	0	5	B2A05	1	1	1	0	0	0	G
20.5	0	6	B2A05	1	1	1	0	0	0	G
20.5	0	7	B2A05	1	1	1	0	0	0	G
20.5	0	8	B2A05	1	1	1	0	0	0	G
27.5	0	9	B2A05	1	1	1	0	0	0	G
31	0	10	B2A05	1	1	1	0	0	0	G
31	0	11	B2A05	1	1	1	0	0	0	G
31	0	12	B2A05	1	1	1	0	0	0	G
31	0	13	B2A05	1	1	1	0	0	0	G
35	0	14	B2A05	1	1	1	0	0	0	G
35	0	15	B2A05	1	1	1	0	0	0	G
45.5	0	16	B2A05	1	1	1	0	0	0	G
45.5	0	17	B2A05	1	1	1	0	0	0	G
45.5	0	18	B2A05	1	1	1	0	0	0	G
49	1	19	B2A05	1	1	1	0	0	0	G
49	1	20	B2A05	1	1	1	0	0	0	G
1	0	1	B2A06	4	2	0	1	1	0	LS
1	0	2	B2A06	4	2	0	1	1	0	LS
