code	overlap	reprod	NAO	density	age
CGH94	0.649645047	0	2.8	336	6
CGH94	0.860755421	0	-1.89	271	7
CGH95	0.998525494	0	1.7	359	4
CGH95	0.980396305	0	2.8	336	5
CGH95	0.963512779	0	-1.89	271	6
CHE73	0.215883907	0	0.17	296	5
CHE73	0.118275561	0	-2.25	323	6
CHE73	0.428813474	1	0.56	296	7
CHE73	0.271342479	0	2.05	293	8
CHE73	0.096800861	0	0.8	272	9
CHE80	0.221188129	0	1.6	302	4
CHE80	0.35618386	1	-0.63	307	5
CHF01	0.589317353	0	0.12	291	4
CHO73	0.460749894	1	0.17	296	5
CHO73	0.416495425	1	-2.25	323	6
CHO73	0.680668171	0	0.56	296	7
CHO75	0.450560145	0	-2.25	323	4
CHO75	0.610839363	1	0.56	296	5
CIN76	0.99568704	0	0.56	296	4
CIN76	0.711164682	0	2.05	293	5
CIN76	0.671070427	1	0.8	272	6
CIN76	0.302106079	0	3.42	293	7
CIN76	0.549944485	0	1.6	302	8
CIN78	0.375999795	0	0.8	272	4
CIN78	0.80511287	1	3.42	293	5
CIN78	0.424325534	0	1.6	302	6
CLA85	0.795656108	0	5.08	365	4
CLA85	0.926498647	1	3.96	318	5
CLC75	0.713560605	0	-2.25	323	4
CLC75	0.204412893	1	0.56	296	5
CLC75	0.722575286	1	2.05	293	6
CLC78	0.992388622	0	0.8	272	4
CLC78	0.960763911	0	3.42	293	5
CLC78	0.98926918	0	1.6	302	6
CLC79	1	0	1.6	302	5
CLC79	0.716340682	1	-0.63	307	6
CLC80	0.990350639	0	1.6	302	4
CLC80	0.962090279	1	-0.63	307	5
CLC80	0.975061922	0	-0.75	309	7
CLC80	0.96846827	0	0.72	325	8
CLC80	0.080298134	1	3.96	318	10
CLC80	0.22496567	1	1.03	331	11
CLC82	0.924497905	1	-0.75	309	5
CLC82	0.728167784	1	0.72	325	6
CLE74	0.990751532	0	0.17	296	4
CLE74	0.911949708	0	-2.25	323	5
CLE74	0.852222425	1	0.56	296	6
CLE74	1	1	2.05	293	7
CLE74	0.880980419	0	0.8	272	8
CLE75	0.942500765	0	-2.25	323	4
CLE75	0.977441657	1	0.56	296	5
CLE75	0.980853764	0	2.05	293	6
CLE75	0.88123218	0	0.8	272	7
CLE76	0.946404927	0	0.56	296	4
CLE76	0.932559501	1	2.05	293	5
CLE76	0.949936032	0	0.8	272	6
CLE77	1	0	2.05	293	4
CLE77	0.913626489	0	0.8	272	5
CLL02	0.823243612	0	0.12	291	4
CLM82	0.422335896	0	-0.75	309	5
CLT97	0.607346905	0	-1.89	271	4
CLT97	0.832459704	0	0.76	284	5
COL72	0.55682081	1	1.37	251	4
COL72	0.614252871	1	0.17	296	6
COL72	0.492239583	1	-2.25	323	7
COL72	0.221813887	1	0.56	296	8
COL72	0.000632044	1	2.05	293	9
COL72	0	0	0.8	272	10
COL72	0.023408817	1	3.42	293	11
COL74	0.921981496	1	0.17	296	4
COL74	0.927071568	0	-2.25	323	5
COL74	0.093652847	1	0.56	296	6
COL74	0.062850645	1	2.05	293	7
COL75	0.981414455	1	-2.25	323	4
COL75	0.383955019	1	0.56	296	5
COL78	0.185100381	0	0.8	272	4
COL78	0.746272435	0	3.42	293	5
COL79	0.792791705	0	3.42	293	4
CPS97	0.701818851	0	-1.89	271	4
CRA81	0.459963574	0	-0.63	307	4
CRA81	0.571879058	0	-0.75	309	6
CRM01	0.907429244	0	0.12	291	4
CRM01	0.991664703	1	0.12	291	5
CRM99	0.87773001	0	0.2	247	4
CRM99	0.990620173	0	0.12	291	6
CRM99	0.999661001	1	0.12	291	7
CRT71	0.316724117	1	1.63	222	4
CRT71	0.991426124	0	1.37	251	5
CRT71	0.484235296	0	0.17	296	7
CRT71	0.797781672	0	-2.25	323	8
CRT71	0.599022121	0	0.56	296	9
CRT74	0.918351825	0	0.17	296	4
CRT74	0.943986024	1	-2.25	323	5
CRT74	0.720259404	0	0.56	296	6
CRT74	0.386058715	0	2.05	293	7
CRT74	0.538358993	0	0.8	272	8
CRT76	0.875364851	0	0.56	296	4
CRT76	0.707059397	1	2.05	293	5
CRT76	0.450044484	0	0.8	272	6
CSK98	0.420775635	0	0.76	284	4
CSK98	0.398250621	0	0.2	247	5
CUC84	0.925644168	0	0.72	325	4
CUC84	0.720409134	0	3.96	318	6
CUC84	0.973371551	0	1.03	331	7
CUC84	0.872433414	0	2.67	297	9
CUC84	0.832214865	0	3.03	243	10
CUC84	0.95157026	0	3.96	265	11
CUC91	0.978355863	0	3.96	265	4
CUM97	0.670190287	0	-1.89	271	4
CUR78	0.942419842	0	0.8	272	4
CUR78	0.117997709	0	3.42	293	5
CUR78	0.542790944	1	1.6	302	6
CUR78	1	1	-0.63	307	7
DAN90	0.665428455	0	3.03	243	4
DAN90	0.443062446	0	3.96	265	5
DAN90	0.736157338	0	-3.78	299	6
DAN90	0.866437381	0	-0.2	328	7
DAN90	0.817519846	0	0.72	347	8
DAN90	0.442258228	0	1.7	359	9
DAN90	0.832616153	0	2.8	336	10
DAN95	0.649210811	0	1.7	359	4
DAN95	0.996477375	0	2.8	336	5
DIC94	0.62487305	0	0.72	347	4
DIC94	0.558261057	0	1.7	359	5
DIC94	0.203035621	0	2.8	336	6
DIC95	0.5350769	0	1.7	359	4
DIC95	0.216447874	0	2.8	336	5
DIC96	0.480126603	0	2.8	336	4
DKP86	0.876430127	0	3.96	318	4
DKP86	1	0	1.03	331	5
DOC94	0.910446054	0	0.72	347	4
DOC94	0.942620042	0	1.7	359	5
DOC94	0.830614004	1	2.8	336	6
DOC94	0.799444853	0	-1.89	271	7
DOC94	0.852264041	0	0.76	284	8
DOC94	0.838767517	0	0.2	247	9
DOC96	0.758411325	0	2.8	336	4
DOC96	0.951665795	0	-1.89	271	5
DOC96	0.900926521	1	0.76	284	6
DOC96	0.806479621	0	0.2	247	7
DOC97	0.736085186	0	-1.89	271	4
DOC97	0.792964061	0	0.76	284	5
DOR78	0.992270595	0	0.8	272	4
DOR78	0.747503337	0	1.6	302	6
DOR78	0.505730049	0	-0.63	307	7
DOR82	0.15192904	0	-0.75	309	5
EGR91	0.87325215	0	3.96	265	4
EGR91	0.777720261	0	-3.78	299	5
EGR91	0.212888951	0	-0.2	328	6
EOL86	0.836194819	0	3.96	318	4
EOL86	0.742982183	0	1.03	331	5
FAL99	0.70692062	0	0.2	247	4
FAN88	0.769464653	0	2.67	297	5
FAN88	0.838296667	0	3.03	243	6
FAN88	0.405883055	1	3.96	265	7
FAN88	0.420596104	1	-3.78	299	8
FAN88	0.520299489	1	-0.2	328	9
FAN90	0.909599241	0	3.03	243	4
FAN90	0.724233869	0	3.96	265	5
FAN90	0.64178452	0	-3.78	299	6
FAN90	0.765097492	0	-0.2	328	7
FAN93	0.730106484	0	-0.2	328	4
FDL00	0.640550655	0	0.12	291	5
FDL00	0.614996162	0	0.12	291	6
FDL94	0.856229841	0	0.72	347	4
FDL94	0.956110376	0	1.7	359	5
FDL96	0.748925574	0	2.8	336	4
FDL96	0.977803279	0	-1.89	271	5
FDL96	0.96757386	0	0.76	284	6
FDL96	0.843557899	0	0.2	247	7
FDL99	0.704971211	0	0.2	247	4
FDL99	0.702496855	0	0.12	291	6
FDL99	0.819266721	1	0.12	291	7
FEA87	0.889347269	0	1.03	331	4
FEA87	0.548803026	0	2.67	297	6
FEA87	0.559095998	0	3.03	243	7
FEA87	0.200554409	0	3.96	265	8
FEA87	0.513959518	1	-3.78	299	9
FEA87	0.581487707	0	-0.2	328	10
FEA87	0.30625345	1	0.72	347	11
FEA87	0.259729702	0	1.7	359	12
FEA87	0.368974947	0	2.8	336	13
FEA87	0.376031901	0	-1.89	271	14
FEA94	0.828082895	0	0.72	347	4
FEA94	0.628936781	0	1.7	359	5
FEA94	0.259043121	0	2.8	336	6
FEA94	0.579159754	0	-1.89	271	7
FEA95	0.605775041	0	1.7	359	4
FEA95	0.560943454	0	2.8	336	5
FEA95	0.846014151	0	-1.89	271	6
FEE71	0.866753467	1	1.63	222	4
FEE71	0.612706196	0	1.37	251	5
FEN89	0.957225013	0	2.67	297	4
FID86	0.851260447	0	3.96	318	4
FID86	0.818387854	0	1.03	331	5
FLA85	0.947852961	1	3.96	318	5
FLA85	0.464065095	1	1.03	331	6
FLA85	0.349227184	0	2.67	297	8
FLG97	0.677136565	0	-1.89	271	4
FLG98	0.801098261	0	0.76	284	4
FLG98	0.900308223	0	0.2	247	5
FOP97	0.772666087	0	-1.89	271	4
FOP97	0.931374485	0	0.76	284	5
FOP97	0.646194921	0	0.2	247	6
FRE83	0.880737768	0	-0.75	309	4
FRE83	0.873297024	1	3.96	318	7
FRO93	0.964122762	0	-0.2	328	4
FRO93	0.90261503	0	0.72	347	5
FUL83	0.794353855	0	-0.75	309	4
FUL83	0.940940677	0	0.72	325	5
FUL83	0.380504589	0	5.08	365	6
FUL83	0.961074351	1	3.96	318	7
FUL83	0.462441285	1	1.03	331	8
FUL83	0.991662295	0	2.67	297	10
FUL85	0.571130336	0	5.08	365	4
FUL85	1	0	3.96	318	5
FUL85	0.736280837	0	1.03	331	6
FUL85	0.974930498	0	2.67	297	8
FUL86	0.944197833	0	3.96	318	4
FUL86	0.730667329	0	1.03	331	5
FUL86	0.931030727	0	2.67	297	7
FUL86	0.30155495	1	3.03	243	8
FUL86	0.524927329	0	3.96	265	9
FUL87	0.615383692	0	1.03	331	4
FUL87	0.924275826	0	2.67	297	6
FUL87	0.402055825	1	3.03	243	7
FUL87	0.581465712	1	3.96	265	8
FUL89	0.999999998	0	2.67	297	4
FUL89	0.378130105	1	3.03	243	5
FUL89	0.699650568	1	3.96	265	6
GAL85	0.894891962	0	5.08	365	4
GAL85	0.789030407	0	3.96	318	5
GAL85	0.620871668	1	1.03	331	6
GEC95	0.796639594	0	1.7	359	4
GEC95	0.919765849	0	2.8	336	5
GEC95	0.706462495	1	-1.89	271	6
GIN93	0.822928308	0	-0.2	328	4
GIN93	0.349317093	0	0.72	347	5
GIN93	0.830476293	1	1.7	359	6
GL375	0.763220419	0	-2.25	323	4
GL375	0.66064947	1	0.56	296	5
GL375	0.657548536	0	2.05	293	6
GL375	0.14568775	1	0.8	272	7
GL375	0.09784564	0	3.42	293	8
GLA69	0.703611805	0	1.63	222	6
GLA69	0.738764797	1	1.37	251	7
GOD94	0.250584529	0	0.72	347	4
GOD94	0	0	1.7	359	5
GOD94	0	0	2.8	336	6
GOD94	0.042449004	1	-1.89	271	7
GOD94	0.044012044	1	0.76	284	8
GOD94	0.096009108	0	0.2	247	9
GOD97	0.859198955	1	-1.89	271	4
GOD97	0.819396917	0	0.76	284	5
GOD97	0.525959766	1	0.2	247	6
GRA02	0.539092418	0	0.12	291	4
GRA93	0.614194349	0	-0.2	328	4
GRA93	0.541713611	0	0.72	347	5
GRA93	0.817105978	0	1.7	359	6
GRA93	0.709945122	0	2.8	336	7
GRA93	0.824686656	1	-1.89	271	8
GRA93	0.23278617	1	0.76	284	9
GRA93	0.213094051	0	0.2	247	10
GRA93	0.089213343	0	0.12	291	12
GRA93	0.07556803	0	0.12	291	13
GRA95	0.799575173	0	1.7	359	4
GRA95	0.897164455	0	2.8	336	5
GRA96	0.705804219	0	2.8	336	4
GRA96	0.53808315	0	-1.89	271	5
GRA96	0.299572698	1	0.76	284	6
GRA96	0.294213167	0	0.2	247	7
GRA96	0.130358838	0	0.12	291	9
GRA98	0.739626895	0	0.76	284	4
GRA98	0.601789035	0	0.2	247	5
GRA98	0.850745916	0	0.12	291	7
GRA98	0.799139689	1	0.12	291	8
GRA99	0.42181972	0	0.2	247	4
GRA99	0.079485217	1	0.12	291	6
GRA99	0.391524126	0	0.12	291	7
GRC76	0.788202994	0	0.56	296	4
GRC76	0.788760528	0	2.05	293	5
GRC76	0.859665151	0	0.8	272	6
GRC76	0.886221999	0	3.42	293	7
GRC76	0.909595752	1	1.6	302	8
GRC76	0.982483934	1	-0.63	307	9
GRE68	0.475673472	1	1.63	222	7
GRE68	0.430121577	1	1.37	251	8
GRE72	0.659955007	0	1.37	251	4
HAL87	0.999744973	0	1.03	331	4
HAL87	0.999977752	1	2.67	297	6
HAL87	0.955051983	0	3.03	243	7
HAL90	0.978483284	0	3.03	243	4
HAL90	0.970780743	0	3.96	265	5
HAL90	0.826987738	0	-3.78	299	6
HAL90	0.666474031	1	-0.2	328	7
HAL90	0.508114316	0	0.72	347	8
HAL90	0.655011995	0	2.8	336	10
HAL94	0.908208086	1	0.72	347	4
HAL94	0.795126638	0	1.7	359	5
HAL94	0.800138932	0	2.8	336	6
HAL95	0.997290367	0	1.7	359	4
HAL95	0.941797127	0	2.8	336	5
HED01	0.924883678	0	0.12	291	4
HED01	0.91411998	0	0.12	291	5
HER93	1	0	-0.2	328	4
HER93	0.895287058	1	0.72	347	5
HIC84	0.717244562	0	0.72	325	4
HIC84	0.251186132	0	5.08	365	5
HIC84	0.671032049	1	3.96	318	6
HIC84	0.37792268	1	1.03	331	7
HIC84	0.550274439	0	2.67	297	9
HIC88	0.868118712	0	2.67	297	5
HIC89	0.779574426	0	2.67	297	4
HOL00	0.939452302	0	0.12	291	5
HOL94	0.985315399	0	0.72	347	4
HOL94	0.792628866	0	1.7	359	5
HOL94	0.818707265	0	2.8	336	6
HOL94	0.640467454	0	-1.89	271	7
HOL94	0.065357654	0	0.76	284	8
HOL94	0.507424281	0	0.2	247	9
HOL94	0.753300369	0	0.12	291	11
HOL97	0.996290404	0	-1.89	271	4
HOL97	0.854003156	0	0.2	247	6
HOL97	0.763392183	0	0.12	291	8
HON00	0.804145128	1	0.12	291	5
HON00	0.7011666	0	0.12	291	6
HRM95	0.970765152	0	1.7	359	4
HRM95	0.912290771	0	2.8	336	5
HRM95	0.579316235	0	-1.89	271	6
ILE86	0.926540701	0	3.96	318	4
ILE86	0.697894082	0	1.03	331	5
ILE86	0.453731163	0	2.67	297	7
ILE87	0.593107705	0	1.03	331	4
ILE87	0.722380552	0	2.67	297	6
INI86	0.930621721	0	3.96	318	4
INI86	0.95014888	0	1.03	331	5
INI86	0.813273198	0	2.67	297	7
INI87	0.592675717	0	1.03	331	4
INI87	0.522111241	0	2.67	297	6
IVO99	0.726443252	0	0.2	247	4
IVO99	0.873432401	0	0.12	291	6
IVY95	0.491208003	0	1.7	359	4
IVY95	0.969420209	0	2.8	336	5
IVY97	0.447104591	0	-1.89	271	4
IVY97	1	1	0.76	284	5
IVY97	0.938360955	0	0.2	247	6
IVY97	0.571509681	0	0.12	291	8
JAE02	0.488222891	0	0.12	291	4
JOS74	0.993761493	1	0.17	296	4
JOS77	0.845808758	0	2.05	293	4
JOS77	0.990659615	1	0.8	272	5
JUG87	0.977079574	0	1.03	331	4
JUG87	0.954840205	0	2.67	297	6
KIT95	0.978575841	0	1.7	359	4
KIT95	0.986795133	0	2.8	336	5
KIT95	0.829465634	0	-1.89	271	6
KIT95	0.945390361	0	0.76	284	7
KNO94	0.853356175	0	0.72	347	4
KNO95	0.394130983	0	2.8	336	5
KNO95	0.767185115	0	-1.89	271	6
KNO95	0.444638874	0	0.76	284	7
LAM83	0.388964475	1	0.72	325	5
LAM83	0.297353843	0	5.08	365	6
LAM83	0.408330095	0	3.96	318	7
LAM83	0.323871016	1	1.03	331	8
LIM78	0.478807452	0	0.8	272	4
LIM78	0.974889155	0	3.42	293	5
LIM78	0.706200373	0	1.6	302	6
LIM80	0.999963015	0	1.6	302	4
LIM80	0.909752592	1	-0.63	307	5
LIT70	0.441553525	0	1.63	222	5
LIT70	0.889973755	1	1.37	251	6
LIT70	0.369294526	1	0.17	296	8
LIT70	0.905076546	0	-2.25	323	9
LIT70	0.848967651	0	0.56	296	10
LIT70	0.761010817	0	2.05	293	11
LIT75	0.780010889	0	-2.25	323	4
LIT75	0.98702481	1	0.56	296	5
LIT75	0.748002679	0	2.05	293	6
LIZ86	0.969521659	0	3.96	318	4
LIZ86	0.826521402	0	1.03	331	5
LIZ86	0.970962234	0	2.67	297	7
LMS97	0.814236653	0	-1.89	271	4
LMS97	1	0	0.76	284	5
LMS97	0.819182274	1	0.2	247	6
LOB86	0.880338523	0	3.96	318	4
LPW91	0.888024317	0	3.96	265	4
LPW91	0.985077443	0	-3.78	299	5
LPW91	0.979456188	0	-0.2	328	6
LPW91	0.753663019	0	0.72	347	7
LPW91	0.455062324	0	1.7	359	8
LPW91	0.791444924	0	2.8	336	9
LPW91	0.257708029	0	-1.89	271	10
LPW91	0.581255126	0	0.76	284	11
LPW91	0.881439892	1	0.2	247	12
LPW93	0.984196282	0	-0.2	328	4
LPW93	0.895955074	0	0.72	347	5
LPW93	0.49941251	0	1.7	359	6
LPW93	0.127194857	0	2.8	336	7
LPW93	0.392501815	0	-1.89	271	8
LPW93	0.689301346	0	0.76	284	9
LPW93	0.566359663	1	0.2	247	10
LTF73	0.303346215	0	0.17	296	5
LTF73	0.220598767	0	-2.25	323	6
LTF73	0.186416173	0	0.56	296	7
LTF73	0.074663726	0	2.05	293	8
LTF74	0.299736367	0	0.17	296	4
LTF74	0.213258385	0	-2.25	323	5
LTF74	0.176112101	0	0.56	296	6
LTF74	0.087442975	0	2.05	293	7
LTF77	0.242384027	0	2.05	293	4
MAC83	0.989170225	0	-0.75	309	4
MAC85	0.564393143	0	3.96	318	5
MAL93	0.96115761	0	-0.2	328	4
MAL93	0.966254501	0	0.72	347	5
MAL93	1	0	1.7	359	6
MAL93	0.165206655	0	2.8	336	7
Mar-89	0.678214087	0	2.67	297	4
Mar-89	0.713322415	0	3.03	243	5
Mar-89	0.772380964	0	3.96	265	6
Mar-89	0.925616323	0	-3.78	299	7
Mar-89	0.921933952	0	-0.2	328	8
Mar-89	0.843665035	0	0.72	347	9
Mar-89	0.780685765	0	1.7	359	10
Mar-89	0.852513749	0	2.8	336	11
Mar-93	0.955354366	0	-0.2	328	4
Mar-93	0.912657815	0	0.72	347	5
Mar-93	0.641225392	0	1.7	359	6
Mar-93	0.846804563	0	2.8	336	7
Mar-95	0.729824824	0	1.7	359	4
Mar-95	0.81757603	0	2.8	336	5
MAW79	0.922799754	0	3.42	293	4
MAW79	1	1	1.6	302	5
MAW79	0.161194915	0	-0.63	307	6
MEG00	0.924212962	0	0.12	291	5
MEG00	0.70436303	1	0.12	291	6
MEL75	0.924235794	0	-2.25	323	4
MEL75	0.827229936	0	0.56	296	5
MEL75	1	1	2.05	293	6
MEL75	0.29847259	0	0.8	272	7
MEL75	0.796150733	1	3.42	293	8
MEL76	0.802654065	0	0.56	296	4
MEL76	0.927746677	1	2.05	293	5
MEL76	0.563183251	0	0.8	272	6
MEL76	0.807320975	0	3.42	293	7
MEL76	0.804725519	0	1.6	302	8
MEL76	0.776180839	1	-0.63	307	9
MEL76	0.969917256	0	-0.75	309	11
MEL76	0.748073109	0	0.72	325	12
MEL76	0.697652457	0	5.08	365	13
MEL77	0.989234156	0	2.05	293	4
MEL77	0.693073781	0	0.8	272	5
MEL77	0.93881048	0	3.42	293	6
MLN00	0.99879405	0	0.12	291	5
MLN97	0.755755161	0	-1.89	271	4
MLN97	0.952810282	1	0.2	247	6
MLN97	0.993211072	1	0.12	291	8
MNT99	0.968663701	0	0.2	247	4
MNT99	0.820147962	0	0.12	291	6
MNX89	0.759368202	0	2.67	297	4
MOD72	0.881747377	1	1.37	251	4
MOD72	0.566915007	1	0.17	296	6
MOD72	0.48494534	0	-2.25	323	7
MOD72	0.430299261	0	0.56	296	8
MOD72	0.236416209	0	2.05	293	9
MOD72	0.110877471	1	0.8	272	10
MOD72	0.316228752	0	3.42	293	11
MOD72	0.41071254	1	1.6	302	12
MOD74	0.791773302	0	0.17	296	4
MOD74	0.395536249	0	-2.25	323	5
MOD74	0.723062113	1	0.56	296	6
MOD74	0.557531891	0	2.05	293	7
MOD74	0.559445765	0	0.8	272	8
MOD74	0.308807643	0	3.42	293	9
MOD74	0.661531766	1	1.6	302	10
