plot	Location	Year	Treatment	Sward	Bare	Bryophytes	DOM	Total	Achillea	Agrostis	Anthoxanthum	Arrhenatherum	Bracken	Centaurea	Cerastium	Cirsium	Conopodium	Crataegus	Crepis	Dactylis	Festuca	Galium.aparine	Galium.saxatile	Galium.verum	Heracleum	Holcus.lanatus	Holcus.mollis	Hypochaeris	Lotus	Luzula	Pilosella	Plantago	Quercus	Ranunculus.acris	Ranunculus.repens	Rubus	Rumex.acetosa	Rumex.acetosella	Senecio.jacobaea	Stellaria	Taraxacum	Trifolium	Veronica.chamaedrys  	Vicia	Hyacinthoides	Ranunculus.bulbosus	Urtica
12	Nashs.Field.F	1987	Grazed	5	0	40	0	92.3	0	5	0	0	0	0	0	5	0	0	0	5	10	0	0	0	0	0	0	0	5	35	0	0.1	0	0	0.1	0	0.1	10	0	0	2	0	15	0	0	0	0
13	Nashs.Field.S1	1996	Fenced	25	0.1	15	5	112.3	2	20	0	0	0	0	0	0.1	0	0	0	10	15	0	40	0	0	20	0	0	0	0	0	0	5	0	0	0	0.1	0	0	0	0	0	0	0.1	0	0	0
13	Nashs.Field.S1	1996	Grazed	5	0	50	5	80.4	0	5	0.1	0	0	0	0	5	0	0	0	0	20	0	30	0	0	5	0	0	0	1	0	1	0	0	0	0	5	0	0.1	0.1	5	0	2	0	0	0.1	1
14	Nashs.Field.S2	1996	Fenced	30	0	10	5	85.4	0	20	0	0	0	0	0	0.1	0	0	0	10	10	0	20	0	0	20	0	0	0	0	0	0	0	0	0	0.1	5	0	0	0	0	0	0.1	0.1	0	0	0
14	Nashs.Field.S2	1996	Grazed	5	0	30	10	97.3	0	0	1	0	0	0	0.1	5	0	0	0	5	5	0	10	0	0	5	0	0	10	20	0.1	0.1	0	0	0	0	20	0	0	0	1	0	10	0	0	0	5
15	Nashs.Field.S3	1996	Fenced	25	5	10	5	107.1	0	15	0	0	0	0	0	0	0	0	0	20	30	0	20	0	0	20	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	2	0	0	0	0	0	0
15	Nashs.Field.S3	1996	Grazed	5	5	25	0	92	0	10	1	0	0	0	0	5	0	0	0	0	10	0	10	0	0	5	0	0	5	20	0	1	0	0	0	0	10	0	0	0	5	0	10	0	0	0	0
16	The.Oaks	2004	Fenced	35	0	10	5	87.1	2	5	0.1	0	0	0	0	0	0	0	10	25	10	0	10	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
16	The.Oaks	2004	Grazed	10	10	5	0	110	0	15	0	0	0	0	0	5	0	0	5	10	10	0	5	0	0	30	0	0	0	0	0	0	0	0	0	0	15	0	0	0	5	0	10	0	0	0	0
17	The.Oaks	2004	Fenced	15	5	0	5	102	0	20	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	50	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
17	The.Oaks	2004	Grazed	10	5	10	5	90	0	10	0	0	0	0	0	5	0	0	0	0	10	0	10	0	0	40	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0
18	The.Oaks	2004	Fenced	30	0	10	0	95	0	10	0	0	0	0	0	0	0	0	0	20	0	0	30	0	0	15	5	0	0	0	0	0	0	0	0	0	10	0	0	5	0	0	0	0	0	0	0
18	The.Oaks	2004	Grazed	20	10	20	5	100	0	10	0	0	0	0	0	10	0	0	5	0	10	0	10	0	0	20	0	0	0	0	0	0	0	0	0	0	15	0	0	0	10	0	10	0	0	0	0
19	Nursery.Field	2004	Fenced	10	0	10	0	95.1	0	15	10	0	0	0	0	0	0	0	0	5	20	0	10	0	0	30	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
19	Nursery.Field	2004	Grazed	20	0	20	0	106.1	0	10	0	0	0	0	0	1	0	0	0	10	10	0	5	0	0	0	0	0	0	40	0	0	0	0	0	0.1	10	0	0	0	0	0	20	0	0	0	0
20	Nursery.Field	2004	Fenced	15	0	10	5	105.1	0	20	0.1	0	0	0	0	0	0	0	0	15	5	0	5	0	0	10	0	0	0	35	0	0	0	0	0	0	5	0	0	0	0	0	10	0	0	0	0
20	Nursery.Field	2004	Grazed	10	5	20	5	105.1	0	20	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	10	0	0	0	50	0	0.1	0	0	0	0	5	0	0	0	0	0	10	0	0	0	0
21	Nursery.Field	2004	Fenced	20	0	10	0	105	0	10	5	0	0	0	0	0	0	0	10	25	10	0	15	0	0	20	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
21	Nursery.Field	2004	Grazed	10	10	20	0	110.1	0	10	0	0	0	0	0	10	0	0	5	10	0	0	5	0	0	20	0	0	0	25	0	0	0	0	0	0	20	0	0	0	0.1	0	5	0	0	0	0
22	Oak.Mead.A	1996	Fenced	30	5	10	5	81	0	5	0	0	0	0	0	0	0	0	0	20	25	0	5	0	0	15	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0
22	Oak.Mead.A	1996	Grazed	10	0	30	0	82	0	0	0	0	0	0	0	5	0	0	10	0	10	0	0	0	0	10	0	0	0	40	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0
23	Oak.Mead.B	1996	Fenced	20	5	20	3	85.2	0	10	0.1	0	5	0	3	0.1	0	0	0	30	20	0	10	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
23	Oak.Mead.B	1996	Grazed	2.5	10	20	0	95.2	0	20	0	0	0	0	0	0	0	0	0	0	20	0	5	0	0	0	0	0	0.1	35	0	0	0	0	0	0	10	0	0	0	0	0.1	5	0	0	0	0
24	Oak.Mead.C	1996	Fenced	25	0	20	10	87.2	0	10	5	0	0	0	0	0	0	0	0	0	25	0	5	0	0	40	0.1	0	0	0	0	0	0	0	0	0	2	0	0	0	0.1	0	0	0	0	0	0
24	Oak.Mead.C	1996	Grazed	5	0.1	20	5	89.1	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	40	0	5	0	0	0	0	10	0	1	1	0	0	10	2	0	0.1	0
25	Oak.Mead.D	1996	Fenced	30	0	20	10	87.1	0	15	5	0	0	0	0	0	0	0	0	15	25	0	0	0	0	20	0	0	0	0	0	0	0	0.1	0	0	0	5	0	0	0	0	0	0	2	0	0
25	Oak.Mead.D	1996	Grazed	6	0	45	0	104.3	0	10	0	0	0	0	0	0.1	0	0	0	10	10	0	2	0	0	0	0	0	0.1	40	0	0.1	0	0	0	0	0	20	0	0	2	0	0	10	0	0	0
26	Oak.Mead.E	1996	Fenced	20	2	20	5	107.1	0	20	0	0	0	0	0	0	0	0	0	20	15	0	30	0	0	15	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0.1	2	0	0	0
26	Oak.Mead.E	1996	Grazed	5	0	40	0.1	67.2	0	0	10	0	0	0	0	5	0	0	0	10	0	0	0	0	0	0	0	0	5	30	0	0	0	0	0	0	0.1	2	0	0.1	0	0	5	0	0	0	0
27	Church.Field.1	2000	Fenced	25	5	20	10	60.1	0	10	5	0	0	0	0	0	0	0	0	5	0	0	5	0	0	15	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0.1	0	0	0	0
27	Church.Field.1	2000	Grazed	5	0	40	0	102.3	0	5	0	0	0	0	0	5	0	0	0	5	0	0	20	0	0	0	0	0	5	35	0	0.1	0	0	0.1	0	0.1	10	0	0	2	0	15	0	0	0	0
28	Church.Field.2	2000	Fenced	25	0	15	5	112.3	2	20	0	0	0	0	0	0	0.1	0	0	10	25	0	30	0	0	20	0	0	0	0	0	0	0	5	0	0	0	0.1	0	0	0	0	0	0	0.1	0	0
28	Church.Field.2	2000	Grazed	2.5	0	50	5	79.3	0	5	0.1	0	0	0	0	0	5	0	0	0	10	0	40	0	0	5	0	0	0	1	0	1	0	0	0	0	0	5	0	0.1	0.1	5	0	2	0	0	0
29	Church.Field.3	2000	Fenced	30	0	10	5	65.4	0	20	0	0	0	0	0	0.1	0	0	0	5	5	10	0	0	20	0	0	0	0	0	0	0	0	0	0	0.1	5	0	0	0	0	0	0.1	0.1	0	0	0
29	Church.Field.3	2000	Grazed	10	0	30	10	117.3	0	0	1	0	0	0	0.1	5	0	0	0	10	10	20	0	0	5	0	0	10	20	0.1	0.1	0	0	0	0	0	20	0	0	0	1	0	10	0	0	0	5
30	Church.Field.4	2000	Fenced	25	5	10	5	109.1	0	15	0	0	0	0	0	0	0	0	0	20	30	0	20	0	0	20	0	0	0	0	0	0	0	2	0	0	0	0.1	0	0	0	2	0	0	0	0	0
30	Church.Field.4	2000	Grazed	5	5	25	0	92	0	10	1	0	0	0	0	5	0	0	0	0	10	0	10	0	0	5	0	0	5	20	0	1	0	0	0	0	0	10	0	0	0	5	0	10	0	0	0
