place,east,north
Redstone Farm,87,74
Remenham,77,84
Riever Wood,35,62
Riseley,72,63
Rivar Copse,35,62
Rockley Copse,46,2
Roebuck Inn,67,75
Round Oak,62,65
Rowcroft Wood,58,78
Rowstock,47,89
Royal Military Academy Sandhurst,86,60
Ruscombe,79,76
Ruscombe Lake,80,76
Rush Court,60,91
Rushy Lock,32,0
Sandford,52,1
Sandford Lock,52,1
Sandford Mill,78,73
Sandhurst,83,61
Sandhurst Lodge,82,63
Sandleford,47,64
Sanham Green,33,66
Scotland,56,69
Segsbury Camp,38,84
Seven Barrows,32,82
Shalbourne,31,63
Sham Hill,76,83
Shaw,47,68
Sheepstead House,45,97
Shefford,38,75
Shefford Woodlands,36,73
Shellingford,31,93
Shepherds Hill,75,74
Shepperlands Wood,77,64
Shillingford,59,92
Shinfield,74,68
Shiplake,77,79
Shippon,47,98
Shottesbrooke,84,77
Shrivenham,23,88
Shurlock Row,83,74
Silchester,62,62
Silwood,94,68
Sindlesham,76,70
Sinodun Hills,56,92
Smallmead Tip,71,69
Snelsmore Common,46,71
Sole Common,41,70
Sonning,75,75
Sotwell,58,90
South Ascot,92,67
South Hinksey,50,4
South Lake,75,72
Southcote,69,71
Southmoor,39,98
Sparsholt,34,87
Sparsholt Down,33,84
Speen,45,68
Speen Hill,83,82
Spencers Wood,71,66
Spout Pond,81,63
St Anns,83,68
St Johns Lock,22,98
St Leonards,93,74
St Michaels Sunninghill,93,68
St Neots Meadow,51,96
St Patricks Stream,76,76
St Sebastian Wokingham,83,69
Standen Manor,32,66
Stanford Dingley,57,71
Stanford End,70,63
Stanford Pit,32,94
Stanford-in-the-Vale,34,93
Stanlake Park,80,75
Steventon,47,91
Stibbs Wood,36,70
Stock Cross Common,42,68
Stokes Farm Wokingham,83,69
Stone Farm,26,90
Strand Castle,88,84
Strand Water,89,84
Stratfield Mortimer,67,64
Stratfield Saye,70,62
Streatley,58,80
Streatley Hills House,59,79
Streatley Warren,55,80
Stroud Copse,44,7
Stroud Green,47,66
Strouds,58,74
Stubbings Farm,84,81
Stype Wood,31,66
Sudbury House ,29,95
Sugnell Copse,50,99
Sugworth,51,0
Sulham,64,74
Sulhamstead,63,68
Sunningdale,95,67
Sunningdale Park,94,67
Sunninghill,93,67
Sunninghill Park,93,70
Sunningwell,49,0
Surrells Wood,82,73
Sutton Courtenay,50,93
Suttons Nurseries,73,73
Swallowfield,72,65
Swinford,44,8
Swinley Brick Pits,90,66
Swinley Park,89,67
Tadpole Bridge,33,0
Templeton,35,66
Thatcham,51,67
Thatchers Ford,74,63
The Manger,29,86
Theale,64,71
Thornford Bridge,52,63
Three Firs,65,66
Three Mile Cross,71,67
Thrift Wood,87,78
Thrupp,51,97
Thrupp,29,98
Thurle Down,57,81
Tidmarsh,63,74
Tilehurst,68,74
Titness ,95,68
Tittenhurst,95,68
Tomb Farm,59,78
Toutley Hall,79,70
Tower Court,90,66
Tower Hill,90,66
Tower Hill,28,83
Trash Green,65,69
Tubney,43,98
Tubney Wood,44,0
Tutts Clump,58,71
Twyford,78,75
Uffington,30,89
Uffington Castle,29,86
Uffington White Horse,30,86
Uffington Wood,30,87
Ufton Common,63,66
Ufton Nervet,63,67
Ufton Wood,61,70
Unhill Bottom,55,82
Unhill Wood,56,82
Upper Basildon,59,76
Upper Lambourn,31,80
Upper Sugworth Copse,51,1
Upton,51,86
Virginia Water,96,69
Walbury Camp,37,61
Wallingford,60,89
Wallingtons,37,65
Waltham Great Wood,85,76
Waltham St Lawrence,83,76
Wansdyke,32,64
Wantage,39,87
Wantage Road Station,41,91
Warfield,88,72
Warfield Park,89,70
Wargrave,78,78
Warren Row,81,80
Wash Bridge,45,63
Wash Common,45,64
Wasing,57,64
Wasing Wood,57,63
Watchfield,24,90
Watchfield Common Wood,23,92
Waylands Smithy,28,85
Welford,41,73
Welford Park,40,73
Wellington College,83,63
Wellingtonia Avenue,81,63
Welshmans Pond,62,64
West Challow,36,88
West Court,77,63
West Ginge Down,44,84
West Hagbourne,51,87
West Hanney,40,92
West Hendred,44,88
West Ilsley,47,82
West Woodhay,39,63
Westbrook,42,71
Westfield Farm,53,92
Weston,39,73
Whistley Mill,78,74
White Brook,90,83
White Hart Wood,44,0
White Waltham,85,77
Whitehorse Hill,30,86
Whiteknights Park,73,71
Whitley,72,70
Whitley Copse,43,4
Whitley Park Farm,71,68
Whitmoor Bog,89,68
Whortlebury Hill,85,63
Wick Hall,51,97
Wick Hill,87,69
Wickham,39,71
Wickslet Copse,44,80
Wilderness,39,67
Willingtons Down Farm,54,92
Winding Wood,37,71
Windsor,96,76
Windsor Castle,97,77
Windsor Forest,93,72
Windsor Great Park,95,71
Windsor Home Park,97,76
Winkfield,90,72
Winkfield Plain,92,73
Winnersh,78,70
Winter Hill,87,86
Winterbourne,45,72
Winterbrook,60,88
Wittenham,54,93
Wittenham Clumps,56,92
Wokefield Common,65,66
Wokingham,80,68
Woodend Farm,45,7
Woodhay,39,63
Woodhay Down,38,61
Woodley,77,73
Woodside,98,73
Woolhampton,57,66
Woolley,41,80
Woolstone,29,87
Woolvers,46,80
Wootton,47,1
Wootton Fen,46,1
Wyld Court,54,76
Wytham,47,8
Wytham Meads,47,9
Wytham Wood,46,8
Yattendon,54,74
Yattendon Court,55,74
Youlbury,48,3
