y	dish	Isolate	temp	day
20.5	3	6	20	10
20.5	2	7	20	10
21	1	3	20	7
21	3	3	20	8
21	2	6	20	10
21	1	4	35	10
21	2	1	35	13
21.5	1	5	20	10
22	1	1	20	10
22	2	3	20	10
22	2	2	35	10
22	2	4	35	10
22	3	1	35	13
22	1	5	35	13
22.5	3	1	20	10
22.5	1	2	20	10
22.5	3	2	20	10
22.5	1	2	35	10
22.5	1	1	35	13
23	2	1	20	10
23	2	2	20	10
23.5	1	4	27	7
23.5	3	2	35	10
24	2	1	35	14
24.5	1	3	20	8
25	1	4	20	13
25	3	4	20	13
25	3	5	20	13
25	1	6	20	13
25	1	7	20	13
25	2	7	20	13
25	3	7	20	13
25	2	5	35	13
25	1	1	35	14
25	3	1	35	14
25.5	3	4	27	7
25.5	1	5	27	7
25.5	2	6	27	7
25.5	3	6	27	7
25.5	1	7	27	7
25.5	3	7	27	7
25.5	1	4	20	14
26	1	3	27	7
26	2	3	27	7
26	2	7	27	7
26	2	4	20	10
26	2	3	20	13
26	2	5	20	13
26	2	6	20	13
26	3	6	20	13
26	1	2	35	13
26	2	2	35	13
26	3	4	20	14
26	1	5	35	14
26.5	3	1	27	7
26.5	3	3	27	7
26.5	3	5	27	7
26.5	1	6	27	7
27	2	1	27	7
27	3	2	27	7
27	1	4	27	8
27	1	1	20	13
27	2	2	20	13
27	1	5	20	13
27	3	2	35	13
27	2	3	35	13
27.5	2	2	27	7
28	1	1	27	7
28	2	5	27	7
28	2	1	20	13
28	1	2	20	13
28	3	2	20	13
28	1	6	20	14
28	1	7	20	14
28.5	1	5	20	14
28.5	2	5	20	14
29	1	2	27	7
29	2	3	27	8
29	1	5	27	8
29	3	6	27	8
29	3	1	20	13
29	1	4	35	13
29	3	7	20	14
29	1	2	35	14
29.5	1	3	27	8
29.5	3	7	27	8
29.5	2	2	35	14
30	2	1	27	8
30	3	2	27	8
30	3	3	27	8
30	1	6	27	8
30	2	6	27	8
30	1	7	27	8
30	2	3	20	14
30	3	5	20	14
30	2	6	20	14
30	3	6	20	14
30	2	5	35	14
30.5	2	2	27	8
30.5	2	4	35	13
30.5	2	7	20	14
30.5	3	2	35	14
31	1	1	27	8
31	3	1	27	8
31	3	4	27	8
31	2	5	27	8
31	2	4	20	13
31	1	1	20	14
31	2	2	20	14
31.5	3	5	27	8
32	1	2	27	8
32	3	1	20	14
32	3	2	20	14
32.5	1	2	20	14
33	2	1	20	14
33.5	3	3	20	10
33.5	1	4	35	14
34	1	3	20	10
34.5	1	4	27	10
35	2	4	20	14
35	2	4	35	14
35.5	2	6	27	10
36	1	3	27	10
36	3	3	20	13
37	3	3	27	10
37	3	6	27	10
37	1	7	27	10
38	2	3	27	10
38	1	5	27	10
38	1	6	27	10
38.5	3	7	27	10
39	3	1	27	10
39	3	2	27	10
39.5	2	1	27	10
39.5	2	2	27	10
40	1	1	27	10
40	2	5	27	10
40	1	3	20	13
40.5	3	5	27	10
43.5	3	4	27	10
43.5	1	3	27	13
44	3	6	27	13
45	3	4	27	13
45	1	7	27	13
45	3	7	27	13
46	3	3	27	13
46	1	4	27	13
46	2	6	27	13
47	3	1	27	13
47	2	2	27	13
47	2	3	27	13
47	1	5	27	13
47	3	5	27	13
47	1	6	27	13
48	1	1	27	13
48	2	1	27	13
48	1	2	27	13
48	3	2	27	13
48	3	3	20	14
49	2	5	27	13
50	1	3	20	14
50	1	3	27	14
50	1	4	27	14
51	3	4	27	14
51	3	6	27	14
52	3	3	27	14
52	1	7	27	14
52	3	7	27	14
53	2	6	27	14
54	3	1	27	14
54	2	3	27	14
54	3	5	27	14
54.5	2	1	27	14
55	1	1	27	14
55	2	2	27	14
55	3	2	27	14
55	1	5	27	14
55	1	6	27	14
55	2	7	27	14
56	1	2	27	14
56	2	5	27	14
