"X.Y..m..d","M.1","M.2","M.3","M.4","M.5","M.6","M.7","M.8","M.9","M.10","M.11","M.12","M.13","M.14","M.15","M.16","M.17","M.18","M.19","M.20","M.21","M.22","M.23","M.24","M.25","M.26","M.27","M.28","M.29","M.30","M.31","M.32","M.33","M.34","M.35","M.36","M.37","M.38","M.39","M.40","M.41","M.42","M.43","M.44","M.45","M.46","M.47","M.48","M.49","M.50","M.51","M.52","M.53","M.54","M.55"
"1986-06-01","0.06006","0.06057","0.06108","0.06150","0.06169","0.06173","0.06179","0.06198","0.06235","0.06287","0.06346","0.06407","0.06467","0.06522","0.06571","0.06615","0.06654","0.06691","0.06783","0.06859","0.07002","0.07145","0.07297","0.07372","0.07456","0.07483","0.07470","0.07468","0.07492","0.07537","0.07602","0.07684","0.07784","0.07901","0.08037","0.08190","0.08353","0.08518","0.08672","0.08802","0.08886","0.08902","0.08823","0.08628","0.08304","0.07854","0.07297","0.06665",NA,NA,NA,NA,NA,NA,NA
"1986-07-01","0.05499","0.05765","0.05884","0.05918","0.05930","0.05943","0.05963","0.05992","0.06032","0.06079","0.06128","0.06178","0.06227","0.06273","0.06316","0.06356","0.06394","0.06430","0.06528","0.06615","0.06764","0.06888","0.07096","0.07215","0.07265","0.07331","0.07425","0.07530","0.07639","0.07751","0.07866","0.07983","0.08100","0.08217","0.08332","0.08441","0.08541","0.08625","0.08686","0.08717","0.08706","0.08646","0.08526","0.08340","0.08084","0.07759","0.07375","0.06942",NA,NA,NA,NA,NA,NA,NA
"1986-08-01","0.04859","0.05149","0.05242","0.05234","0.05231","0.05262","0.05310","0.05357","0.05396","0.05427","0.05455","0.05485","0.05521","0.05563","0.05615","0.05672","0.05731","0.05788","0.05923","0.05988","0.06083","0.06247","0.06505","0.06648","0.06778","0.06929","0.07087","0.07227","0.07347","0.07453","0.07547","0.07633","0.07714","0.07792","0.07868","0.07942","0.08010","0.08068","0.08112","0.08134","0.08128","0.08088","0.08006","0.07875","0.07692","0.07454","0.07163","0.06825",NA,NA,NA,NA,NA,NA,NA
"1986-09-01","0.05202","0.05263","0.05321","0.05384","0.05455","0.05530","0.05598","0.05656","0.05701","0.05739","0.05778","0.05821","0.05870","0.05929","0.05994","0.06063","0.06131","0.06195","0.06345","0.06441","0.06604","0.06789","0.07072","0.07249","0.07382","0.07507","0.07630","0.07748","0.07861","0.07971","0.08077","0.08179","0.08277","0.08370","0.08458","0.08538","0.08606","0.08659","0.08694","0.08706","0.08691","0.08644","0.08560","0.08437","0.08270","0.08057","0.07799","0.07495",NA,NA,NA,NA,NA,NA,NA
"1986-10-01","0.05033","0.05242","0.05301","0.05323","0.05358","0.05413","0.05472","0.05525","0.05571","0.05613","0.05653","0.05695","0.05740","0.05788","0.05838","0.05888","0.05936","0.05983","0.06106","0.06203","0.06363","0.06508","0.06758","0.06927","0.07049","0.07190","0.07346","0.07497","0.07642","0.07781","0.07911","0.08032","0.08139","0.08230","0.08298","0.08342","0.08363","0.08358","0.08329","0.08275","0.08197","0.08097","0.07977","0.07839","0.07687","0.07525","0.07358","0.07190",NA,NA,NA,NA,NA,NA,NA
"1986-11-01","0.05241","0.05371","0.05456","0.05507","0.05540","0.05561","0.05577","0.05593","0.05613","0.05637","0.05666","0.05701","0.05740","0.05785","0.05834","0.05886","0.05936","0.05984","0.06088","0.06133","0.06220","0.06401","0.06595","0.06741","0.07002","0.07123","0.07147","0.07195","0.07283","0.07400","0.07538","0.07689","0.07848","0.08006","0.08154","0.08285","0.08395","0.08479","0.08533","0.08552","0.08529","0.08458","0.08335","0.08157","0.07925","0.07642","0.07314","0.06951",NA,NA,NA,NA,NA,NA,NA
"1986-12-01","0.04998","0.05574","0.05803","0.05811","0.05778","0.05766","0.05773","0.05793","0.05824","0.05862","0.05904","0.05946","0.05986","0.06022","0.06053","0.06082","0.06111","0.06140","0.06242","0.06369","0.06591","0.06697","0.06703","0.06812","0.07068","0.07178","0.07198","0.07245","0.07329","0.07442","0.07575","0.07722","0.07878","0.08035","0.08187","0.08326","0.08449","0.08550","0.08624","0.08664","0.08661","0.08608","0.08497","0.08323","0.08083","0.07782","0.07425","0.07024",NA,NA,NA,NA,NA,NA,NA
"1987-01-01","0.05510","0.05666","0.05705","0.05701","0.05707","0.05737","0.05776","0.05811","0.05837","0.05853","0.05866","0.05879","0.05897","0.05921","0.05953","0.05991","0.06030","0.06070","0.06175","0.06250","0.06362","0.06460","0.06633","0.06785","0.06915","0.07023","0.07124","0.07232","0.07347","0.07465","0.07586","0.07707","0.07826","0.07940","0.08046","0.08141","0.08221","0.08283","0.08324","0.08339","0.08322","0.08270","0.08177","0.08039","0.07856","0.07628","0.07358","0.07050",NA,NA,NA,NA,NA,NA,NA
"1987-02-01","0.05489","0.05527","0.05554","0.05578","0.05607","0.05646","0.05689","0.05733","0.05775","0.05814","0.05851","0.05889","0.05929","0.05971","0.06015","0.06061","0.06106","0.06148","0.06242","0.06286","0.06356","0.06479","0.06641","0.06757","0.06899","0.07000","0.07083","0.07174","0.07274","0.07380","0.07490","0.07601","0.07712","0.07819","0.07920","0.08011","0.08090","0.08153","0.08198","0.08220","0.08213","0.08174","0.08098","0.07980","0.07818","0.07613","0.07364","0.07077",NA,NA,NA,NA,NA,NA,NA
"1987-03-01","0.05201","0.05456","0.05630","0.05743","0.05816","0.05863","0.05897","0.05930","0.05966","0.06008","0.06055","0.06105","0.06157","0.06210","0.06261","0.06311","0.06357","0.06398","0.06483","0.06518","0.06586","0.06722","0.06889","0.07013","0.07191","0.07318","0.07414","0.07509","0.07604","0.07699","0.07794","0.07887","0.07977","0.08061","0.08139","0.08207","0.08265","0.08309","0.08338","0.08348","0.08337","0.08302","0.08240","0.08148","0.08025","0.07870","0.07684","0.07469",NA,NA,NA,NA,NA,NA,NA
"1987-04-01","0.04984","0.05283","0.05549","0.05777","0.05961","0.06102","0.06216","0.06314","0.06403","0.06488","0.06568","0.06644","0.06717","0.06786","0.06852","0.06913","0.06969","0.07020","0.07134","0.07205","0.07339","0.07500","0.07710","0.07860","0.08011","0.08114","0.08194","0.08274","0.08355","0.08434","0.08512","0.08588","0.08662","0.08731","0.08794","0.08851","0.08900","0.08939","0.08967","0.08980","0.08976","0.08954","0.08910","0.08843","0.08748","0.08626","0.08474","0.08291",NA,NA,NA,NA,NA,NA,NA
"1987-05-01","0.05597","0.05633","0.05788","0.05994","0.06168","0.06280","0.06357","0.06433","0.06527","0.06646","0.06778","0.06911","0.07038","0.07153","0.07251","0.07333","0.07401","0.07457","0.07571","0.07632","0.07732","0.07882","0.08022","0.08089","0.08232","0.08311","0.08358","0.08416","0.08484","0.08559","0.08637","0.08715","0.08789","0.08855","0.08910","0.08950","0.08975","0.08984","0.08977","0.08953","0.08913","0.08857","0.08786","0.08702","0.08606","0.08502","0.08392","0.08280",NA,NA,NA,NA,NA,NA,NA
"1987-06-01","0.05397","0.05596","0.05782","0.05944","0.06067","0.06151","0.06221","0.06296","0.06384","0.06489","0.06603","0.06717","0.06825","0.06922","0.07006","0.07076","0.07136","0.07186","0.07297","0.07369","0.07510","0.07687","0.07859","0.07960","0.08130","0.08218","0.08267","0.08329","0.08403","0.08484","0.08570","0.08658","0.08743","0.08822","0.08892","0.08949","0.08991","0.09017","0.09023","0.09007","0.08968","0.08904","0.08814","0.08696","0.08553","0.08385","0.08195","0.07987",NA,NA,NA,NA,NA,NA,NA
"1987-07-01","0.05546","0.05869","0.06073","0.06207","0.06328","0.06451","0.06568","0.06671","0.06755","0.06822","0.06879","0.06930","0.06978","0.07025","0.07071","0.07116","0.07160","0.07203","0.07325","0.07439","0.07655","0.07842","0.08019","0.08158","0.08344","0.08465","0.08558","0.08654","0.08752","0.08849","0.08944","0.09033","0.09113","0.09181","0.09231","0.09262","0.09273","0.09265","0.09238","0.09193","0.09132","0.09057","0.08972","0.08880","0.08787","0.08698","0.08620","0.08559",NA,NA,NA,NA,NA,NA,NA
"1987-08-01","0.05805","0.06137","0.06321","0.06431","0.06536","0.06655","0.06778","0.06892","0.06994","0.07083","0.07162","0.07232","0.07296","0.07353","0.07405","0.07453","0.07498","0.07540","0.07658","0.07770","0.07977","0.08152","0.08295","0.08427","0.08637","0.08781","0.08883","0.08973","0.09057","0.09133","0.09203","0.09265","0.09320","0.09366","0.09404","0.09431","0.09448","0.09453","0.09445","0.09424","0.09389","0.09340","0.09278","0.09204","0.09119","0.09028","0.08932","0.08835",NA,NA,NA,NA,NA,NA,NA
"1987-09-01","0.06484","0.06566","0.06738","0.06936","0.07101","0.07230","0.07341","0.07445","0.07550","0.07653","0.07751","0.07843","0.07926","0.08001","0.08066","0.08124","0.08176","0.08224","0.08345","0.08447","0.08650","0.08846","0.08975","0.09083","0.09294","0.09421","0.09502","0.09577","0.09648","0.09712","0.09771","0.09822","0.09865","0.09898","0.09920","0.09930","0.09927","0.09913","0.09887","0.09851","0.09806","0.09754","0.09698","0.09642","0.09590","0.09549","0.09525","0.09526",NA,NA,NA,NA,NA,NA,NA
"1987-10-01","0.04364","0.04968","0.05385","0.05693","0.05951","0.06180","0.06375","0.06532","0.06650","0.06743","0.06825","0.06906","0.06992","0.07085","0.07178","0.07269","0.07353","0.07427","0.07574","0.07634","0.07806","0.08081","0.08245","0.08414","0.08686","0.08808","0.08869","0.08927","0.08982","0.09033","0.09081","0.09125","0.09163","0.09196","0.09222","0.09241","0.09252","0.09254","0.09247","0.09230","0.09202","0.09165","0.09117","0.09059","0.08993","0.08920","0.08841","0.08760",NA,NA,NA,NA,NA,NA,NA
"1987-11-01","0.03800","0.04763","0.05426","0.05867","0.06166","0.06362","0.06502","0.06618","0.06726","0.06834","0.06936","0.07032","0.07120","0.07199","0.07270","0.07332","0.07388","0.07437","0.07554","0.07637","0.07815","0.08047","0.08260","0.08442","0.08701","0.08839","0.08925","0.09001","0.09069","0.09129","0.09182","0.09227","0.09264","0.09293","0.09313","0.09324","0.09324","0.09314","0.09292","0.09259","0.09214","0.09159","0.09094","0.09022","0.08944","0.08864","0.08786","0.08712",NA,NA,NA,NA,NA,NA,NA
"1987-12-01","0.03880","0.05133","0.05808","0.06091","0.06265","0.06428","0.06582","0.06725","0.06854","0.06969","0.07071","0.07161","0.07240","0.07308","0.07366","0.07417","0.07463","0.07504","0.07607","0.07695","0.07850","0.07992","0.08178","0.08365","0.08555","0.08683","0.08782","0.08868","0.08942","0.09005","0.09060","0.09105","0.09141","0.09170","0.09190","0.09201","0.09204","0.09195","0.09176","0.09145","0.09103","0.09051","0.08989","0.08920","0.08847","0.08771","0.08698","0.08633",NA,NA,NA,NA,NA,NA,NA
"1988-01-01","0.04930","0.05533","0.05825","0.05945","0.06042","0.06164","0.06292","0.06409","0.06505","0.06579","0.06639","0.06689","0.06735","0.06779","0.06824","0.06869","0.06913","0.06954","0.07060","0.07138","0.07264","0.07380","0.07551","0.07744","0.07939","0.08059","0.08152","0.08238","0.08319","0.08393","0.08461","0.08520","0.08570","0.08608","0.08634","0.08646","0.08645","0.08630","0.08603","0.08564","0.08516","0.08459","0.08396","0.08332","0.08269","0.08213","0.08168","0.08141",NA,NA,NA,NA,NA,NA,NA
"1988-02-01","0.05267","0.05555","0.05717","0.05815","0.05914","0.06035","0.06160","0.06276","0.06373","0.06454","0.06521","0.06580","0.06634","0.06683","0.06729","0.06773","0.06814","0.06853","0.06953","0.07033","0.07157","0.07256","0.07418","0.07600","0.07787","0.07933","0.08055","0.08162","0.08257","0.08342","0.08417","0.08483","0.08539","0.08585","0.08619","0.08642","0.08652","0.08649","0.08633","0.08604","0.08561","0.08506","0.08440","0.08364","0.08281","0.08193","0.08104","0.08017",NA,NA,NA,NA,NA,NA,NA
"1988-03-01","0.05730","0.05792","0.05867","0.05963","0.06088","0.06235","0.06380","0.06508","0.06611","0.06691","0.06757","0.06814","0.06866","0.06918","0.06968","0.07017","0.07064","0.07108","0.07218","0.07302","0.07455","0.07612","0.07816","0.08028","0.08248","0.08375","0.08474","0.08570","0.08663","0.08751","0.08834","0.08910","0.08976","0.09030","0.09069","0.09094","0.09104","0.09098","0.09077","0.09042","0.08993","0.08933","0.08863","0.08786","0.08706","0.08626","0.08553","0.08490",NA,NA,NA,NA,NA,NA,NA
"1988-04-01","0.05768","0.05939","0.06092","0.06238","0.06385","0.06534","0.06673","0.06790","0.06882","0.06954","0.07015","0.07071","0.07128","0.07187","0.07250","0.07312","0.07372","0.07428","0.07558","0.07637","0.07760","0.07905","0.08114","0.08297","0.08490","0.08632","0.08749","0.08855","0.08952","0.09039","0.09117","0.09186","0.09245","0.09292","0.09327","0.09349","0.09358","0.09353","0.09334","0.09302","0.09258","0.09203","0.09140","0.09071","0.09001","0.08934","0.08876","0.08832",NA,NA,NA,NA,NA,NA,NA
"1988-05-01","0.06083","0.06406","0.06630","0.06794","0.06935","0.07066","0.07185","0.07288","0.07376","0.07450","0.07515","0.07575","0.07632","0.07688","0.07745","0.07800","0.07853","0.07902","0.08018","0.08084","0.08175","0.08299","0.08483","0.08627","0.08806","0.08938","0.09039","0.09125","0.09200","0.09265","0.09321","0.09370","0.09413","0.09451","0.09486","0.09517","0.09541","0.09557","0.09562","0.09554","0.09531","0.09492","0.09435","0.09360","0.09265","0.09152","0.09023","0.08879",NA,NA,NA,NA,NA,NA,NA
"1988-06-01","0.06128","0.06517","0.06710","0.06784","0.06854","0.06953","0.07061","0.07163","0.07252","0.07324","0.07384","0.07437","0.07487","0.07538","0.07589","0.07640","0.07689","0.07734","0.07838","0.07890","0.07957","0.08056","0.08192","0.08321","0.08484","0.08591","0.08673","0.08748","0.08819","0.08884","0.08945","0.09001","0.09052","0.09100","0.09143","0.09179","0.09208","0.09227","0.09233","0.09225","0.09201","0.09157","0.09094","0.09009","0.08903","0.08775","0.08627","0.08461",NA,NA,NA,NA,NA,NA,NA
"1988-07-01","0.06524","0.06853","0.07041","0.07148","0.07239","0.07336","0.07432","0.07522","0.07603","0.07674","0.07739","0.07800","0.07859","0.07915","0.07970","0.08023","0.08073","0.08118","0.08219","0.08271","0.08328","0.08392","0.08497","0.08625","0.08780","0.08895","0.08985","0.09061","0.09125","0.09180","0.09228","0.09270","0.09307","0.09343","0.09378","0.09412","0.09441","0.09464","0.09478","0.09482","0.09473","0.09449","0.09408","0.09348","0.09268","0.09168","0.09048","0.08909",NA,NA,NA,NA,NA,NA,NA
"1988-08-01","0.07544","0.07326","0.07368","0.07535","0.07693","0.07805","0.07887","0.07955","0.08017","0.08078","0.08136","0.08192","0.08245","0.08296","0.08344","0.08388","0.08427","0.08462","0.08533","0.08559","0.08587","0.08645","0.08747","0.08834","0.08928","0.09009","0.09075","0.09129","0.09173","0.09208","0.09237","0.09262","0.09284","0.09308","0.09333","0.09360","0.09385","0.09406","0.09422","0.09430","0.09428","0.09413","0.09385","0.09341","0.09280","0.09201","0.09103","0.08987",NA,NA,NA,NA,NA,NA,NA
"1988-09-01","0.07073","0.07293","0.07447","0.07561","0.07656","0.07739","0.07810","0.07870","0.07919","0.07961","0.07998","0.08034","0.08069","0.08105","0.08141","0.08176","0.08207","0.08233","0.08276","0.08279","0.08287","0.08343","0.08421","0.08496","0.08587","0.08656","0.08715","0.08770","0.08822","0.08869","0.08913","0.08953","0.08992","0.09028","0.09062","0.09093","0.09119","0.09138","0.09148","0.09148","0.09136","0.09111","0.09071","0.09015","0.08943","0.08855","0.08752","0.08635",NA,NA,NA,NA,NA,NA,NA
"1988-10-01","0.06957","0.07319","0.07499","0.07590","0.07657","0.07720","0.07777","0.07822","0.07854","0.07879","0.07899","0.07919","0.07941","0.07966","0.07992","0.08018","0.08041","0.08060","0.08089","0.08080","0.08064","0.08103","0.08181","0.08256","0.08340","0.08413","0.08478","0.08536","0.08590","0.08638","0.08681","0.08720","0.08753","0.08782","0.08807","0.08826","0.08838","0.08842","0.08837","0.08824","0.08800","0.08767","0.08725","0.08673","0.08614","0.08550","0.08481","0.08412",NA,NA,NA,NA,NA,NA,NA
"1988-11-01","0.07084","0.07716","0.08013","0.08116","0.08173","0.08235","0.08300","0.08358","0.08403","0.08438","0.08467","0.08492","0.08517","0.08543","0.08570","0.08598","0.08624","0.08646","0.08677","0.08658","0.08614","0.08666","0.08739","0.08762","0.08813","0.08852","0.08884","0.08914","0.08941","0.08964","0.08985","0.09003","0.09019","0.09034","0.09048","0.09061","0.09071","0.09076","0.09075","0.09067","0.09052","0.09028","0.08996","0.08955","0.08907","0.08851","0.08789","0.08724",NA,NA,NA,NA,NA,NA,NA
"1988-12-01","0.07196","0.07924","0.08281","0.08391","0.08457","0.08547","0.08644","0.08730","0.08794","0.08833","0.08857","0.08873","0.08889","0.08907","0.08927","0.08949","0.08968","0.08983","0.08990","0.08951","0.08893","0.08952","0.08986","0.08989","0.09032","0.09022","0.08995","0.08975","0.08960","0.08948","0.08937","0.08927","0.08918","0.08910","0.08904","0.08898","0.08890","0.08880","0.08867","0.08850","0.08829","0.08803","0.08773","0.08739","0.08702","0.08663","0.08624","0.08587",NA,NA,NA,NA,NA,NA,NA
"1989-01-01","0.08066","0.08346","0.08506","0.08592","0.08647","0.08688","0.08722","0.08754","0.08786","0.08818","0.08849","0.08879","0.08908","0.08935","0.08959","0.08979","0.08994","0.09004","0.08991","0.08929","0.08842","0.08900","0.08937","0.08899","0.08886","0.08857","0.08828","0.08808","0.08793","0.08780","0.08769","0.08759","0.08751","0.08744","0.08739","0.08734","0.08728","0.08720","0.08709","0.08694","0.08674","0.08649","0.08619","0.08584","0.08543","0.08499","0.08451","0.08400",NA,NA,NA,NA,NA,NA,NA
"1989-02-01","0.08075","0.08664","0.08894","0.08918","0.08917","0.08956","0.09019","0.09088","0.09150","0.09203","0.09246","0.09283","0.09313","0.09338","0.09357","0.09371","0.09381","0.09385","0.09371","0.09322","0.09242","0.09266","0.09270","0.09225","0.09214","0.09169","0.09116","0.09078","0.09056","0.09044","0.09040","0.09039","0.09041","0.09044","0.09046","0.09046","0.09043","0.09035","0.09021","0.09001","0.08974","0.08940","0.08899","0.08851","0.08797","0.08739","0.08679","0.08619",NA,NA,NA,NA,NA,NA,NA
"1989-03-01","0.09043","0.08991","0.09053","0.09158","0.09238","0.09279","0.09305","0.09329","0.09360","0.09402","0.09447","0.09490","0.09526","0.09552","0.09569","0.09576","0.09577","0.09571","0.09524","0.09454","0.09368","0.09417","0.09391","0.09282","0.09229","0.09160","0.09089","0.09036","0.09000","0.08977","0.08961","0.08952","0.08948","0.08946","0.08947","0.08948","0.08948","0.08945","0.08939","0.08928","0.08911","0.08887","0.08857","0.08820","0.08776","0.08725","0.08669","0.08609",NA,NA,NA,NA,NA,NA,NA
"1989-04-01","0.08630","0.08613","0.08650","0.08714","0.08771","0.08814","0.08850","0.08885","0.08922","0.08962","0.09001","0.09038","0.09070","0.09096","0.09115","0.09128","0.09136","0.09138","0.09120","0.09076","0.09007","0.09019","0.08992","0.08954","0.08955","0.08924","0.08887","0.08863","0.08854","0.08852","0.08857","0.08864","0.08872","0.08880","0.08885","0.08887","0.08885","0.08877","0.08862","0.08841","0.08812","0.08776","0.08733","0.08684","0.08629","0.08572","0.08514","0.08458",NA,NA,NA,NA,NA,NA,NA
"1989-05-01","0.08519","0.08716","0.08769","0.08743","0.08702","0.08670","0.08651","0.08648","0.08662","0.08689","0.08718","0.08746","0.08767","0.08778","0.08777","0.08766","0.08747","0.08725","0.08655","0.08605","0.08573","0.08608","0.08601","0.08555","0.08535","0.08504","0.08476","0.08465","0.08470","0.08486","0.08509","0.08534","0.08558","0.08579","0.08595","0.08605","0.08607","0.08602","0.08590","0.08569","0.08540","0.08503","0.08460","0.08411","0.08359","0.08305","0.08253","0.08205",NA,NA,NA,NA,NA,NA,NA
"1989-06-01","0.08254","0.08203","0.08157","0.08116","0.08076","0.08038","0.08008","0.07991","0.07990","0.08005","0.08027","0.08050","0.08067","0.08076","0.08074","0.08063","0.08046","0.08026","0.07957","0.07899","0.07867","0.07928","0.07961","0.07955","0.07985","0.07997","0.08001","0.08008","0.08019","0.08030","0.08042","0.08053","0.08063","0.08071","0.08076","0.08077","0.08074","0.08066","0.08052","0.08031","0.08003","0.07968","0.07927","0.07879","0.07824","0.07765","0.07701","0.07636",NA,NA,NA,NA,NA,NA,NA
"1989-07-01","0.07934","0.07966","0.07902","0.07798","0.07704","0.07635","0.07591","0.07569","0.07567","0.07585","0.07610","0.07633","0.07647","0.07646","0.07627","0.07595","0.07555","0.07513","0.07408","0.07372","0.07410","0.07463","0.07454","0.07479","0.07566","0.07629","0.07680","0.07732","0.07785","0.07838","0.07887","0.07933","0.07971","0.08001","0.08021","0.08031","0.08031","0.08022","0.08004","0.07977","0.07943","0.07902","0.07855","0.07806","0.07755","0.07707","0.07664","0.07630",NA,NA,NA,NA,NA,NA,NA
"1989-08-01","0.07501","0.08000","0.08133","0.08085","0.08038","0.08049","0.08096","0.08148","0.08187","0.08213","0.08229","0.08237","0.08241","0.08242","0.08241","0.08239","0.08236","0.08232","0.08215","0.08196","0.08190","0.08235","0.08207","0.08173","0.08191","0.08178","0.08157","0.08149","0.08156","0.08172","0.08195","0.08221","0.08246","0.08270","0.08289","0.08302","0.08310","0.08310","0.08302","0.08286","0.08261","0.08226","0.08182","0.08128","0.08064","0.07992","0.07911","0.07825",NA,NA,NA,NA,NA,NA,NA
"1989-09-01","0.07588","0.08014","0.08139","0.08117","0.08115","0.08178","0.08262","0.08333","0.08372","0.08380","0.08370","0.08352","0.08332","0.08315","0.08302","0.08292","0.08284","0.08278","0.08261","0.08247","0.08259","0.08323","0.08279","0.08242","0.08274","0.08254","0.08217","0.08194","0.08193","0.08206","0.08228","0.08254","0.08282","0.08307","0.08327","0.08341","0.08348","0.08348","0.08339","0.08322","0.08295","0.08259","0.08212","0.08156","0.08092","0.08018","0.07938","0.07853",NA,NA,NA,NA,NA,NA,NA
