"X.Y..m..d","AA","AXP","T","BA","CAT","C","KO","DD","EK","XOM","GE","GM","HWP","HD","HON","INTC","IBM","IP","JPM","JNJ","MCD","MRK","MSFT","MMM","MO","PG","SBC","UTX","WMT","DIS"
"1991-01-24"," 6.02"," 4.64","15.23","23.65"," 9.28"," 2.02","10.67","12.97","22.46","12.39"," 4.79","19.50"," 4.50"," 3.21"," 5.90"," 1.36"," 30.06","22.39"," 2.96"," 7.80"," 7.05","11.88","  2.51"," 30.02","11.30"," 19.14"," 9.03"," 8.78"," 7.44"," 7.76"
"1991-01-25"," 6.05"," 4.73","15.41","23.83"," 9.38"," 2.00","10.42","13.01","23.37","12.54"," 4.90","19.07"," 4.54"," 3.19"," 5.93"," 1.37"," 30.47","22.24"," 3.14"," 7.79"," 7.05","11.82","  2.49"," 30.34","11.38"," 19.56"," 9.05"," 8.87"," 7.41"," 7.93"
"1991-01-28"," 6.12"," 4.70","15.60","22.74"," 9.63"," 1.94","10.39","13.01","23.16","12.51"," 4.97","19.07"," 4.65"," 3.13"," 6.08"," 1.37"," 30.87","22.39"," 3.14"," 7.80"," 6.89","11.80","  2.56"," 30.43","11.41"," 18.95"," 9.12"," 8.87"," 7.47"," 7.96"
"1991-01-29"," 6.31"," 4.79","15.60","22.92"," 9.84"," 2.02","10.34","12.83","22.95","12.39"," 4.97","19.50"," 4.70"," 3.10"," 6.16"," 1.38"," 30.93","22.63"," 3.17"," 7.86"," 6.64","11.85","  2.57"," 30.48","11.38"," 18.77"," 9.14"," 9.12"," 7.53"," 8.01"
"1991-01-30"," 6.70"," 5.08","15.78","23.22"," 9.99"," 2.08","10.64","13.01","23.58","12.33"," 5.08","20.29"," 4.80"," 3.25"," 6.06"," 1.39"," 31.55","23.16"," 3.08"," 7.97"," 6.89","12.11","  2.67"," 31.13","11.56"," 18.77"," 9.14"," 9.24"," 7.67"," 8.43"
"1991-01-31"," 6.64"," 5.28","16.09","23.95"," 9.99"," 2.13","10.64","13.20","23.86","12.30"," 5.24","20.87"," 4.79"," 3.17"," 5.90"," 1.42"," 31.49","22.77"," 3.11"," 7.99"," 7.08","12.10","  2.73"," 31.41","11.54"," 19.38"," 9.25"," 9.26"," 7.76"," 8.44"
"1991-02-01"," 6.73"," 5.25","15.53","24.13"," 9.91"," 2.18","10.31","12.88","24.21","12.03"," 5.24","20.80"," 4.67"," 3.14"," 5.85"," 1.46"," 31.52","22.63"," 3.23"," 7.84"," 7.11","12.18","  2.77"," 30.80","11.79"," 19.47"," 9.25"," 9.34"," 7.88"," 8.65"
"1991-02-04"," 6.87"," 5.37","15.90","25.04","10.06"," 2.22","10.53","12.70","25.26","12.21"," 5.33","20.29"," 4.65"," 3.17"," 6.11"," 1.46"," 31.65","22.82"," 3.67"," 7.97"," 7.26","12.49","  2.75"," 31.13","12.05"," 19.63"," 9.29"," 9.38"," 7.97"," 9.07"
"1991-02-05"," 6.80"," 5.77","16.21","24.80","10.21"," 2.27","10.89","12.83","25.89","12.06"," 5.44","20.15"," 4.62"," 3.25"," 6.13"," 1.49"," 31.93","23.07"," 3.64"," 7.96"," 7.23","12.69","  2.81"," 31.78","11.98"," 19.60"," 9.40"," 9.63"," 8.05"," 9.31"
"1991-02-06"," 6.75"," 5.69","16.46","25.23","10.01"," 2.32","11.24","13.47","24.63","12.60"," 5.46","20.36"," 4.70"," 3.36"," 6.18"," 1.55"," 32.27","23.89"," 3.64"," 8.07"," 7.23","12.89","  2.94"," 32.47","12.24"," 20.21"," 9.67"," 9.70"," 8.32"," 9.24"
"1991-02-07"," 6.66"," 5.60","16.83","24.74"," 9.73"," 2.28","10.80","13.33","24.56","12.81"," 5.31","20.65"," 4.71"," 3.43"," 6.46"," 1.53"," 31.93","23.60"," 3.67"," 7.97"," 7.11","12.63","  2.86"," 32.28","12.11"," 19.93"," 9.80"," 9.56"," 8.47"," 9.13"
"1991-02-08"," 6.73"," 5.69","16.77","25.35"," 9.61"," 2.28","11.02","13.47","25.61","12.66"," 5.35","21.69"," 4.76"," 3.37"," 6.23"," 1.50"," 32.17","23.65"," 3.76"," 8.07"," 7.14","12.89","  2.89"," 32.33","12.29"," 20.12"," 9.89"," 9.51"," 8.38"," 9.01"
"1991-02-11"," 7.05"," 6.01","16.89","24.92"," 9.81"," 2.36","11.32","13.95","26.38","12.99"," 5.47","21.47"," 5.05"," 3.53"," 6.20"," 1.54"," 32.89","24.13"," 4.12"," 8.34"," 7.45","13.27","  2.90"," 33.53","12.78"," 20.73","10.11"," 9.75"," 8.67"," 9.20"
"1991-02-12"," 6.88"," 5.98","16.64","23.41","10.01"," 2.39","11.10","14.08","25.68","12.72"," 5.47","20.96"," 4.94"," 3.48"," 6.22"," 1.50"," 32.98","23.69"," 4.06"," 8.23"," 7.76","13.02","  2.87"," 33.58","12.52"," 20.63"," 9.89"," 9.51"," 8.44"," 9.33"
"1991-02-13"," 7.19"," 6.09","16.89","22.86","10.11"," 2.41","11.32","14.45","26.10","13.05"," 5.56","21.47"," 5.05"," 3.52"," 6.43"," 1.49"," 33.45","23.94"," 4.21"," 8.30"," 8.04","13.04","  2.93"," 34.50","12.62"," 20.54","10.02"," 9.17"," 8.70"," 9.48"
"1991-02-14"," 6.97"," 6.09","16.71","23.29","10.19"," 2.43","11.24","13.85","25.40","12.81"," 5.52","21.10"," 4.96"," 3.45"," 6.20"," 1.47"," 33.54","24.18"," 4.03"," 8.18"," 7.85","12.91","  2.80"," 33.76","12.49"," 20.21"," 9.91"," 9.14"," 8.49"," 9.20"
"1991-02-15"," 7.01"," 6.24","16.95","23.77","10.26"," 2.47","11.46","14.22","25.89","12.72"," 5.70","21.69"," 4.94"," 3.59"," 6.38"," 1.52"," 34.13","25.22"," 4.12"," 8.49"," 7.82","13.48","  2.87"," 33.96","12.86"," 20.79","10.00"," 9.36"," 8.73"," 9.19"
"1991-02-19"," 6.97"," 5.92","16.89","23.95","10.39"," 2.51","11.43","14.27","26.03","12.75"," 5.70","21.90"," 5.62"," 3.65"," 6.20"," 1.55"," 34.66","25.31"," 4.03"," 8.48"," 7.98","13.53","  2.85"," 33.40","13.48"," 20.54"," 9.94"," 9.35"," 8.64"," 9.25"
"1991-02-20"," 6.84"," 5.66","16.71","23.29","10.16"," 2.51","11.29","14.18","25.61","12.78"," 5.60","20.96"," 5.73"," 3.52"," 6.12"," 1.55"," 34.25","25.27"," 3.85"," 8.39"," 7.92","13.32","  2.85"," 32.94","13.30"," 20.27"," 9.69"," 9.25"," 8.44"," 9.14"
"1991-02-21"," 6.74"," 5.80","16.40","23.04"," 9.99"," 2.49","11.49","14.27","25.61","12.84"," 5.58","21.18"," 5.82"," 3.39"," 6.15"," 1.54"," 33.66","24.83"," 3.79"," 8.43"," 7.98","13.35","  2.78"," 32.70","13.74"," 19.93"," 9.69"," 9.28"," 8.47"," 9.26"
"1991-02-22"," 6.68"," 5.77","16.40","23.22"," 9.96"," 2.50","11.62","13.95","25.68","12.81"," 5.67","21.18"," 5.84"," 3.64"," 6.20"," 1.55"," 33.11","24.29"," 3.91"," 8.44"," 7.73","13.45","  2.84"," 32.66","14.05"," 20.18"," 9.63"," 9.42"," 8.76"," 9.47"
"1991-02-25"," 6.55"," 5.80","16.64","22.74","10.16"," 2.50","11.68","13.67","25.26","12.84"," 5.73","20.81"," 5.85"," 3.59"," 6.20"," 1.55"," 33.20","23.66"," 3.91"," 8.62"," 7.70","13.65","  2.86"," 32.84","14.23"," 20.48"," 9.56"," 9.45"," 8.91"," 9.63"
"1991-02-26"," 6.69"," 5.63","16.46","22.38","10.09"," 2.46","11.59","13.67","24.90","12.81"," 5.61","20.96"," 5.73"," 3.56"," 6.09"," 1.54"," 32.24","23.51"," 3.91"," 8.48"," 7.61","13.45","  2.83"," 32.70","13.84"," 20.48"," 9.47"," 9.42"," 8.70"," 9.46"
"1991-02-27"," 6.60"," 5.63","16.52","22.92","10.74"," 2.51","11.68","14.22","24.76","13.28"," 5.68","22.05"," 5.73"," 3.63"," 6.17"," 1.53"," 32.52","23.71"," 3.94"," 8.64"," 7.64","13.63","  2.92"," 33.12","13.79"," 19.96"," 9.56"," 9.47"," 8.61"," 9.67"
"1991-02-28"," 6.61"," 5.57","16.46","23.41","10.96"," 2.48","11.43","13.85","24.76","13.13"," 5.57","23.00"," 5.74"," 3.58"," 6.15"," 1.48"," 31.99","23.90"," 3.91"," 8.61"," 7.85","13.50","  2.88"," 33.03","13.69"," 19.87"," 9.52"," 9.79"," 8.32"," 9.62"
"1991-03-01"," 6.78"," 5.89","16.52","23.89","11.04"," 2.52","11.51","14.04","24.90","13.28"," 5.64","23.00"," 5.88"," 3.58"," 6.20"," 1.48"," 32.55","24.10"," 4.09"," 8.60"," 7.95","13.52","  2.94"," 33.31","13.69"," 20.05"," 9.58"," 9.65"," 8.49"," 9.66"
"1991-03-04"," 6.89"," 5.98","16.46","24.01","11.14"," 2.61","11.29","14.18","24.97","13.02"," 5.59","22.92"," 5.85"," 3.64"," 6.22"," 1.49"," 32.45","24.34"," 4.06"," 8.51"," 8.07","13.69","  2.97"," 33.31","13.56"," 20.33"," 9.52"," 9.74"," 8.44"," 9.51"
"1991-03-05"," 6.98"," 6.21","16.64","24.38","11.37"," 2.70","11.62","14.45","25.68","13.08"," 5.65","23.58"," 6.05"," 3.80"," 6.28"," 1.60"," 33.17","24.88"," 4.21"," 8.74"," 8.23","13.82","  3.10"," 33.78","14.02"," 20.73"," 9.65"," 9.94"," 8.70"," 9.74"
"1991-03-06"," 7.10"," 6.30","16.77","24.38","11.01"," 2.63","11.43","14.64","25.96","13.08"," 5.61","23.58"," 6.19"," 3.82"," 6.33"," 1.60"," 33.01","24.29"," 4.26"," 9.19"," 8.20","13.74","  2.98"," 33.82","13.97"," 20.79"," 9.65","10.04"," 8.58"," 9.87"
"1991-03-07"," 6.98"," 6.09","16.46","24.38","10.99"," 2.59","11.40","14.31","25.75","13.16"," 5.58","23.14"," 6.13"," 3.81"," 6.20"," 1.61"," 32.92","24.34"," 4.26"," 9.48"," 8.48","13.86","  2.89"," 33.87","14.05"," 20.85"," 9.58"," 9.99"," 8.61"," 9.90"
"1991-03-08"," 6.96"," 6.15","16.27","24.01","10.99"," 2.57","11.40","13.99","25.82","13.19"," 5.47","23.07"," 6.02"," 3.73"," 6.20"," 1.60"," 32.61","24.19"," 4.21"," 9.41"," 8.44","14.04","  2.85"," 34.06","14.01"," 21.28"," 9.54"," 9.92"," 8.52"," 9.93"
"1991-03-11"," 6.92"," 6.15","16.77","23.47","11.14"," 2.52","11.40","14.04","25.75","13.22"," 5.60","22.92"," 6.07"," 3.69"," 6.09"," 1.42"," 32.08","23.95"," 4.30"," 9.25"," 8.16","14.19","  2.76"," 33.59","14.06"," 20.79"," 9.54"," 9.89"," 8.58"," 9.82"
"1991-03-12"," 6.93"," 5.95","16.58","23.16","10.94"," 2.50","11.32","13.90","25.82","13.40"," 5.56","22.70"," 5.93"," 3.61"," 6.15"," 1.41"," 31.55","23.76"," 4.14"," 9.17"," 8.41","14.02","  2.66"," 33.96","13.85"," 20.67"," 9.45"," 9.79"," 8.52"," 9.65"
"1991-03-13"," 7.11"," 6.18","16.77","23.47","11.01"," 2.50","11.65","14.18","25.61","13.64"," 5.68","23.00"," 6.08"," 3.73"," 6.17"," 1.48"," 32.08","23.85"," 4.21"," 9.33"," 8.72","14.09","  2.79"," 33.82","14.11"," 20.76"," 9.52"," 9.77"," 8.67"," 9.75"
"1991-03-14"," 7.10"," 6.33","16.71","23.47","10.99"," 2.46","11.76","13.95","25.54","13.58"," 5.61","23.21"," 5.97"," 3.69"," 6.17"," 1.48"," 31.83","24.19"," 4.18"," 9.62"," 8.69","14.34","  2.72"," 34.06","13.98"," 21.00"," 9.52"," 9.70"," 8.55"," 9.65"
"1991-03-15"," 7.00"," 6.44","16.64","23.29","10.71"," 2.46","11.76","13.90","25.26","13.61"," 5.62","23.29"," 5.82"," 3.65"," 6.17"," 1.47"," 31.46","24.34"," 4.14"," 9.82"," 8.57","14.36","  2.68"," 33.92","13.85"," 20.97"," 9.63"," 9.72"," 8.70"," 9.61"
"1991-03-18"," 6.97"," 6.38","16.71","23.29","10.46"," 2.46","11.84","13.58","25.26","13.43"," 5.63","22.92"," 5.84"," 3.66"," 6.12"," 1.46"," 31.77","24.10"," 4.18"," 9.72"," 8.69","14.07","  2.76"," 33.82","13.98"," 21.03"," 9.85"," 9.62"," 8.77"," 9.61"
"1991-03-19"," 6.83"," 6.24","16.95","22.86","10.11"," 2.38","11.68","13.39","24.62","13.43"," 5.53","22.49"," 5.62"," 3.62"," 6.04"," 1.41"," 28.60","23.42"," 4.14"," 9.50"," 8.66","13.49","  2.75"," 33.45","13.88"," 20.30"," 9.67"," 9.50"," 8.65"," 9.44"
"1991-03-20"," 6.82"," 6.18","16.77","22.92","10.06"," 2.37","11.98","13.58","23.70","13.61"," 5.47","21.76"," 5.62"," 3.58"," 6.12"," 1.43"," 28.35","23.81"," 3.99"," 9.44"," 8.57","13.79","  2.75"," 32.66","14.30"," 20.45"," 9.63"," 9.47"," 8.74"," 9.50"
"1991-03-21"," 6.71"," 6.33","16.64","22.86"," 9.91"," 2.36","11.84","13.44","23.98","13.64"," 5.43","21.69"," 5.59"," 3.63"," 5.99"," 1.38"," 27.79","23.37"," 3.84"," 9.45"," 8.26","13.69","  2.63"," 32.56","14.40"," 20.36"," 9.60"," 9.47"," 8.77"," 9.21"
"1991-03-22"," 6.77"," 6.44","16.21","23.16"," 9.68"," 2.35","11.84","13.44","24.41","13.79"," 5.43","21.83"," 5.82"," 3.74"," 5.89"," 1.36"," 27.73","23.32"," 3.69"," 9.58"," 8.35","13.79","  2.60"," 32.56","14.51"," 20.12"," 9.58"," 9.25"," 8.74"," 9.28"
"1991-03-25"," 6.79"," 6.56","16.27","23.10"," 9.84"," 2.40","11.65","13.30","23.63","14.09"," 5.48","21.98"," 5.87"," 3.82"," 5.84"," 1.37"," 28.20","23.08"," 3.84"," 9.96"," 8.35","13.87","  2.73"," 32.56","13.96"," 20.24"," 9.69"," 9.25"," 8.89"," 9.00"
"1991-03-26"," 6.88"," 6.96","16.71","23.35"," 9.81"," 2.46","11.84","13.44","23.91","14.18"," 5.74","23.00"," 6.07"," 3.94"," 5.76"," 1.46"," 28.29","23.51"," 4.08","10.24"," 8.41","14.37","  2.92"," 33.03","14.11"," 20.79"," 9.94"," 9.40"," 9.36"," 9.29"
"1991-03-27"," 6.86"," 6.96","17.14","23.10"," 9.76"," 2.47","11.89","13.49","24.12","13.91"," 5.69","22.27"," 6.25"," 3.97"," 5.89"," 1.48"," 28.04","24.15"," 4.12","10.14"," 8.63","14.17","  2.99"," 32.84","14.24"," 20.70"," 9.83"," 9.47"," 9.21"," 9.29"
"1991-03-28"," 6.75"," 6.70","16.89","22.80"," 9.61"," 2.46","11.89","13.67","24.69","13.94"," 5.70","21.98"," 6.16"," 3.96"," 5.99"," 1.45"," 28.29","23.76"," 4.18","10.05"," 8.63","14.02","  2.95"," 33.03","14.19"," 20.82"," 9.94"," 9.55"," 9.12"," 9.28"
"1991-04-01"," 6.65"," 6.61","16.64","22.74"," 9.53"," 2.40","12.00","13.39","24.76","13.70"," 5.71","21.47"," 6.02"," 3.92"," 6.02"," 1.48"," 27.89","23.42"," 3.96"," 9.90"," 8.41","14.02","  2.97"," 32.89","13.91"," 20.70"," 9.71"," 9.40"," 9.12"," 9.15"
"1991-04-02"," 6.79"," 6.93","16.95","22.92"," 9.63"," 2.50","12.39","14.08","24.90","14.03"," 5.91","22.41"," 6.19"," 4.07"," 6.09"," 1.51"," 28.14","23.71"," 4.24","10.12"," 8.66","14.46","  3.12"," 33.59","14.51"," 20.85"," 9.85"," 9.47"," 9.42"," 9.36"
"1991-04-03"," 6.75"," 6.93","17.01","23.10"," 9.73"," 2.53","12.22","14.13","23.91","13.79"," 5.85","22.34"," 6.22"," 4.12"," 6.12"," 1.52"," 28.11","23.76"," 4.48","10.10"," 8.60","14.42","  3.16"," 33.45","14.24"," 20.79"," 9.89"," 9.60"," 9.59"," 9.37"
"1991-04-04"," 6.71"," 6.76","17.01","23.83"," 9.78"," 2.58","12.17","14.08","24.12","13.70"," 5.89","22.05"," 6.41"," 4.12"," 6.02"," 1.53"," 28.20","23.27"," 4.60"," 9.95"," 8.82","14.41","  3.16"," 33.36","14.32"," 20.82"," 9.82"," 9.70"," 9.68"," 9.41"
"1991-04-05"," 6.69"," 6.64","16.77","23.71"," 9.53"," 2.56","11.87","13.62","23.98","13.67"," 5.81","21.69"," 6.16"," 4.00"," 5.97"," 1.50"," 27.98","23.37"," 4.60"," 9.79"," 8.88","14.19","  3.06"," 33.08","14.14"," 20.73"," 9.57"," 9.84"," 9.56"," 9.32"
"1991-04-08"," 6.68"," 6.61","17.08","23.71"," 9.66"," 2.56","11.79","14.18","24.26","13.73"," 5.87","21.76"," 6.33"," 4.05"," 5.97"," 1.51"," 28.07","23.56"," 4.63","10.16"," 8.82","14.36","  3.09"," 33.17","14.30"," 20.79"," 9.50"," 9.67"," 9.92"," 9.27"
"1991-04-09"," 6.62"," 6.41","16.89","23.16"," 9.53"," 2.48","11.59","13.81","23.56","13.58"," 5.84","21.54"," 6.16"," 4.01"," 5.81"," 1.45"," 27.64","23.42"," 4.45","10.03"," 8.54","14.17","  3.06"," 32.80","14.24"," 20.63"," 9.44"," 9.40"," 9.77"," 9.15"
"1991-04-10"," 6.53"," 6.49","16.83","22.98"," 9.41"," 2.50","11.59","13.99","23.35","13.61"," 5.93","21.39"," 6.25"," 4.02"," 5.78"," 1.48"," 27.64","23.61"," 4.39"," 9.97"," 8.51","14.17","  2.99"," 32.61","14.24"," 20.42"," 9.39"," 9.33"," 9.71"," 9.05"
"1991-04-11"," 6.50"," 6.46","17.08","22.80"," 9.48"," 2.57","11.57","13.99","23.70","13.88"," 5.96","21.83"," 6.25"," 4.12"," 5.84"," 1.62"," 27.48","24.19"," 4.54","10.21"," 8.79","14.39","  3.08"," 33.12","14.30"," 20.91"," 9.46"," 9.42","10.03"," 8.98"
"1991-04-12"," 6.42"," 6.41","17.32","22.74"," 9.41"," 2.52","11.76","14.22","23.49","14.24"," 5.98","21.47"," 6.36"," 4.26"," 6.04"," 1.69"," 26.96","24.34"," 4.51","10.25"," 8.72","14.42","  2.98"," 33.03","14.24"," 21.40"," 9.50"," 9.38","10.27"," 9.02"
"1991-04-15"," 6.74"," 6.38","17.69","22.62"," 9.41"," 2.62","11.87","14.31","23.20","14.18"," 6.04","21.61"," 6.31"," 4.24"," 5.97"," 1.68"," 26.55","24.44"," 4.72","10.17"," 8.63","14.57","  3.16"," 32.47","14.58"," 21.40"," 9.57"," 9.38","10.42"," 9.08"
"1991-04-16"," 6.74"," 6.87","18.37","22.56","10.02"," 2.68","12.17","14.64","23.84","14.33"," 6.13","22.05"," 6.54"," 4.26"," 6.09"," 1.69"," 27.14","24.68"," 4.90","10.51"," 8.79","15.02","  3.12"," 33.22","14.95"," 21.86"," 9.57"," 9.15","10.33"," 9.42"
"1991-04-17"," 7.01"," 6.99","18.68","22.80","10.00"," 2.62","12.28","14.77","24.26","14.33"," 6.16","22.63"," 6.56"," 4.32"," 6.20"," 1.70"," 27.30","25.27"," 5.29","10.43"," 8.79","15.25","  3.10"," 33.31","14.74"," 21.89"," 9.68"," 8.98","10.30"," 9.45"
"1991-04-18"," 6.98"," 6.84","18.55","22.92","10.20"," 2.57","12.06","15.05","23.84","14.27"," 6.14","23.21"," 6.57"," 4.24"," 6.15"," 1.66"," 27.27","25.51"," 5.17","10.31"," 8.69","15.10","  3.06"," 33.12","14.61"," 21.83"," 9.71"," 8.81","10.09"," 9.35"
"1991-04-19"," 6.95"," 6.55","18.43","22.68","10.00"," 2.45","11.89","15.05","24.48","14.33"," 6.09","22.78"," 6.53"," 4.16"," 6.15"," 1.64"," 27.20","24.73"," 5.08","10.20"," 8.57","14.76","  2.98"," 32.75","14.30"," 21.34"," 9.68"," 8.71"," 9.89"," 9.15"
"1991-04-22"," 6.91"," 6.35","17.82","22.62"," 9.90"," 2.37","11.89","14.68","24.12","14.33"," 6.01","21.90"," 6.48"," 4.20"," 6.09"," 1.66"," 26.96","24.49"," 4.90","10.12"," 8.69","14.61","  2.84"," 32.70","14.11"," 21.06"," 9.62"," 8.78"," 9.95"," 9.13"
"1991-04-23"," 7.02"," 6.20","17.75","23.04"," 9.85"," 2.40","11.84","14.91","24.48","14.50"," 5.97","21.83"," 6.54"," 4.26"," 6.04"," 1.67"," 26.93","24.44"," 5.08","10.04"," 8.66","14.61","  2.82"," 32.75","14.09"," 20.76"," 9.59"," 8.88"," 9.86"," 9.29"
"1991-04-24"," 7.22"," 6.38","18.31","23.16"," 9.75"," 2.48","11.79","15.14","24.76","14.50"," 5.94","22.27"," 6.77"," 4.36"," 5.89"," 1.71"," 26.89","24.58"," 5.05"," 9.84"," 8.75","14.52","  2.86"," 32.84","14.14"," 20.54"," 9.53"," 9.06","10.03"," 9.21"
"1991-04-25"," 7.02"," 6.17","18.49","23.10"," 9.65"," 2.44","11.68","15.10","24.34","14.09"," 5.86","21.54"," 6.61"," 4.29"," 5.94"," 1.65"," 26.83","24.34"," 5.05"," 9.96"," 8.63","14.57","  2.80"," 32.80","14.17"," 20.30"," 9.50"," 8.98"," 9.83"," 8.99"
"1991-04-26"," 6.91"," 6.11","18.74","22.38"," 9.60"," 2.43","11.62","15.00","24.19","14.18"," 5.88","21.18"," 6.56"," 4.31"," 6.02"," 1.62"," 26.68","24.49"," 4.99"," 9.95"," 8.54","14.49","  2.80"," 32.61","14.11"," 20.48"," 9.55"," 9.03"," 9.74"," 8.98"
