"X.Y..m..d","IP"
"1931-05-28","  8.724"
"1931-06-28","  8.513"
"1931-07-28","  8.386"
"1931-08-28","  8.091"
"1931-09-28","  7.712"
"1931-10-28","  7.417"
"1931-11-28","  7.333"
"1931-12-28","  7.291"
"1932-01-28","  7.080"
"1932-02-28","  6.911"
"1932-03-28","  6.827"
"1932-04-28","  6.364"
"1932-05-28","  6.153"
"1932-06-28","  5.942"
"1932-07-28","  5.774"
"1932-08-28","  5.942"
"1932-09-28","  6.321"
"1932-10-28","  6.532"
"1932-11-28","  6.532"
"1932-12-28","  6.406"
"1933-01-28","  6.279"
"1933-02-28","  6.321"
"1933-03-28","  5.942"
"1933-04-28","  6.364"
"1933-05-28","  7.417"
"1933-06-28","  8.555"
"1933-07-28","  9.356"
"1933-08-28","  8.977"
"1933-09-28","  8.471"
"1933-10-28","  8.049"
"1933-11-28","  7.586"
"1933-12-28","  7.628"
"1934-01-28","  7.881"
"1934-02-28","  8.260"
"1934-03-28","  8.639"
"1934-04-28","  8.639"
"1934-05-28","  8.808"
"1934-06-28","  8.639"
"1934-07-28","  8.049"
"1934-08-28","  7.965"
"1934-09-28","  7.501"
"1934-10-28","  7.839"
"1934-11-28","  7.923"
"1934-12-28","  8.429"
"1935-01-28","  9.103"
"1935-02-28","  9.271"
"1935-03-28","  9.229"
"1935-04-28","  9.061"
"1935-05-28","  9.061"
"1935-06-28","  9.187"
"1935-07-28","  9.187"
"1935-08-28","  9.524"
"1935-09-28","  9.777"
"1935-10-28"," 10.072"
"1935-11-28"," 10.283"
"1935-12-28"," 10.409"
"1936-01-28"," 10.241"
"1936-02-28","  9.988"
"1936-03-28"," 10.114"
"1936-04-28"," 10.747"
"1936-05-28"," 10.957"
"1936-06-28"," 11.168"
"1936-07-28"," 11.379"
"1936-08-28"," 11.547"
"1936-09-28"," 11.758"
"1936-10-28"," 11.927"
"1936-11-28"," 12.264"
"1936-12-28"," 12.643"
"1937-01-28"," 12.601"
"1937-02-28"," 12.769"
"1937-03-28"," 13.064"
"1937-04-28"," 13.064"
"1937-05-28"," 13.107"
"1937-06-28"," 12.938"
"1937-07-28"," 13.022"
"1937-08-28"," 12.938"
"1937-09-28"," 12.517"
"1937-10-28"," 11.589"
"1937-11-28"," 10.452"
"1937-12-28","  9.524"
"1938-01-28","  9.314"
"1938-02-28","  9.229"
"1938-03-28","  9.229"
"1938-04-28","  9.061"
"1938-05-28","  8.850"
"1938-06-28","  8.934"
"1938-07-28","  9.440"
"1938-08-28","  9.946"
"1938-09-28"," 10.241"
"1938-10-28"," 10.494"
"1938-11-28"," 10.915"
"1938-12-28"," 11.042"
"1939-01-28"," 11.042"
"1939-02-28"," 11.126"
"1939-03-28"," 11.168"
"1939-04-28"," 11.126"
"1939-05-28"," 11.084"
"1939-06-28"," 11.337"
"1939-07-28"," 11.674"
"1939-08-28"," 11.842"
"1939-09-28"," 12.559"
"1939-10-28"," 13.191"
"1939-11-28"," 13.528"
"1939-12-28"," 13.528"
"1940-01-28"," 13.359"
"1940-02-28"," 12.938"
"1940-03-28"," 12.643"
"1940-04-28"," 12.896"
"1940-05-28"," 13.275"
"1940-06-28"," 13.697"
"1940-07-28"," 13.865"
"1940-08-28"," 13.949"
"1940-09-28"," 14.244"
"1940-10-28"," 14.455"
"1940-11-28"," 14.792"
"1940-12-28"," 15.298"
"1941-01-28"," 15.677"
"1941-02-28"," 16.141"
"1941-03-28"," 16.647"
"1941-04-28"," 16.689"
"1941-05-28"," 17.447"
"1941-06-28"," 17.574"
"1941-07-28"," 17.784"
"1941-08-28"," 17.995"
"1941-09-28"," 17.995"
"1941-10-28"," 18.164"
"1941-11-28"," 18.248"
"1941-12-28"," 18.543"
"1942-01-28"," 18.922"
"1942-02-28"," 19.259"
"1942-03-28"," 19.470"
"1942-04-28"," 18.922"
"1942-05-28"," 18.964"
"1942-06-28"," 19.007"
"1942-07-28"," 19.470"
"1942-08-28"," 20.060"
"1942-09-28"," 20.524"
"1942-10-28"," 21.198"
"1942-11-28"," 21.704"
"1942-12-28"," 22.209"
"1943-01-28"," 22.420"
"1943-02-28"," 23.010"
"1943-03-28"," 23.179"
"1943-04-28"," 23.474"
"1943-05-28"," 23.642"
"1943-06-28"," 23.516"
"1943-07-28"," 24.232"
"1943-08-28"," 24.738"
"1943-09-28"," 25.370"
"1943-10-28"," 25.749"
"1943-11-28"," 26.087"
"1943-12-28"," 25.749"
"1944-01-28"," 26.044"
"1944-02-28"," 26.255"
"1944-03-28"," 26.213"
"1944-04-28"," 26.213"
"1944-05-28"," 26.045"
"1944-06-28"," 25.960"
"1944-07-28"," 25.918"
"1944-08-28"," 26.255"
"1944-09-28"," 26.087"
"1944-10-28"," 26.171"
"1944-11-28"," 25.960"
"1944-12-28"," 25.876"
"1945-01-28"," 25.623"
"1945-02-28"," 25.539"
"1945-03-28"," 25.370"
"1945-04-28"," 24.907"
"1945-05-28"," 24.232"
"1945-06-28"," 23.684"
"1945-07-28"," 23.137"
"1945-08-28"," 20.734"
"1945-09-28"," 18.880"
"1945-10-28"," 18.122"
"1945-11-28"," 18.796"
"1945-12-28"," 18.880"
"1946-01-28"," 17.827"
"1946-02-28"," 16.942"
"1946-03-28"," 18.712"
"1946-04-28"," 18.374"
"1946-05-28"," 17.700"
"1946-06-28"," 18.796"
"1946-07-28"," 19.428"
"1946-08-28"," 20.144"
"1946-09-28"," 20.524"
"1946-10-28"," 20.903"
"1946-11-28"," 21.029"
"1946-12-28"," 21.156"
"1947-01-28"," 21.409"
"1947-02-28"," 21.535"
"1947-03-28"," 21.662"
"1947-04-28"," 21.493"
"1947-05-28"," 21.577"
"1947-06-28"," 21.577"
"1947-07-28"," 21.451"
"1947-08-28"," 21.577"
"1947-09-28"," 21.746"
"1947-10-28"," 21.957"
"1947-11-28"," 22.252"
"1947-12-28"," 22.336"
"1948-01-28"," 22.462"
"1948-02-28"," 22.504"
"1948-03-28"," 22.252"
"1948-04-28"," 22.294"
"1948-05-28"," 22.673"
"1948-06-28"," 22.968"
"1948-07-28"," 22.968"
"1948-08-28"," 22.884"
"1948-09-28"," 22.715"
"1948-10-28"," 22.884"
"1948-11-28"," 22.589"
"1948-12-28"," 22.378"
"1949-01-28"," 22.167"
"1949-02-28"," 21.957"
"1949-03-28"," 21.535"
"1949-04-28"," 21.409"
"1949-05-28"," 21.114"
"1949-06-28"," 21.072"
"1949-07-28"," 21.029"
"1949-08-28"," 21.240"
"1949-09-28"," 21.451"
"1949-10-28"," 20.650"
"1949-11-28"," 21.198"
"1949-12-28"," 21.577"
"1950-01-28"," 21.957"
"1950-02-28"," 22.041"
"1950-03-28"," 22.757"
"1950-04-28"," 23.516"
"1950-05-28"," 24.064"
"1950-06-28"," 24.780"
"1950-07-28"," 25.581"
"1950-08-28"," 26.382"
"1950-09-28"," 26.213"
"1950-10-28"," 26.382"
"1950-11-28"," 26.340"
"1950-12-28"," 26.803"
"1951-01-28"," 26.887"
"1951-02-28"," 27.056"
"1951-03-28"," 27.182"
"1951-04-28"," 27.225"
"1951-05-28"," 27.140"
"1951-06-28"," 27.014"
"1951-07-28"," 26.592"
"1951-08-28"," 26.340"
"1951-09-28"," 26.508"
"1951-10-28"," 26.466"
"1951-11-28"," 26.677"
"1951-12-28"," 26.845"
"1952-01-28"," 27.140"
"1952-02-28"," 27.309"
"1952-03-28"," 27.393"
"1952-04-28"," 27.140"
"1952-05-28"," 26.887"
"1952-06-28"," 26.634"
"1952-07-28"," 26.213"
"1952-08-28"," 27.899"
"1952-09-28"," 28.910"
"1952-10-28"," 29.205"
"1952-11-28"," 29.795"
"1952-12-28"," 29.964"
"1953-01-28"," 30.048"
"1953-02-28"," 30.217"
"1953-03-28"," 30.470"
"1953-04-28"," 30.596"
"1953-05-28"," 30.765"
"1953-06-28"," 30.638"
"1953-07-28"," 31.017"
"1953-08-28"," 30.849"
"1953-09-28"," 30.217"
"1953-10-28"," 29.964"
"1953-11-28"," 29.247"
"1953-12-28"," 28.531"
"1954-01-28"," 28.320"
"1954-02-28"," 28.405"
"1954-03-28"," 28.236"
"1954-04-28"," 28.067"
"1954-05-28"," 28.236"
"1954-06-28"," 28.320"
"1954-07-28"," 28.362"
"1954-08-28"," 28.320"
"1954-09-28"," 28.362"
"1954-10-28"," 28.700"
"1954-11-28"," 29.163"
"1954-12-28"," 29.542"
"1955-01-28"," 30.217"
"1955-02-28"," 30.596"
"1955-03-28"," 31.312"
"1955-04-28"," 31.692"
"1955-05-28"," 32.197"
"1955-06-28"," 32.240"
"1955-07-28"," 32.492"
"1955-08-28"," 32.450"
"1955-09-28"," 32.661"
"1955-10-28"," 33.209"
"1955-11-28"," 33.293"
"1955-12-28"," 33.420"
"1956-01-28"," 33.630"
"1956-02-28"," 33.335"
"1956-03-28"," 33.335"
"1956-04-28"," 33.588"
"1956-05-28"," 33.293"
"1956-06-28"," 32.998"
"1956-07-28"," 31.987"
"1956-08-28"," 33.293"
"1956-09-28"," 34.052"
"1956-10-28"," 34.347"
"1956-11-28"," 34.052"
"1956-12-28"," 34.557"
"1957-01-28"," 34.431"
"1957-02-28"," 34.768"
"1957-03-28"," 34.726"
"1957-04-28"," 34.262"
"1957-05-28"," 34.136"
"1957-06-28"," 34.220"
"1957-07-28"," 34.431"
"1957-08-28"," 34.431"
"1957-09-28"," 34.136"
"1957-10-28"," 33.630"
"1957-11-28"," 32.830"
"1957-12-28"," 32.197"
"1958-01-28"," 31.607"
"1958-02-28"," 30.933"
"1958-03-28"," 30.554"
"1958-04-28"," 30.048"
"1958-05-28"," 30.343"
"1958-06-28"," 31.144"
"1958-07-28"," 31.607"
"1958-08-28"," 32.240"
"1958-09-28"," 32.535"
"1958-10-28"," 32.914"
"1958-11-28"," 33.883"
"1958-12-28"," 33.925"
"1959-01-28"," 34.431"
"1959-02-28"," 35.105"
"1959-03-28"," 35.611"
"1959-04-28"," 36.370"
"1959-05-28"," 36.917"
"1959-06-28"," 36.960"
"1959-07-28"," 36.075"
"1959-08-28"," 34.852"
"1959-09-28"," 34.810"
"1959-10-28"," 34.557"
"1959-11-28"," 34.768"
"1959-12-28"," 36.917"
"1960-01-28"," 37.887"
"1960-02-28"," 37.550"
"1960-03-28"," 37.212"
"1960-04-28"," 36.917"
"1960-05-28"," 36.875"
"1960-06-28"," 36.412"
"1960-07-28"," 36.285"
"1960-08-28"," 36.243"
"1960-09-28"," 35.864"
"1960-10-28"," 35.822"
"1960-11-28"," 35.316"
"1960-12-28"," 34.642"
"1961-01-28"," 34.684"
"1961-02-28"," 34.642"
"1961-03-28"," 34.852"
"1961-04-28"," 35.569"
"1961-05-28"," 36.117"
"1961-06-28"," 36.622"
"1961-07-28"," 37.044"
"1961-08-28"," 37.381"
"1961-09-28"," 37.339"
"1961-10-28"," 38.055"
"1961-11-28"," 38.645"
"1961-12-28"," 38.982"
"1962-01-28"," 38.645"
"1962-02-28"," 39.277"
"1962-03-28"," 39.488"
"1962-04-28"," 39.572"
"1962-05-28"," 39.530"
"1962-06-28"," 39.446"
"1962-07-28"," 39.825"
"1962-08-28"," 39.867"
"1962-09-28"," 40.120"
"1962-10-28"," 40.162"
"1962-11-28"," 40.331"
"1962-12-28"," 40.331"
"1963-01-28"," 40.626"
"1963-02-28"," 41.090"
"1963-03-28"," 41.343"
"1963-04-28"," 41.722"
"1963-05-28"," 42.228"
"1963-06-28"," 42.354"
"1963-07-28"," 42.185"
"1963-08-28"," 42.270"
"1963-09-28"," 42.691"
"1963-10-28"," 42.986"
"1963-11-28"," 43.197"
"1963-12-28"," 43.112"
"1964-01-28"," 43.492"
"1964-02-28"," 43.787"
"1964-03-28"," 43.787"
"1964-04-28"," 44.503"
"1964-05-28"," 44.756"
"1964-06-28"," 44.883"
"1964-07-28"," 45.178"
"1964-08-28"," 45.473"
"1964-09-28"," 45.641"
"1964-10-28"," 45.009"
"1964-11-28"," 46.400"
"1964-12-28"," 46.948"
"1965-01-28"," 47.453"
"1965-02-28"," 47.748"
"1965-03-28"," 48.380"
"1965-04-28"," 48.591"
"1965-05-28"," 48.970"
"1965-06-28"," 49.350"
"1965-07-28"," 49.813"
"1965-08-28"," 50.024"
"1965-09-28"," 50.150"
"1965-10-28"," 50.656"
"1965-11-28"," 50.867"
"1965-12-28"," 51.499"
"1966-01-28"," 52.005"
"1966-02-28"," 52.342"
"1966-03-28"," 53.058"
"1966-04-28"," 53.143"
"1966-05-28"," 53.648"
"1966-06-28"," 53.901"
"1966-07-28"," 54.196"
"1966-08-28"," 54.238"
"1966-09-28"," 54.744"
"1966-10-28"," 55.123"
"1966-11-28"," 54.744"
"1966-12-28"," 54.870"
"1967-01-28"," 55.129"
"1967-02-28"," 54.504"
"1967-03-28"," 54.197"
"1967-04-28"," 54.708"
"1967-05-28"," 54.231"
"1967-06-28"," 54.224"
"1967-07-28"," 54.100"
"1967-08-28"," 55.137"
"1967-09-28"," 55.047"
"1967-10-28"," 55.496"
"1967-11-28"," 56.289"
"1967-12-28"," 56.896"
"1968-01-28"," 56.834"
"1968-02-28"," 57.038"
"1968-03-28"," 57.216"
"1968-04-28"," 57.299"
"1968-05-28"," 57.942"
"1968-06-28"," 58.154"
"1968-07-28"," 58.065"
"1968-08-28"," 58.227"
"1968-09-28"," 58.448"
"1968-10-28"," 58.564"
"1968-11-28"," 59.321"
"1968-12-28"," 59.509"
"1969-01-28"," 59.869"
"1969-02-28"," 60.252"
"1969-03-28"," 60.724"
"1969-04-28"," 60.501"
"1969-05-28"," 60.272"
"1969-06-28"," 60.861"
"1969-07-28"," 61.182"
"1969-08-28"," 61.323"
"1969-09-28"," 61.309"
"1969-10-28"," 61.327"
"1969-11-28"," 60.749"
"1969-12-28"," 60.586"
"1970-01-28"," 59.464"
"1970-02-28"," 59.425"
"1970-03-28"," 59.348"
"1970-04-28"," 59.195"
"1970-05-28"," 59.126"
"1970-06-28"," 58.935"
"1970-07-28"," 59.080"
"1970-08-28"," 58.974"
"1970-09-28"," 58.568"
"1970-10-28"," 57.396"
"1970-11-28"," 57.049"
"1970-12-28"," 58.359"
"1971-01-28"," 58.808"
"1971-02-28"," 58.696"
"1971-03-28"," 58.632"
"1971-04-28"," 58.961"
"1971-05-28"," 59.260"
"1971-06-28"," 59.509"
"1971-07-28"," 59.336"
"1971-08-28"," 58.992"
"1971-09-28"," 59.951"
"1971-10-28"," 60.399"
"1971-11-28"," 60.656"
"1971-12-28"," 61.356"
"1972-01-28"," 62.719"
"1972-02-28"," 63.150"
"1972-03-28"," 63.670"
"1972-04-28"," 64.689"
"1972-05-28"," 64.537"
"1972-06-28"," 64.745"
"1972-07-28"," 64.648"
"1972-08-28"," 65.529"
"1972-09-28"," 66.248"
"1972-10-28"," 67.199"
"1972-11-28"," 68.003"
"1972-12-28"," 68.649"
"1973-01-28"," 68.703"
"1973-02-28"," 69.653"
"1973-03-28"," 69.634"
"1973-04-28"," 69.889"
"1973-05-28"," 70.185"
"1973-06-28"," 70.722"
"1973-07-28"," 71.161"
"1973-08-28"," 71.120"
"1973-09-28"," 71.666"
"1973-10-28"," 71.933"
"1973-11-28"," 71.959"
"1973-12-28"," 70.823"
"1974-01-28"," 69.843"
"1974-02-28"," 69.569"
"1974-03-28"," 69.887"
"1974-04-28"," 69.757"
"1974-05-28"," 70.573"
"1974-06-28"," 70.792"
"1974-07-28"," 70.465"
"1974-08-28"," 70.219"
"1974-09-28"," 70.511"
"1974-10-28"," 69.999"
"1974-11-28"," 67.991"
"1974-12-28"," 65.164"
"1975-01-28"," 63.470"
"1975-02-28"," 62.453"
"1975-03-28"," 61.343"
"1975-04-28"," 61.911"
"1975-05-28"," 61.718"
"1975-06-28"," 62.522"
"1975-07-28"," 62.889"
"1975-08-28"," 64.009"
"1975-09-28"," 64.674"
"1975-10-28"," 64.991"
"1975-11-28"," 65.602"
"1975-12-28"," 66.133"
"1976-01-28"," 66.848"
"1976-02-28"," 68.036"
"1976-03-28"," 67.869"
"1976-04-28"," 68.133"
"1976-05-28"," 68.911"
"1976-06-28"," 68.957"
"1976-07-28"," 69.363"
"1976-08-28"," 69.760"
"1976-09-28"," 69.987"
"1976-10-28"," 70.226"
"1976-11-28"," 71.396"
"1976-12-28"," 71.965"
"1977-01-28"," 72.362"
"1977-02-28"," 72.415"
"1977-03-28"," 73.256"
"1977-04-28"," 74.295"
"1977-05-28"," 75.037"
"1977-06-28"," 75.604"
"1977-07-28"," 75.642"
"1977-08-28"," 75.932"
"1977-09-28"," 76.330"
"1977-10-28"," 76.170"
"1977-11-28"," 76.213"
"1977-12-28"," 75.915"
"1978-01-28"," 75.660"
"1978-02-28"," 75.669"
"1978-03-28"," 76.430"
"1978-04-28"," 79.030"
"1978-05-28"," 79.072"
"1978-06-28"," 79.945"
"1978-07-28"," 80.180"
"1978-08-28"," 80.379"
"1978-09-28"," 80.777"
"1978-10-28"," 81.186"
"1978-11-28"," 81.651"
"1978-12-28"," 81.953"
"1979-01-28"," 81.566"
"1979-02-28"," 82.181"
"1979-03-28"," 82.409"
"1979-04-28"," 81.637"
"1979-05-28"," 82.580"
"1979-06-28"," 82.600"
"1979-07-28"," 82.001"
"1979-08-28"," 81.670"
"1979-09-28"," 81.730"
"1979-10-28"," 82.070"
"1979-11-28"," 81.663"
"1979-12-28"," 81.491"
"1980-01-28"," 81.870"
"1980-02-28"," 81.933"
"1980-03-28"," 81.908"
"1980-04-28"," 80.311"
"1980-05-28"," 78.322"
"1980-06-28"," 77.329"
"1980-07-28"," 76.833"
"1980-08-28"," 77.734"
"1980-09-28"," 78.885"
"1980-10-28"," 79.453"
"1980-11-28"," 80.735"
"1980-12-28"," 81.135"
"1981-01-28"," 80.436"
"1981-02-28"," 80.821"
"1981-03-28"," 81.187"
"1981-04-28"," 80.644"
"1981-05-28"," 81.320"
"1981-06-28"," 81.830"
"1981-07-28"," 82.554"
"1981-08-28"," 82.184"
"1981-09-28"," 81.519"
"1981-10-28"," 80.897"
"1981-11-28"," 79.765"
"1981-12-28"," 78.870"
"1982-01-28"," 77.601"
"1982-02-28"," 79.274"
"1982-03-28"," 78.720"
"1982-04-28"," 77.977"
"1982-05-28"," 77.380"
"1982-06-28"," 77.121"
"1982-07-28"," 76.488"
"1982-08-28"," 76.084"
"1982-09-28"," 75.526"
"1982-10-28"," 74.900"
"1982-11-28"," 74.701"
"1982-12-28"," 74.086"
"1983-01-28"," 75.666"
"1983-02-28"," 75.490"
"1983-03-28"," 76.242"
"1983-04-28"," 77.197"
"1983-05-28"," 78.128"
"1983-06-28"," 78.568"
"1983-07-28"," 79.961"
"1983-08-28"," 81.035"
"1983-09-28"," 82.418"
"1983-10-28"," 83.068"
"1983-11-28"," 82.986"
"1983-12-28"," 83.410"
"1984-01-28"," 85.144"
"1984-02-28"," 85.010"
"1984-03-28"," 85.948"
"1984-04-28"," 86.405"
"1984-05-28"," 86.902"
"1984-06-28"," 87.294"
"1984-07-28"," 87.470"
"1984-08-28"," 87.458"
"1984-09-28"," 87.337"
"1984-10-28"," 86.928"
"1984-11-28"," 86.999"
"1984-12-28"," 86.610"
"1985-01-28"," 86.914"
"1985-02-28"," 87.662"
"1985-03-28"," 87.883"
"1985-04-28"," 88.026"
"1985-05-28"," 88.227"
"1985-06-28"," 88.010"
"1985-07-28"," 87.627"
"1985-08-28"," 88.151"
"1985-09-28"," 88.682"
"1985-10-28"," 87.916"
"1985-11-28"," 88.419"
"1985-12-28"," 89.034"
"1986-01-28"," 89.612"
"1986-02-28"," 88.972"
"1986-03-28"," 88.076"
"1986-04-28"," 88.749"
"1986-05-28"," 88.551"
"1986-06-28"," 88.247"
"1986-07-28"," 88.534"
"1986-08-28"," 88.783"
"1986-09-28"," 88.700"
"1986-10-28"," 89.499"
"1986-11-28"," 89.942"
"1986-12-28"," 90.772"
"1987-01-28"," 90.196"
"1987-02-28"," 91.240"
"1987-03-28"," 91.583"
"1987-04-28"," 91.958"
"1987-05-28"," 92.361"
"1987-06-28"," 93.159"
"1987-07-28"," 93.721"
"1987-08-28"," 93.828"
"1987-09-28"," 93.743"
"1987-10-28"," 95.014"
"1987-11-28"," 95.290"
"1987-12-28"," 95.855"
"1988-01-28"," 95.926"
"1988-02-28"," 96.243"
"1988-03-28"," 96.259"
"1988-04-28"," 96.816"
"1988-05-28"," 96.891"
"1988-06-28"," 96.960"
"1988-07-28"," 97.593"
"1988-08-28"," 98.117"
"1988-09-28"," 97.766"
"1988-10-28"," 98.035"
"1988-11-28"," 98.771"
"1988-12-28"," 99.275"
"1989-01-28"," 99.827"
"1989-02-28"," 99.038"
"1989-03-28"," 99.968"
"1989-04-28","100.213"
"1989-05-28"," 99.583"
"1989-06-28"," 99.407"
"1989-07-28"," 98.424"
"1989-08-28"," 98.824"
"1989-09-28"," 98.623"
"1989-10-28"," 98.171"
"1989-11-28"," 98.560"
"1989-12-28"," 99.032"
"1990-01-28"," 98.572"
"1990-02-28"," 99.081"
"1990-03-28"," 99.559"
"1990-04-28"," 98.959"
"1990-05-28"," 99.350"
"1990-06-28"," 99.330"
"1990-07-28"," 99.284"
"1990-08-28"," 99.477"
"1990-09-28"," 99.613"
"1990-10-28"," 99.064"
"1990-11-28"," 97.748"
"1990-12-28"," 97.171"
"1991-01-28"," 96.693"
"1991-02-28"," 95.929"
"1991-03-28"," 95.046"
"1991-04-28"," 95.379"
"1991-05-28"," 96.120"
"1991-06-28"," 97.244"
"1991-07-28"," 97.321"
"1991-08-28"," 97.445"
"1991-09-28"," 98.375"
"1991-10-28"," 98.280"
"1991-11-28"," 98.143"
"1991-12-28"," 97.510"
"1992-01-28"," 97.507"
"1992-02-28"," 98.033"
"1992-03-28"," 98.869"
"1992-04-28"," 99.582"
"1992-05-28"," 99.855"
"1992-06-28"," 99.713"
"1992-07-28","100.627"
"1992-08-28","100.290"
"1992-09-28","100.677"
"1992-10-28","101.224"
"1992-11-28","101.793"
"1992-12-28","101.830"
"1993-01-28","102.183"
"1993-02-28","102.603"
"1993-03-28","102.769"
"1993-04-28","103.112"
"1993-05-28","102.692"
"1993-06-28","102.911"
"1993-07-28","103.154"
"1993-08-28","102.967"
"1993-09-28","103.955"
"1993-10-28","104.397"
"1993-11-28","104.897"
"1993-12-28","105.708"
"1994-01-28","105.946"
"1994-02-28","106.261"
"1994-03-28","107.160"
"1994-04-28","107.751"
"1994-05-28","108.485"
"1994-06-28","109.069"
"1994-07-28","109.429"
"1994-08-28","109.904"
"1994-09-28","110.145"
"1994-10-28","110.976"
"1994-11-28","111.686"
"1994-12-28","112.863"
"1995-01-28","113.397"
"1995-02-28","113.417"
"1995-03-28","113.536"
"1995-04-28","113.298"
"1995-05-28","113.623"
"1995-06-28","114.086"
"1995-07-28","113.536"
"1995-08-28","115.013"
"1995-09-28","115.491"
"1995-10-28","115.385"
"1995-11-28","115.764"
"1995-12-28","115.970"
"1996-01-28","115.634"
"1996-02-28","117.051"
"1996-03-28","116.892"
"1996-04-28","118.059"
"1996-05-28","118.873"
"1996-06-28","119.759"
"1996-07-28","120.020"
"1996-08-28","120.746"
"1996-09-28","121.408"
"1996-10-28","121.423"
"1996-11-28","122.609"
"1996-12-28","123.306"
"1997-01-28","123.745"
"1997-02-28","125.136"
"1997-03-28","125.318"
"1997-04-28","126.067"
"1997-05-28","126.488"
"1997-06-28","127.163"
"1997-07-28","127.780"
"1997-08-28","129.093"
"1997-09-28","129.997"
"1997-10-28","130.875"
"1997-11-28","131.685"
"1997-12-28","131.986"
"1998-01-28","132.740"
"1998-02-28","132.844"
"1998-03-28","133.295"
