"X.Y.m.d","gnp.r","gnp.n","gnp.pc","ip","emp","ur","gnp.p","cpi","wg.n","wg.r","M","vel","bnd","sp"
19021231,NA,NA,NA,7.9,29800,3.7,25.4,26,537,20.65,8.17,2.31,3.3,8.42
19031231,NA,NA,NA,8.1,30506,3.9,25.7,27,548,20.3,8.68,2.29,3.45,7.21
19041231,NA,NA,NA,7.8,30771,5.4,26,27,538,19.93,9.24,2.14,3.6,7.05
19051231,NA,NA,NA,9.2,31976,4.3,26.5,27,561,20.78,10.24,2.13,3.5,8.99
19061231,NA,NA,NA,9.8,33749,1.7,27.2,28,577,20.61,11.08,2.28,3.55,9.64
19071231,NA,NA,NA,10,34371,2.8,28.3,29,598,20.62,11.6,2.28,3.8,7.84
19081231,NA,NA,NA,8.5,33246,8,28.1,28,548,19.57,11.44,2.06,3.95,7.78
19091231,116.8,33400,1291,10,35072,5.1,29.1,28,599,21.39,12.68,2.19,3.77,9.71
19101231,120.1,35300,1300,10.6,35762,5.9,29.9,29,651,22.45,13.34,2.17,3.8,9.35
19111231,123.2,35800,1312,10.2,36179,6.7,29.7,29,632,21.79,14.12,2.07,3.9,9.24
19121231,130.2,39400,1366,11.7,37433,4.6,30.9,30,651,21.7,15.13,2.12,3.9,9.53
19131231,131.4,39600,1351,12.5,38298,4.3,31.1,29.7,689,23.2,15.73,2.15,4,8.51
19141231,125.6,38600,1267,11.7,37559,7.9,31.4,30.1,696,23.12,16.39,1.88,4.1,8.08
19151231,124.5,40000,1238,13.6,37511,8.5,32.5,30.4,661,21.74,17.59,1.87,4.15,8.31
19161231,134.3,48300,1317,16.1,39364,5.1,36.5,32.7,751,22.97,20.85,2.09,4.05,9.47
19171231,135.2,60400,1309,16.2,40084,4.6,45,38.4,883,22.99,24.37,2.15,4.05,8.5
19181231,151.8,76400,1471,16,42712,1.4,52.6,45.1,1107,24.55,26.73,2.47,4.75,7.54
19191231,146.4,84000,1401,14.1,41938,1.4,53.8,51.8,1293,24.96,31.01,2.25,4.75,8.78
19201231,140,91500,1315,14.8,40799,5.2,61.3,60,1532,25.53,34.8,2.18,5.1,7.98
19211231,127.8,69600,1177,11.4,38568,11.7,52.2,53.6,1396,26.04,32.85,1.88,5.17,6.86
19221231,148,74100,1345,14.5,41134,6.7,49.5,50.2,1283,25.56,33.72,1.87,4.71,8.41
19231231,165.9,85100,1482,17.3,43955,2.4,50.7,51.1,1403,27.46,36.6,2.02,4.61,8.57
19241231,165.5,84700,1450,16.2,43607,5,50.1,51.2,1427,27.87,38.58,1.95,4.66,9.05
19251231,179.4,93100,1549,17.8,45082,3.2,51,52.5,1450,27.62,42.05,1.87,4.5,11.15
19261231,190,97000,1618,18.9,46464,1.8,51.2,53,1476,27.85,43.68,1.94,4.4,12.59
19271231,189.8,94900,1594,18.9,46496,3.3,50,52,1502,28.88,44.73,1.86,4.3,15.34
19281231,190.9,97000,1584,19.6,46774,4.2,50.4,51.3,1534,29.9,46.42,1.83,4.05,19.95
19291231,203.6,103095,1671,21.8,47890,3.2,50.6,51.3,1543,30.08,46.6,1.94,4.42,26.02
19301231,183.5,90367,1490,18.1,45740,8.7,49.3,50,1488,29.76,45.73,1.68,4.4,21.03
19311231,169.3,75820,1364,15,42660,15.9,44.8,45.6,1369,30.02,42.69,1.45,4.1,13.66
19321231,144.2,58049,1154,11.7,39190,23.6,40.2,40.9,1150,28.12,36.05,1.24,4.7,6.93
19331231,141.5,55601,1126,13.8,39010,24.9,39.3,38.8,1086,27.99,32.22,1.32,4.15,8.96
19341231,154.3,65054,1220,15.1,41150,21.7,42.2,40.1,1153,28.75,34.36,1.47,3.99,9.84
19351231,169.5,72247,1331,17.4,42530,20.1,42.6,41.1,1216,29.59,39.07,1.49,3.5,10.6
19361231,193,82481,1506,20.6,44710,16.9,42.7,41.5,1287,31.01,43.48,1.57,3.2,15.47
19371231,203.2,90446,1576,22.5,46620,14.3,44.5,43,1376,32,45.68,1.64,3.08,15.41
19381231,192.9,84670,1484,17.8,44560,19,43.9,42.2,1296,30.71,45.51,1.51,3,11.49
19391231,209.4,90494,1598,21.8,46120,17.2,43.2,41.6,1363,32.76,49.27,1.5,2.75,12.06
19401231,227.2,99678,1720,25.5,48060,14.6,43.9,42,1432,34.1,55.2,1.48,2.7,11.02
19411231,263.7,124540,1977,31.8,51970,9.9,47.2,44.1,1653,37.48,62.51,1.58,2.65,9.82
19421231,297.8,157910,2208,36.6,57720,4.7,53,48.8,2023,41.45,71.16,1.82,2.65,8.67
19431231,337.1,191592,2465,44.7,63490,1.9,56.8,51.8,2349,45.35,89.91,1.75,2.65,11.5
19441231,361.3,210104,2611,48.3,65370,1.2,58.2,52.7,2517,47.76,106.8,1.61,2.6,12.47
19451231,355.2,211945,2538,41.3,64260,1.9,59.7,53.9,2517,46.7,126.6,1.37,2.55,15.16
19461231,312.6,208509,2211,35.2,58700,3.9,66.7,58.5,2517,43.03,138.7,1.16,2.43,17.08
19471231,309.9,231323,2150,39.4,58630,3.9,74.6,66.9,2793,41.75,146,1.2,2.5,15.17
19481231,323.7,257562,2208,41,59803,3.8,79.6,72.1,3038,42.14,148.1,1.33,2.8,15.53
19491231,324.1,256484,2172,38.8,59266,5.9,79.1,71.4,3095,43.35,147.5,1.3,2.74,15.23
19501231,355.3,284769,2342,44.9,60570,5.3,80.2,72.1,3302,45.8,150.8,1.41,2.58,18.4
19511231,383.4,328404,2485,48.7,63062,3.3,85.6,77.8,3608,46.38,156.4,1.57,2.67,22.34
19521231,395.1,345498,2517,50.6,63846,3,87.5,79.5,3832,48.2,164.9,1.56,3,24.5
19531231,412.8,364593,2587,54.8,64726,2.9,88.3,80.1,4053,50.6,171.2,1.57,3.15,24.73
19541231,407,364841,2506,51.8,63460,5.5,89.6,80.5,4123,51.22,177.2,1.51,3,29.69
19551231,438,397960,2650,58.4,65220,4.4,90.9,80.2,4356,54.31,183.7,1.59,3.04,40.49
19561231,446.1,419238,2652,61,66659,4.1,94,81.4,4589,56.38,186.9,1.66,3.09,46.62
19571231,452.5,441134,2642,61.8,66871,4.3,97.5,84.3,4786,56.77,191.8,1.68,3.68,44.38
19581231,447.3,447334,2569,57.8,65672,6.8,100,86.6,4946,57.11,201.1,1.61,3.61,46.24
19591231,475.9,483663,2688,64.7,67182,5.5,101.6,87.3,5221,59.81,210.1,1.68,4.1,57.38
19601231,487.7,503734,2699,66.2,68292,5.5,103.3,88.7,5352,60.34,210.7,1.72,4.55,55.85
19611231,497.2,520097,2707,66.6,68318,6.7,104.6,89.6,5507,61.46,221.2,1.69,4.22,66.27
19621231,529.8,560325,2841,72.1,69530,5.5,105.8,90.6,5730,63.25,233.9,1.71,4.42,62.38
19631231,551,590503,2912,76.5,70500,5.7,107.2,91.7,5920,64.56,249.1,1.69,4.16,69.87
19641231,581.1,632410,3029,81.8,72044,5.2,108.8,92.9,6196,66.7,264.7,1.71,4.33,81.37
19651231,617.8,684884,3181,89.2,73811,4.5,110.9,94.5,6389,67.61,285.9,1.72,4.35,88.17
19661231,658.1,749857,3349,98,76018,3.8,113.9,97.2,6643,68.34,308,1.76,4.75,85.26
19671231,675.2,793927,3399,100,77818,3.8,117.6,100,6880,68.8,331.8,1.72,4.95,91.93
19681231,706.6,864202,3522,105.8,79455,3.6,122.3,104.2,7347,70.51,361.6,1.72,5.93,98.7
19691231,724.7,929095,3577,110.7,81408,3.5,128.2,109.8,7775,70.81,385.2,1.73,6.54,97.84
19701231,720,974126,3516,106.7,81815,4.9,135.3,116.3,8150,70.08,401.3,1.73,7.6,83.82
